#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
#   r [Mpc/h]           E_0c_lin             E_0_lin              E_2_lin              E_0c_loop_22         E_0c_loop_13         E_0_loop_22          E_0_loop_13          E_2_loop_22          E_2_loop_13          E_1_loop             E_3_loop             Xi_lin               Zeta_lin             Chi12_lin            U10_lin              U10_loop             U11_loop             U20_loop             V10_loop             V12_loop             X10_loop             Y10_loop             X20_loop             Y20_loop             d2Xi_lin             d2U10_lin       #
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
 1.002814727E-04      1.075251633E+02      1.075267746E+02      2.333318350E-07      3.723247692E+00      1.931326039E+01      3.726636500E+00      1.932322223E+01      4.549538588E-06      1.280565133E-05      3.407402856E-08     -1.787241050E-09      2.959880057E+02      1.706710423E+04      1.201529877E+03     -1.095736891E-02     -2.687353687E-01     -1.195917171E+00     -1.131619069E+00      2.967958016E-01      1.665259467E-01     -1.842997740E-04      9.078189476E-05     -1.150299708E-04     -3.398326715E-07     -6.335514211E+09      8.673188961E+05
 1.008467971E-04      1.075251633E+02      1.075267746E+02      2.355853214E-07      3.723247692E+00      1.931326039E+01      3.726636402E+00      1.932321616E+01      4.584455465E-06      1.290483856E-05      3.423383695E-08     -1.810968654E-09      2.954997370E+02      1.700627798E+04      1.198013549E+03     -1.100315980E-02     -2.693146049E-01     -1.198370091E+00     -1.133951983E+00      2.974027301E-01      1.669222133E-01     -1.836737157E-04      9.148321809E-05     -1.148266167E-04     -3.433755354E-07     -6.255086497E+09      8.611447950E+05
 1.014153084E-04      1.075251633E+02      1.075267746E+02      2.378605294E-07      3.723247692E+00      1.931326039E+01      3.726636304E+00      1.932321010E+01      4.619640025E-06      1.300479328E-05      3.439405562E-08     -1.835011267E-09      2.950122070E+02      1.694452706E+04      1.194507998E+03     -1.104811019E-02     -2.698953315E-01     -1.200831052E+00     -1.136289781E+00      2.980108599E-01      1.673190947E-01     -1.835616690E-04      9.218948219E-05     -1.146228270E-04     -3.469553348E-07     -6.175679792E+09      8.550146450E+05
 1.019870246E-04      1.075251633E+02      1.075267746E+02      2.401576721E-07      3.723247692E+00      1.931326039E+01      3.726636207E+00      1.932320403E+01      4.655094295E-06      1.310552136E-05      3.455476283E-08     -1.859373073E-09      2.945254212E+02      1.688211379E+04      1.191013336E+03     -1.109167723E-02     -2.704773293E-01     -1.203297490E+00     -1.138632397E+00      2.986202033E-01      1.677168556E-01     -1.839723832E-04      9.290072607E-05     -1.144186073E-04     -3.505724547E-07     -6.097281134E+09      8.489281331E+05
 1.025619639E-04      1.075251633E+02      1.075267746E+02      2.424769542E-07      3.723247692E+00      1.931326039E+01      3.726636109E+00      1.932319796E+01      4.690820344E-06      1.320702878E-05      3.471603426E-08     -1.884058309E-09      2.940393723E+02      1.682060261E+04      1.187528274E+03     -1.113397326E-02     -2.710603089E-01     -1.205765986E+00     -1.140979763E+00      2.992307828E-01      1.681158545E-01     -1.845031249E-04      9.361737549E-05     -1.142139708E-04     -3.542272843E-07     -6.019877727E+09      8.428849487E+05
 1.031401442E-04      1.075251633E+02      1.075267746E+02      2.448185860E-07      3.723247692E+00      1.931326039E+01      3.726636011E+00      1.932319189E+01      4.726820249E-06      1.330932157E-05      3.487765663E-08     -1.909071269E-09      2.935540645E+02      1.676026288E+04      1.184052925E+03     -1.117718806E-02     -2.716442487E-01     -1.208236404E+00     -1.143331822E+00      2.998425807E-01      1.685160888E-01     -1.845421518E-04      9.433999977E-05     -1.140089215E-04     -3.579202167E-07     -5.943456937E+09      8.368847833E+05
 1.037215840E-04      1.075251633E+02      1.075267746E+02      2.471827901E-07      3.723247692E+00      1.931326039E+01      3.726635913E+00      1.932318583E+01      4.763096106E-06      1.341240579E-05      3.503982944E-08     -1.934416303E-09      2.930694923E+02      1.670111839E+04      1.180587675E+03     -1.122210559E-02     -2.722291896E-01     -1.210709270E+00     -1.145688675E+00      3.004555858E-01      1.689174969E-01     -1.840753755E-04      9.506865727E-05     -1.138021540E-04     -3.616516490E-07     -5.868006288E+09      8.309273307E+05
 1.043063016E-04      1.075251633E+02      1.075267746E+02      2.495697865E-07      3.723247692E+00      1.931326039E+01      3.726635816E+00      1.932317976E+01      4.799650028E-06      1.351628756E-05      3.520241247E-08     -1.960097821E-09      2.925856576E+02      1.664319323E+04      1.177132917E+03     -1.126870689E-02     -2.728155607E-01     -1.213189210E+00     -1.148050318E+00      3.010698328E-01      1.693196582E-01     -1.830968962E-04      9.580339951E-05     -1.135927761E-04     -3.654219827E-07     -5.793513466E+09      8.250122869E+05
 1.048943155E-04      1.075251633E+02      1.075267746E+02      2.519797790E-07      3.723247692E+00      1.931326039E+01      3.726635718E+00      1.932317369E+01      4.836484141E-06      1.362097303E-05      3.536545779E-08     -1.986120290E-09      2.921025579E+02      1.658642505E+04      1.173688954E+03     -1.131504980E-02     -2.734034388E-01     -1.215677134E+00     -1.150416682E+00      3.016853140E-01      1.697224770E-01     -1.821669814E-04      9.654373041E-05     -1.133807528E-04     -3.692316233E-07     -5.719966311E+09      8.191393499E+05
 1.054856442E-04      1.075251633E+02      1.075267746E+02      2.544129939E-07      3.723247692E+00      1.931326039E+01      3.726635620E+00      1.932316763E+01      4.873600590E-06      1.372646841E-05      3.552886566E-08     -2.012488235E-09      2.916201920E+02      1.652947145E+04      1.170254658E+03     -1.136007112E-02     -2.739928119E-01     -1.218173019E+00     -1.152787696E+00      3.023020113E-01      1.701259386E-01     -1.817191360E-04      9.728931643E-05     -1.131660496E-04     -3.730809807E-07     -5.647352819E+09      8.133082201E+05
