#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
#    r [Mpc/h]            Xi_L              E_0c_lin             E_0_lin             E_2_lin           E_0c_loop_22         E_0c_loop_13         E_0_loop_22         E_0_loop_13         E_2_loop            E_1_loop            E_3_loop            U10_lin             U10_loop            U20_loop            U11_loop            X10_loop            Y10_loop     #
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
 1.097193442E-04     2.882641027E+02     1.075251633E+02     1.075267745E+02     2.721148881E-07     3.723247692E+00     1.931326039E+01     3.726634936E+00     1.932312516E+01     1.448814529E-05     1.448814529E-05     3.668569759E-08    -2.207130261E-09    -1.167944264E-02    -2.886786555E-01    -1.195062872E+00    -1.235761318E+00    -2.589872480E-03     6.440372074E-05
 1.103378734E-04     2.877875704E+02     1.075251633E+02     1.075267745E+02     2.747421344E-07     3.723247692E+00     1.931326039E+01     3.726634837E+00     1.932311946E+01     1.460034929E-05     1.460034929E-05     3.685273719E-08    -2.236432359E-09    -1.172602008E-02    -2.892827466E-01    -1.197482556E+00    -1.238294269E+00    -2.580361862E-03     6.481049422E-05
 1.109598895E-04     2.873117642E+02     1.075251633E+02     1.075267745E+02     2.773946929E-07     3.723247692E+00     1.931326039E+01     3.726634734E+00     1.932311599E+01     1.471342128E-05     1.471342128E-05     3.702006106E-08    -2.266123474E-09    -1.177278111E-02    -2.898880907E-01    -1.199907039E+00    -1.240832470E+00    -2.567699111E-03     6.521983687E-05
 1.115854122E-04     2.868366797E+02     1.075251633E+02     1.075267745E+02     2.800728203E-07     3.723247692E+00     1.931326039E+01     3.726634625E+00     1.932311505E+01     1.482736795E-05     1.482736795E-05     3.718789948E-08    -2.296208772E-09    -1.181972607E-02    -2.904946683E-01    -1.202336331E+00    -1.243375454E+00    -2.595195014E-03     6.563176493E-05
 1.122144611E-04     2.863623178E+02     1.075251633E+02     1.075267745E+02     2.827767418E-07     3.723247692E+00     1.931326039E+01     3.726634510E+00     1.932311661E+01     1.494219606E-05     1.494219606E-05     3.735600558E-08    -2.326693485E-09    -1.186685608E-02    -2.911025036E-01    -1.204770441E+00    -1.245923582E+00    -2.557564103E-03     6.604629473E-05
 1.128470562E-04     2.858886770E+02     1.075251633E+02     1.075267745E+02     2.855067120E-07     3.723247692E+00     1.931326039E+01     3.726634389E+00     1.932311687E+01     1.505791243E-05     1.505791243E-05     3.752471419E-08    -2.357582917E-09    -1.191417143E-02    -2.917115772E-01    -1.207209378E+00    -1.248477165E+00    -2.600747730E-03     6.646344269E-05
 1.134832175E-04     2.854157553E+02     1.075251633E+02     1.075267745E+02     2.882629883E-07     3.723247692E+00     1.931326039E+01     3.726634262E+00     1.932311432E+01     1.517452390E-05     1.517452390E-05     3.769364895E-08    -2.388882440E-09    -1.196167326E-02    -2.923219134E-01    -1.209653151E+00    -1.251035733E+00    -2.564240942E-03     6.688322535E-05
 1.141229651E-04     2.849435541E+02     1.075251633E+02     1.075267745E+02     2.910458246E-07     3.723247692E+00     1.931326039E+01     3.726634130E+00     1.932311412E+01     1.529203739E-05     1.529203739E-05     3.786308635E-08    -2.420597499E-09    -1.200936189E-02    -2.929334928E-01    -1.212101769E+00    -1.253599199E+00    -2.584496448E-03     6.730565936E-05
 1.147663192E-04     2.844720686E+02     1.075251633E+02     1.075267745E+02     2.938554622E-07     3.723247692E+00     1.931326039E+01     3.726633991E+00     1.932311583E+01     1.541045987E-05     1.541045987E-05     3.803277424E-08    -2.452733610E-09    -1.205723840E-02    -2.935463396E-01    -1.214555241E+00    -1.256168119E+00    -2.586019463E-03     6.773076146E-05
 1.154133001E-04     2.840013021E+02     1.075251633E+02     1.075267745E+02     2.966921679E-07     3.723247692E+00     1.931326039E+01     3.726633847E+00     1.932311436E+01     1.552979835E-05     1.552979835E-05     3.820293274E-08    -2.485296364E-09    -1.210530323E-02    -2.941604348E-01    -1.217013576E+00    -1.258742323E+00    -2.564451108E-03     6.815854851E-05
 1.160639283E-04     2.835312486E+02     1.075251633E+02     1.075267744E+02     2.995562047E-07     3.723247692E+00     1.931326039E+01     3.726633705E+00     1.932311248E+01     1.565005992E-05     1.565005992E-05     3.837349054E-08    -2.518291425E-09    -1.215355730E-02    -2.947758021E-01    -1.219476783E+00    -1.261321387E+00    -2.601580790E-03     6.858903745E-05
 1.167182243E-04     2.830619122E+02     1.075251633E+02     1.075267744E+02     3.024478353E-07     3.723247692E+00     1.931326039E+01     3.726633570E+00     1.932311394E+01     1.577125169E-05     1.577125169E-05     3.854437535E-08    -2.551724531E-09    -1.220200125E-02    -2.953924227E-01    -1.221944871E+00    -1.263905699E+00    -2.555031386E-03     6.902224536E-05
 1.173762089E-04     2.825932865E+02     1.075251633E+02     1.075267744E+02     3.053673129E-07     3.723247692E+00     1.931326039E+01     3.726633439E+00     1.932311412E+01     1.589338085E-05     1.589338085E-05     3.871562808E-08    -2.585601499E-09    -1.225063578E-02    -2.960103201E-01    -1.224417849E+00    -1.266495506E+00    -2.596080629E-03     6.945818941E-05
 1.180379027E-04     2.821253754E+02     1.075251633E+02     1.075267744E+02     3.083149156E-07     3.723247692E+00     1.931326039E+01     3.726633310E+00     1.932311161E+01     1.601645463E-05     1.601645463E-05     3.888724421E-08    -2.619928222E-09    -1.229946177E-02    -2.966294762E-01    -1.226895727E+00    -1.269090354E+00    -2.568555231E-03     6.989688687E-05
 1.187033268E-04     2.816581732E+02     1.075251633E+02     1.075267744E+02     3.112909148E-07     3.723247692E+00     1.931326039E+01     3.726633173E+00     1.932311154E+01     1.614048034E-05     1.614048034E-05     3.905924585E-08    -2.654710669E-09    -1.234847973E-02    -2.972499138E-01    -1.229378513E+00    -1.271690200E+00    -2.579578986E-03     7.033835515E-05
 1.193725021E-04     2.811916828E+02     1.075251633E+02     1.075267744E+02     3.142955794E-07     3.723247692E+00     1.931326039E+01     3.726633029E+00     1.932311307E+01     1.626546532E-05     1.626546532E-05     3.923150713E-08    -2.689954892E-09    -1.239769070E-02    -2.978716149E-01    -1.231866217E+00    -1.274295569E+00    -2.587196442E-03     7.078261174E-05
 1.200454498E-04     2.807259001E+02     1.075251633E+02     1.075267744E+02     3.173291823E-07     3.723247692E+00     1.931326039E+01     3.726632877E+00     1.932311145E+01     1.639141697E-05     1.639141697E-05     3.940414562E-08    -2.725667021E-09    -1.244709507E-02    -2.984946027E-01    -1.234358847E+00    -1.276906261E+00    -2.564794081E-03     7.122967425E-05
 1.207221911E-04     2.802608256E+02     1.075251633E+02     1.075267744E+02     3.203920038E-07     3.723247692E+00     1.931326039E+01     3.726632728E+00     1.932310978E+01     1.651834277E-05     1.651834277E-05     3.957707251E-08    -2.761853268E-09    -1.249669398E-02    -2.991188589E-01    -1.236856413E+00    -1.279521892E+00    -2.597452340E-03     7.167956040E-05
 1.214027475E-04     2.797964584E+02     1.075251633E+02     1.075267744E+02     3.234843309E-07     3.723247692E+00     1.931326039E+01     3.726632585E+00     1.932311123E+01     1.664625023E-05     1.664625023E-05     3.975045468E-08    -2.798519928E-09    -1.254648776E-02    -2.997444066E-01    -1.239358923E+00    -1.282142872E+00    -2.561703791E-03     7.213228803E-05
 1.220871405E-04     2.793327962E+02     1.075251633E+02     1.075267744E+02     3.266064429E-07     3.723247692E+00     1.931326039E+01     3.726632447E+00     1.932311120E+01     1.677514693E-05     1.677514693E-05     3.992404522E-08    -2.835673378E-09    -1.259647758E-02    -3.003712279E-01    -1.241866388E+00    -1.284769389E+00    -2.593428042E-03     7.258787509E-05
 1.227753916E-04     2.788698402E+02     1.075251633E+02     1.075267744E+02     3.297586161E-07     3.723247692E+00     1.931326039E+01     3.726632310E+00     1.932310876E+01     1.690504051E-05     1.690504051E-05     4.009804444E-08    -2.873320081E-09    -1.264666383E-02    -3.009993456E-01    -1.244378816E+00    -1.287401005E+00    -2.570829928E-03     7.304633963E-05
 1.234675227E-04     2.784075861E+02     1.075251633E+02     1.075267744E+02     3.329411521E-07     3.723247692E+00     1.931326039E+01     3.726632164E+00     1.932310883E+01     1.703593866E-05     1.703593866E-05     4.027219709E-08    -2.911466586E-09    -1.269704756E-02    -3.016287419E-01    -1.246896217E+00    -1.290037719E+00    -2.577033460E-03     7.350769983E-05
 1.241635556E-04     2.779460367E+02     1.075251633E+02     1.075267743E+02     3.361543434E-07     3.723247692E+00     1.931326039E+01     3.726632012E+00     1.932311016E+01     1.716784915E-05     1.716784915E-05     4.044674766E-08    -2.950119528E-09    -1.274762931E-02    -3.022594396E-01    -1.249418599E+00    -1.292680025E+00    -2.589717536E-03     7.397197398E-05
 1.248635122E-04     2.774851866E+02     1.075251633E+02     1.075267743E+02     3.393984760E-07     3.723247692E+00     1.931326039E+01     3.726631852E+00     1.932310841E+01     1.730077978E-05     1.730077978E-05     4.062159205E-08    -2.989285631E-09    -1.279840999E-02    -3.028914210E-01    -1.251945973E+00    -1.295327693E+00    -2.563850292E-03     7.443918048E-05
 1.255674148E-04     2.770250392E+02     1.075251633E+02     1.075267743E+02     3.426738477E-07     3.723247692E+00     1.931326039E+01     3.726631696E+00     1.932310694E+01     1.743473842E-05     1.743473842E-05     4.079668168E-08    -3.028971707E-09    -1.284939032E-02    -3.035247085E-01    -1.254478346E+00    -1.297980385E+00    -2.597563650E-03     7.490933785E-05
 1.262752856E-04     2.765655889E+02     1.075251633E+02     1.075267743E+02     3.459807627E-07     3.723247692E+00     1.931326039E+01     3.726631545E+00     1.932310837E+01     1.756973303E-05     1.756973303E-05     4.097208872E-08    -3.069184659E-09    -1.290057100E-02    -3.041592851E-01    -1.257015729E+00    -1.300638521E+00    -2.560852096E-03     7.538246473E-05
 1.269871469E-04     2.761068389E+02     1.075251633E+02     1.075267743E+02     3.493195257E-07     3.723247692E+00     1.931326039E+01     3.726631400E+00     1.932310814E+01     1.770577159E-05     1.770577159E-05     4.114771525E-08    -3.109931483E-09    -1.295195297E-02    -3.047951727E-01    -1.259558131E+00    -1.303302238E+00    -2.592431286E-03     7.585857988E-05
 1.277030212E-04     2.756487843E+02     1.075251633E+02     1.075267743E+02     3.526904412E-07     3.723247692E+00     1.931326039E+01     3.726631254E+00     1.932310576E+01     1.784286216E-05     1.784286216E-05     4.132365088E-08    -3.151219267E-09    -1.300353675E-02    -3.054323544E-01    -1.262105560E+00    -1.305971116E+00    -2.575688266E-03     7.633770217E-05
