# Matter power spectrum P(k) at redshift z=0
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.017762622183e-05       5.237970775990e+01 
       2.270599619585e-05       1.136200180546e+02 
       3.527608514283e-05       1.738157789669e+02 
       4.791988385778e-05       2.335909319429e+02 
       6.066988421975e-05       2.932993702229e+02 
       7.355935332593e-05       3.532053913082e+02 
       8.662261594150e-05       4.135342210359e+02 
       9.989534883415e-05       4.744926638210e+02 
       1.134148905905e-04       5.362796175886e+02 
       1.272205705424e-04       5.990923905646e+02 
       1.413540604450e-04       6.631310329833e+02 
       1.558597525164e-04       7.286016720975e+02 
       1.707851673344e-04       7.957193124077e+02 
       1.861813948374e-04       8.647103761885e+02 
       2.021035712214e-04       9.358151080670e+02 
       2.186113937793e-04       1.009289939147e+03 
       2.357696745644e-04       1.085409847811e+03 
       2.536489320239e-04       1.164470743693e+03 
       2.723260172576e-04       1.246791860369e+03 
       2.918847680560e-04       1.332718128687e+03 
       3.124166791059e-04       1.422622477754e+03 
       3.340215703985e-04       1.516907983871e+03 
       3.568082276376e-04       1.616009704074e+03 
       3.808949780657e-04       1.720396088031e+03 
       4.064101524856e-04       1.830569667941e+03 
       4.334923695260e-04       1.947066801662e+03 
       4.622905620153e-04       2.070456090664e+03 
       4.929636490547e-04       2.201335087794e+03 
       5.256797433982e-04       2.340324846149e+03 
       5.606147756581e-04       2.488061855992e+03 
       5.979504195942e-04       2.645186990541e+03 
       6.378712222315e-04       2.812331138349e+03 
       6.805608847774e-04       2.990097505583e+03 
       7.261977096468e-04       3.179040806413e+03 
       7.749493255645e-04       3.379644098841e+03 
       8.269669200523e-04       3.592294380382e+03 
       8.823793310846e-04       3.817258684080e+03 
       9.412874532796e-04       4.054662681267e+03 
       1.003759470115e-03       4.304474118433e+03 
       1.069827407121e-03       4.566492890878e+03 
       1.139485399650e-03       4.840349537484e+03 
       1.212689891188e-03       5.125512528023e+03 
       1.289361754710e-03       5.421304147043e+03 
       1.369390105154e-03       5.726895838275e+03 
       1.452637391706e-03       6.041401864625e+03 
       1.538945256643e-03       6.363870757898e+03 
       1.628140633441e-03       6.693301445752e+03 
       1.720041619037e-03       7.028682562227e+03 
       1.814462767214e-03       7.369015819620e+03 
       1.911219581325e-03       7.713334811740e+03 
       2.010132108911e-03       8.060719815054e+03 
       2.111027641521e-03       8.410307596390e+03 
       2.213742593189e-03       8.761298348386e+03 
       2.318123671520e-03       9.112958305150e+03 
       2.424028471503e-03       9.464620299478e+03 
       2.531325620865e-03       9.815682341453e+03 
       2.639894593864e-03       1.016560507982e+04 
       2.749625293107e-03       1.051390860974e+04 
       2.860417480214e-03       1.086016658058e+04 
       2.972180118218e-03       1.120400371881e+04 
       3.084830672812e-03       1.154509080336e+04 
       3.198294406405e-03       1.188313972428e+04 
       3.312503688439e-03       1.221790038287e+04 
       3.427397337294e-03       1.254915528994e+04 
       3.542920003058e-03       1.287671590704e+04 
       3.659021595992e-03       1.320042151168e+04 
       3.775656762429e-03       1.352013502175e+04 
       3.892784407700e-03       1.383573634432e+04 
       4.010367264318e-03       1.414713083316e+04 
       4.128371502794e-03       1.445423296731e+04 
       4.246766381999e-03       1.475697790625e+04 
       4.365523935796e-03       1.505530842322e+04 
       4.484618692657e-03       1.534918494796e+04 
       4.604027425075e-03       1.563856618944e+04 
       4.723728925759e-03       1.592338348402e+04 
       4.843703807817e-03       1.620373398779e+04 
       4.963934326354e-03       1.647952612968e+04 
       5.084404219170e-03       1.675076691984e+04 
       5.205098564436e-03       1.701756725281e+04 
       5.326003653474e-03       1.727982526056e+04 
       5.447106876962e-03       1.753758610981e+04 
       5.568396623055e-03       1.779085103314e+04 
       5.689862186089e-03       1.803908500871e+04 
       5.811493684704e-03       1.828340295189e+04 
       5.933281988318e-03       1.852328289007e+04 
       6.055218651046e-03       1.875875173398e+04 
       6.177295852232e-03       1.898973657551e+04 
       6.299506342883e-03       1.921658134996e+04 
       6.421843397352e-03       1.943913685651e+04 
       6.544300769712e-03       1.965719681571e+04 
       6.666872654316e-03       1.987111903481e+04 
       6.789553650111e-03       2.008100467934e+04 
       6.912338728289e-03       2.028666120636e+04 
       7.035223202952e-03       2.048843027849e+04 
       7.158202704464e-03       2.068580503214e+04 
       7.281273155227e-03       2.087937583928e+04 
       7.404430747627e-03       2.106913552152e+04 
       7.527671923940e-03       2.125497735508e+04 
       7.650993358003e-03       2.143648422925e+04 
       7.774391938469e-03       2.161407248638e+04 
       7.897864753509e-03       2.178816965858e+04 
       8.021409076804e-03       2.195815569858e+04 
       8.145022354722e-03       2.212465844111e+04 
       8.268702194548e-03       2.228817674517e+04 
       8.392446353698e-03       2.244716759232e+04 
       8.516252729795e-03       2.260257332499e+04 
       8.640119351552e-03       2.275448155666e+04 
       8.764044370380e-03       2.290266089192e+04 
       8.888026052660e-03       2.304650919084e+04 
       9.012062772612e-03       2.318780567603e+04 
       9.136153005724e-03       2.332564771500e+04 
       9.260295322681e-03       2.346088932619e+04 
       9.384488383755e-03       2.359200210497e+04 
       9.508730933617e-03       2.371972630024e+04 
       9.633021796538e-03       2.384419154782e+04 
       9.757359871947e-03       2.396434451719e+04 
       9.881744130310e-03       2.408292740764e+04 
       1.000617360931e-02       2.419823697826e+04 
       1.013064741032e-02       2.430942182727e+04 
       1.025516469508e-02       2.441856004407e+04 
       1.037972468271e-02       2.452342520382e+04 
       1.050432664681e-02       2.462605557626e+04 
       1.062896991285e-02       2.472612838755e+04 
       1.075365385574e-02       2.482291120014e+04 
       1.087837789751e-02       2.491548514202e+04 
       1.100314150524e-02       2.500627071726e+04 
       1.112794418904e-02       2.509451308702e+04 
       1.125278550026e-02       2.517950861853e+04 
       1.137766502974e-02       2.526110808048e+04 
       1.150258240626e-02       2.534160361342e+04 
       1.162753729503e-02       2.541902179869e+04 
       1.175252939633e-02       2.549256914396e+04 
       1.187755844422e-02       2.556463045824e+04 
       1.200262420535e-02       2.563323461370e+04 
       1.212772647786e-02       2.569954888348e+04 
       1.225286509034e-02       2.576272713936e+04 
       1.237803990087e-02       2.582393790752e+04 
       1.250325079614e-02       2.588303553046e+04 
       1.262849769063e-02       2.593841465233e+04 
       1.275378052582e-02       2.599169191375e+04 
       1.287909926952e-02       2.604425663320e+04 
       1.300445391520e-02       2.609342043408e+04 
       1.312984448136e-02       2.613999655898e+04 
       1.325527101102e-02       2.618429196177e+04 
       1.338073357118e-02       2.622499004762e+04 
       1.350623225238e-02       2.626476152789e+04 
       1.363176716822e-02       2.630286788825e+04 
       1.375733845503e-02       2.633842886759e+04 
       1.388294627146e-02       2.637188481064e+04 
       1.400859079823e-02       2.640255300382e+04 
       1.413427223778e-02       2.643022580404e+04 
       1.425999081403e-02       2.645839594609e+04 
       1.438574677219e-02       2.648291661953e+04 
       1.451154037852e-02       2.650566541458e+04 
       1.463737192019e-02       2.652600235664e+04 
       1.476324170512e-02       2.654456597897e+04 
       1.488915006186e-02       2.656076927588e+04 
       1.501509733954e-02       2.657575232327e+04 
       1.514108390773e-02       2.658742690741e+04 
       1.526711015644e-02       2.659892268383e+04 
       1.539317649608e-02       2.660733413526e+04 
       1.551928335748e-02       2.661449986005e+04 
       1.564543119185e-02       2.662006201892e+04 
       1.577162047089e-02       2.662403052619e+04 
       1.589785168677e-02       2.662657483613e+04 
       1.602412535228e-02       2.662568489345e+04 
       1.615044200085e-02       2.662385766621e+04 
       1.627680218673e-02       2.662077745403e+04 
       1.640320648507e-02       2.661591347726e+04 
       1.652965549208e-02       2.660923347721e+04 
       1.665614982521e-02       2.660061708015e+04 
       1.678269012333e-02       2.659075304663e+04 
       1.690927704689e-02       2.657934281767e+04 
       1.703591127819e-02       2.656635069214e+04 
       1.716259352159e-02       2.655295480336e+04 
       1.728932450374e-02       2.653575499915e+04 
       1.741610497386e-02       2.651818162285e+04 
       1.754293570405e-02       2.649960435992e+04 
       1.766981748952e-02       2.647871849442e+04 
       1.779675114898e-02       2.645738131391e+04 
       1.792373752492e-02       2.643411398386e+04 
       1.805077748398e-02       2.640908914020e+04 
       1.817787191730e-02       2.638352131787e+04 
       1.830502174092e-02       2.635603460014e+04 
       1.843222789617e-02       2.632739995997e+04 
       1.855949135006e-02       2.629802809107e+04 
       1.868681309576e-02       2.626690324835e+04 
       1.881419415301e-02       2.623443320947e+04 
       1.894163556861e-02       2.620074273740e+04 
       1.906913841689e-02       2.616572944112e+04 
       1.919670380023e-02       2.612897268798e+04 
       1.932433284956e-02       2.609173796636e+04 
       1.945202672494e-02       2.605362626654e+04 
       1.957978661606e-02       2.601379630363e+04 
       1.970761374289e-02       2.597317233042e+04 
       1.983550935622e-02       2.593154333367e+04 
       1.996347473831e-02       2.588932896307e+04 
       2.009151120355e-02       2.584501267016e+04 
       2.021962009907e-02       2.579994034245e+04 
       2.034780280547e-02       2.575385441633e+04 
       2.047606073751e-02       2.570750084499e+04 
       2.060439534485e-02       2.565956397470e+04 
       2.073280811277e-02       2.561084355240e+04 
       2.086130056300e-02       2.556076123279e+04 
       2.098987425448e-02       2.551013001734e+04 
       2.111853078422e-02       2.545802666205e+04 
       2.124727178813e-02       2.540540967010e+04 
       2.137609894190e-02       2.535199011035e+04 
       2.150501396195e-02       2.529773157003e+04 
       2.163401860629e-02       2.524261518192e+04 
       2.176311467559e-02       2.518666261709e+04 
       2.189230401408e-02       2.512985310938e+04 
       2.202158851064e-02       2.507305348581e+04 
       2.215097009984e-02       2.501403116218e+04 
       2.228045076304e-02       2.495559457860e+04 
       2.241003252953e-02       2.489513701816e+04 
       2.253971747764e-02       2.483459274260e+04 
       2.266950773604e-02       2.477333234607e+04 
       2.279940548487e-02       2.471195597355e+04 
       2.292941295712e-02       2.464879947907e+04 
       2.305953243985e-02       2.458542275296e+04 
       2.318976627563e-02       2.452158788249e+04 
       2.332011686393e-02       2.445694310093e+04 
       2.345058666253e-02       2.439175976141e+04 
       2.358117818904e-02       2.432591637809e+04 
       2.371189402246e-02       2.426001846968e+04 
       2.384273680475e-02       2.419264848165e+04 
       2.397370924251e-02       2.412517368232e+04 
       2.410481410862e-02       2.405703979948e+04 
       2.423605424406e-02       2.398847364562e+04 
       2.436743255969e-02       2.391938075146e+04 
       2.449895203811e-02       2.385005962373e+04 
       2.463061573564e-02       2.377960492881e+04 
       2.476242678429e-02       2.370897014344e+04 
       2.489438839382e-02       2.363791131135e+04 
       2.502650385392e-02       2.356663131646e+04 
       2.515877653636e-02       2.349473261888e+04 
       2.529120989734e-02       2.342221134827e+04 
       2.542380747979e-02       2.334918857612e+04 
       2.555657291588e-02       2.327611345675e+04 
       2.568950992951e-02       2.320265508954e+04 
       2.582262233895e-02       2.312828817639e+04 
       2.595591405954e-02       2.305406832773e+04 
       2.608938910650e-02       2.297935984996e+04 
       2.622305159786e-02       2.290471824143e+04 
       2.635690575744e-02       2.282919944875e+04 
       2.649095591801e-02       2.275356544734e+04 
       2.662520652450e-02       2.267727818909e+04 
       2.675966213736e-02       2.260101964664e+04 
       2.689432743605e-02       2.252456719326e+04 
       2.702920722264e-02       2.244747264336e+04 
       2.716430642557e-02       2.237046929149e+04 
       2.729963010350e-02       2.229312879553e+04 
       2.743518344938e-02       2.221526057312e+04 
       2.757097179463e-02       2.213753177470e+04 
       2.770700061346e-02       2.205934307659e+04 
       2.784327552742e-02       2.198097980503e+04 
       2.797980231011e-02       2.190237756066e+04 
       2.811658689200e-02       2.182365432409e+04 
       2.825363536557e-02       2.174480908531e+04 
       2.839095399053e-02       2.166558087854e+04 
       2.852854919938e-02       2.158631188390e+04 
       2.866642760306e-02       2.150691299420e+04 
       2.880459599693e-02       2.142730360748e+04 
       2.894306136697e-02       2.134758474187e+04 
       2.908183089623e-02       2.126786690623e+04 
       2.922091197155e-02       2.118785381996e+04 
       2.936031219060e-02       2.110750307705e+04 
       2.950003936914e-02       2.102726995703e+04 
       2.964010154871e-02       2.094712568735e+04 
       2.978050700456e-02       2.086644658601e+04 
       2.992126425397e-02       2.078615636486e+04 
       3.006238206491e-02       2.070526642434e+04 
       3.020386946515e-02       2.062475982227e+04 
       3.034573575170e-02       2.054391340408e+04 
       3.048799050075e-02       2.046292044028e+04 
       3.063064357799e-02       2.038210213714e+04 
