# Matter power spectrum P(k) at redshift z=2.5
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.300445391520e-02       3.485339000849e+03 
       1.312984448136e-02       3.491564581527e+03 
       1.325527101102e-02       3.497481756236e+03 
       1.338073357118e-02       3.503089940319e+03 
       1.350623225238e-02       3.508396289801e+03 
       1.363176716822e-02       3.513404742278e+03 
       1.375733845503e-02       3.518116657339e+03 
       1.388294627146e-02       3.522537426305e+03 
       1.400859079823e-02       3.526669144056e+03 
       1.413427223778e-02       3.530517639521e+03 
       1.425999081403e-02       3.534086855716e+03 
       1.438574677219e-02       3.537377913455e+03 
       1.451154037852e-02       3.540395835588e+03 
       1.463737192019e-02       3.543148277457e+03 
       1.476324170512e-02       3.545626381615e+03 
       1.488915006186e-02       3.547847312501e+03 
       1.501509733954e-02       3.549809388702e+03 
       1.514108390773e-02       3.551516707127e+03 
       1.526711015644e-02       3.552969402912e+03 
       1.539317649608e-02       3.554176560023e+03 
       1.551928335748e-02       3.555133227093e+03 
       1.564543119185e-02       3.555850281625e+03 
       1.577162047089e-02       3.556329236138e+03 
       1.589785168677e-02       3.556571317065e+03 
       1.602412535228e-02       3.556580723962e+03 
       1.615044200085e-02       3.556358172951e+03 
       1.627680218673e-02       3.555912597015e+03 
       1.640320648507e-02       3.555244998739e+03 
       1.652965549208e-02       3.554353615346e+03 
       1.665614982521e-02       3.553246259392e+03 
       1.678269012333e-02       3.551927105553e+03 
       1.690927704689e-02       3.550397811696e+03 
       1.703591127819e-02       3.548656540648e+03 
       1.716259352159e-02       3.546717019974e+03 
       1.728932450374e-02       3.544572850126e+03 
       1.741610497386e-02       3.542230269791e+03 
       1.754293570405e-02       3.539690553839e+03 
       1.766981748952e-02       3.536960637433e+03 
       1.779675114898e-02       3.534039087797e+03 
       1.792373752492e-02       3.530935162737e+03 
       1.805077748398e-02       3.527644595498e+03 
       1.817787191730e-02       3.524168912458e+03 
       1.830502174092e-02       3.520520311985e+03 
       1.843222789617e-02       3.516695279111e+03 
       1.855949135006e-02       3.512695670679e+03 
       1.868681309576e-02       3.508529109377e+03 
       1.881419415301e-02       3.504192272860e+03 
       1.894163556861e-02       3.499694305020e+03 
       1.906913841689e-02       3.495034146441e+03 
       1.919670380023e-02       3.490209872674e+03 
       1.932433284956e-02       3.485233458956e+03 
       1.945202672494e-02       3.480100509652e+03 
       1.957978661606e-02       3.474821823412e+03 
       1.970761374289e-02       3.469392295290e+03 
       1.983550935622e-02       3.463816215430e+03 
       1.996347473831e-02       3.458095038931e+03 
       2.009151120355e-02       3.452230615027e+03 
       2.021962009907e-02       3.446233662826e+03 
       2.034780280547e-02       3.440095824573e+03 
       2.047606073751e-02       3.433825150772e+03 
       2.060439534485e-02       3.427421147005e+03 
       2.073280811277e-02       3.420895062171e+03 
       2.086130056300e-02       3.414245177067e+03 
       2.098987425448e-02       3.407460761466e+03 
       2.111853078422e-02       3.400564189404e+03 
       2.124727178813e-02       3.393538879886e+03 
       2.137609894190e-02       3.386401511026e+03 
       2.150501396195e-02       3.379155832051e+03 
       2.163401860629e-02       3.371785043157e+03 
       2.176311467559e-02       3.364318944276e+03 
       2.189230401408e-02       3.356729697683e+03 
       2.202158851064e-02       3.349046954639e+03 
       2.215097009984e-02       3.341252116622e+03 
       2.228045076304e-02       3.333363603146e+03 
       2.241003252953e-02       3.325369353259e+03 
       2.253971747764e-02       3.317279390727e+03 
       2.266950773604e-02       3.309094889025e+03 
       2.279940548487e-02       3.300825010058e+03 
       2.292941295712e-02       3.292458702660e+03 
       2.305953243985e-02       3.283997063029e+03 
       2.318976627563e-02       3.275459044149e+03 
       2.332011686393e-02       3.266832568289e+03 
       2.345058666253e-02       3.258123213590e+03 
       2.358117818904e-02       3.249330188058e+03 
       2.371189402246e-02       3.240466871402e+03 
       2.384273680475e-02       3.231521172238e+03 
       2.397370924251e-02       3.222497776208e+03 
       2.410481410862e-02       3.213406686668e+03 
       2.423605424406e-02       3.204238319112e+03 
       2.436743255969e-02       3.195009305477e+03 
       2.449895203811e-02       3.185706343089e+03 
       2.463061573564e-02       3.176336316318e+03 
       2.476242678429e-02       3.166900431235e+03 
       2.489438839382e-02       3.157409726825e+03 
       2.502650385392e-02       3.147853266184e+03 
       2.515877653636e-02       3.138242329251e+03 
       2.529120989734e-02       3.128575649202e+03 
       2.542380747979e-02       3.118848000462e+03 
       2.555657291588e-02       3.109067267715e+03 
       2.568950992951e-02       3.099237068939e+03 
       2.582262233895e-02       3.089348138075e+03 
       2.595591405954e-02       3.079426223056e+03 
       2.608938910650e-02       3.069445861733e+03 
       2.622305159786e-02       3.059423702745e+03 
       2.635690575744e-02       3.049350022944e+03 
       2.649095591801e-02       3.039232815107e+03 
       2.662520652450e-02       3.029089916664e+03 
       2.675966213736e-02       3.018897269511e+03 
       2.689432743605e-02       3.008659700857e+03 
       2.702920722264e-02       2.998392124317e+03 
       2.716430642557e-02       2.988091885700e+03 
       2.729963010350e-02       2.977750101240e+03 
       2.743518344938e-02       2.967374853204e+03 
       2.757097179463e-02       2.956976920302e+03 
       2.770700061346e-02       2.946531969122e+03 
       2.784327552742e-02       2.936079198854e+03 
       2.797980231011e-02       2.925580279741e+03 
       2.811658689200e-02       2.915066324086e+03 
       2.825363536557e-02       2.904524278772e+03 
       2.839095399053e-02       2.893955892648e+03 
       2.852854919938e-02       2.883365110832e+03 
       2.866642760306e-02       2.872753594897e+03 
       2.880459599693e-02       2.862123037328e+03 
       2.894306136697e-02       2.851474187878e+03 
       2.908183089623e-02       2.840803150751e+03 
       2.922091197155e-02       2.830111616815e+03 
       2.936031219060e-02       2.819405600195e+03 
       2.950003936914e-02       2.808689871284e+03 
       2.964010154871e-02       2.797954588679e+03 
       2.978050700456e-02       2.787210712534e+03 
       2.992126425397e-02       2.776454390501e+03 
       3.006238206491e-02       2.765677245536e+03 
       3.020386946515e-02       2.754896474612e+03 
       3.034573575170e-02       2.744106614874e+03 
       3.048799050075e-02       2.733302115698e+03 
       3.063064357799e-02       2.722494755782e+03 
       3.077370514954e-02       2.711671431972e+03 
       3.091718569320e-02       2.700862912099e+03 
       3.106109601043e-02       2.690029191331e+03 
       3.120544723876e-02       2.679198570508e+03 
       3.135025086488e-02       2.668365577637e+03 
       3.149551873830e-02       2.657527096411e+03 
       3.164126308575e-02       2.646683074017e+03 
       3.178749652624e-02       2.635837119556e+03 
       3.193423208691e-02       2.624995746898e+03 
       3.208148321967e-02       2.614141899943e+03 
       3.222926381867e-02       2.603307472831e+03 
       3.237758823870e-02       2.592462444686e+03 
       3.252647131456e-02       2.581623752074e+03 
       3.267592838139e-02       2.570780543609e+03 
       3.282597529617e-02       2.559936553166e+03 
       3.297662846032e-02       2.549096667327e+03 
       3.312790484351e-02       2.538266329912e+03 
       3.327982200886e-02       2.527436083741e+03 
       3.343239813946e-02       2.516606349582e+03 
       3.358565206645e-02       2.505785720051e+03 
       3.373960329860e-02       2.494965679136e+03 
       3.389427205373e-02       2.484157696172e+03 
       3.404967929183e-02       2.473351661772e+03 
       3.420584675016e-02       2.462551250616e+03 
       3.436279698052e-02       2.451755994437e+03 
       3.452055338865e-02       2.440967825522e+03 
       3.467914027608e-02       2.430184538384e+03 
       3.483858288458e-02       2.419410558312e+03 
       3.499890744337e-02       2.408644251991e+03 
       3.516014121926e-02       2.397877999918e+03 
       3.532231257010e-02       2.387128321141e+03 
       3.548545100158e-02       2.376381963122e+03 
       3.564958722785e-02       2.365648007121e+03 
       3.581475323610e-02       2.354920308411e+03 
       3.598098235552e-02       2.344193888076e+03 
       3.614830933092e-02       2.333471190395e+03 
       3.631677040150e-02       2.322763213104e+03 
       3.648640338511e-02       2.312060608508e+03 
       3.665724776843e-02       2.301365209978e+03 
       3.682934480372e-02       2.290680715305e+03 
       3.700273761257e-02       2.279992451493e+03 
       3.717747129741e-02       2.269323182811e+03 
       3.735359306125e-02       2.258652272096e+03 
       3.753115233669e-02       2.247990638146e+03 
       3.771020092475e-02       2.237333738167e+03 
       3.789079314475e-02       2.226675888410e+03 
       3.807298599596e-02       2.216031294708e+03 
       3.825683933246e-02       2.205386282782e+03 
       3.844241605221e-02       2.194747264329e+03 
       3.862978230205e-02       2.184114499558e+03 
       3.881900769994e-02       2.173480982396e+03 
       3.901016557640e-02       2.162853443413e+03 
       3.920333323705e-02       2.152218816947e+03 
       3.939859224859e-02       2.141592930454e+03 
       3.959602875058e-02       2.130968318524e+03 
       3.979573379598e-02       2.120330178326e+03 
       3.999780372362e-02       2.109694913855e+03 
       4.020234056615e-02       2.099067219252e+03 
       4.040945249762e-02       2.088428632454e+03 
       4.061925432541e-02       2.077777989729e+03 
       4.083186803157e-02       2.067129235365e+03 
       4.104742336992e-02       2.056471786502e+03 
       4.126605852553e-02       2.045805938865e+03 
       4.148792084466e-02       2.035126925014e+03 
       4.171316764413e-02       2.024436114676e+03 
       4.194196711067e-02       2.013730264045e+03 
       4.217449930223e-02       2.003010812171e+03 
       4.241095726528e-02       1.992270358569e+03 
       4.265154828431e-02       1.981513270886e+03 
       4.289649528238e-02       1.970734224654e+03 
       4.314603839480e-02       1.959929310223e+03 
       4.340043674179e-02       1.949102404857e+03 
       4.365997043041e-02       1.938230479516e+03 
       4.392494282161e-02       1.927340582965e+03 
