# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.570433690156e-10       7.308999404102e-15       2.206320895371e-13       6.345609294212e-17       8.344218569125e-11       9.479098311431e-12      -6.807607732029e-15 
   41       1.593574523583e-10       7.933403685383e-15       2.114075340532e-13       6.666716277378e-17       7.930972356629e-11       9.043614231070e-12      -5.566415342123e-15 
   42       1.616827155784e-10       8.593502049934e-15       2.011900635371e-13       6.996045863808e-17       7.544500999270e-11       8.636133923445e-12      -5.492298515984e-15 
   43       1.640296244596e-10       9.289170295428e-15       1.898360021234e-13       7.333618283392e-17       7.183775397130e-11       8.255691861584e-12      -6.277657021005e-15 
   44       1.664070065748e-10       1.002006301021e-14       1.771738373353e-13       7.679452841827e-17       6.846167432666e-11       7.899636020459e-12      -7.532513701727e-15 
   45       1.688209160575e-10       1.078580774590e-14       1.630269398624e-13       8.033564260300e-17       6.528388407953e-11       7.564563338338e-12      -8.852638214765e-15 
   46       1.712713636470e-10       1.158668752940e-14       1.472941618044e-13       8.395950615277e-17       6.229938844827e-11       7.249777953964e-12      -1.006033290531e-14 
   47       1.737542189348e-10       1.242314018335e-14       1.298902018961e-13       8.766601630310e-17       5.950473534949e-11       6.954637041417e-12      -1.102687771960e-14 
   48       1.762617571728e-10       1.329556771594e-14       1.107227204722e-13       9.145501634338e-17       5.688761171412e-11       6.677498473114e-12      -1.160460637049e-14 
   49       1.787823777597e-10       1.420433519777e-14       8.969191260676e-14       9.532629260656e-17       5.442618446829e-11       6.415647377776e-12      -1.162597938000e-14 
   50       1.813049343261e-10       1.514973354118e-14       6.672031655734e-14       9.927957426278e-17       5.209567792390e-11       6.166140988753e-12      -1.096670126943e-14 
   51       1.838337637269e-10       1.613185853321e-14       4.185276811740e-14       1.033145396186e-16       4.989173963934e-11       5.928783925984e-12      -9.757420171728e-15 
   52       1.863772498852e-10       1.715069702602e-14       1.518283988796e-14       1.074308063239e-16       4.781227780265e-11       5.703833571637e-12      -8.227889383049e-15 
   53       1.889435057737e-10       1.820615740975e-14      -1.317405036795e-14       1.116279259071e-16       4.585046822575e-11       5.491122853931e-12      -6.649982939600e-15 
   54       1.915403089171e-10       1.929806679057e-14      -4.307964374827e-14       1.159053808967e-16       4.399443586229e-11       5.290030018765e-12      -5.339782502429e-15 
   55       1.941739594045e-10       2.042623014314e-14      -7.440749216892e-14       1.202626464268e-16       4.223087605465e-11       5.099699032263e-12      -4.580248403859e-15 
   56       1.968456694667e-10       2.159063144043e-14      -1.071592764974e-13       1.246993995698e-16       4.055770134222e-11       4.919834155946e-12      -4.361956227945e-15 
   57       1.995541640204e-10       2.279127754613e-14      -1.413756398086e-13       1.292153569645e-16       3.897397854535e-11       4.750049813731e-12      -4.581608973281e-15 
   58       2.022965754170e-10       2.402814021955e-14      -1.771034554871e-13       1.338102145301e-16       3.747610290091e-11       4.589617236951e-12      -5.114824661372e-15 
   59       2.050683369660e-10       2.530115570839e-14      -2.143962201309e-13       1.384836471005e-16       3.605763307615e-11       4.437444000832e-12      -5.815129097823e-15 
   60       2.078630764566e-10       2.661022434141e-14      -2.533144464543e-13       1.432353080575e-16       3.470912618246e-11       4.292053560958e-12      -6.512948633540e-15 
   61       2.106747163127e-10       2.795515007284e-14      -2.939127506974e-13       1.480649113233e-16       3.342075958708e-11       4.151979959126e-12      -7.053459084587e-15 
   62       2.135045657982e-10       2.933544417982e-14      -3.361968390797e-13       1.529724996695e-16       3.219125728395e-11       4.017101764825e-12      -7.422338748702e-15 
   63       2.163556390322e-10       3.075047657950e-14      -3.801575197692e-13       1.579582362571e-16       3.102068349009e-11       3.887572600989e-12      -7.646583098747e-15 
   64       2.192305530903e-10       3.219952972242e-14      -4.257831277244e-13       1.630223297957e-16       2.990775760423e-11       3.763425249675e-12      -7.758360562772e-15 
   65       2.221314915423e-10       3.368179627993e-14      -4.730594954246e-13       1.681650367905e-16       2.884977764355e-11       3.644564361545e-12      -7.795238161744e-15 
   66       2.250601679895e-10       3.519637683164e-14      -5.219699236001e-13       1.733866637892e-16       2.784254368049e-11       3.530759165352e-12      -7.800407147271e-15 
   67       2.280177896017e-10       3.674227755282e-14      -5.724951519622e-13       1.786875696292e-16       2.688028127957e-11       3.421636177420e-12      -7.822908639328e-15 
   68       2.310052365092e-10       3.831850388331e-14      -6.246148049889e-13       1.840681415030e-16       2.595718319755e-11       3.316799591725e-12      -7.906661989347e-15 
   69       2.340237236929e-10       3.992436874324e-14      -6.783121348937e-13       1.895287124991e-16       2.507256837832e-11       3.216237073667e-12      -8.054463941193e-15 
   70       2.370742083236e-10       4.155924290246e-14      -7.335701915411e-13       1.950696313126e-16       2.422663556773e-11       3.119983471593e-12      -8.257066581396e-15 
   71       2.401571553866e-10       4.322246466449e-14      -7.903704407286e-13       2.006912884980e-16       2.341890299737e-11       3.027996458515e-12      -8.503669531763e-15 
   72       2.432725067393e-10       4.491334000873e-14      -8.486927726415e-13       2.063941180462e-16       2.264817320918e-11       2.940152507089e-12      -8.781859211785e-15 
   73       2.464196501698e-10       4.663114273264e-14      -9.085155103090e-13       2.121785989623e-16       2.191249788000e-11       2.856242864579e-12      -9.077548101060e-15 
   74       2.495973884538e-10       4.837511459394e-14      -9.698154180589e-13       2.180452568428e-16       2.120914264624e-11       2.775969527833e-12      -9.374914001702e-15 
   75       2.528039084135e-10       5.014446545279e-14      -1.032567709974e-12       2.239946654533e-16       2.053455192842e-11       2.698941218254e-12      -9.656339300764e-15 
   76       2.560374702761e-10       5.193824670254e-14      -1.096742977127e-12       2.300273343923e-16       1.988523121348e-11       2.624770533353e-12      -9.905703497006e-15 
   77       2.592986892809e-10       5.375494460130e-14      -1.162297303704e-12       2.361433449459e-16       1.926065740139e-11       2.553394751816e-12      -1.011908820679e-14 
   78       2.625886158515e-10       5.559281269620e-14      -1.229180355499e-12       2.423426503870e-16       1.866083773338e-11       2.484806487917e-12      -1.029592298924e-14 
   79       2.659080362953e-10       5.744998953965e-14      -1.297338247389e-12       2.486251832517e-16       1.808542331865e-11       2.418955785963e-12      -1.043581315519e-14 
   80       2.692574566311e-10       5.932449623319e-14      -1.366713488615e-12       2.549908545807e-16       1.753369277224e-11       2.355748169971e-12      -1.053854779105e-14 
   81       2.726370864177e-10       6.121423397141e-14      -1.437244928047e-12       2.614395531606e-16       1.700453585277e-11       2.295042693349e-12      -1.060410778259e-14 
   82       2.760468225818e-10       6.311698158575e-14      -1.508867699460e-12       2.679711447664e-16       1.649643710033e-11       2.236649988575e-12      -1.063267383877e-14 
   83       2.794862332465e-10       6.503039308843e-14      -1.581513166808e-12       2.745854714018e-16       1.600745947422e-11       2.180330316874e-12      -1.062463451557e-14 
   84       2.829548419104e-10       6.695222139834e-14      -1.655116124561e-12       2.812823808144e-16       1.553571496027e-11       2.125853376360e-12      -1.058081769926e-14 
   85       2.864530695374e-10       6.888103751328e-14      -1.729637890106e-12       2.880618223214e-16       1.508090187302e-11       2.073193390614e-12      -1.050321157240e-14 
   86       2.899814197213e-10       7.081562661237e-14      -1.805046957040e-12       2.949237655525e-16       1.464299359135e-11       2.022362936212e-12      -1.039437843573e-14 
   87       2.935401812614e-10       7.275477379982e-14      -1.881312146685e-12       3.018681713442e-16       1.422176619099e-11       1.973353160889e-12      -1.025725348127e-14 
   88       2.971294170384e-10       7.469726545010e-14      -1.958402675301e-12       3.088949914898e-16       1.381679026671e-11       1.926132871167e-12      -1.009515657177e-14 
   89       3.007489528905e-10       7.664189055327e-14      -2.036288221287e-12       3.160041684897e-16       1.342742275448e-11       1.880647619998e-12      -9.911804020114e-15 
   90       3.043983664900e-10       7.858744206021e-14      -2.114938992390e-12       3.231956353021e-16       1.305279875365e-11       1.836818794397e-12      -9.711320368805e-15 
   91       3.080769762188e-10       8.053271822783e-14      -2.194325792912e-12       3.304693150928e-16       1.269182334913e-11       1.794542703082e-12      -9.498250169375e-15 
   92       3.117838300451e-10       8.247652396437e-14      -2.274420090915e-12       3.378251209862e-16       1.234316343355e-11       1.753689664105e-12      -9.277569761832e-15 
   93       3.155180077833e-10       8.441756978616e-14      -2.355187638217e-12       3.452630904467e-16       1.200556385156e-11       1.714134176063e-12      -9.053930792874e-15 
   94       3.192796040386e-10       8.635414838216e-14      -2.436568086772e-12       3.527838120870e-16       1.167886798567e-11       1.675852604145e-12      -8.829235037683e-15 
   95       3.230688732183e-10       8.828441166558e-14      -2.518492416584e-12       3.603880628890e-16       1.136313626081e-11       1.638838567567e-12      -8.604714912970e-15 
   96       3.268859225896e-10       9.020646876863e-14      -2.600889088753e-12       3.680766808690e-16       1.105833182311e-11       1.603072685909e-12      -8.381670455644e-15 
   97       3.307307054574e-10       9.211838598229e-14      -2.683684024178e-12       3.758505666757e-16       1.076431681393e-11       1.568522093434e-12      -8.161470556452e-15 
   98       3.346030143423e-10       9.401818669609e-14      -2.766800582267e-12       3.837106851891e-16       1.048084864397e-11       1.535139953403e-12      -7.945554193625e-15 
   99       3.385024741583e-10       9.590385133789e-14      -2.850159539640e-12       3.916580671184e-16       1.020757626738e-11       1.502864972387e-12      -7.735431666517e-15 
  100       3.424285353911e-10       9.777331731368e-14      -2.933679068840e-12       3.996938106010e-16       9.944036455840e-12       1.471620914587e-12      -7.532685829254e-15 
  101       3.463804672757e-10       9.962447894732e-14      -3.017274717036e-12       4.078190828002e-16       9.689650072623e-12       1.441316116151e-12      -7.338973324375e-15 
  102       3.503573509743e-10       1.014551874204e-13      -3.100859384730e-12       4.160351215042e-16       9.443718346728e-12       1.411842999481e-12      -7.156025816472e-15 
  103       3.543580727545e-10       1.032632507119e-13      -3.184343304468e-12       4.243432367242e-16       9.205419146944e-12       1.383077587559e-12      -6.985651225840e-15 
  104       3.583815551958e-10       1.050465368246e-13      -3.267639392671e-12       4.327446514915e-16       8.973993278932e-12       1.354909070184e-12      -6.829320755581e-15 
  105       3.624275010741e-10       1.068032994750e-13      -3.350680174373e-12       4.412399963125e-16       8.749340062566e-12       1.327334097453e-12      -6.686863781573e-15 
  106       3.664957377144e-10       1.085318964918e-13      -3.433403115719e-12       4.498297490836e-16       8.531495636784e-12       1.300374377801e-12      -6.557598140287e-15 
  107       3.705859837804e-10       1.102306915200e-13      -3.515745492290e-12       4.585143896284e-16       8.320448503029e-12       1.274047609959e-12      -6.440725313818e-15 
  108       3.746978450674e-10       1.118980550958e-13      -3.597644426857e-12       4.672943995281e-16       8.116137887503e-12       1.248367327510e-12      -6.335327111800e-15 
  109       3.788308102966e-10       1.135323657214e-13      -3.679036927132e-12       4.761702619538e-16       7.918452103424e-12       1.223342743446e-12      -6.240362353330e-15 
