# Matter power spectrum P(k) at redshift z=1
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.017762622183e-05       1.976170220385e+01 
       2.270599619585e-05       4.286637671857e+01 
       3.527608514283e-05       6.557706787674e+01 
       4.791988385778e-05       8.812923757396e+01 
       6.066988421975e-05       1.106564632605e+02 
       7.355935332593e-05       1.332585199077e+02 
       8.662261594150e-05       1.560204517509e+02 
       9.989534883415e-05       1.790203574340e+02 
       1.134148905905e-04       2.023333605697e+02 
       1.272205705424e-04       2.260339965251e+02 
       1.413540604450e-04       2.501978466138e+02 
       1.558597525164e-04       2.749027984752e+02 
       1.707851673344e-04       3.002301078357e+02 
       1.861813948374e-04       3.262653570673e+02 
       2.021035712214e-04       3.530993663941e+02 
       2.186113937793e-04       3.808290903211e+02 
       2.357696745644e-04       4.095585118523e+02 
       2.536489320239e-04       4.393995463330e+02 
       2.723260172576e-04       4.704729474795e+02 
       2.918847680560e-04       5.029092100580e+02 
       3.124166791059e-04       5.368494409401e+02 
       3.340215703985e-04       5.724461707374e+02 
       3.568082276376e-04       6.098640551898e+02 
       3.808949780657e-04       6.492803983868e+02 
       4.064101524856e-04       6.908854169202e+02 
       4.334923695260e-04       7.348821310814e+02 
       4.622905620153e-04       7.814857534044e+02 
       4.929636490547e-04       8.309224218407e+02 
       5.256797433982e-04       8.834271087790e+02 
       5.606147756581e-04       9.392405313176e+02 
       5.979504195942e-04       9.986049274394e+02 
       6.378712222315e-04       1.061758569271e+03 
       6.805608847774e-04       1.128929026684e+03 
       7.261977096468e-04       1.200325269361e+03 
       7.749493255645e-04       1.276128907717e+03 
       8.269669200523e-04       1.356485024526e+03 
       8.823793310846e-04       1.441493243356e+03 
       9.412874532796e-04       1.531199811062e+03 
       1.003759470115e-03       1.625591534403e+03 
       1.069827407121e-03       1.724592198354e+03 
       1.139485399650e-03       1.828062102883e+03 
       1.212689891188e-03       1.935800791007e+03 
       1.289361754710e-03       2.047552871062e+03 
       1.369390105154e-03       2.163006008672e+03 
       1.452637391706e-03       2.281826040733e+03 
       1.538945256643e-03       2.403653644205e+03 
       1.628140633441e-03       2.528110431973e+03 
       1.720041619037e-03       2.654814014130e+03 
       1.814462767214e-03       2.783387009709e+03 
       1.911219581325e-03       2.913464313619e+03 
       2.010132108911e-03       3.044698659447e+03 
       2.111027641521e-03       3.176764258503e+03 
       2.213742593189e-03       3.309359213768e+03 
       2.318123671520e-03       3.442206488668e+03 
       2.424028471503e-03       3.575054081259e+03 
       2.531325620865e-03       3.707674534323e+03 
       2.639894593864e-03       3.839864083108e+03 
       2.749625293107e-03       3.971441434101e+03 
       2.860417480214e-03       4.102245587799e+03 
       2.972180118218e-03       4.232134821486e+03 
       3.084830672812e-03       4.360984898161e+03 
       3.198294406405e-03       4.488687000179e+03 
       3.312503688439e-03       4.615146655958e+03 
       3.427397337294e-03       4.740281703806e+03 
       3.542920003058e-03       4.864020932524e+03 
       3.659021595992e-03       4.986303657863e+03 
       3.775656762429e-03       5.107078095161e+03 
       3.892784407700e-03       5.226298955264e+03 
       4.010367264318e-03       5.343930594385e+03 
       4.128371502794e-03       5.459940592059e+03 
       4.246766381999e-03       5.574304503735e+03 
       4.365523935796e-03       5.687000719439e+03 
       4.484618692657e-03       5.798014294275e+03 
       4.604027425075e-03       5.907332062090e+03 
       4.723728925759e-03       6.014945202294e+03 
       4.843703807817e-03       6.120848915777e+03 
       4.963934326354e-03       6.225039212162e+03 
       5.084404219170e-03       6.327517573341e+03 
       5.205098564436e-03       6.428282863639e+03 
       5.326003653474e-03       6.527340174738e+03 
       5.447106876962e-03       6.624696616086e+03 
       5.568396623055e-03       6.720355832982e+03 
       5.689862186089e-03       6.814328221751e+03 
       5.811493684704e-03       6.906623664583e+03 
       5.933281988318e-03       6.997249564897e+03 
       6.055218651046e-03       7.086328501493e+03 
       6.177295852232e-03       7.173685692066e+03 
       6.299506342883e-03       7.259357120679e+03 
       6.421843397352e-03       7.343324080246e+03 
       6.544300769712e-03       7.425707385314e+03 
       6.666872654316e-03       7.506525692877e+03 
       6.789553650111e-03       7.585715350131e+03 
       6.912338728289e-03       7.663428782512e+03 
       7.035223202952e-03       7.739653146641e+03 
       7.158202704464e-03       7.814349341068e+03 
       7.281273155227e-03       7.887279778935e+03 
       7.404430747627e-03       7.959168267913e+03 
       7.527671923940e-03       8.029262456266e+03 
       7.650993358003e-03       8.097873584155e+03 
       7.774391938469e-03       8.165030656080e+03 
       7.897864753509e-03       8.230736790341e+03 
       8.021409076804e-03       8.294998223110e+03 
       8.145022354722e-03       8.357852936035e+03 
       8.268702194548e-03       8.419342498498e+03 
       8.392446353698e-03       8.479406117798e+03 
       8.516252729795e-03       8.538106671062e+03 
       8.640119351552e-03       8.595442256959e+03 
       8.764044370380e-03       8.651446253764e+03 
       8.888026052660e-03       8.706089805093e+03 
       9.012062772612e-03       8.759456559524e+03 
       9.136153005724e-03       8.811509695701e+03 
       9.260295322681e-03       8.862314612437e+03 
       9.384488383755e-03       8.911826052260e+03 
       9.508730933617e-03       8.960068789192e+03 
       9.633021796538e-03       9.007101575905e+03 
       9.757359871947e-03       9.052854200594e+03 
       9.881744130310e-03       9.097429965607e+03 
       1.000617360931e-02       9.140844486038e+03 
       1.013064741032e-02       9.183002361865e+03 
       1.025516469508e-02       9.224076019765e+03 
       1.037972468271e-02       9.263944185891e+03 
       1.050432664681e-02       9.302635454791e+03 
       1.062896991285e-02       9.340264260343e+03 
       1.075365385574e-02       9.376756117664e+03 
       1.087837789751e-02       9.412084134832e+03 
       1.100314150524e-02       9.446377208025e+03 
       1.112794418904e-02       9.479578840025e+03 
       1.125278550026e-02       9.511724475825e+03 
       1.137766502974e-02       9.542485931094e+03 
       1.150258240626e-02       9.572862529854e+03 
       1.162753729503e-02       9.601931983353e+03 
       1.175252939633e-02       9.629888549203e+03 
       1.187755844422e-02       9.656936904017e+03 
       1.200262420535e-02       9.682937578060e+03 
       1.212772647786e-02       9.707961988257e+03 
       1.225286509034e-02       9.731983964931e+03 
       1.237803990087e-02       9.755089355953e+03 
       1.250325079614e-02       9.777286315132e+03 
       1.262849769063e-02       9.798473927933e+03 
       1.275378052582e-02       9.818768679052e+03 
       1.287909926952e-02       9.838219493034e+03 
       1.300445391520e-02       9.856718808781e+03 
       1.312984448136e-02       9.874323181369e+03 
       1.325527101102e-02       9.891056635959e+03 
       1.338073357118e-02       9.906865424478e+03 
       1.350623225238e-02       9.921872000815e+03 
       1.363176716822e-02       9.936040226607e+03 
       1.375733845503e-02       9.949409364466e+03 
       1.388294627146e-02       9.961913078418e+03 
       1.400859079823e-02       9.973594684867e+03 
       1.413427223778e-02       9.984418714600e+03 
       1.425999081403e-02       9.994571316582e+03 
       1.438574677219e-02       1.000386512133e+04 
       1.451154037852e-02       1.001241392192e+04 
       1.463737192019e-02       1.002018470678e+04 
       1.476324170512e-02       1.002719888832e+04 
       1.488915006186e-02       1.003341876366e+04 
       1.501509733954e-02       1.003902965324e+04 
       1.514108390773e-02       1.004380303314e+04 
       1.526711015644e-02       1.004796576967e+04 
       1.539317649608e-02       1.005131732382e+04 
       1.551928335748e-02       1.005402205113e+04 
       1.564543119185e-02       1.005604742385e+04 
       1.577162047089e-02       1.005746653194e+04 
       1.589785168677e-02       1.005814603323e+04 
       1.602412535228e-02       1.005813070060e+04 
       1.615044200085e-02       1.005746616950e+04 
       1.627680218673e-02       1.005621715882e+04 
       1.640320648507e-02       1.005438962227e+04 
       1.652965549208e-02       1.005185986971e+04 
       1.665614982521e-02       1.004865825994e+04 
       1.678269012333e-02       1.004492711105e+04 
       1.690927704689e-02       1.004040140875e+04 
       1.703591127819e-02       1.003571377435e+04 
       1.716259352159e-02       1.003027848326e+04 
       1.728932450374e-02       1.002391682489e+04 
       1.741610497386e-02       1.001750975722e+04 
       1.754293570405e-02       1.001007581327e+04 
       1.766981748952e-02       1.000260404679e+04 
       1.779675114898e-02       9.994092576169e+03 
       1.792373752492e-02       9.985316223768e+03 
       1.805077748398e-02       9.976254757209e+03 
       1.817787191730e-02       9.966191209858e+03 
       1.830502174092e-02       9.955882738085e+03 
       1.843222789617e-02       9.945069192626e+03 
       1.855949135006e-02       9.933990702821e+03 
       1.868681309576e-02       9.922270030149e+03 
       1.881419415301e-02       9.910001047857e+03 
       1.894163556861e-02       9.897190582580e+03 
       1.906913841689e-02       9.884105497364e+03 
       1.919670380023e-02       9.870386711452e+03 
       1.932433284956e-02       9.856312256736e+03 
       1.945202672494e-02       9.841733195188e+03 
       1.957978661606e-02       9.826797775104e+03 
       1.970761374289e-02       9.811478510315e+03 
       1.983550935622e-02       9.795714480006e+03 
       1.996347473831e-02       9.779638468488e+03 
       2.009151120355e-02       9.762913302185e+03 
       2.021962009907e-02       9.746029415971e+03 
       2.034780280547e-02       9.728541743913e+03 
       2.047606073751e-02       9.710984408686e+03 
       2.060439534485e-02       9.692879205720e+03 
       2.073280811277e-02       9.674428722702e+03 
       2.086130056300e-02       9.655484801232e+03 
       2.098987425448e-02       9.636449978663e+03 
       2.111853078422e-02       9.616907525755e+03 
       2.124727178813e-02       9.596892360359e+03 
       2.137609894190e-02       9.576780766468e+03 
       2.150501396195e-02       9.556204975419e+03 
       2.163401860629e-02       9.535434650477e+03 
       2.176311467559e-02       9.514349201215e+03 
       2.189230401408e-02       9.492894589923e+03 
       2.202158851064e-02       9.471249751115e+03 
       2.215097009984e-02       9.449119125213e+03 
       2.228045076304e-02       9.426896168616e+03 
       2.241003252953e-02       9.404061415236e+03 
       2.253971747764e-02       9.381252164923e+03 
       2.266950773604e-02       9.358083414345e+03 
       2.279940548487e-02       9.334875380065e+03 
       2.292941295712e-02       9.311150360736e+03 
       2.305953243985e-02       9.287201845381e+03 
       2.318976627563e-02       9.263061491479e+03 
       2.332011686393e-02       9.238680010242e+03 
       2.345058666253e-02       9.214009138726e+03 
       2.358117818904e-02       9.189107340586e+03 
       2.371189402246e-02       9.164181508089e+03 
       2.384273680475e-02       9.138778309562e+03 
       2.397370924251e-02       9.113289442614e+03 
       2.410481410862e-02       9.087543410458e+03 
       2.423605424406e-02       9.061629415724e+03 
       2.436743255969e-02       9.035526452835e+03 
       2.449895203811e-02       9.009311809189e+03 
       2.463061573564e-02       8.982720724728e+03 
       2.476242678429e-02       8.956035893597e+03 
       2.489438839382e-02       8.929187903188e+03 
       2.502650385392e-02       8.902201541792e+03 
       2.515877653636e-02       8.875021684837e+03 
       2.529120989734e-02       8.847669916910e+03 
       2.542380747979e-02       8.820089823384e+03 
       2.555657291588e-02       8.792486887293e+03 
       2.568950992951e-02       8.764764243786e+03 
       2.582262233895e-02       8.736620360245e+03 
       2.595591405954e-02       8.708601417878e+03 
       2.608938910650e-02       8.680404886559e+03 
       2.622305159786e-02       8.652185609062e+03 
       2.635690575744e-02       8.623603725150e+03 
       2.649095591801e-02       8.595084882141e+03 
       2.662520652450e-02       8.566291322624e+03 
       2.675966213736e-02       8.537458584765e+03 
       2.689432743605e-02       8.508616020515e+03 
       2.702920722264e-02       8.479480616484e+03 
       2.716430642557e-02       8.450344455623e+03 
       2.729963010350e-02       8.421141665123e+03 
       2.743518344938e-02       8.391740926614e+03 
       2.757097179463e-02       8.362362984180e+03 
       2.770700061346e-02       8.332824231921e+03 
       2.784327552742e-02       8.303254722049e+03 
       2.797980231011e-02       8.273553462796e+03 
       2.811658689200e-02       8.243825194252e+03 
       2.825363536557e-02       8.214003365863e+03 
       2.839095399053e-02       8.184103101564e+03 
       2.852854919938e-02       8.154141657700e+03 
       2.866642760306e-02       8.124182074907e+03 
       2.880459599693e-02       8.094097153756e+03 
       2.894306136697e-02       8.063987395428e+03 
       2.908183089623e-02       8.033891341703e+03 
       2.922091197155e-02       8.003680635796e+03 
       2.936031219060e-02       7.973302108108e+03 
       2.950003936914e-02       7.942968469812e+03 
       2.964010154871e-02       7.912696143809e+03 
       2.978050700456e-02       7.882242607742e+03 
       2.992126425397e-02       7.851892101008e+03 
       3.006238206491e-02       7.821336963619e+03 
       3.020386946515e-02       7.790968711511e+03 
       3.034573575170e-02       7.760387811393e+03 
       3.048799050075e-02       7.729800455332e+03 
       3.063064357799e-02       7.699260187410e+03 
       3.077370514954e-02       7.668678999292e+03 
       3.091718569320e-02       7.638111546478e+03 
       3.106109601043e-02       7.607410081958e+03 
       3.120544723876e-02       7.576834017262e+03 
       3.135025086488e-02       7.546173957351e+03 
       3.149551873830e-02       7.515515898241e+03 
       3.164126308575e-02       7.484834907117e+03 
       3.178749652624e-02       7.454205231010e+03 
       3.193423208691e-02       7.423496956130e+03 
       3.208148321967e-02       7.392804884863e+03 
       3.222926381867e-02       7.362166129726e+03 
       3.237758823870e-02       7.331513789234e+03 
       3.252647131456e-02       7.300864860856e+03 
       3.267592838139e-02       7.270219672757e+03 
       3.282597529617e-02       7.239535606279e+03 
       3.297662846032e-02       7.208879077406e+03 
       3.312790484351e-02       7.178248862635e+03 
       3.327982200886e-02       7.147622004259e+03 
       3.343239813946e-02       7.117001373703e+03 
       3.358565206645e-02       7.086385642601e+03 
       3.373960329860e-02       7.055798002548e+03 
       3.389427205373e-02       7.025233713334e+03 
       3.404967929183e-02       6.994690606130e+03 
       3.420584675016e-02       6.964140344986e+03 
       3.436279698052e-02       6.933606743966e+03 
       3.452055338865e-02       6.903090619296e+03 
       3.467914027608e-02       6.872589655161e+03 
       3.483858288458e-02       6.842140377083e+03 
       3.499890744337e-02       6.811687554185e+03 
       3.516014121926e-02       6.781235640044e+03 
       3.532231257010e-02       6.750841267362e+03 
       3.548545100158e-02       6.720450668710e+03 
       3.564958722785e-02       6.690098670813e+03 
       3.581475323610e-02       6.659734575752e+03 
       3.598098235552e-02       6.629414898289e+03 
       3.614830933092e-02       6.599093813198e+03 
       3.631677040150e-02       6.568819954297e+03 
       3.648640338511e-02       6.538551833819e+03 
       3.665724776843e-02       6.508304727023e+03 
       3.682934480372e-02       6.478088562888e+03 
       3.700273761257e-02       6.447846118411e+03 
       3.717747129741e-02       6.417680431218e+03 
       3.735359306125e-02       6.387501570608e+03 
       3.753115233669e-02       6.357349305560e+03 
       3.771020092475e-02       6.327221275902e+03 
       3.789079314475e-02       6.297083196787e+03 
       3.807298599596e-02       6.266980216330e+03 
       3.825683933246e-02       6.236861333670e+03 
       3.844241605221e-02       6.206787488904e+03 
       3.862978230205e-02       6.176705641855e+03 
       3.881900769994e-02       6.146643809625e+03 
       3.901016557640e-02       6.116591376093e+03 
       3.920333323705e-02       6.086516440514e+03 
       3.939859224859e-02       6.056466151685e+03 
       3.959602875058e-02       6.026409988628e+03 
       3.979573379598e-02       5.996365447488e+03 
       3.999780372362e-02       5.966243981087e+03 
       4.020234056615e-02       5.936188443499e+03 
       4.040945249762e-02       5.906102267377e+03 
       4.061925432541e-02       5.875995734202e+03 
       4.083186803157e-02       5.845872327503e+03 
       4.104742336992e-02       5.815739743859e+03 
       4.126605852553e-02       5.785574561856e+03 
       4.148792084466e-02       5.755373926845e+03 
       4.171316764413e-02       5.725141129776e+03 
       4.194196711067e-02       5.694864299594e+03 
       4.217449930223e-02       5.664547086427e+03 
       4.241095726528e-02       5.634175635998e+03 
       4.265154828431e-02       5.603741578625e+03 
       4.289649528238e-02       5.573265257465e+03 
       4.314603839480e-02       5.542711800943e+03 
       4.340043674179e-02       5.512088109222e+03 
       4.365997043041e-02       5.481326031918e+03 
       4.392494282161e-02       5.450551213935e+03 
       4.419568310462e-02       5.419644690822e+03 
       4.447254922910e-02       5.388598111398e+03 
       4.475593125466e-02       5.357477514918e+03 
       4.504625518961e-02       5.326174330005e+03 
       4.534398740464e-02       5.294734937496e+03 
       4.564963972515e-02       5.263128229855e+03 
       4.596377532751e-02       5.231389347428e+03 
       4.628701559154e-02       5.199390852225e+03 
       4.662004809513e-02       5.167271134113e+03 
       4.696363597875e-02       5.134866593948e+03 
       4.731862896028e-02       5.102181124637e+03 
       4.768597634693e-02       5.069297313569e+03 
       4.806674247450e-02       5.036030872075e+03 
       4.846212511102e-02       5.002482243222e+03 
       4.887347749634e-02       4.968483280143e+03 
       4.930233486194e-02       4.934068637633e+03 
       4.975044649438e-02       4.899249330298e+03 
       5.021981468560e-02       4.863819652837e+03 
       5.071274226732e-02       4.827883266754e+03 
       5.123189087248e-02       4.791351998153e+03 
       5.178035261792e-02       4.753957154805e+03 
       5.236173856606e-02       4.715814745555e+03 
       5.298028808294e-02       4.676567381694e+03 
       5.364100399446e-02       4.636163433065e+03 
       5.434981906601e-02       4.594471344591e+03 
       5.511379937008e-02       4.551134510388e+03 
       5.594138867535e-02       4.505784423496e+03 
       5.684269333237e-02       4.458064269713e+03 
       5.782979594177e-02       4.407332608869e+03 
       5.891706257277e-02       4.352805735295e+03 
       6.012136336845e-02       4.293631163075e+03 
       6.146204886189e-02       4.228128764664e+03 
       6.296040950467e-02       4.154649058369e+03 
       6.463822202813e-02       4.070758631161e+03 
       6.651496792028e-02       3.973789840075e+03 
       6.860364212746e-02       3.860673789076e+03 
       7.090600236422e-02       3.729254154242e+03 
       7.340937265208e-02       3.578168986249e+03 
       7.608742270290e-02       3.409049433602e+03 
       7.890542130116e-02       3.225950508194e+03 
       8.182746655744e-02       3.035159659506e+03 
       8.482221341874e-02       2.844282279768e+03 
       8.786542304156e-02       2.660668858332e+03 
       9.093988064832e-02       2.490587084427e+03 
       9.403404278283e-02       2.338345234881e+03 
       9.714045393176e-02       2.206456147571e+03 
       1.002544123965e-01       2.095462165744e+03 
       1.033729969642e-01       2.004113693398e+03 
       1.064944091988e-01       1.930096800486e+03 
       1.096175480134e-01       1.870180541896e+03 
       1.127417414644e-01       1.820507753754e+03 
       1.158665802319e-01       1.777121234026e+03 
       1.189918151785e-01       1.736274808866e+03 
       1.221172946752e-01       1.694666642876e+03 
       1.252429263844e-01       1.649827393340e+03 
       1.283686540032e-01       1.600297537055e+03 
       1.314944431259e-01       1.545457201738e+03 
       1.346202726565e-01       1.485868440223e+03 
       1.377461295940e-01       1.422736263396e+03 
       1.408720058654e-01       1.357778357770e+03 
