# Matter power spectrum P(k) at redshift z=2
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.300445391520e-02       4.689055789440e+03 
       1.312984448136e-02       4.697431510051e+03 
       1.325527101102e-02       4.705392195793e+03 
       1.338073357118e-02       4.712934447442e+03 
       1.350623225238e-02       4.720071455864e+03 
       1.363176716822e-02       4.726811107452e+03 
       1.375733845503e-02       4.733153166091e+03 
       1.388294627146e-02       4.739100119587e+03 
       1.400859079823e-02       4.744659059394e+03 
       1.413427223778e-02       4.749833464926e+03 
       1.425999081403e-02       4.754637846362e+03 
       1.438574677219e-02       4.759065744065e+03 
       1.451154037852e-02       4.763125394877e+03 
       1.463737192019e-02       4.766826841538e+03 
       1.476324170512e-02       4.770162514001e+03 
       1.488915006186e-02       4.773150453741e+03 
       1.501509733954e-02       4.775789999205e+03 
       1.514108390773e-02       4.778081770018e+03 
       1.526711015644e-02       4.780036622606e+03 
       1.539317649608e-02       4.781658985446e+03 
       1.551928335748e-02       4.782949743588e+03 
       1.564543119185e-02       4.783913728240e+03 
       1.577162047089e-02       4.784560115292e+03 
       1.589785168677e-02       4.784886069969e+03 
       1.602412535228e-02       4.784893076887e+03 
       1.615044200085e-02       4.784596550360e+03 
       1.627680218673e-02       4.783997044099e+03 
       1.640320648507e-02       4.783101250743e+03 
       1.652965549208e-02       4.781898877558e+03 
       1.665614982521e-02       4.780409430797e+03 
       1.678269012333e-02       4.778634659645e+03 
       1.690927704689e-02       4.776551680690e+03 
       1.703591127819e-02       4.774233434104e+03 
       1.716259352159e-02       4.771627285288e+03 
       1.728932450374e-02       4.768704032378e+03 
       1.741610497386e-02       4.765586762459e+03 
       1.754293570405e-02       4.762141275168e+03 
       1.766981748952e-02       4.758494681036e+03 
       1.779675114898e-02       4.754524689886e+03 
       1.792373752492e-02       4.750350061972e+03 
       1.805077748398e-02       4.745961418748e+03 
       1.817787191730e-02       4.741249196162e+03 
       1.830502174092e-02       4.736342008005e+03 
       1.843222789617e-02       4.731197087979e+03 
       1.855949135006e-02       4.725855497043e+03 
       1.868681309576e-02       4.720250268185e+03 
       1.881419415301e-02       4.714408570447e+03 
       1.894163556861e-02       4.708351441498e+03 
       1.906913841689e-02       4.702094257302e+03 
       1.919670380023e-02       4.695600906350e+03 
       1.932433284956e-02       4.688905683344e+03 
       1.945202672494e-02       4.682000086126e+03 
       1.957978661606e-02       4.674898757265e+03 
       1.970761374289e-02       4.667594232455e+03 
       1.983550935622e-02       4.660094544995e+03 
       1.996347473831e-02       4.652397302851e+03 
       2.009151120355e-02       4.644499627533e+03 
       2.021962009907e-02       4.636439534698e+03 
       2.034780280547e-02       4.628179286474e+03 
       2.047606073751e-02       4.619735893642e+03 
       2.060439534485e-02       4.611127724141e+03 
       2.073280811277e-02       4.602345936678e+03 
       2.086130056300e-02       4.593402844042e+03 
       2.098987425448e-02       4.584275927239e+03 
       2.111853078422e-02       4.574994163914e+03 
       2.124727178813e-02       4.565541256788e+03 
       2.137609894190e-02       4.555943399455e+03 
       2.150501396195e-02       4.546180514061e+03 
       2.163401860629e-02       4.536275730076e+03 
       2.176311467559e-02       4.526234264938e+03 
       2.189230401408e-02       4.516023897544e+03 
       2.202158851064e-02       4.505687293434e+03 
       2.215097009984e-02       4.495200015174e+03 
       2.228045076304e-02       4.484587979648e+03 
       2.241003252953e-02       4.473832665992e+03 
       2.253971747764e-02       4.462940887842e+03 
       2.266950773604e-02       4.451935252632e+03 
       2.279940548487e-02       4.440811629591e+03 
       2.292941295712e-02       4.429553777651e+03 
       2.305953243985e-02       4.418169490254e+03 
       2.318976627563e-02       4.406685350615e+03 
       2.332011686393e-02       4.395077707593e+03 
       2.345058666253e-02       4.383359551844e+03 
       2.358117818904e-02       4.371523600058e+03 
       2.371189402246e-02       4.359607540044e+03 
       2.384273680475e-02       4.347569571567e+03 
       2.397370924251e-02       4.335430774573e+03 
       2.410481410862e-02       4.323196323871e+03 
       2.423605424406e-02       4.310865213693e+03 
       2.436743255969e-02       4.298449337325e+03 
       2.449895203811e-02       4.285934555363e+03 
       2.463061573564e-02       4.273327683434e+03 
       2.476242678429e-02       4.260632914926e+03 
       2.489438839382e-02       4.247861596470e+03 
       2.502650385392e-02       4.235006732903e+03 
       2.515877653636e-02       4.222076579987e+03 
       2.529120989734e-02       4.209072218709e+03 
       2.542380747979e-02       4.195978685847e+03 
       2.555657291588e-02       4.182826962122e+03 
       2.568950992951e-02       4.169601717340e+03 
       2.582262233895e-02       4.156272445621e+03 
       2.595591405954e-02       4.142947571187e+03 
       2.608938910650e-02       4.129513313577e+03 
       2.622305159786e-02       4.116038371707e+03 
       2.635690575744e-02       4.102476862794e+03 
       2.649095591801e-02       4.088874283686e+03 
       2.662520652450e-02       4.075227842892e+03 
       2.675966213736e-02       4.061507398523e+03 
       2.689432743605e-02       4.047742064059e+03 
       2.702920722264e-02       4.033927834246e+03 
       2.716430642557e-02       4.020070539750e+03 
       2.729963010350e-02       4.006151157458e+03 
       2.743518344938e-02       3.992189166600e+03 
       2.757097179463e-02       3.978201322345e+03 
       2.770700061346e-02       3.964149125427e+03 
       2.784327552742e-02       3.950084463272e+03 
       2.797980231011e-02       3.935959267026e+03 
       2.811658689200e-02       3.921824391682e+03 
       2.825363536557e-02       3.907639555504e+03 
       2.839095399053e-02       3.893412858927e+03 
       2.852854919938e-02       3.879164084731e+03 
       2.866642760306e-02       3.864897929920e+03 
       2.880459599693e-02       3.850595313771e+03 
       2.894306136697e-02       3.836269917773e+03 
       2.908183089623e-02       3.821914158987e+03 
       2.922091197155e-02       3.807529910247e+03 
       2.936031219060e-02       3.793123971360e+03 
       2.950003936914e-02       3.778696356590e+03 
       2.964010154871e-02       3.764262026016e+03 
       2.978050700456e-02       3.749811519492e+03 
       2.992126425397e-02       3.735336896277e+03 
       3.006238206491e-02       3.720833335830e+03 
       3.020386946515e-02       3.706338164515e+03 
       3.034573575170e-02       3.691820077759e+03 
       3.048799050075e-02       3.677284190208e+03 
       3.063064357799e-02       3.662738242809e+03 
       3.077370514954e-02       3.648179984603e+03 
       3.091718569320e-02       3.633639547780e+03 
       3.106109601043e-02       3.619057757611e+03 
       3.120544723876e-02       3.604491405746e+03 
