# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    3.4103566610    0.0039566098
          3.000    6.7536019452    0.0043698983
          5.000    9.2644735258    0.0052043754
          7.000   11.0983444342    0.0061926205
          9.000   12.4148923698    0.0143868178
         11.000   13.3226304704    0.0165897723
         13.000   13.9120311781    0.0119347124
         15.000   14.2433070936    0.0208875685
         17.000   14.3837174366    0.0297734610
         19.000   14.3807328536    0.0434281317
         21.000   14.2576308410    0.0663655106
         23.000   14.0292257617    0.0790777030
         25.000   13.7276164234    0.0841803341
         27.000   13.3712440194    0.1130626992
         29.000   12.9820267328    0.1166585900
         31.000   12.5791044462    0.1208932851
         33.000   12.1370733976    0.1213811030
         35.000   11.7079996210    0.1465785267
         37.000   11.2666958500    0.1727792809
         39.000   10.8111594212    0.1651290664
         41.000   10.3409101714    0.1621101558
         43.000    9.8961724657    0.1535944084
         45.000    9.4521909629    0.1473783006
         47.000    9.0345171866    0.1629216905
         49.000    8.6187653619    0.1791402742
         51.000    8.1748245179    0.2002641937
         53.000    7.7186800622    0.2132545555
         55.000    7.2974358657    0.1966226120
         57.000    6.9158206578    0.1899465188
         59.000    6.5340330511    0.2164004080
         61.000    6.1674850844    0.2389917135
         63.000    5.7857752582    0.2679551757
         65.000    5.4210590362    0.2673101204
         67.000    5.1049822810    0.2363457527
         69.000    4.7338562959    0.2543603919
         71.000    4.3698994625    0.2559573797
         73.000    4.0590194133    0.2669724417
         75.000    3.7200602534    0.2998241081
         77.000    3.4245307681    0.3120570332
         79.000    3.1325625224    0.3399554853
