# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          0.500    3.4949317340    0.0027785324
          1.500   12.1189986237    0.0063736849
          2.500   15.4574914154    0.0186651029
          3.500   18.2627333323    0.0170080674
          4.500   20.6953319505    0.0088186581
          5.500   22.7692442302    0.0284565604
          6.500   24.5875992218    0.0195513062
          7.500   26.0798502350    0.0412288149
          8.500   27.3722309331    0.0682070773
          9.500   28.4053139385    0.0284921714
         10.500   29.2869772027    0.0438801831
         11.500   29.9702057060    0.0489632484
         12.500   30.5052889033    0.0473278069
         13.500   30.8875583862    0.0329435353
         14.500   31.1295278096    0.0770214675
         15.500   31.2847570111    0.0789454046
         16.500   31.3650554743    0.1267975854
         17.500   31.3485960541    0.1213359568
         18.500   31.2128868737    0.1262113404
         19.500   31.1314862806    0.1251394451
         20.500   30.9291070791    0.1657596771
         21.500   30.6109328329    0.1544661062
         22.500   30.4355089248    0.1648497430
         23.500   30.0909382937    0.1653054300
         24.500   29.7214353738    0.1764349561
