# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    4.3160200586    0.0013477782
          3.000   10.0765515409    0.0050236564
          5.000   13.7711156073    0.0100555229
          7.000   16.4315885248    0.0167874944
          9.000   18.3221157860    0.0177999800
         11.000   19.6203490026    0.0277063347
         13.000   20.4568152867    0.0203648286
         15.000   20.8969021227    0.0291062678
         17.000   21.0862029732    0.0534754696
         19.000   21.0394993099    0.0649718889
         21.000   20.8094601069    0.0848251463
         23.000   20.4634126223    0.1152311687
         25.000   20.0041725079    0.1152087852
         27.000   19.4604370855    0.1328694940
         29.000   18.8679536498    0.1356338911
         31.000   18.2654861000    0.1626128776
         33.000   17.6360862139    0.1515759660
         35.000   17.0292622970    0.1699000695
         37.000   16.3811102539    0.2157463470
         39.000   15.7303991764    0.2548304196
         41.000   15.0676132280    0.2570176342
         43.000   14.3715435242    0.2585109114
         45.000   13.7220416895    0.2575598578
         47.000   13.1360126030    0.2756537695
         49.000   12.5530767231    0.2891594079
         51.000   11.8895662397    0.2873947221
         53.000   11.2666813708    0.2875694483
         55.000   10.6445111698    0.2696428595
         57.000   10.1367057693    0.2717241681
         59.000    9.6273665033    0.3174058292
         61.000    9.0711908508    0.3455851558
         63.000    8.4759285901    0.3555277218
         65.000    7.9007807872    0.3775356769
         67.000    7.4039032464    0.3619965369
         69.000    6.8799865573    0.3885467545
         71.000    6.3338454586    0.4159457111
         73.000    5.8254702728    0.3676493144
         75.000    5.3291073521    0.3937127115
         77.000    4.8725465732    0.4170057939
         79.000    4.4683331248    0.3922551772
