# Average xi(r), from 10 files.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    6.4627710000    0.0035520046
          3.000   16.4189610000    0.0094628337
          5.000   21.5195100000    0.0127464582
          7.000   25.2107597000    0.0212264647
          9.000   27.8044569000    0.0350014497
         11.000   29.5684433000    0.0398467902
         13.000   30.6471867000    0.0332506330
         15.000   31.1698125000    0.0543865048
         17.000   31.3442464000    0.0738734627
         19.000   31.1868910800    0.0974867578
         21.000   30.7871669700    0.1126372359
         23.000   30.2916032900    0.1248792185
         25.000   29.5426437500    0.1362608046
         27.000   28.7245828800    0.1444121632
         29.000   27.8537686200    0.1868878820
         31.000   26.8333975700    0.2172653299
         33.000   26.0422044300    0.2592957334
         35.000   25.1509405000    0.2725395105
         37.000   24.1212460900    0.2716353238
         39.000   23.0664060900    0.3116609445
         41.000   22.1723731900    0.3448836996
         43.000   21.1650592400    0.3364633306
         45.000   20.2171707000    0.3627873260
         47.000   19.3509504500    0.3760903588
         49.000   18.4734980850    0.3872538371
         51.000   17.4935951190    0.3787899403
         53.000   16.5563358880    0.4217964830
         55.000   15.9052049750    0.4135160913
         57.000   15.0196136580    0.4279778350
         59.000   14.1994619730    0.4766547079
         61.000   13.5122570710    0.5522887203
         63.000   12.4816516650    0.5967387243
         65.000   11.9481732500    0.6226296892
         67.000   11.1135744150    0.6485283069
         69.000   10.3175773830    0.5948054523
         71.000    9.4891784000    0.5958197968
         73.000    8.7469832970    0.5706426355
         75.000    7.9983618750    0.5482947416
         77.000    7.0832683922    0.4615162324
         79.000    6.5222119708    0.5252909702
