# Average xi(r), from 10 files.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    4.3159080000    0.0016045656
          3.000   10.0793070000    0.0049349052
          5.000   13.7741750000    0.0083236811
          7.000   16.4409994000    0.0155310784
          9.000   18.3331350000    0.0189132755
         11.000   19.6259701000    0.0231472677
         13.000   20.4684012000    0.0295651567
         15.000   20.9131650000    0.0386399364
         17.000   21.1034938300    0.0524914943
         19.000   21.0650250700    0.0658025101
         21.000   20.8394858700    0.0782354835
         23.000   20.4887624800    0.0878381391
         25.000   20.0316875000    0.0967091057
         27.000   19.4975934300    0.1129788543
         29.000   18.9181856700    0.1263145574
         31.000   18.3344288900    0.1490527533
         33.000   17.7444600300    0.1657324879
         35.000   17.1396610000    0.1722582014
         37.000   16.4667974600    0.1839928272
         39.000   15.7931726940    0.1974285321
         41.000   15.1287478500    0.2078742876
         43.000   14.4373691960    0.2225183742
         45.000   13.7861655750    0.2380934925
         47.000   13.1953775580    0.2369004358
         49.000   12.6122249050    0.2418253869
         51.000   11.9624203620    0.2583660509
         53.000   11.3303177930    0.2709923204
         55.000   10.7269827500    0.2821672323
         57.000   10.1802509010    0.2986232303
         59.000    9.6837207990    0.3375582489
         61.000    9.1513269330    0.3604304058
         63.000    8.5960602000    0.3804086587
         65.000    8.0254086250    0.3874412778
         67.000    7.5263516690    0.3920086502
         69.000    6.9948183510    0.3766978220
         71.000    6.4634240110    0.3750118972
         73.000    5.9430324263    0.3700181634
         75.000    5.4388996875    0.3777124588
         77.000    4.9621579700    0.3793078095
         79.000    4.5470983609    0.3865126403
