# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          0.500    3.3946924660    0.0008881334
          1.500    6.7333387149    0.0029115108
          2.500    9.3201785659    0.0047514258
          3.500   11.3784748058    0.0057230231
          4.500   13.1495973918    0.0075765158
          5.500   14.6670708690    0.0123862111
          6.500   15.9694622562    0.0209226627
          7.500   17.0669867508    0.0215825254
          8.500   17.9973647615    0.0230397760
          9.500   18.7521375992    0.0097870162
         10.500   19.3945184882    0.0207531140
         11.500   19.9236350599    0.0249915345
         12.500   20.3302996724    0.0192862672
         13.500   20.6339430456    0.0189218045
         14.500   20.8451372116    0.0263670252
         15.500   20.9977994169    0.0286509297
         16.500   21.0865111187    0.0421936006
         17.500   21.1260422242    0.0579384975
         18.500   21.0926186640    0.0656063198
         19.500   21.0336418746    0.0833889740
         20.500   20.9075443083    0.0963068401
         21.500   20.7465287201    0.0956900989
         22.500   20.5805484570    0.1088789441
         23.500   20.3748506187    0.1239950957
         24.500   20.1479395993    0.1233680882
