# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          0.500    0.7849964425    0.0004730409
          1.500    1.9032979059    0.0004969681
          2.500    2.7923796493    0.0011814973
          3.500    3.5484984240    0.0017866336
          4.500    4.1929981154    0.0020367424
          5.500    4.7404647236    0.0033110171
          6.500    5.2023701560    0.0043870266
          7.500    5.5903844681    0.0043464919
          8.500    5.9143970057    0.0042752085
          9.500    6.1830677956    0.0047363543
         10.500    6.4015669702    0.0041576064
         11.500    6.5778809831    0.0048884470
         12.500    6.7163423499    0.0062034109
         13.500    6.8209139264    0.0066513812
         14.500    6.8944269564    0.0062609776
         15.500    6.9402327262    0.0071794188
         16.500    6.9614848569    0.0049041249
         17.500    6.9658983304    0.0062133777
         18.500    6.9589341345    0.0112257672
         19.500    6.9363946147    0.0162247256
         20.500    6.8954956562    0.0188750536
         21.500    6.8444907591    0.0221645060
         22.500    6.7842661387    0.0279835919
         23.500    6.7172555511    0.0341965018
         24.500    6.6382966002    0.0382103120
