# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    6.4614924124    0.0049790449
          3.000   16.4166112061    0.0121218337
          5.000   21.5199737494    0.0123448183
          7.000   25.2062701043    0.0314721163
          9.000   27.8035963704    0.0484233343
         11.000   29.5621802630    0.0306807626
         13.000   30.6496343279    0.0350857636
         15.000   31.1727731936    0.0848107536
         17.000   31.3165197013    0.0988104782
         19.000   31.1572555811    0.1369521242
         21.000   30.7524712055    0.1549448469
         23.000   30.2477028363    0.1554903110
         25.000   29.4590644642    0.1390247584
         27.000   28.6102064429    0.0802705284
         29.000   27.7420530199    0.1839694132
         31.000   26.7036040985    0.2126683054
         33.000   25.8157796821    0.1950787488
         35.000   24.9513891608    0.2535597712
         37.000   24.0030060665    0.3496323211
         39.000   22.9844742859    0.4590427394
         41.000   22.0783798616    0.5227636177
         43.000   21.0952874503    0.4473664360
         45.000   20.1444999354    0.5286326227
         47.000   19.2702819935    0.5910260405
         49.000   18.3835602214    0.4592481965
         51.000   17.4075368528    0.5449064077
         53.000   16.4783832248    0.4868103189
         55.000   15.8746846553    0.4272161898
         57.000   15.0179114484    0.3538745279
         59.000   14.1940258248    0.4089914171
         61.000   13.3796330118    0.5977187018
         63.000   12.2533919786    0.5197841680
         65.000   11.7604838868    0.3620318514
         67.000   10.8200618310    0.7508903342
         69.000   10.1801028310    0.6122506805
         71.000    9.2262230699    0.6121606617
         73.000    8.5372905182    0.5914699056
         75.000    7.7659059923    0.6213087602
         77.000    6.9765289390    0.4775808537
         79.000    6.3933752128    0.3932858698
