# Average xi(r), from 10 files.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    1.1328620000    0.0003847360
          3.000    3.0879648000    0.0013887588
          5.000    4.4256675000    0.0024446996
          7.000    5.3730754000    0.0039846050
          9.000    6.0370361100    0.0059090537
         11.000    6.4871112900    0.0076997619
         13.000    6.7685615400    0.0097926968
         15.000    6.9205342500    0.0129028780
         17.000    6.9749398600    0.0178026566
         19.000    6.9564880500    0.0221187163
         21.000    6.8800057200    0.0265877838
         23.000    6.7588372700    0.0308769838
         25.000    6.6035062500    0.0351365175
         27.000    6.4224921870    0.0407134317
         29.000    6.2334104230    0.0463779575
         31.000    6.0347647920    0.0512936873
         33.000    5.8253648310    0.0573943165
         35.000    5.6149124500    0.0622084449
         37.000    5.4055991750    0.0648235911
         39.000    5.1807936960    0.0687214096
         41.000    4.9570034020    0.0715244062
         43.000    4.7342812950    0.0779892106
         45.000    4.5250791750    0.0805176361
         47.000    4.3224806310    0.0833582125
         49.000    4.1141999360    0.0845407576
         51.000    3.9043376910    0.0864161525
         53.000    3.6959951210    0.0916495790
         55.000    3.5063017000    0.0944048723
         57.000    3.3220888542    0.0951774489
         59.000    3.1361042605    0.1016398156
         61.000    2.9644518615    0.1099192592
         63.000    2.7806746527    0.1173233442
         65.000    2.6151541650    0.1238344278
         67.000    2.4424218056    0.1231134065
         69.000    2.2731765858    0.1231042690
         71.000    2.1049880135    0.1282767854
         73.000    1.9434074308    0.1301387797
         75.000    1.7993025000    0.1314562801
         77.000    1.6594440940    0.1336312470
         79.000    1.5136559422    0.1394437648
