# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
1.017799999999999979e-05 8.492372354707281801e+00 8.853709859882640032e+00 9.409830863941587964e+00 9.982889563555628953e+00 1.037433852749560081e+01
1.049699999999999962e-05 8.749363212950612478e+00 9.121635287606906672e+00 9.694585277507608012e+00 1.028498552090782248e+01 1.068828026845213586e+01
1.082599999999999935e-05 9.014136759645479557e+00 9.397674545319038231e+00 9.987963168582249196e+00 1.059623012554890842e+01 1.101172939336193046e+01
1.116599999999999948e-05 9.286855134134619050e+00 9.681996671143783928e+00 1.029014419294694704e+01 1.091681397429741551e+01 1.134488397272401095e+01
1.151599999999999952e-05 9.567842615103515413e+00 9.974939741330633325e+00 1.060148766216455662e+01 1.124711826079037813e+01 1.168814014753642461e+01
1.187699999999999996e-05 9.857261341894899331e+00 1.027667279400433387e+01 1.092217323201650991e+01 1.158733358184631612e+01 1.204169598829820131e+01
1.224999999999999960e-05 1.015543559319426237e+01 1.058753390541438577e+01 1.125256021406566553e+01 1.193784113110226208e+01 1.240594763600739370e+01
1.263399999999999965e-05 1.046268964768707832e+01 1.090786115181027327e+01 1.159300791987487855e+01 1.229902210219525749e+01 1.278129123166205794e+01
1.303099999999999941e-05 1.077918564471609209e+01 1.123782357131675447e+01 1.194369600522558805e+01 1.267106709194382219e+01 1.316792484576121147e+01
1.343899999999999957e-05 1.110541000230951880e+01 1.157792827830806637e+01 1.230516343746207575e+01 1.305454789080351397e+01 1.356644268980193679e+01
1.386099999999999993e-05 1.144136272046736735e+01 1.192817527278420719e+01 1.267741021658433986e+01 1.344946449877432748e+01 1.397684476378423390e+01
1.429600000000000001e-05 1.178753021721785288e+01 1.228907166911941928e+01 1.306097530993667633e+01 1.385638870631181874e+01 1.439972527920518708e+01
1.474399999999999978e-05 1.214407463190371317e+01 1.266078650543845363e+01 1.345603837330051178e+01 1.427551111023451114e+01 1.483528230656381552e+01
1.520700000000000026e-05 1.251148238255317224e+01 1.304382689611554547e+01 1.386313837402013505e+01 1.470740350099796068e+01 1.528411005735719819e+01
1.568400000000000095e-05 1.289007774785170568e+01 1.343853091740018968e+01 1.428263462365839942e+01 1.515244707223919640e+01 1.574660467258338770e+01
1.617599999999999895e-05 1.328002286714206548e+01 1.384506760741714082e+01 1.471470677799674398e+01 1.561083242077674882e+01 1.622296422274141392e+01
1.668299999999999934e-05 1.368180415845245967e+01 1.426394408054063057e+01 1.515989380437945577e+01 1.608313133706616327e+01 1.671378291932835225e+01
1.720600000000000094e-05 1.409574590046837983e+01 1.469549841302016446e+01 1.561855501436939697e+01 1.656972501474449189e+01 1.721945690334225887e+01
1.774599999999999916e-05 1.452217237187529619e+01 1.514006868110522497e+01 1.609104971952941199e+01 1.707099464744875661e+01 1.774038231578117930e+01
1.830300000000000077e-05 1.496156999070143456e+01 1.559816199917006330e+01 1.657791688720380563e+01 1.758751202563451699e+01 1.827715336814219427e+01
1.887699999999999900e-05 1.541426303563228117e+01 1.607011644346416901e+01 1.707951582895542941e+01 1.811965834293881983e+01 1.883016620142336706e+01
1.946899999999999944e-05 1.588057578535330627e+01 1.655627009023703877e+01 1.759620585634715084e+01 1.866781479299869417e+01 1.939981695662273964e+01
2.008000000000000087e-05 1.636148107592095258e+01 1.705763716823714660e+01 1.812906490406754045e+01 1.923312495672525202e+01 1.998729405673445925e+01
2.070999999999999992e-05 1.685600607127878447e+01 1.757320344871602202e+01 1.867701503742801705e+01 1.981444525320738492e+01 2.059140907876438931e+01
2.135899999999999997e-05 1.736674500091064388e+01 1.810567354166961707e+01 1.924293074893146382e+01 2.041482523154139272e+01 2.121533115069694020e+01
2.202899999999999864e-05 1.789207647138912805e+01 1.865335706585045017e+01 1.982501548076357878e+01 2.103235892354208048e+01 2.185707956754184167e+01
