# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
1.017799999999999979e-05 1.785655071382819870e+01 1.861631974143042001e+01 1.978565176047445817e+01 2.099059795268735584e+01 2.181368106592309175e+01
1.049699999999999962e-05 1.839691447810292857e+01 1.917967516060614486e+01 2.038439277352125600e+01 2.162580229342869842e+01 2.247379303280717977e+01
1.082599999999999935e-05 1.895364257088566617e+01 1.976009118553609412e+01 2.100126600652151510e+01 2.228024310631867522e+01 2.315389577218996919e+01
1.116599999999999948e-05 1.952707591568699286e+01 2.035792324550681087e+01 2.163664921405760921e+01 2.295432115119372085e+01 2.385440575849851896e+01
1.151599999999999952e-05 2.011789635952807842e+01 2.097388219909138130e+01 2.229129790529426103e+01 2.364883794772668679e+01 2.457615594058692920e+01
1.187699999999999996e-05 2.072644482591949000e+01 2.160832347557634847e+01 2.296558983481384431e+01 2.436419425575400766e+01 2.531956279288225886e+01
1.224999999999999960e-05 2.135340316188241871e+01 2.226195793353481278e+01 2.366028051178107461e+01 2.510119159494853491e+01 2.608545926423862582e+01
1.263399999999999965e-05 2.199945321443800950e+01 2.293549643153986040e+01 2.437612544536067105e+01 2.586063148498313780e+01 2.687467830351014797e+01
1.303099999999999941e-05 2.266493590709686146e+01 2.362929439887804506e+01 2.511350239013502872e+01 2.664291468569424737e+01 2.768763638512387004e+01
1.343899999999999957e-05 2.335087401039071864e+01 2.434441812340900313e+01 2.587354460985121563e+01 2.744924347659115327e+01 2.852558293236096176e+01
1.386099999999999993e-05 2.405726752431957749e+01 2.508086760513274172e+01 2.665625210450923532e+01 2.827961785767384484e+01 2.938851794522142669e+01
1.429600000000000001e-05 2.478513921941519982e+01 2.583970913190888297e+01 2.746275813785618070e+01 2.913524010845161527e+01 3.027769084698643454e+01
1.474399999999999978e-05 2.553483001918815987e+01 2.662129813302397707e+01 2.829344046447441130e+01 3.001651098876090273e+01 3.119351811208304426e+01
1.520700000000000026e-05 2.630736269417021234e+01 2.742670089633767105e+01 2.914943234811103778e+01 3.092463277811099687e+01 3.213724916379241137e+01
1.568400000000000095e-05 2.710341909138250571e+01 2.825662828042305108e+01 3.003148929793075084e+01 3.186040699617473493e+01 3.310971695096866085e+01
1.617599999999999895e-05 2.792334013433565332e+01 2.911143571456667090e+01 3.093998906851595621e+01 3.282423440278858351e+01 3.411133794803885166e+01
1.668299999999999934e-05 2.876814859356138498e+01 2.999218948662814910e+01 3.187606492361372901e+01 3.381731727746179672e+01 3.514336157828413576e+01
1.720600000000000094e-05 2.963852631608088473e+01 3.089960045518061804e+01 3.284047237238878836e+01 3.484045713986726867e+01 3.620662079055864524e+01
1.774599999999999916e-05 3.053515514891529392e+01 3.183437947879711416e+01 3.383396692400586403e+01 3.589445550967782594e+01 3.730194853371646246e+01
1.830300000000000077e-05 3.145905786259638504e+01 3.279759284533732711e+01 3.485768184221205246e+01 3.698051466640276885e+01 3.843059423103878913e+01
1.887699999999999900e-05 3.241091630414531721e+01 3.378995141337432528e+01 3.591237263617209408e+01 3.809943612971497373e+01 3.959339083137973603e+01
1.946899999999999944e-05 3.339141232058325670e+01 3.481216604148121263e+01 3.699879481505069378e+01 3.925202141928728139e+01 4.079117128359339262e+01
2.008000000000000087e-05 3.440259145297369514e+01 3.586636930537723345e+01 3.811921490634204446e+01 4.044067509413828532e+01 4.202643443424210545e+01
2.070999999999999992e-05 3.544240816025315155e+01 3.695042862934315053e+01 3.927136638255196033e+01 4.166299259524937781e+01 4.329668143676354930e+01
2.135899999999999997e-05 3.651631721859094171e+01 3.807003088196368878e+01 4.046129331699827958e+01 4.292538608000348432e+01 4.460857588199061041e+01
2.202899999999999864e-05 3.762090939288124503e+01 3.922162177037336761e+01 4.168521816385734979e+01 4.422384795003625158e+01 4.595795302565272777e+01
2.271999999999999931e-05 3.875618468312406861e+01 4.040520129457223675e+01 4.294314092312917097e+01 4.555837820534772220e+01 4.734481286774990139e+01
2.343300000000000079e-05 3.992896155953106785e+01 4.162787804029115790e+01 4.424261668646101242e+01 4.693699204266648906e+01 4.877748489682326039e+01
2.416799999999999968e-05 4.113924002210223563e+01 4.288965200753018792e+01 4.558364545385288835e+01 4.835968946199253793e+01 5.025596911287281188e+01
2.492600000000000157e-05 4.238361083573173715e+01 4.418696890342381778e+01 4.696244967948115345e+01 4.982246286496155818e+01 5.177610077162797353e+01
2.570799999999999849e-05 4.366548323552542854e+01 4.552338302083754229e+01 4.838280690916946014e+01 5.132931984993787466e+01 5.334204461735932767e+01
2.651499999999999940e-05 4.498485722148328847e+01 4.689889435977134013e+01 4.984471714291776578e+01 5.288026041692147317e+01 5.495380065006685300e+01
2.734599999999999873e-05 4.634855126381700785e+01 4.832061150595615118e+01 5.135573547237341785e+01 5.448329976264095365e+01 5.661969835829168574e+01
2.820399999999999966e-05 4.774974689231488867e+01 4.978142587366103555e+01 5.290830680588909729e+01 5.613042269036772325e+01 5.833140825349272518e+01
2.908899999999999881e-05 4.919526257718863604e+01 5.128844604861694023e+01 5.450998623511205210e+01 5.782964439683038194e+01 6.009725982421104362e+01
3.000099999999999956e-05 5.068168908333237255e+01 5.283811773795837752e+01 5.615699621421869381e+01 5.957695728366460486e+01 6.191308832617612268e+01
3.094299999999999834e-05 5.221584488095780330e+01 5.443754952741628017e+01 5.785689183485629172e+01 6.138037654759902750e+01 6.378722324792905596e+01
3.191299999999999752e-05 5.379432073495906508e+01 5.608318712412518892e+01 5.960589555120117922e+01 6.323589459026933213e+01 6.571549984519931797e+01
3.291399999999999692e-05 5.542393511554785590e+01 5.778213911381602941e+01 6.141156245490066823e+01 6.515152660840411158e+01 6.770624760652798102e+01
3.394699999999999871e-05 5.709786955251248486e+01 5.952729691075789020e+01 6.326633745430746103e+01 6.711925740527479434e+01 6.975113704337397280e+01
3.501200000000000292e-05 5.882635175117047055e+01 6.132932339354714912e+01 6.518155318689248645e+01 6.915110977597423414e+01 7.186266238854896926e+01
3.610999999999999816e-05 6.060597247641597107e+01 6.318466426931832558e+01 6.715343210683208497e+01 7.124307612213817720e+01 7.403665889778238807e+01
3.724300000000000239e-05 6.244014096335479991e+01 6.509687383093688595e+01 6.918575175994993742e+01 7.339916404213086309e+01 7.627729131534479734e+01
3.841100000000000205e-05 6.432885721198697127e+01 6.706595207840285866e+01 7.127851214624595855e+01 7.561937353595234867e+01 7.858455964123619708e+01
3.961600000000000153e-05 6.627553045741835547e+01 6.909545330458165324e+01 7.343549081154388602e+01 7.790771220196691615e+01 8.096262861972715541e+01
4.085900000000000301e-05 6.828016069964890278e+01 7.118537750947332654e+01 7.565668775584367722e+01 8.026418004017457974e+01 8.341149825081765812e+01
4.213999999999999972e-05 7.034615717378449062e+01 7.333927898594330941e+01 7.794588052496897035e+01 8.269278464893957903e+01 8.593533327877830175e+01
4.346199999999999825e-05 7.247351987982510479e+01 7.555715773399161606e+01 8.030306911891977961e+01 8.519352602826198506e+01 8.853413370360902945e+01
4.482600000000000077e-05 7.466565805287652324e+01 7.784256804648367734e+01 8.273203108351967217e+01 8.777041177650600901e+01 9.121206426958045199e+01
4.623200000000000053e-05 7.692257169293880281e+01 8.019550992341952167e+01 8.523276641876877591e+01 9.042344189367176455e+01 9.396912497669256936e+01
4.768200000000000189e-05 7.925107927022362730e+01 8.262309195053009603e+01 8.781283021631425356e+01 9.316063157648780191e+01 9.681364531348646096e+01
4.917800000000000247e-05 8.164777154962513350e+01 8.512175983494989850e+01 9.046844493033253798e+01 9.597797322658981045e+01 9.974146053569164394e+01
5.072000000000000228e-05 8.411946700135497679e+01 8.769862216240986186e+01 9.320716565247087715e+01 9.888348204070635461e+01 1.027609001318491408e+02
5.231100000000000111e-05 8.666275639030733657e+01 9.035012464004451260e+01 9.602521483690564708e+01 1.018731504204731806e+02 1.058677993576884546e+02
5.395200000000000115e-05 8.928445818669391087e+01 9.308337585358484034e+01 9.893014757528410996e+01 1.049549935626188955e+02 1.090704877017507073e+02
5.564500000000000002e-05 9.198457239051465706e+01 9.589837580303073139e+01 1.019219638676062516e+02 1.081290114671434708e+02 1.123689651640359273e+02
5.738999999999999771e-05 9.476650823687543834e+01 9.879867878124774450e+01 1.050044412596957812e+02 1.113992117324112314e+02 1.157673964888145832e+02
5.919100000000000300e-05 9.763367496088204689e+01 1.017878390811012963e+02 1.081813572973762376e+02 1.147696019567864312e+02 1.192699464203572859e+02
6.104700000000000014e-05 1.005894817976403601e+02 1.048694109954568745e+02 1.114564895264713300e+02 1.182441897386334375e+02 1.228807797029346460e+02
6.296199999999999789e-05 1.036305195120445575e+02 1.080398402314490056e+02 1.148260604011573918e+02 1.218189674795878688e+02 1.265957315922760245e+02
6.493700000000000524e-05 1.067636065743062517e+02 1.113062353748085798e+02 1.182976250130817277e+02 1.255019503763784030e+02 1.304231315769226285e+02
6.697500000000000165e-05 1.099955614546371265e+02 1.146757050112665866e+02 1.218787384538915717e+02 1.293011536257335763e+02 1.343713091454154664e+02
6.907499999999999849e-05 1.133229749179313757e+02 1.181446948479574957e+02 1.255656231777632996e+02 1.332125696292891064e+02 1.384360995534840697e+02
