# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
1.017799999999999979e-05 1.196565997092515410e+01 1.247478057245814753e+01 1.325834899825501978e+01 1.406578245224874912e+01 1.461732977057615912e+01
1.049699999999999962e-05 1.232775728566094209e+01 1.285228457626413245e+01 1.365956485945810783e+01 1.449143235939910923e+01 1.505967025755256472e+01
1.082599999999999935e-05 1.270082032349282919e+01 1.324122087797717917e+01 1.407293110636324762e+01 1.492997261074076754e+01 1.551540654476547765e+01
1.116599999999999948e-05 1.308507753698531673e+01 1.364182765047034884e+01 1.449870087200589097e+01 1.538167175511105356e+01 1.598481771138649954e+01
1.151599999999999952e-05 1.348098583126741623e+01 1.405458123948976379e+01 1.493738042245696818e+01 1.584706689018459791e+01 1.646846191575880880e+01
1.187699999999999996e-05 1.388877365890361482e+01 1.447971981790849227e+01 1.538922289075192928e+01 1.632642656479872301e+01 1.696661823705399996e+01
1.224999999999999960e-05 1.430889792502293112e+01 1.491771973147266195e+01 1.585473454296169749e+01 1.682028787662806479e+01 1.747984483361527097e+01
1.263399999999999965e-05 1.474181553475435891e+01 1.536905732592839691e+01 1.633442164515718531e+01 1.732918792334725921e+01 1.800869986378580023e+01
1.303099999999999941e-05 1.518775494066241194e+01 1.583397077414876541e+01 1.682853733037386235e+01 1.785339525379362868e+01 1.855346240673718583e+01
1.343899999999999957e-05 1.564740150044058353e+01 1.631317459475295806e+01 1.733784099771810006e+01 1.839371551447913333e+01 1.911496969998420425e+01
1.386099999999999993e-05 1.612075521408888079e+01 1.680666878774097839e+01 1.786233264718989844e+01 1.895014870540376606e+01 1.969322174352685906e+01
1.429600000000000001e-05 1.660850143930081302e+01 1.731516787173200811e+01 1.840277167789563961e+01 1.952350047307948344e+01 2.028905577487994094e+01
1.474399999999999978e-05 1.711086862864087621e+01 1.783891001959911193e+01 1.895941122287077363e+01 2.011403936634360079e+01 2.090275087321503023e+01
1.520700000000000026e-05 1.762854213980257967e+01 1.837860974996149110e+01 1.953301068122169326e+01 2.072257103170809600e+01 2.153514427604691406e+01
1.568400000000000095e-05 1.816197887791491894e+01 1.893474340856526084e+01 2.012407631901930216e+01 2.134963256684757482e+01 2.218679414171877795e+01
1.617599999999999895e-05 1.871140729554241133e+01 1.950754916828349650e+01 2.073286126929906459e+01 2.199549252059938453e+01 2.285797954940222354e+01
1.668299999999999934e-05 1.927751275037854484e+01 2.009774154773537092e+01 2.136012493116736621e+01 2.266095653947545685e+01 2.354953773661202376e+01
1.720600000000000094e-05 1.986075214755234697e+01 2.070579689266704193e+01 2.200637357069511779e+01 2.334656172115045791e+01 2.426202686169137479e+01
1.774599999999999916e-05 2.046158239219279906e+01 2.133219154882460344e+01 2.267211345395324074e+01 2.405284516329899347e+01 2.499600508298345147e+01
1.830300000000000077e-05 2.108068884199342108e+01 2.197764003482726736e+01 2.335810398004811361e+01 2.478061251243304142e+01 2.575230963800304096e+01
1.887699999999999900e-05 2.171852840208321567e+01 2.264261869642116309e+01 2.406485141505065783e+01 2.553040086622723948e+01 2.653149868509334297e+01
1.946899999999999944e-05 2.237555797759118548e+01 2.332760387935240587e+01 2.479286202503177705e+01 2.630274732235621826e+01 2.733413038259753947e+01
2.008000000000000087e-05 2.305314828390433490e+01 2.403402462085937685e+01 2.554365460820424616e+01 2.709926317384388383e+01 2.816187920554518342e+01
2.070999999999999992e-05 2.374992860563565955e+01 2.476045188370370553e+01 2.631571036635529737e+01 2.791833712766633369e+01 2.901307067890672542e+01
2.135899999999999997e-05 2.446955418381719127e+01 2.551069643385440244e+01 2.711307942805229487e+01 2.876426596522068024e+01 2.989217006942766020e+01
2.202899999999999864e-05 2.520974049280390972e+01 2.628237654258083111e+01 2.793323046294062806e+01 2.963436419813371003e+01 3.079638658539204243e+01
2.271999999999999931e-05 2.597048753259582554e+01 2.707549220988300576e+01 2.877616347102030758e+01 3.052863182640543371e+01 3.172572022679987924e+01
2.343300000000000079e-05 2.675636435448295813e+01 2.789480689322217444e+01 2.964694111300051205e+01 3.145243982678224270e+01 3.268575257708306481e+01
2.416799999999999968e-05 2.756737095846532881e+01 2.874032059259836913e+01 3.054556338888124856e+01 3.240578819926411569e+01 3.367648363624158492e+01
2.492600000000000157e-05 2.840122281889789235e+01 2.960965157928092140e+01 3.146949896830791715e+01 3.338599145547787117e+01 3.469512261255947294e+01
2.570799999999999849e-05 2.926020446142570108e+01 3.050518158200048902e+01 3.242127918163512845e+01 3.439573508379670130e+01 3.574446029775272393e+01
2.651499999999999940e-05 3.014431588604871948e+01 3.142691060075705778e+01 3.340090402886284693e+01 3.543501908422059898e+01 3.682449669182129526e+01
2.734599999999999873e-05 3.105812614405701666e+01 3.237960209301191128e+01 3.441343617070030092e+01 3.650921443349594853e+01 3.794081337819707755e+01
2.820399999999999966e-05 3.199706618416054127e+01 3.335849260130378013e+01 3.545381294643827630e+01 3.761295015487637272e+01 3.908782877344820861e+01
2.908899999999999881e-05 3.296570505764935888e+01 3.436834558309393373e+01 3.652709701678598009e+01 3.875159722510824878e+01 4.027112446100654353e+01
3.000099999999999956e-05 3.396175823887838874e+01 3.540677930965171782e+01 3.763075705138879101e+01 3.992247015581836678e+01 4.148790964915615120e+01
3.094299999999999834e-05 3.498979477913772484e+01 3.647855723843842668e+01 3.876985571095592320e+01 4.113093992375313235e+01 4.274376592132890806e+01
3.191299999999999752e-05 3.604753015278232198e+01 3.758129764072342027e+01 3.994186166513276959e+01 4.237432104053935689e+01 4.403590248580888300e+01
3.291399999999999692e-05 3.713953341110224216e+01 3.871976397396797154e+01 4.115183757462851588e+01 4.365798448292339629e+01 4.536990092602794533e+01
3.394699999999999871e-05 3.826123550280742336e+01 3.988919278071080754e+01 4.239472077873399058e+01 4.497655927415888755e+01 4.674017965855421863e+01
3.501200000000000292e-05 3.941949000483295862e+01 4.109672924714385545e+01 4.367810526851296515e+01 4.633810187936540359e+01 4.815511105853553886e+01
3.610999999999999816e-05 4.061201239153378140e+01 4.233999164453643971e+01 4.499945971361083252e+01 4.773992681016973449e+01 4.961190433425595359e+01
3.724300000000000239e-05 4.184108718855493692e+01 4.362136170161922166e+01 4.636131544438220686e+01 4.918471955494507597e+01 5.111335027743139392e+01
3.841100000000000205e-05 4.310671439589642517e+01 4.494083941839219420e+01 4.776367246082706686e+01 5.067248011369143512e+01 5.265944888806184565e+01
3.961600000000000153e-05 4.441117853920327008e+01 4.630080652358600446e+01 4.920906209330001957e+01 5.220589397478199345e+01 5.425299095786328252e+01
4.085900000000000301e-05 4.575447961847547163e+01 4.770126301720063822e+01 5.069748434180107921e+01 5.378496113821677937e+01 5.589397648683568320e+01
4.213999999999999972e-05 4.713890215935804662e+01 4.914459062796674971e+01 5.223147053668481021e+01 5.541236709236892466e+01 5.758519626669501434e+01
4.346199999999999825e-05 4.856444616185100216e+01 5.063078935588433183e+01 5.381102067795124100e+01 5.708811183723847194e+01 5.932665029744124041e+01
4.482600000000000077e-05 5.003339615159931952e+01 5.216224092968398907e+01 5.543866609595492889e+01 5.881488086119857428e+01 6.112112937079032093e+01
4.623200000000000053e-05 5.154575212860304845e+01 5.373894534936577827e+01 5.711440679069590942e+01 6.059267416424928854e+01 6.296863348674224170e+01
4.768200000000000189e-05 5.310608314415222253e+01 5.536566607239094395e+01 5.884330542288333987e+01 6.242686272313695639e+01 6.487474422872888624e+01
4.917800000000000247e-05 5.471210467260181076e+01 5.704002137002886030e+01 6.062283066216267002e+01 6.431476104948838213e+01 6.683667080503434477e+01
5.072000000000000228e-05 5.636838576524185385e+01 5.876677469974079315e+01 6.245804516924305005e+01 6.626174012004993585e+01 6.885999479909045817e+01
5.231100000000000111e-05 5.807264189642732077e+01 6.054354433279608116e+01 6.434641761376988711e+01 6.826511444644847870e+01 7.094192541918128825e+01
5.395200000000000115e-05 5.982944211744828777e+01 6.237509372665605412e+01 6.629301065645238111e+01 7.033025500543033104e+01 7.308804424873873984e+01
5.564500000000000002e-05 6.163878642830471222e+01 6.426142288132066938e+01 6.829782429729053206e+01 7.245716179699552129e+01 7.529835128776281294e+01
5.738999999999999771e-05 6.350295935464163932e+01 6.620491352552058117e+01 7.036338986663893991e+01 7.464852030951723805e+01 7.757563732796941736e+01
5.919100000000000300e-05 6.542424542210407878e+01 6.820794738798639401e+01 7.249223869485216198e+01 7.690701603136866993e+01 7.992269316107450550e+01
6.104700000000000014e-05 6.740492915633706161e+01 7.027290619744880473e+01 7.468690211228484088e+01 7.923533445092299132e+01 8.234230957879404400e+01
6.296199999999999789e-05 6.944272603169558522e+01 7.239740822517714491e+01 7.694484878858234822e+01 8.163079007980701363e+01 8.483169578941205202e+01
6.493700000000000524e-05 7.154220509946964057e+01 7.458621692863265196e+01 7.927114138445389813e+01 8.409875389476714247e+01 8.739643337636042020e+01
6.697500000000000165e-05 7.370793541094930390e+01 7.684409576527667696e+01 8.167084256060864789e+01 8.664459687254971243e+01 9.004210392307102495e+01
6.907499999999999849e-05 7.593763244048953709e+01 7.916866300637852305e+01 8.414142098669201175e+01 8.926563352478154911e+01 9.276591663782795649e+01
7.124200000000000671e-05 7.823358071373537825e+01 8.156230038066884447e+01 8.668540799305861810e+01 9.196454933983586955e+01 9.557066231234711040e+01
7.347700000000000140e-05 8.060034928197690363e+01 8.402977134560892125e+01 8.930786624041758159e+01 9.474671529445902252e+01 9.846192253006041994e+01
7.578200000000000051e-05 8.303793814521401373e+01 8.657107590119875340e+01 9.200879572876898749e+01 9.761213138865106487e+01 1.014396972909678141e+02
7.815899999999999486e-05 8.554863182909180352e+01 8.918859577616898093e+01 9.479072778846740732e+01 1.005634831107850715e+02 1.045067773867853305e+02
8.061100000000000459e-05 8.813699938490032082e+01 9.188709442798085547e+01 9.765872508022195575e+01 1.036061414376074907e+02 1.076687444009447319e+02
8.313999999999999342e-05 9.080075628699451329e+01 9.466419012790375120e+01 1.006102562736781181e+02 1.067374208807451197e+02 1.109228075417301369e+02
8.574800000000000640e-05 9.354675611230946686e+01 9.752702806212960240e+01 1.036529153598996800e+02 1.099653779053175526e+02 1.142773391842894029e+02
8.843799999999999589e-05 9.637728338649017701e+01 1.004779899593890207e+02 1.067892336692411845e+02 1.132926979996979497e+02 1.177351301203384253e+02
9.121199999999999339e-05 9.929233810953660111e+01 1.035170758196820060e+02 1.100192112017026318e+02 1.167193811638863252e+02 1.212961803498771474e+02
