# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
1.017799999999999979e-05 4.863782706949275614e+00 5.070729250934707721e+00 5.389232916287284958e+00 5.717437200889181170e+00 5.941629290206733138e+00
1.049699999999999962e-05 5.010967455799239190e+00 5.224176486605545122e+00 5.552318510580875888e+00 5.890454707875251827e+00 6.121431157915415255e+00
1.082599999999999935e-05 5.162609534582830229e+00 5.382270704807741168e+00 5.720342974607015130e+00 6.068711861760582416e+00 6.306678129504233787e+00
1.116599999999999948e-05 5.318801804340331785e+00 5.545108717677363686e+00 5.893409201485134474e+00 6.252317821855577940e+00 6.497483644637360278e+00
1.151599999999999952e-05 5.479729987152314408e+00 5.712884149486551877e+00 6.071722977454086845e+00 6.441490906781041303e+00 6.694074582643130711e+00
1.187699999999999996e-05 5.645486944059055823e+00 5.885693812371376232e+00 6.255387195633304032e+00 6.636340275847371295e+00 6.896564383185717517e+00
1.224999999999999960e-05 5.816258397141128356e+00 6.063731330603976843e+00 6.444607642261638958e+00 6.837084247675372595e+00 7.105179925593455792e+00
1.263399999999999965e-05 5.992230068479098115e+00 6.247190328456491137e+00 6.639590103577948099e+00 7.043941140885845442e+00 7.320148089194688623e+00
1.303099999999999941e-05 6.173494819113251708e+00 6.436167618064994933e+00 6.840437472701663246e+00 7.257020114789193066e+00 7.541582313653583114e+00
1.343899999999999957e-05 6.360331232164435633e+00 6.630953635837694371e+00 7.047458428991065560e+00 7.476648647316621599e+00 7.769822917962649456e+00
1.386099999999999993e-05 6.552739307632654331e+00 6.831548381774588563e+00 7.260652972446154152e+00 7.702826738468127488e+00 8.004869902121885872e+00
1.429600000000000001e-05 6.750997628638759629e+00 7.038242292283889867e+00 7.480329782425219065e+00 7.935881866174913313e+00 8.247063585123802554e+00
1.474399999999999978e-05 6.955199056223031917e+00 7.251132179501663444e+00 7.706591752047680544e+00 8.175923189747383191e+00 8.496517406632570157e+00
1.520700000000000026e-05 7.165622173506327464e+00 7.470508479836125204e+00 7.939747560671831295e+00 8.423278187116745030e+00 8.753571685640691769e+00
1.568400000000000095e-05 7.382452702569206160e+00 7.696564817559410798e+00 8.180002994536517136e+00 8.678165176903791078e+00 9.018453301476510475e+00
1.617599999999999895e-05 7.605783504451960830e+00 7.929398004807593381e+00 8.427460946761176075e+00 8.940693318418933444e+00 9.291275693804196933e+00
1.668299999999999934e-05 7.835893162275437973e+00 8.169298477988874652e+00 8.682430096704088385e+00 9.211190089593365826e+00 9.572379181616257782e+00
1.720600000000000094e-05 8.072967398120209026e+00 8.416459861375409801e+00 8.945116230604110541e+00 9.489873809047901787e+00 9.861990644241032555e+00
1.774599999999999916e-05 8.317191934066837433e+00 8.671075779239322046e+00 9.215725134700095467e+00 9.776962795403333573e+00 1.016033696100685724e+01
1.830300000000000077e-05 8.568845353236179463e+00 8.933436667988829072e+00 9.494565488350335869e+00 1.007278452659086909e+01 1.046775845090624379e+01
1.887699999999999900e-05 8.828113377708797671e+00 9.203736151896075413e+00 9.781843077793681118e+00 1.037755732123131658e+01 1.078448199326753532e+01
1.946899999999999944e-05 9.095181729565265272e+00 9.482167855233193166e+00 1.007776368926898947e+01 1.069149949794547361e+01 1.111073446741906245e+01
2.008000000000000087e-05 9.370607575047278814e+00 9.769312650816603494e+00 1.038294468149283034e+01 1.101526601259574356e+01 1.144719651134584559e+01
2.070999999999999992e-05 9.653833747913141750e+00 1.006458966582989056e+01 1.069676869574863254e+01 1.134820190931972483e+01 1.179318748706286968e+01
2.135899999999999997e-05 9.946346024807391828e+00 1.036954789445016800e+01 1.102088202194724786e+01 1.169205373708383711e+01 1.215052242919684566e+01
2.202899999999999864e-05 1.024721579532719318e+01 1.068321921531673802e+01 1.135425572889439927e+01 1.204572990278406586e+01 1.251806694110607410e+01
