# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   73       2.565149650620e-10       4.868589484372e-14      -9.320566069549e-13       0.000000000000e+00       2.377103902585e-11       2.959588486478e-12      -9.302784744598e-15       7.564501423938e-02      -2.101944764187e-03      -2.256725659491e-04      -3.664596422258e-04      -2.368107113947e-04       2.023981097209e-02       2.331452954181e-07      -2.717184269338e-06       2.591224425010e-06       5.738629387963e-03       1.691916530772e-09       7.954047345892e-09       2.554463697562e-03       1.245777872889e-09       1.378532857623e-03       1.157269521533e-07       8.081365611820e-08       3.854399534052e-08       2.120235946163e-08       1.337090628996e-08 
   74       2.597873752754e-10       5.051125309528e-14      -9.959354503886e-13       0.000000000000e+00       2.301091044978e-11       2.876303533099e-12      -9.358496037538e-15       7.732847206545e-02      -3.525622526011e-03      -2.118975309066e-04      -4.345530769867e-04      -2.145567568004e-04       2.066375364046e-02       1.557238979903e-07      -1.816336627617e-06       1.721333029642e-06       5.879504488570e-03       1.831844282161e-09       1.106882838016e-08       2.620682153096e-03       4.752665359031e-09       1.415013823973e-03       1.155243536600e-07       7.988634941181e-08       3.841230969558e-08       2.119822982027e-08       1.338962428460e-08 
   75       2.630898368224e-10       5.236349728447e-14      -1.061334998671e-12       0.000000000000e+00       2.228180738267e-11       2.796365307088e-12      -9.445698224706e-15       7.899300663256e-02      -4.495567557463e-03      -1.910141352551e-04      -4.579836004570e-04      -1.920720261259e-04       2.109745859045e-02      -2.437293802153e-10       4.383824625219e-10      -2.202712052975e-08       6.021357528223e-03       1.803638436185e-09       1.261218980234e-08       2.687532843227e-03       6.859816332414e-09       1.451882479804e-03       1.152802479409e-07       7.896666320891e-08       3.827386880316e-08       2.119009893025e-08       1.340587474526e-08 
   76       2.664207979316e-10       5.424166395981e-14      -1.128219454749e-12       0.000000000000e+00       2.157996267648e-11       2.719480437722e-12      -9.575950684463e-15       8.060852665874e-02      -4.804024434812e-03      -1.652231012630e-04      -4.250654608853e-04      -1.722003014230e-04       2.154197840014e-02      -2.440478334571e-07       2.841127246232e-06      -2.741170929936e-06       6.164161892579e-03       1.550399375085e-09       1.210194164057e-08       2.755005188210e-03       7.142405095882e-09       1.489133591912e-03       1.148847896081e-07       7.805438016439e-08       3.812868315688e-08       2.117794937736e-08       1.341963673811e-08 
   77       2.697808850864e-10       5.614419016565e-14      -1.196543355275e-12       0.000000000000e+00       2.090481434796e-11       2.645600515007e-12      -9.744883751825e-15       8.216778912130e-02      -4.485278691984e-03      -1.345071945777e-04      -3.416235731584e-04      -1.554863004692e-04       2.199332752903e-02      -5.388988044214e-07       6.277008352507e-06      -6.026648713810e-06       6.307891623341e-03       1.083286728458e-09       9.708798867601e-09       2.823089038550e-03       5.763990875938e-09       1.526762596346e-03       1.143259830684e-07       7.715092488384e-08       3.797718740530e-08       2.116195280691e-08       1.343099756288e-08 
   78       2.731710917001e-10       5.806926751138e-14      -1.266256156967e-12       0.000000000000e+00       2.025637205451e-11       2.574709197437e-12      -9.943052702144e-15       8.366979793263e-02      -3.648321581097e-03      -9.823343509776e-05      -2.191691187275e-04      -1.418442365266e-04       2.244574897494e-02      -8.317315525371e-07       9.689773578825e-06      -9.288190358111e-06       6.452521500588e-03       4.347051357797e-10       5.811908198616e-09       2.891774413443e-03       3.076709561668e-09       1.564765127666e-03       1.136191611456e-07       7.625790239815e-08       3.781987442534e-08       2.114230723472e-08       1.344005958305e-08 
   79       2.765921168475e-10       6.001496757968e-14      -1.337303851191e-12       0.000000000000e+00       1.963426071293e-11       2.506744483664e-12      -1.015980655375e-14       8.511385492865e-02      -2.417131515748e-03      -5.572734757942e-05      -7.068822412224e-05      -1.311557441969e-04       2.289287387639e-02      -1.063783714585e-06       1.239472843995e-05      -1.187216241728e-05       6.598027098669e-03      -3.583948336111e-10       8.404377505298e-10       2.961051413037e-03      -5.211950071096e-10       1.603136852872e-03       1.127817211115e-07       7.537656077619e-08       3.765716077323e-08       2.111917721280e-08       1.344690595678e-08 
   80       2.800443476833e-10       6.197923935317e-14      -1.409628915215e-12       0.000000000000e+00       1.903770281757e-11       2.441596635594e-12      -1.038324725437e-14       8.649957297243e-02      -9.311887322578e-04      -6.271861348764e-06       8.930830908748e-05      -1.232685698832e-04       2.332770179324e-02      -1.170412944124e-06       1.363866307401e-05      -1.305953618467e-05       6.744384827294e-03      -1.254360261964e-09      -4.724723488179e-09       3.030910227997e-03      -4.583806421889e-09       1.641873475876e-03       1.118331913566e-07       7.450777097877e-08       3.748938163777e-08       2.109269156282e-08       1.345159933443e-08 
   81       2.835278418601e-10       6.395990664082e-14      -1.483170263483e-12       0.000000000000e+00       1.846550075847e-11       2.379106101495e-12      -1.060018886750e-14       8.782688905791e-02       6.540100490787e-04       5.089378998651e-05       2.447352743288e-04      -1.179952622502e-04       2.374258098732e-02      -1.080914201749e-06       1.259772322866e-05      -1.206385576296e-05       6.891571972626e-03      -2.206679464562e-09      -1.034926618763e-08       3.101341149066e-03      -8.615971087530e-09       1.680970741965e-03       1.107952980599e-07       7.365200671268e-08       3.731678579363e-08       2.106294110964e-08       1.345418055628e-08 
   82       2.870423099476e-10       6.595466550458e-14      -1.557863198866e-12       0.000000000000e+00       1.791601913949e-11       2.319061439092e-12      -1.079611675885e-14       8.909607741354e-02       2.166436962751e-03       1.165751688252e-04       3.778833300636e-04      -1.151118626864e-04       2.412918870319e-02      -7.183370453528e-07       8.375281247200e-06      -8.029206134605e-06       7.039566738377e-03      -3.163825571172e-09      -1.544376120672e-08       3.172334576620e-03      -1.207173360431e-08       1.720424442265e-03       1.096920318596e-07       7.280932428468e-08       3.713953055458e-08       2.102997641480e-08       1.345466735005e-08 
   83       2.905870978504e-10       6.796108168587e-14      -1.633639363936e-12       0.000000000000e+00       1.738716709645e-11       2.261197238673e-12      -1.095514678271e-14       9.030776260597e-02       3.417018336785e-03       1.916237338605e-04       4.693692698264e-04      -1.143565957642e-04       2.447851144873e-02       6.970796154883e-10      -1.929452647938e-10      -2.818123224224e-08       7.188348286895e-03      -4.069100107488e-09      -1.936196012327e-08       3.243881030236e-03      -1.435277214997e-08       1.760230418211e-03       1.085497145229e-07       7.197934245552e-08       3.695767672682e-08       2.099380551001e-08       1.345305302861e-08 
   84       2.941615466154e-10       6.997681879015e-14      -1.710433887359e-12       0.000000000000e+00       1.687690673844e-11       2.205257696236e-12      -1.106332375232e-14       9.146353344095e-02       4.242666467928e-03       2.760211157941e-04       5.030373978552e-04      -1.154199565568e-04       2.478576277958e-02       1.120747414065e-06      -1.304795882775e-05       1.243481563203e-05       7.337896510311e-03      -4.866049866555e-09      -2.153984992666e-08       3.315971080180e-03      -1.495619376071e-08       1.800384425191e-03       1.073925941559e-07       7.116168240710e-08       3.677128302328e-08       2.095443673261e-08       1.344933229217e-08 
   85       2.977661788979e-10       7.200037194158e-14      -1.788208291072e-12       0.000000000000e+00       1.638491404943e-11       2.151203991511e-12      -1.111923453216e-14       9.256787289607e-02       4.644698829023e-03       3.659551106489e-04       4.817061836408e-04      -1.179159529686e-04       2.506611656794e-02       2.502792828324e-06      -2.914840877960e-05       2.781335283708e-05       7.488191210359e-03      -5.516091939168e-09      -2.194302635205e-08       3.388595107902e-03      -1.394949891454e-08       1.840881687736e-03       1.062286457851e-07       7.035741557645e-08       3.658071834525e-08       2.091202035569e-08       1.344358640277e-08 
   86       3.014016778662e-10       7.403045159997e-14      -1.866931308935e-12       0.000000000000e+00       1.591116219035e-11       2.099037640773e-12      -1.112508772227e-14       9.362657364250e-02       4.672528920072e-03       4.562587116213e-04       4.139530290527e-04      -1.214036728513e-04       2.534155794904e-02       3.945217971486e-06      -4.595266604421e-05       4.386473349780e-05       7.639212857295e-03      -5.983537339664e-09      -2.069071450462e-08       3.461743523185e-03      -1.157185346225e-08       1.881717278435e-03       1.050615281050e-07       6.956782002127e-08       3.638639225820e-08       2.086672639085e-08       1.343590980777e-08 
   87       3.050685162279e-10       7.606576490204e-14      -1.946572100357e-12       0.000000000000e+00       1.545541114781e-11       2.048736944285e-12      -1.108354589054e-14       9.464618855340e-02       4.382374089623e-03       5.412697372550e-04       3.094282509816e-04      -1.253940305761e-04       2.563624005142e-02       5.226537422059e-06      -6.088035987155e-05       5.812522797618e-05       7.790942883776e-03      -6.230215677461e-09      -1.792226514172e-08       3.535406846803e-03      -8.092661224527e-09       1.922886254269e-03       1.038948372890e-07       6.879392941724e-08       3.618865680829e-08       2.081870008769e-08       1.342638345621e-08 
   88       3.087669449910e-10       7.810501696631e-14      -2.027100322491e-12       0.000000000000e+00       1.501719889468e-11       2.000256012763e-12      -1.099774088153e-14       9.563405390502e-02       3.837472746406e-03       6.148165229124e-04       1.788885632366e-04      -1.293483129032e-04       2.597654726083e-02       6.104814866015e-06      -7.111285869965e-05       6.790361282998e-05       7.943363721414e-03      -6.215412407246e-09      -1.379782081929e-08       3.609575718771e-03      -3.812509624415e-09       1.964383658706e-03       1.027320985091e-07       6.803652064507e-08       3.598780314720e-08       2.076806042524e-08       1.341507395199e-08 
   89       3.124969822253e-10       8.014691219785e-14      -2.108486202420e-12       0.000000000000e+00       1.459583255064e-11       1.953523793834e-12      -1.087128912527e-14       9.659831257782e-02       3.108301570968e-03       6.702036122467e-04       3.423055844059e-05      -1.326767248535e-04       2.639115848417e-02       6.317082274834e-06      -7.358650333602e-05       7.027470976150e-05       8.096458837334e-03      -5.895806079155e-09      -8.498982038164e-09       3.684240906595e-03       9.358846802234e-10       2.006204523803e-03       1.015767574557e-07       6.729610137748e-08       3.578405815709e-08       2.071489860355e-08       1.340203270704e-08 
   90       3.162584018235e-10       8.219015559316e-14      -2.190700609349e-12       0.000000000000e+00       1.419037954267e-11       1.908443098505e-12      -1.070830694613e-14       9.754793725756e-02       2.272792727310e-03       7.001974486736e-04      -1.114758100724e-04      -1.347369355778e-04       2.691111041341e-02       5.578759083548e-06      -6.498584013910e-05       6.207292456639e-05       8.250212770728e-03      -5.225405588970e-09      -2.229473390409e-09       3.759393313521e-03       5.786730164265e-09       2.048343872304e-03       1.004321718573e-07       6.657289766620e-08       3.557758107539e-08       2.065927653518e-08       1.338729509446e-08 
   91       3.200507222623e-10       8.423345404494e-14      -2.273715126793e-12       0.000000000000e+00       1.379965876567e-11       1.864889627624e-12      -1.051342587159e-14       9.849275363644e-02       1.416551074518e-03       6.970120668426e-04      -2.439537463613e-04      -1.348326242284e-04       2.756986078951e-02       3.583071368788e-06      -4.173685419974e-05       3.988578608232e-05       8.404611169411e-03      -4.155487428296e-09       4.784190294328e-09       3.835023986778e-03       1.034021480287e-08       2.090796719741e-03       9.930160299961e-08       6.586684152898e-08       3.536846011980e-08       2.060122533669e-08       1.337087960168e-08 
   92       3.238731953635e-10       8.627551764696e-14      -2.357502124768e-12       0.000000000000e+00       1.342223174294e-11       1.822710998345e-12      -1.029180794109e-14       9.944346361416e-02       6.330713784026e-04       6.522947841090e-04      -3.476861299818e-04      -1.322120258288e-04       2.840335166638e-02       4.710268310756e-10      -2.025226520416e-10       4.748513777878e-08       8.559640826378e-03      -2.634532934753e-09       1.229203780248e-08       3.911124125835e-03       1.416156043901e-08       2.133558076532e-03       9.818820724593e-08       6.517755853657e-08       3.515670911308e-08       2.054074382024e-08       1.335278698362e-08 
   93       3.277250700283e-10       8.831496253265e-14      -2.442027634451e-12       0.000000000000e+00       1.305674412264e-11       1.781763914444e-12      -1.004865697731e-14       1.004087951483e-01       4.269524630579e-06       5.597941801949e-04      -4.094651378574e-04      -1.262749726316e-04       2.944115228303e-02      -5.124942568740e-06       6.325938261627e-05      -6.006917821826e-05       8.715288709756e-03      -6.416317470092e-10       2.000728467094e-08       3.987685084447e-03       1.687787513483e-08       2.176623044718e-03       9.709427800191e-08       6.450540362703e-08       3.494235314008e-08       2.047783654430e-08       1.333302047233e-08 
   94       3.316064532239e-10       9.034999984111e-14      -2.527228589503e-12       0.000000000000e+00       1.270302811874e-11       1.742034186736e-12      -9.787635066359e-15       1.013864110627e-01      -4.617451035878e-04       4.238541221632e-04      -4.297245216473e-04      -1.172327966423e-04       3.067822646144e-02      -1.011669444826e-05       1.468662024036e-04      -1.379406488550e-04       8.871538806372e-03       1.707424703841e-09       2.756541153334e-08       4.064698359260e-03       1.848742694996e-08       2.219987120263e-03       9.601885961655e-08       6.385477371457e-08       3.472570758616e-08       2.041263778901e-08       1.331165172225e-08 
   95       3.355175583124e-10       9.237870216640e-14      -2.613032279387e-12       0.000000000000e+00       1.236115030549e-11       1.703533047758e-12      -9.512235112368e-15       1.023706694578e-01      -7.774429875686e-04       2.521767306588e-04      -4.128577315808e-04      -1.055454497551e-04       3.209901623427e-02      -1.273554236398e-05       2.483382130245e-04      -2.293953634649e-04       9.028374868839e-03       4.250321988721e-09       3.455767087832e-08       4.142155614737e-03       1.909535301769e-08       2.263645940311e-03       9.495975726267e-08       6.323127266516e-08       3.450713502120e-08       2.034530352446e-08       1.328876326357e-08 
   96       3.394584342515e-10       9.439909780937e-14      -2.699363215649e-12       0.000000000000e+00       1.203107207887e-11       1.666260172391e-12      -9.226271931953e-15       1.033553592073e-01      -9.570746877808e-04       5.327612878805e-05      -3.638021682276e-04      -9.172324056820e-05       3.368592550141e-02      -1.055480760760e-05       3.649096419769e-04      -3.298458424923e-04       9.185781402291e-03       6.809875812729e-09       4.054240029174e-08       4.220048697254e-03       1.882039762768e-08       2.307595195956e-03       9.391423599757e-08       6.264070941069e-08       3.428695778275e-08       2.027597256032e-08       1.326442777908e-08 
   97       3.434289581302e-10       9.640917073086e-14      -2.786143105316e-12       0.000000000000e+00       1.171264562613e-11       1.630203227916e-12      -8.933890644176e-15       1.043336837171e-01      -1.016723858683e-03      -1.634990470787e-04      -2.880548852783e-04      -7.632824223796e-05       3.541926084516e-02      -9.555062443651e-07       4.935229824787e-04      -4.342773281479e-04       9.343743687117e-03       9.193635379842e-09       4.504418210700e-08       4.298369643264e-03       1.779530905038e-08       2.351830635638e-03       9.287900199360e-08       6.208909992480e-08       3.406545582305e-08       2.020476558036e-08       1.323870754643e-08 
   98       3.474288277044e-10       9.840686050485e-14      -2.873290824280e-12       0.000000000000e+00       1.140560989536e-11       1.595337424072e-12      -8.639575060531e-15       1.052982446850e-01      -9.743602635626e-04      -3.879431365063e-04      -1.916882923260e-04      -5.997570033239e-05       3.727717234539e-02       1.887851965291e-05       6.308209878748e-04      -5.372364224218e-04       9.502247801707e-03       1.119348675763e-08       4.755300305524e-08       4.377110687459e-03       1.616723636145e-08       2.396348068539e-03       9.185018376885e-08       6.158266919879e-08       3.384286455602e-08       2.013178417698e-08       1.321165388028e-08 
   99       3.514575539326e-10       1.003900622717e-13      -2.960722390692e-12       0.000000000000e+00       1.110958656499e-11       1.561625063116e-12      -8.348156074924e-15       1.062410258592e-01      -8.498927893688e-04      -6.089709441922e-04      -8.136585764762e-05      -4.333544068514e-05       3.923559439474e-02       5.196547076983e-05       7.731386660442e-04      -6.328197250976e-04       9.661280645184e-03       1.258525624196e-08       4.752341391557e-08       4.456264270935e-03       1.409812626621e-08       2.441143367986e-03       9.082331341775e-08       6.112785321738e-08       3.361937270433e-08       2.005710988578e-08       1.318330657453e-08 
  100       3.555144535116e-10       1.023566266913e-13      -3.048350938349e-12       0.000000000000e+00       1.082407601339e-11       1.529015089878e-12      -8.064820053656e-15       1.071533767976e-01      -6.652224615539e-04      -8.145952291658e-04       3.564218901493e-05      -2.713327724928e-05       4.126818651375e-02       1.015304593164e-04       9.164952738068e-04      -7.146624717664e-04       9.820829960145e-03       1.312831372170e-08       4.437368916532e-08       4.535823049355e-03       1.176511992404e-08       2.486212474847e-03       8.979330784175e-08       6.073130093463e-08       3.339512014637e-08       1.998080322009e-08       1.315369334446e-08 
  101       3.595986414121e-10       1.043043598964e-13      -3.136086690090e-12       0.000000000000e+00       1.054845328840e-11       1.497442641821e-12      -7.795117225403e-15       1.080259966271e-01      -4.442954589081e-04      -9.919041939857e-04       1.514431536734e-04      -1.215241995118e-05       4.334627416608e-02       1.710103777927e-04       1.056586311331e-03      -7.759271718400e-04       9.980884355396e-03       1.256517604346e-08       3.748498663029e-08       4.615779901111e-03       9.360949772825e-09       2.531551400929e-03       8.875444997993e-08       6.039987624975e-08       3.317019576328e-08       1.990290270551e-08       1.312282926901e-08 
  102       3.637090234144e-10       1.062310234454e-13      -3.223836931180e-12       0.000000000000e+00       1.028196407687e-11       1.466828599099e-12      -7.544970071199e-15       1.088489178022e-01      -2.131561283972e-04      -1.127038973939e-03       2.575061753119e-04       7.651174557393e-07       4.543878957365e-02       2.640587677556e-04       1.188775516540e-03      -8.092922465650e-04       1.014143332870e-02       1.062111037625e-08       2.620050713497e-08       4.696127935492e-03       7.094336353397e-09       2.577156232378e-03       8.770037003963e-08       6.014065998296e-08       3.294463528599e-08       1.982342391449e-08       1.309071623289e-08 
  103       3.678442886441e-10       1.081343342760e-13      -3.311505982705e-12       0.000000000000e+00       1.002372067421e-11       1.437079134614e-12      -7.320681714416e-15       1.096114898648e-01       0.000000000000e+00      -1.205171126238e-03       3.446465231057e-04       1.071710953711e-05       4.751221253181e-02       3.845506885836e-04       1.308086859521e-03      -8.069406670367e-04       1.030246728949e-02       7.003737576234e-09       9.824654152757e-09       4.776860500840e-03       5.190385133930e-09       2.623023133075e-03       8.662402672714e-08       5.996095185131e-08       3.271841914218e-08       1.974235850079e-08       1.305734236884e-08 
  104       3.720031901898e-10       1.100120697563e-13      -3.399001328501e-12       0.000000000000e+00       9.772903344461e-12       1.408107495582e-12      -7.127482587576e-15       1.103048832429e-01       1.705885666613e-04      -1.214282181829e-03       4.050835171310e-04       1.692960220558e-05       4.953572748467e-02       5.347657228288e-04       1.410025131464e-03      -7.627431693426e-04       1.046397920275e-02       1.542140368002e-09      -1.195602810902e-08       4.857971114033e-03       3.840648427278e-09       2.669148298360e-03       8.551967678117e-08       5.986518613198e-08       3.249154202094e-08       1.965970587121e-08       1.302270114710e-08 
  105       3.761854462050e-10       1.118623991001e-13      -3.486252995871e-12       0.000000000000e+00       9.529404059931e-12       1.379903668353e-12      -6.964928772316e-15       1.109300208301e-01       2.959241441329e-04      -1.157132255121e-03       4.389647150553e-04       1.935439149406e-05       5.149761562226e-02       7.096469680574e-04       1.493181198769e-03      -6.791682512174e-04       1.062596972445e-02      -5.373556561459e-09      -3.774347076479e-08       4.939453220479e-03       3.044773662213e-09       2.715527801763e-03       8.438912700501e-08       5.984519988307e-08       3.226423690596e-08       1.957557515240e-08       1.298685278221e-08 
  106       3.803909471829e-10       1.136835968425e-13      -3.573196755503e-12       0.000000000000e+00       9.293262612298e-12       1.352473329279e-12      -6.830894789744e-15       1.114906925572e-01       3.793155510458e-04      -1.040873779009e-03       4.486978763126e-04       1.815000654564e-05       5.339097708765e-02       9.017719849582e-04       1.556965394426e-03      -5.612887786599e-04       1.078844280543e-02      -1.317284879977e-08      -6.557861445468e-08       5.021300416768e-03       2.748104314535e-09       2.762157733807e-03       8.323629573301e-08       5.988864766483e-08       3.203677743302e-08       1.949009526249e-08       1.294987012010e-08 
  107       3.846194744974e-10       1.154739428338e-13      -3.659768242229e-12       0.000000000000e+00       9.064467235478e-12       1.325816250414e-12      -6.722972233716e-15       1.119911423440e-01       4.244818469677e-04      -8.734128565058e-04       4.369630382987e-04       1.349969675075e-05       5.520871061291e-02       1.103090438400e-03       1.600811437074e-03      -4.146833640497e-04       1.095140417231e-02      -2.123793172221e-08      -9.334340270009e-08       5.103506533672e-03       2.889950206339e-09       2.809034252653e-03       8.206530298854e-08       5.998193890411e-08       3.180940752654e-08       1.940338290454e-08       1.291181939375e-08 
  108       3.888706961051e-10       1.172317233480e-13      -3.745902996041e-12       0.000000000000e+00       8.842952832207e-12       1.299926093873e-12      -6.638462097932e-15       1.124360795506e-01       4.355632227116e-04      -6.634285308481e-04       4.067196006612e-04       5.612110606397e-06       5.694351165576e-02       1.304908945722e-03       1.624177530839e-03      -2.454491203937e-04       1.111486136805e-02      -2.890256410702e-08      -1.187569873255e-07       5.186065643445e-03       3.403431199593e-09       2.856153586954e-03       8.088047356408e-08       6.011020595458e-08       3.158234003467e-08       1.931554195971e-08       1.287275988128e-08 
  109       3.931441622459e-10       1.189552321908e-13      -3.831536503101e-12       0.000000000000e+00       8.628599200630e-12       1.274790206190e-12      -6.574367103020e-15       1.128306904300e-01       4.171318906437e-04      -4.203920556010e-04       3.612134095895e-04      -5.278025424768e-06       5.858787053634e-02       1.497875925020e-03       1.626547465177e-03      -6.021441557128e-05       1.127882379251e-02      -3.545093175079e-08      -1.393719338807e-07       5.268972067122e-03       4.215320889720e-09       2.903512038703e-03       7.968634010139e-08       6.025727215711e-08       3.135575536442e-08       1.922666288044e-08       1.283274356405e-08 
  110       3.974393011451e-10       1.206427718078e-13      -3.916604236753e-12       0.000000000000e+00       8.421229260888e-12       1.250389412679e-12      -6.527384023631e-15       1.131806495792e-01       3.742029749911e-04      -1.545861647652e-04       3.039838421050e-04      -1.890922805523e-05       6.013407057387e-02       1.671966443439e-03       1.607431714714e-03       1.338483734190e-04       1.144330274297e-02      -4.011651108370e-08      -1.525704270620e-07       5.352220381818e-03       5.245890299178e-09       2.951105986094e-03       7.848764617158e-08       6.040561990010e-08       3.112980011680e-08       1.913682208369e-08       1.279181478476e-08 
  111       4.017554147143e-10       1.222926543925e-13      -4.001041698535e-12       0.000000000000e+00       8.220607281704e-12       1.226697811797e-12      -6.493896015524e-15       1.134921313913e-01       3.122454021503e-04       1.228756571170e-04       2.388708903509e-04      -3.499257831347e-05       6.157418622338e-02       1.816467065456e-03       1.566368539092e-03       3.290101062140e-04       1.160831145472e-02      -4.208093278493e-08      -1.555604761351e-07       5.435805428025e-03       6.408751571040e-09       2.998931886365e-03       7.728934935528e-08       6.053635867977e-08       3.090458572190e-08       1.904608134409e-08       1.275000990556e-08 
  112       4.060916742530e-10       1.239032029945e-13      -4.084784459189e-12       0.000000000000e+00       8.026437106970e-12       1.203682569502e-12      -6.469964942658e-15       1.137718215078e-01       2.371927909947e-04       4.000299048559e-04       1.700222458823e-04      -5.321104268481e-05       6.290008121244e-02       1.919960701178e-03       1.502925082804e-03       5.169721248396e-04       1.177386514158e-02      -4.047284539795e-08      -1.453721203561e-07       5.519722316913e-03       7.610701662576e-09       3.046986278657e-03       7.609662432270e-08       6.062919316050e-08       3.068018707405e-08       1.895448718717e-08       1.270735696613e-08 
  113       4.104471161501e-10       1.254727526275e-13      -4.167768199674e-12       0.000000000000e+00       7.838360382335e-12       1.181303713613e-12      -6.451323704281e-15       1.140269282697e-01       1.554543431830e-04       6.640437825080e-04       1.019003839566e-04      -7.321879425227e-05       6.410340667784e-02       1.970311454621e-03       1.416698475040e-03       6.888534994650e-04       1.193998103649e-02      -3.436677894584e-08      -1.188536343940e-07       5.603966437628e-03       8.751566038830e-09       3.095265786862e-03       7.491486591384e-08       6.066239123514e-08       3.045664116692e-08       1.886207028252e-08       1.266387534180e-08 
  114       4.148206375852e-10       1.269996513776e-13      -4.249928752179e-12       0.000000000000e+00       7.655954781793e-12       1.159513928170e-12      -6.433368562019e-15       1.142651941698e-01       7.392573346712e-05       9.011959332702e-04       3.928964782297e-05      -9.464053383737e-05       6.517559930234e-02       1.954649472006e-03       1.307316929528e-03       8.351782741567e-04       1.210667843203e-02      -2.278200854665e-08      -7.266773375233e-08       5.688533464588e-03       9.724042366206e-09       3.143767122481e-03       7.374969221851e-08       6.061275208538e-08       3.023394572865e-08       1.876884483698e-08       1.261957540166e-08 
  115       4.192109922299e-10       1.284822615112e-13      -4.331202141133e-12       0.000000000000e+00       7.478732234267e-12       1.138258347797e-12      -6.411151466966e-15       1.144949073044e-01       0.000000000000e+00       1.096857169374e-03      -1.269666698702e-05      -1.170708111410e-04       6.610787945135e-02       1.859355790045e-03       1.174440844375e-03       9.458627126327e-04       1.227397872098e-02      -4.681418028690e-09      -3.287780191229e-09       5.773419364788e-03       1.041354420604e-08       3.192487087470e-03       7.260694765652e-08       6.045557424200e-08       3.001205785699e-08       1.867480798786e-08       1.257445816661e-08 
  116       4.236169620586e-10       1.299189897206e-13      -4.411523175378e-12       0.000000000000e+00       7.306246008387e-12       1.117487000925e-12      -6.380390768702e-15       1.147235726164e-01      -5.994321616458e-05       1.238748848074e-03      -4.974587071828e-05      -1.400943035526e-04       6.689408412992e-02       1.674040437312e-03       1.018386622280e-03       1.012545995782e-03       1.244189450626e-02       2.051252688712e-08       9.113225410342e-08       5.858620251599e-03       1.072442404666e-08       3.241422555928e-03       7.149176920028e-08       6.017074343476e-08       2.979095202474e-08       1.857996360500e-08       1.252852815615e-08 
  117       4.280379056684e-10       1.313083796632e-13      -4.490820942834e-12       0.000000000000e+00       7.138430528571e-12       1.097194295419e-12      -6.340659154635e-15       1.149537178636e-01      -1.053016160596e-04       1.327208628951e-03      -7.190550040255e-05      -1.633509010082e-04       6.753956059002e-02       1.404057835301e-03       8.420818239599e-04       1.035931057442e-03       1.261039534201e-02       5.129626081346e-08       2.048818553733e-07       5.944131910428e-03       1.066259354184e-08       3.290570410515e-03       7.040564966050e-08       5.976190413010e-08       2.957080501504e-08       1.848439827724e-08       1.248183443144e-08 
  118       4.324732688627e-10       1.326490328067e-13      -4.569022842536e-12       0.000000000000e+00       6.975299736277e-12       1.077383969844e-12      -6.292570699555e-15       1.151865968665e-01      -1.370477494076e-04       1.366142462502e-03      -8.044519291864e-05      -1.864772962605e-04       6.805335555246e-02       1.059491664427e-03       6.493508963515e-04       1.019316459705e-03       1.277943788401e-02       8.551070676650e-08       3.298592972403e-07       6.029950228827e-03       1.026270157305e-08       3.339927603623e-03       6.934902147346e-08       5.923956976285e-08       2.935183101238e-08       1.838821346798e-08       1.243443392346e-08 
  119       4.369224117953e-10       1.339395816491e-13      -4.646056012353e-12       0.000000000000e+00       6.816841126503e-12       1.058056781376e-12      -6.236798481465e-15       1.154234836978e-01      -1.562617255506e-04       1.359868227284e-03      -7.676170031130e-05      -2.090862470665e-04       6.844550008724e-02       6.513176995220e-04       4.443202558321e-04       9.663406797556e-04       1.294897639214e-02       1.208373472156e-07       4.573688427505e-07       6.116071350701e-03       9.562729814054e-09       3.389491180488e-03       6.832215646384e-08       5.861523343828e-08       2.913422341327e-08       1.829150154620e-08       1.238637846806e-08 
