# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   12       1.129542043980e-10       1.284647523974e-15       1.640093550025e-13       0.000000000000e+00       7.735458408943e-10       7.011434889076e-11       1.419374645135e-13       3.050659248649e-03      -1.775284922147e-08      -1.211228242416e-09      -7.167135388693e-10      -2.288275361218e-09       7.166730357623e-04      -1.056287607788e-08       2.881901194899e-09       3.736799712976e-09       1.697535399961e-04      -7.508490407809e-08      -5.077995421779e-09       7.306839383881e-05      -1.575072243705e-07       3.902331093471e-05       2.219954712263e-07       6.836150933038e-08       1.836895658699e-08       8.355320234019e-09       4.803351311607e-09 
   13       1.135386951933e-10       1.197293143144e-15       1.505545020602e-13       0.000000000000e+00       6.817910007816e-10       6.259019715016e-11       1.275290612663e-13       3.564743065775e-03      -9.216047946852e-09      -1.171714054196e-08       1.300226398234e-09       1.992380754434e-09       8.388525039095e-04      -1.367247684804e-08      -3.413996450050e-10      -1.066600281701e-09       1.984545549208e-04      -7.406604345421e-08      -5.594627803773e-09       8.537152866291e-05      -1.686661018202e-07       4.558317445106e-05       2.290162166517e-07       7.188025493128e-08       1.950762212773e-08       8.900995908410e-09       5.121404429684e-09 
   14       1.143467252975e-10       1.051901192230e-15       1.474315770645e-13       0.000000000000e+00       6.054570232211e-10       5.606903931242e-11       9.266190571473e-14       4.115642060159e-03      -1.098987824872e-08      -6.935516251015e-09       7.608468495531e-10       1.044159331256e-10       9.708448489966e-04      -1.189946411363e-08      -8.201903131820e-10       2.022577593460e-09       2.294534625466e-04      -7.258527286969e-08      -4.742352342709e-09       9.865940871130e-05      -1.758983212007e-07       5.266482483970e-05       2.349701375007e-07       7.517400781194e-08       2.058900794830e-08       9.430302821645e-09       5.428889177225e-09 
   15       1.153853199505e-10       9.082015093072e-16       1.517025209383e-13       0.000000000000e+00       5.412107621987e-10       5.062294144298e-11       4.955441290166e-14       4.701882816226e-03      -2.031084379820e-09       2.755195918835e-08       3.548190094474e-10      -8.428349339988e-10       1.112617600069e-03      -1.114194023450e-08       5.425464067132e-09      -2.038199537444e-09       2.627542995999e-04      -6.624984742137e-08      -5.090747206732e-09       1.129160347048e-04      -1.816394099898e-07       6.026125480156e-05       2.399356767803e-07       7.825181730908e-08       2.162143086994e-08       9.939100633975e-09       5.728779471218e-09 
   16       1.166114619376e-10       8.273606400997e-16       1.603493161299e-13       0.000000000000e+00       4.865916577195e-10       4.600675516774e-11       7.284514008556e-15       5.321866294482e-03      -1.899523869887e-09      -3.514153193857e-09      -4.656137229512e-10       2.479197012849e-09       1.264142779601e-03      -8.191167159028e-09      -8.933315888585e-10       6.774660976701e-10       2.983653886364e-04      -6.648070834075e-08      -2.758467326909e-09       1.281668590011e-04      -1.879650620832e-07       6.838535170991e-05       2.439844193727e-07       8.112176732259e-08       2.262189030500e-08       1.042944428103e-08       6.022243716311e-09 
   17       1.179481615508e-10       8.268121035786e-16       1.708125837725e-13       0.000000000000e+00       4.397412926104e-10       4.202070119685e-11      -2.781823149818e-14       5.973840021644e-03      -4.232454843242e-10       4.809555588124e-08      -4.779348444169e-11      -5.172773653086e-09       1.425345586253e-03      -1.639288717474e-09      -6.901893017345e-09       4.409874781298e-10       3.362875847236e-04      -5.884131701798e-08      -6.394897485522e-09       1.443950741469e-04      -1.892829881668e-07       7.702751004425e-05       2.471831055292e-07       8.379148751240e-08       2.359250803038e-08       1.090566003408e-08       6.308921082315e-09 
   18       1.193955123259e-10       8.792800927550e-16       1.813009439509e-13       0.000000000000e+00       3.990794509576e-10       3.848082639571e-11      -5.221014285132e-14       6.655953809852e-03       8.625941637644e-10       4.219210186117e-08      -4.200269710607e-10      -9.157672059567e-09       1.596159309388e-03       1.702293977511e-09      -3.404286338604e-09       6.867826023909e-10       3.765309147314e-04      -5.527194441667e-08      -6.479679182454e-09       1.616145798610e-04      -1.907484577401e-07       8.619545886387e-05       2.495860975210e-07       8.626728007322e-08       2.451671328161e-08       1.136915319226e-08       6.588017059869e-09 
   19       1.209611295337e-10       9.521470280562e-16       1.908421318851e-13       0.000000000000e+00       3.639622668502e-10       3.535687261933e-11      -6.499576387303e-14       7.366295154509e-03      -6.467032572842e-10      -2.933776494920e-08      -1.206819017440e-09      -7.307701417428e-09       1.776493593837e-03       2.362874316183e-09       3.286301908255e-09       2.544901165317e-09       4.190978998062e-04      -5.573718757706e-08      -3.294376367992e-09       1.798284863553e-04      -1.926264716149e-07       9.589135498250e-05       2.512803299749e-07       8.856402665017e-08       2.539572982027e-08       1.181885677124e-08       6.858996724162e-09 
   20       1.225913196883e-10       1.011952032048e-15       1.986586169436e-13       0.000000000000e+00       3.330335917961e-10       3.259461897899e-11      -6.698262610990e-14       8.102891742435e-03      -4.741298454531e-09      -8.497103881850e-08      -8.769566256108e-10      -4.900833971459e-09       1.966234777292e-03       3.949728536091e-09       3.402552169390e-09       3.968119018570e-09       4.639861186045e-04      -5.271244203468e-08      -2.457642311131e-09       1.990311976108e-04      -1.924227785252e-07       1.061130166178e-04       2.522943803093e-07       9.068387115388e-08       2.623579594802e-08       1.225155816413e-08       7.120648632333e-09 
   21       1.242978481715e-10       1.061695922526e-15       2.048193057892e-13       0.000000000000e+00       3.058073481092e-10       3.015049025785e-11      -6.030639360849e-14       8.863750159026e-03      -7.731303713783e-09      -7.178107481478e-08       1.589970043042e-11      -1.882995221620e-09       2.165258798595e-03       6.501100126691e-09      -3.731391829275e-10       4.665098897287e-09       5.111948332580e-04      -4.633075253045e-08      -3.056176869556e-09       2.192234367054e-04      -1.907681678482e-07       1.168624364284e-04       2.526965911544e-07       9.263803776345e-08       2.704676874264e-08       1.266821321657e-08       7.374180211049e-09 
