# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
   32       1.463617632040e-10       3.670629763696e-15       2.628460053386e-13       4.739133194637e-17       1.498311332475e-10       1.496593395538e-11      -1.837460265634e-14       8.637324004584e-04       1.053734516523e-07 
   33       1.485360474250e-10       4.077907900291e-15       2.659554483404e-13       5.038232509745e-17       1.414095610151e-10       1.417882273696e-11      -2.178524959936e-14       9.190503282032e-04       1.057752669182e-07 
   34       1.507094922872e-10       4.504782316123e-15       2.671935427592e-13       5.346563646773e-17       1.336682218889e-10       1.344868383820e-11      -2.317659672935e-14       9.755029529923e-04       1.060812557036e-07 
   35       1.529355392779e-10       4.953171394561e-15       2.665481636013e-13       5.664155416143e-17       1.264501693202e-10       1.276798829219e-11      -2.261583531309e-14       1.033006267191e-03       1.062984240430e-07 
   36       1.552576002204e-10       5.426983232373e-15       2.641144154478e-13       5.991040940360e-17       1.196425651896e-10       1.213052577844e-11      -2.041337087874e-14       1.091475831998e-03       1.064310965079e-07 
   37       1.576127407796e-10       5.931312999950e-15       2.599211668477e-13       6.327254882642e-17       1.136327922868e-10       1.154823740276e-11      -1.700069308114e-14       1.150828482108e-03       1.064762529933e-07 
   38       1.599222490170e-10       6.471419357176e-15       2.540352857745e-13       6.672834681647e-17       1.085487640911e-10       1.102256214547e-11      -1.300473567400e-14       1.210981486899e-03       1.064340576195e-07 
   39       1.622330136412e-10       7.049582697436e-15       2.467157464718e-13       7.027816519914e-17       1.025781619831e-10       1.048538454464e-11      -9.470703681737e-15       1.271851155836e-03       1.063413041910e-07 
   40       1.646126928785e-10       7.666785052975e-15       2.382570226248e-13       7.392237229908e-17       9.408461348384e-11       9.874870677592e-12      -7.376062788442e-15       1.333354330445e-03       1.062307864014e-07 
   41       1.670376225123e-10       8.322054982612e-15       2.287015604605e-13       7.766129294177e-17       8.570520915369e-11       9.287086511103e-12      -6.373406016233e-15       1.395409418761e-03       1.060609672876e-07 
   42       1.694630640414e-10       9.013934736969e-15       2.180199183989e-13       8.149523645166e-17       8.063871657472e-11       8.838458151040e-12      -5.837214929134e-15       1.457936613426e-03       1.057786941304e-07 
   43       1.718966199800e-10       9.742489974433e-15       2.061868924736e-13       8.542445162713e-17       7.765145740712e-11       8.483063183060e-12      -5.923230769061e-15       1.520858122985e-03       1.054069640292e-07 
   44       1.743571021428e-10       1.050813488998e-14       1.931534626695e-13       8.944914742753e-17       7.448491492658e-11       8.136988798342e-12      -6.906370164203e-15       1.584098268588e-03       1.049854987141e-07 
   45       1.768471880761e-10       1.131115032457e-14       1.787699457646e-13       9.356942984896e-17       7.092824056941e-11       7.791648046955e-12      -8.507833735535e-15       1.647582589313e-03       1.045218889651e-07 
   46       1.793623746042e-10       1.215170119792e-14       1.628371064811e-13       9.778535731043e-17       6.738493100281e-11       7.460406818528e-12      -1.022853627205e-14       1.711239181069e-03       1.040123995109e-07 
   47       1.818968751494e-10       1.302983480593e-14       1.451512717244e-13       1.020969415445e-16       6.422426480608e-11       7.154881422590e-12      -1.157085762108e-14       1.774999207711e-03       1.034525368300e-07 
   48       1.844522797542e-10       1.394545894580e-14       1.255919992487e-13       1.065040819350e-16       6.143276795691e-11       6.873530284731e-12      -1.236123053037e-14       1.838796493632e-03       1.028462174396e-07 
   49       1.870308369558e-10       1.489834793937e-14       1.040565042885e-13       1.110066094784e-16       5.886898609498e-11       6.609905744786e-12      -1.251117337645e-14       1.902568475296e-03       1.021987331761e-07 
   50       1.896333650894e-10       1.588838581611e-14       8.046536707418e-14       1.156043007526e-16       5.639662540190e-11       6.357530602994e-12      -1.197091926804e-14       1.966256175868e-03       1.015142016840e-07 
   51       1.922609161437e-10       1.691637238296e-14       5.486397984502e-14       1.202968721130e-16       5.400964723179e-11       6.115877500210e-12      -1.087470185518e-14       2.029802530928e-03       1.007960600489e-07 
   52       1.949132584242e-10       1.798342585119e-14       2.734796799574e-14       1.250839793046e-16       5.173790608327e-11       5.885820208775e-12      -9.434748466843e-15       2.093154253845e-03       1.000464593087e-07 
   53       1.975892098422e-10       1.909041939157e-14      -1.973243957290e-15       1.299652334003e-16       4.960476871231e-11       5.667821193837e-12      -7.885515486947e-15       2.156262189148e-03       9.926676403996e-08 
   54       2.002897728782e-10       2.023685245073e-14      -3.300575162113e-14       1.349402568024e-16       4.760378900209e-11       5.461591682745e-12      -6.428383100754e-15       2.219079808066e-03       9.846009186604e-08 
   55       2.030155435765e-10       2.142169907387e-14      -6.564754904331e-14       1.400086369099e-16       4.571592200747e-11       5.266300692866e-12      -5.276172020435e-15       2.281564926426e-03       9.762919479317e-08 
   56       2.057662894356e-10       2.264397952760e-14      -9.980315107825e-14       1.451699378106e-16       4.392087671004e-11       5.080904533991e-12      -4.619278139579e-15       2.343679764475e-03       9.677607842214e-08 
   57       2.085428403702e-10       2.390361250015e-14      -1.354611811894e-13       1.504237973425e-16       4.221379361324e-11       4.905005204957e-12      -4.458748623158e-15       2.405388704939e-03       9.590344217842e-08 
   58       2.113454688087e-10       2.520075573067e-14      -1.726345586936e-13       1.557698502851e-16       4.059200852321e-11       4.738150850016e-12      -4.734611005757e-15       2.466660550814e-03       9.501341660249e-08 
   59       2.141738883093e-10       2.653552453478e-14      -2.113457520735e-13       1.612077442202e-16       3.905114073539e-11       4.579684080619e-12      -5.366284906714e-15       2.527468608600e-03       9.410758272879e-08 
   60       2.170292963411e-10       2.790786604846e-14      -2.516505240768e-13       1.667372850510e-16       3.758845520661e-11       4.429110495111e-12      -6.230546008166e-15       2.587787924119e-03       9.318864704261e-08 
   61       2.199126550483e-10       2.931765769047e-14      -2.936201073985e-13       1.723583238590e-16       3.619999029280e-11       4.285782663563e-12      -7.177230671328e-15       2.647597919052e-03       9.225901186736e-08 
   62       2.228240197775e-10       3.076474317749e-14      -3.373349578909e-13       1.780707158007e-16       3.487942184337e-11       4.148774762887e-12      -8.034429381167e-15       2.706883523315e-03       9.132021040782e-08 
   63       2.257630385424e-10       3.224883260512e-14      -3.828660263937e-13       1.838743610091e-16       3.361967124117e-11       4.017122801985e-12      -8.645912235228e-15       2.765634121163e-03       9.037335009970e-08 
   64       2.287307210068e-10       3.376917777493e-14      -4.302127626127e-13       1.897693361506e-16       3.241842826651e-11       3.890639637803e-12      -8.994945708033e-15       2.823839535885e-03       8.942069828411e-08 
   65       2.317279428731e-10       3.532482548135e-14      -4.793523835274e-13       1.957557928582e-16       3.127360690132e-11       3.769251903418e-12      -9.105952273071e-15       2.881493629826e-03       8.846433036757e-08 
   66       2.347548705600e-10       3.691470787175e-14      -5.302577763431e-13       2.018339218814e-16       3.018163903608e-11       3.652753608933e-12      -9.008796094716e-15       2.938595757649e-03       8.750560606700e-08 
   67       2.378113255938e-10       3.853770126898e-14      -5.828962996792e-13       2.080039601724e-16       2.913834983212e-11       3.540878502614e-12      -8.746179752246e-15       2.995149286318e-03       8.654552019827e-08 
   68       2.408980700458e-10       4.019282378751e-14      -6.372261317701e-13       2.142662096313e-16       2.814196552117e-11       3.433550549620e-12      -8.397068640725e-15       3.051156307129e-03       8.558594710984e-08 
   69       2.440157021272e-10       4.187907282096e-14      -6.931989834469e-13       2.206210255977e-16       2.719058815713e-11       3.330672247978e-12      -8.058528264455e-15       3.106622228245e-03       8.462856637019e-08 
   70       2.471642326349e-10       4.359536512800e-14      -7.507609978322e-13       2.270688139606e-16       2.628124669899e-11       3.232044611875e-12      -7.839409440577e-15       3.161557552342e-03       8.367444905172e-08 
