# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
   32       1.462922712599e-10       3.623319789702e-15       2.629495925232e-13       0.000000000000e+00       1.498311332475e-10       1.496593395538e-11      -1.837460265634e-14       8.654680349483e-04       1.053734510055e-07 
   33       1.484628080070e-10       4.027634315170e-15       2.660693163463e-13       0.000000000000e+00       1.414095610151e-10       1.417882273696e-11      -2.178524959936e-14       9.208944391475e-04       1.057752657487e-07 
   34       1.506324334373e-10       4.451458619434e-15       2.673182925822e-13       0.000000000000e+00       1.336682218889e-10       1.344868383820e-11      -2.317659672935e-14       9.774588274998e-04       1.060812549470e-07 
   35       1.528545913796e-10       4.896711543759e-15       2.666843999541e-13       0.000000000000e+00       1.264501693202e-10       1.276798829219e-11      -2.261583531309e-14       1.035077192364e-03       1.062984239260e-07 
   36       1.551726961963e-10       5.367301644664e-15       2.642627432031e-13       0.000000000000e+00       1.196425651896e-10       1.213052577844e-11      -2.041337087874e-14       1.093665094931e-03       1.064310962276e-07 
   37       1.575238162594e-10       5.868324574416e-15       2.600821851880e-13       0.000000000000e+00       1.136327922868e-10       1.154823740276e-11      -1.700069308114e-14       1.153139369831e-03       1.064762522700e-07 
   38       1.598292425111e-10       6.405039492180e-15       2.542095830679e-13       0.000000000000e+00       1.085487640911e-10       1.102256214547e-11      -1.300473567400e-14       1.213417286358e-03       1.064340569872e-07 
   39       1.621358666134e-10       6.979727345568e-15       2.469038926657e-13       0.000000000000e+00       1.025781619831e-10       1.048538454464e-11      -9.470703681737e-15       1.274415153895e-03       1.063413038457e-07 
   40       1.645113498613e-10       7.593370763458e-15       2.384595625632e-13       0.000000000000e+00       9.408461348384e-11       9.874870677592e-12      -7.376062788442e-15       1.336049813935e-03       1.062307860037e-07 
   41       1.669320310590e-10       8.244998998299e-15       2.289190048696e-13       0.000000000000e+00       8.570520915369e-11       9.287086511103e-12      -6.373406016233e-15       1.398239674676e-03       1.060609668394e-07 
   42       1.693531747704e-10       8.933155065875e-15       2.182527358786e-13       0.000000000000e+00       8.063871657472e-11       8.838458151040e-12      -5.837214929134e-15       1.460904928951e-03       1.057786940797e-07 
   43       1.717823864564e-10       9.657905515497e-15       2.064354997514e-13       0.000000000000e+00       7.765145740712e-11       8.483063183060e-12      -5.923230769061e-15       1.523967785238e-03       1.054069643951e-07 
   44       1.742384808312e-10       1.041966554143e-14       1.934182156698e-13       0.000000000000e+00       7.448491492658e-11       8.136988798342e-12      -6.906370164203e-15       1.587352564547e-03       1.049854989538e-07 
   45       1.767241380252e-10       1.121871718129e-14       1.790511297250e-13       0.000000000000e+00       7.092824056941e-11       7.791648046955e-12      -8.507833735535e-15       1.650984805890e-03       1.045218887382e-07 
   46       1.792348573772e-10       1.205522667602e-14       1.631349265234e-13       0.000000000000e+00       6.738493100281e-11       7.460406818528e-12      -1.022853627205e-14       1.714792605119e-03       1.040123989516e-07 
   47       1.817648547506e-10       1.292924277355e-14       1.454658438911e-13       0.000000000000e+00       6.422426480608e-11       7.154881422590e-12      -1.157085762108e-14       1.778707126022e-03       1.034525364759e-07 
   48       1.843157222336e-10       1.384067496356e-14       1.259233429245e-13       0.000000000000e+00       6.143276795691e-11       6.873530284731e-12      -1.236123053037e-14       1.842662192883e-03       1.028462176309e-07 
   49       1.868897102474e-10       1.478929942858e-14       1.044045329787e-13       0.000000000000e+00       5.886898609498e-11       6.609905744786e-12      -1.251117337645e-14       1.906595242036e-03       1.021987338402e-07 
   50       1.894876389037e-10       1.577500221402e-14       8.082988009380e-14       0.000000000000e+00       5.639662540190e-11       6.357530602994e-12      -1.197091926804e-14       1.970447296693e-03       1.015142023869e-07 
   51       1.921105617457e-10       1.679858534034e-14       5.524465947281e-14       0.000000000000e+00       5.400964723179e-11       6.115877500210e-12      -1.087470185518e-14       2.034161293305e-03       1.007960604516e-07 
   52       1.947582484900e-10       1.786116940788e-14       2.774437203277e-14       0.000000000000e+00       5.173790608327e-11       5.885820208775e-12      -9.434748466843e-15       2.097683946457e-03       1.000464593218e-07 
   53       1.974295183816e-10       1.896363012933e-14      -1.561688764882e-15       0.000000000000e+00       4.960476871231e-11       5.667821193837e-12      -7.885515486947e-15       2.160966101020e-03       9.926676380973e-08 
   54       2.001253752812e-10       2.010546959200e-14      -3.257974734024e-14       0.000000000000e+00       4.760378900209e-11       5.461591682745e-12      -6.428383100754e-15       2.223961224178e-03       9.846009157234e-08 
   55       2.028464165602e-10       2.128566463050e-14      -6.520793133877e-14       0.000000000000e+00       4.571592200747e-11       5.266300692866e-12      -5.276172020435e-15       2.286627125952e-03       9.762919459086e-08 
   56       2.055924110450e-10       2.250323842700e-14      -9.935089367599e-14       0.000000000000e+00       4.392087671004e-11       5.080904533991e-12      -4.619278139579e-15       2.348926024579e-03       9.677607842807e-08 
   57       2.083641902797e-10       2.375811257108e-14      -1.349973905397e-13       0.000000000000e+00       4.221379361324e-11       4.905005204957e-12      -4.458748623158e-15       2.410822319732e-03       9.590344243525e-08 
   58       2.111620283914e-10       2.505044780363e-14      -1.721604763167e-13       0.000000000000e+00       4.059200852321e-11       4.738150850016e-12      -4.734611005757e-15       2.472284838794e-03       9.501341705949e-08 
   59       2.139856407722e-10       2.638036249715e-14      -2.108627564982e-13       0.000000000000e+00       3.905114073539e-11       4.579684080619e-12      -5.366284906714e-15       2.533286901533e-03       9.410758325472e-08 
   60       2.168362273496e-10       2.774780660983e-14      -2.511601221265e-13       0.000000000000e+00       3.758845520661e-11       4.429110495111e-12      -6.230546008166e-15       2.593803508971e-03       9.318864752310e-08 
   61       2.197147529771e-10       2.915266037601e-14      -2.931239337287e-13       0.000000000000e+00       3.619999029280e-11       4.285782663563e-12      -7.177230671328e-15       2.653814016194e-03       9.225901223650e-08 
   62       2.226212758270e-10       3.059477040516e-14      -3.368347775122e-13       0.000000000000e+00       3.487942184337e-11       4.148774762887e-12      -8.034429381167e-15       2.713303277817e-03       9.132021065558e-08 
   63       2.255554469928e-10       3.207384964528e-14      -3.823637351772e-13       0.000000000000e+00       3.361967124117e-11       4.017122801985e-12      -8.645912235228e-15       2.772260647933e-03       9.037335026755e-08 
   64       2.285182799047e-10       3.358915232705e-14      -4.297103813789e-13       0.000000000000e+00       3.241842826651e-11       3.890639637803e-12      -8.994945708033e-15       2.830676140788e-03       8.942069842101e-08 
   65       2.315106543908e-10       3.513972755013e-14      -4.788520570283e-13       0.000000000000e+00       3.127360690132e-11       3.769251903418e-12      -9.105952273071e-15       2.888543892694e-03       8.846433051746e-08 
   66       2.345327412417e-10       3.672450975042e-14      -5.297617739476e-13       0.000000000000e+00       3.018163903608e-11       3.652753608933e-12      -9.008796094716e-15       2.945863565723e-03       8.750560626771e-08 
   67       2.375843666031e-10       3.834237743466e-14      -5.824070168893e-13       0.000000000000e+00       2.913834983212e-11       3.540878502614e-12      -8.746179752246e-15       3.002638642580e-03       8.654552047207e-08 
   68       2.406662973936e-10       3.999235051938e-14      -6.367460947070e-13       0.000000000000e+00       2.814196552117e-11       3.433550549620e-12      -8.397068640725e-15       3.058870406728e-03       8.558594742700e-08 
   69       2.437791369327e-10       4.167342803242e-14      -6.927308507551e-13       0.000000000000e+00       2.719058815713e-11       3.330672247978e-12      -8.058528264455e-15       3.114563118013e-03       8.462856663385e-08 
   70       2.469229014053e-10       4.338452827292e-14      -7.503075615832e-13       0.000000000000e+00       2.628124669899e-11       3.232044611875e-12      -7.839409440577e-15       3.169725998760e-03       8.367444909035e-08 
   71       2.500973090468e-10       4.512463071155e-14      -8.094287768921e-13       0.000000000000e+00       2.541057623333e-11       3.137424216091e-12      -7.833338976329e-15       3.224372887589e-03       8.272435148162e-08 
   72       2.533027933442e-10       4.689323710611e-14      -8.700918015382e-13       0.000000000000e+00       2.457712451124e-11       3.046718539359e-12      -8.030656523345e-15       3.278520741504e-03       8.177974930066e-08 
   73       2.565396225699e-10       4.868999770730e-14      -9.323074950929e-13       0.000000000000e+00       2.377940223415e-11       2.959819586014e-12      -8.390038092317e-15       3.332191150333e-03       8.084193729384e-08 
   74       2.598075638553e-10       5.051457754946e-14      -9.960891091451e-13       0.000000000000e+00       2.301515725868e-11       2.876541523611e-12      -8.864200394902e-15       3.385410984938e-03       7.991168566240e-08 
   75       2.631061641093e-10       5.236645888921e-14      -1.061440735578e-12       0.000000000000e+00       2.228190753580e-11       2.796664781721e-12      -9.402825521803e-15       3.438207551773e-03       7.898952954116e-08 
   76       2.664357158434e-10       5.424430234089e-14      -1.128319857401e-12       0.000000000000e+00       2.157873080850e-11       2.720085820791e-12      -9.962440909761e-15       3.490592670448e-03       7.807676573427e-08 
   77       2.697964187681e-10       5.614647052549e-14      -1.196668120547e-12       0.000000000000e+00       2.090474366364e-11       2.646688537115e-12      -1.049797717221e-14       3.542575931111e-03       7.717458634220e-08 
   78       2.731880645141e-10       5.807121465568e-14      -1.266422325412e-12       0.000000000000e+00       2.025854048580e-11       2.576296377757e-12      -1.095963832406e-14       3.594169491319e-03       7.628375258601e-08 
   79       2.766100146212e-10       6.001667216084e-14      -1.337514329455e-12       0.000000000000e+00       1.963817053803e-11       2.508669701959e-12      -1.129275016675e-14       3.645388129893e-03       7.540457146949e-08 
   80       2.800615621110e-10       6.198086230451e-14      -1.409873007218e-12       0.000000000000e+00       1.904157609762e-11       2.443558560800e-12      -1.145425034409e-14       3.696259178525e-03       7.453718019312e-08 
   81       2.835431369434e-10       6.396167738495e-14      -1.483430736654e-12       0.000000000000e+00       1.846804491334e-11       2.380877397000e-12      -1.146579007346e-14       3.746854184448e-03       7.368250762229e-08 
   82       2.870552707054e-10       6.595688566372e-14      -1.558117866723e-12       0.000000000000e+00       1.791696933211e-11       2.320556009787e-12      -1.136962078424e-14       3.797262870559e-03       7.284143797150e-08 
   83       2.905982169427e-10       6.796413086260e-14      -1.633860701646e-12       0.000000000000e+00       1.738739348850e-11       2.262485243911e-12      -1.121292568590e-14       3.847583979174e-03       7.201450051632e-08 
   84       2.941719362523e-10       6.998092975145e-14      -1.710581441606e-12       0.000000000000e+00       1.687799892352e-11       2.206515377320e-12      -1.104797633216e-14       3.897925508809e-03       7.120185195462e-08 
   85       2.977763088993e-10       7.200495521447e-14      -1.788214324012e-12       0.000000000000e+00       1.638738232847e-11       2.152489066059e-12      -1.091973086391e-14       3.948352288082e-03       7.040349326640e-08 
   86       3.014118453110e-10       7.403494401024e-14      -1.866757215400e-12       0.000000000000e+00       1.591497252731e-11       2.100349908530e-12      -1.082595169027e-14       3.998718310866e-03       6.961999971157e-08 
   87       3.050790652252e-10       7.606993407330e-14      -1.946228406787e-12       0.000000000000e+00       1.546023810753e-11       2.050048800304e-12      -1.075080738770e-14       4.048807224880e-03       6.885187867440e-08 
   88       3.087782695130e-10       7.810899450992e-14      -2.026651368834e-12       0.000000000000e+00       1.502239921658e-11       2.001509929705e-12      -1.067680075775e-14       4.098381931802e-03       6.809933221840e-08 
   89       3.125095290057e-10       8.015122787238e-14      -2.108054958500e-12       0.000000000000e+00       1.460041797610e-11       1.954629732766e-12      -1.058471923543e-14       4.147183959536e-03       6.736224329704e-08 
   90       3.162727169602e-10       8.219563590760e-14      -2.190452852485e-12       0.000000000000e+00       1.419322251125e-11       1.909301515501e-12      -1.045785342493e-14       4.195106388930e-03       6.664040361195e-08 
   91       3.200676365567e-10       8.424068798351e-14      -2.273777741267e-12       0.000000000000e+00       1.380043974145e-11       1.865495973877e-12      -1.029551066808e-14       4.242744743527e-03       6.593426772561e-08 
   92       3.238938926768e-10       8.628468956516e-14      -2.357937255614e-12       0.000000000000e+00       1.342175917027e-11       1.823191301456e-12      -1.010151707427e-14       4.290930837513e-03       6.524429110217e-08 
   93       3.277508396397e-10       8.832591304636e-14      -2.442833734021e-12       0.000000000000e+00       1.305670331925e-11       1.782347975083e-12      -9.880148905966e-15       4.340568722837e-03       6.457068877414e-08 
   94       3.316375706684e-10       9.036259802353e-14      -2.528364124996e-12       0.000000000000e+00       1.270462156518e-11       1.742908085922e-12      -9.636145523806e-15       4.392636604409e-03       6.391342509382e-08 
