# Matter power spectrum P(k) at redshift z=0.5
# for k=1.045e-05 to 8.48825 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795276e-02       1.537511829505e+04 
       1.362707802683e-02       1.540236608630e+04 
       1.375610441532e-02       1.542776936077e+04 
       1.388516723129e-02       1.545243174458e+04 
       1.401426661081e-02       1.547591668359e+04 
       1.414340271265e-02       1.549792812509e+04 
       1.427257571792e-02       1.551895542006e+04 
       1.440178582977e-02       1.553843543959e+04 
       1.453103327311e-02       1.555661332743e+04 
       1.466031829438e-02       1.557363528726e+04 
       1.478964116137e-02       1.558907109304e+04 
       1.491900216301e-02       1.560397217030e+04 
       1.504840160920e-02       1.561737720423e+04 
       1.517783983073e-02       1.562961536889e+04 
       1.530731717916e-02       1.564064710316e+04 
       1.543683402673e-02       1.565063163806e+04 
       1.556639076630e-02       1.565944614762e+04 
       1.569598781137e-02       1.566711504406e+04 
       1.582562559600e-02       1.567379355867e+04 
       1.595530457487e-02       1.567929409084e+04 
       1.608502522327e-02       1.568378245971e+04 
       1.621478803722e-02       1.568722045691e+04 
       1.634459353345e-02       1.568917110461e+04 
       1.647444224958e-02       1.569093232119e+04 
       1.660433474414e-02       1.569131657776e+04 
       1.673427159678e-02       1.569069536568e+04 
       1.686425340835e-02       1.568868194491e+04 
       1.699428080111e-02       1.568645439160e+04 
       1.712435441886e-02       1.568258848656e+04 
       1.725447492718e-02       1.567813110527e+04 
       1.738464301363e-02       1.567309747268e+04 
       1.751485938798e-02       1.566645716045e+04 
       1.764512478243e-02       1.565952752952e+04 
       1.777543995193e-02       1.565101131075e+04 
       1.790580567440e-02       1.564199904841e+04 
       1.803622275109e-02       1.563266048035e+04 
       1.816669200684e-02       1.562148464398e+04 
       1.829721429042e-02       1.561009424475e+04 
       1.842779047491e-02       1.559764376918e+04 
       1.855842145803e-02       1.558492266959e+04 
       1.868910816253e-02       1.557104238939e+04 
       1.881985153660e-02       1.555627943417e+04 
       1.895065255427e-02       1.554075155061e+04 
       1.908151221584e-02       1.552447221212e+04 
       1.921243154835e-02       1.550722236558e+04 
       1.934341160602e-02       1.548936192667e+04 
       1.947445347077e-02       1.547118999521e+04 
       1.960555825268e-02       1.545164332311e+04 
       1.973672709056e-02       1.543214503829e+04 
       1.986796115246e-02       1.541110511577e+04 
       1.999926163623e-02       1.538977339582e+04 
       2.013062977012e-02       1.536789607770e+04 
       2.026206681336e-02       1.534534978293e+04 
       2.039357405681e-02       1.532208890112e+04 
       2.052515282356e-02       1.529844006860e+04 
       2.065680446963e-02       1.527389415628e+04 
       2.078853038464e-02       1.524859124436e+04 
       2.092033199250e-02       1.522288134755e+04 
       2.105221075219e-02       1.519662418146e+04 
       2.118416815845e-02       1.517004270715e+04 
       2.131620574262e-02       1.514255931710e+04 
       2.144832507339e-02       1.511420468339e+04 
       2.158052775766e-02       1.508572797088e+04 
       2.171281544139e-02       1.505656278478e+04 
       2.184518981047e-02       1.502687323754e+04 
       2.197765259164e-02       1.499704376886e+04 
       2.211020555343e-02       1.496606507165e+04 
       2.224285050711e-02       1.493491428238e+04 
       2.237558930770e-02       1.490325754285e+04 
       2.250842385501e-02       1.487099429469e+04 
       2.264135609466e-02       1.483842184975e+04 
       2.277438801924e-02       1.480536795428e+04 
       2.290752166936e-02       1.477189904109e+04 
       2.304075913487e-02       1.473821608253e+04 
       2.317410255604e-02       1.470347650725e+04 
       2.330755412480e-02       1.466867330068e+04 
       2.344111608601e-02       1.463341846943e+04 
       2.357479073879e-02       1.459810498436e+04 
       2.370858043787e-02       1.456172551510e+04 
       2.384248759499e-02       1.452535873391e+04 
       2.397651468034e-02       1.448880671942e+04 
       2.411066422407e-02       1.445136987649e+04 
       2.424493881783e-02       1.441373590882e+04 
       2.437934111633e-02       1.437586586069e+04 
       2.451387383901e-02       1.433790728007e+04 
       2.464853977174e-02       1.429932293244e+04 
       2.478334176854e-02       1.426014486325e+04 
       2.491828275342e-02       1.422121481143e+04 
       2.505336572221e-02       1.418137224647e+04 
       2.518859374453e-02       1.414157533798e+04 
       2.532396996575e-02       1.410165662617e+04 
       2.545949760907e-02       1.406101972918e+04 
       2.559517997761e-02       1.402029009542e+04 
       2.573102045669e-02       1.397953523546e+04 
       2.586702251600e-02       1.393831845857e+04 
       2.600318971206e-02       1.389674183618e+04 
       2.613952569055e-02       1.385479093245e+04 
       2.627603418892e-02       1.381293392620e+04 
       2.641271903892e-02       1.377067145568e+04 
       2.654958416936e-02       1.372826847369e+04 
       2.668663360886e-02       1.368536197906e+04 
       2.682387148875e-02       1.364264343694e+04 
       2.696130204606e-02       1.359947042745e+04 
       2.709892962664e-02       1.355608850546e+04 
       2.723675868836e-02       1.351251574082e+04 
       2.737479380444e-02       1.346888780321e+04 
       2.751303966691e-02       1.342499102187e+04 
       2.765150109016e-02       1.338093208800e+04 
       2.779018301472e-02       1.333662935005e+04 
       2.792909051104e-02       1.329208543807e+04 
       2.806822878352e-02       1.324750479434e+04 
       2.820760317466e-02       1.320281077371e+04 
       2.834721916939e-02       1.315788434318e+04 
       2.848708239949e-02       1.311286747479e+04 
       2.862719864828e-02       1.306764417162e+04 
       2.876757385545e-02       1.302233886603e+04 
       2.890821412206e-02       1.297692722046e+04 
       2.904912571580e-02       1.293140586206e+04 
       2.919031507636e-02       1.288574295270e+04 
       2.933178882113e-02       1.284007742306e+04 
       2.947355375108e-02       1.279404485017e+04 
       2.961561685685e-02       1.274813323807e+04 
       2.975798532515e-02       1.270198751103e+04 
       2.990066654541e-02       1.265594968417e+04 
       3.004366811665e-02       1.260960302560e+04 
       3.018699785478e-02       1.256329635239e+04 
       3.033066380005e-02       1.251692477705e+04 
       3.047467422493e-02       1.247038260249e+04 
       3.061903764232e-02       1.242401543582e+04 
       3.076376281406e-02       1.237725020851e+04 
       3.090885875989e-02       1.233056772271e+04 
       3.105433476679e-02       1.228384326194e+04 
       3.120020039870e-02       1.223706707871e+04 
       3.134646550675e-02       1.219032227458e+04 
       3.149314023990e-02       1.214343424674e+04 
       3.164023505612e-02       1.209659404488e+04 
       3.178776073406e-02       1.204953623289e+04 
       3.193572838529e-02       1.200259995996e+04 
       3.208414946714e-02       1.195562581404e+04 
       3.223303579609e-02       1.190849351776e+04 
       3.238239956191e-02       1.186153910899e+04 
       3.253225334243e-02       1.181442511085e+04 
       3.268261011904e-02       1.176720941132e+04 
       3.283348329301e-02       1.172015636183e+04 
       3.298488670259e-02       1.167305043401e+04 
       3.313683464103e-02       1.162585987409e+04 
       3.328934187547e-02       1.157865427874e+04 
       3.344242366689e-02       1.153160806278e+04 
       3.359609579103e-02       1.148437603180e+04 
       3.375037456053e-02       1.143715616219e+04 
       3.390527684814e-02       1.139015352927e+04 
       3.406082011128e-02       1.134283869643e+04 
       3.421702241794e-02       1.129571832726e+04 
       3.437390247395e-02       1.124863321100e+04 
       3.453147965192e-02       1.120145150312e+04 
       3.468977402169e-02       1.115434913355e+04 
       3.484880638259e-02       1.110721669810e+04 
       3.500859829758e-02       1.106011928260e+04 
       3.516917212940e-02       1.101303474427e+04 
       3.533055107886e-02       1.096597533834e+04 
       3.549275922540e-02       1.091897732923e+04 
       3.565582157023e-02       1.087186660339e+04 
       3.581976408199e-02       1.082486869329e+04 
       3.598461374536e-02       1.077787424100e+04 
       3.615039861271e-02       1.073089777857e+04 
       3.631714785906e-02       1.068400552787e+04 
       3.648489184058e-02       1.063698311119e+04 
       3.665366215692e-02       1.059017891678e+04 
       3.682349171774e-02       1.054322035923e+04 
       3.699441481367e-02       1.049636623357e+04 
       3.716646719210e-02       1.044966202674e+04 
       3.733968613823e-02       1.040276372390e+04 
       3.751411056177e-02       1.035594797969e+04 
       3.768978108986e-02       1.030919564324e+04 
       3.786674016657e-02       1.026237191350e+04 
       3.804503215979e-02       1.021564388870e+04 
       3.822470347586e-02       1.016895585902e+04 
       3.840580268302e-02       1.012220214234e+04 
       3.858838064404e-02       1.007548450759e+04 
       3.877249065931e-02       1.002884202888e+04 
       3.895818862096e-02       9.982112615868e+03 
       3.914553317941e-02       9.935468534197e+03 
       3.933458592328e-02       9.888787738789e+03 
       3.952541157417e-02       9.842172075254e+03 
       3.971807819759e-02       9.795490197851e+03 
       3.991265743180e-02       9.748870815406e+03 
       4.010922473646e-02       9.702224356247e+03 
       4.030785966288e-02       9.655580595662e+03 
       4.050864614847e-02       9.608848860971e+03 
       4.071167283779e-02       9.562161963878e+03 
       4.091703343322e-02       9.515505082137e+03 
       4.112482707841e-02       9.468765026409e+03 
       4.133515877846e-02       9.422019247929e+03 
       4.154813986079e-02       9.375237358898e+03 
       4.176388848168e-02       9.328337883267e+03 
       4.198253018382e-02       9.281469532414e+03 
       4.220419851120e-02       9.234612330018e+03 
       4.242903568833e-02       9.187598631440e+03 
       4.265719337197e-02       9.140630772628e+03 
       4.288883348483e-02       9.093491928307e+03 
       4.312412914181e-02       9.046369030199e+03 
       4.336326568147e-02       8.998973876443e+03 
       4.360644181685e-02       8.951678587412e+03 
       4.385387092265e-02       8.904147356558e+03 
