# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 8.48825 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795276e-02       2.570498032250e+04 
       1.362707802683e-02       2.574830663289e+04 
       1.375610441532e-02       2.578827753738e+04 
       1.388516723129e-02       2.582716965363e+04 
       1.401426661081e-02       2.586416074726e+04 
       1.414340271265e-02       2.589928291965e+04 
       1.427257571792e-02       2.593238251587e+04 
       1.440178582977e-02       2.596286590946e+04 
       1.453103327311e-02       2.599090409709e+04 
       1.466031829438e-02       2.601736763441e+04 
       1.478964116137e-02       2.604076339084e+04 
       1.491900216301e-02       2.606370590453e+04 
       1.504840160920e-02       2.608402654236e+04 
       1.517783983073e-02       2.610223128999e+04 
       1.530731717916e-02       2.611830366267e+04 
       1.543683402673e-02       2.613303637759e+04 
       1.556639076630e-02       2.614574128834e+04 
       1.569598781137e-02       2.615619975382e+04 
       1.582562559600e-02       2.616523788185e+04 
       1.595530457487e-02       2.617229320170e+04 
       1.608502522327e-02       2.617804142522e+04 
       1.621478803722e-02       2.618169840663e+04 
       1.634459353345e-02       2.618251405624e+04 
       1.647444224958e-02       2.618345108702e+04 
       1.660433474414e-02       2.618203897906e+04 
       1.673427159678e-02       2.617880376722e+04 
       1.686425340835e-02       2.617331826190e+04 
       1.699428080111e-02       2.616787881091e+04 
       1.712435441886e-02       2.615873170820e+04 
       1.725447492718e-02       2.614924228356e+04 
       1.738464301363e-02       2.613937957126e+04 
       1.751485938798e-02       2.612583020208e+04 
       1.764512478243e-02       2.611265524198e+04 
       1.777543995193e-02       2.609602130954e+04 
       1.790580567440e-02       2.607943360004e+04 
       1.803622275109e-02       2.606139819094e+04 
       1.816669200684e-02       2.604118456069e+04 
       1.829721429042e-02       2.601956040578e+04 
       1.842779047491e-02       2.599743065295e+04 
       1.855842145803e-02       2.597397004312e+04 
       1.868910816253e-02       2.594886417850e+04 
       1.881985153660e-02       2.592214611249e+04 
       1.895065255427e-02       2.589419710539e+04 
       1.908151221584e-02       2.586525744625e+04 
       1.921243154835e-02       2.583467279419e+04 
       1.934341160602e-02       2.580310927768e+04 
       1.947445347077e-02       2.577064963994e+04 
       1.960555825268e-02       2.573605153963e+04 
       1.973672709056e-02       2.570181359036e+04 
       1.986796115246e-02       2.566506943485e+04 
       1.999926163623e-02       2.562759181934e+04 
       2.013062977012e-02       2.558922068589e+04 
       2.026206681336e-02       2.554973683066e+04 
       2.039357405681e-02       2.550890519474e+04 
       2.052515282356e-02       2.546799498760e+04 
       2.065680446963e-02       2.542513731860e+04 
       2.078853038464e-02       2.538116177076e+04 
       2.092033199250e-02       2.533628968148e+04 
       2.105221075219e-02       2.529071238695e+04 
       2.118416815845e-02       2.524483205993e+04 
       2.131620574262e-02       2.519718769641e+04 
       2.144832507339e-02       2.514817974438e+04 
       2.158052775766e-02       2.509922440998e+04 
       2.171281544139e-02       2.504866382108e+04 
       2.184518981047e-02       2.499750262101e+04 
       2.197765259164e-02       2.494613353598e+04 
       2.211020555343e-02       2.489283439475e+04 
       2.224285050711e-02       2.483925873328e+04 
       2.237558930770e-02       2.478486835365e+04 
       2.250842385501e-02       2.472964884140e+04 
       2.264135609466e-02       2.467370915151e+04 
       2.277438801924e-02       2.461695893945e+04 
       2.290752166936e-02       2.455960141048e+04 
       2.304075913487e-02       2.450192503536e+04 
       2.317410255604e-02       2.444252651637e+04 
