# Matter power spectrum P(k) at redshift z=1
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.017762622183e-05       1.976170220385e+01 
       2.270599619585e-05       4.286637671857e+01 
       3.527608514283e-05       6.557706787674e+01 
       4.791988385778e-05       8.812923757396e+01 
       6.066988421975e-05       1.106564632605e+02 
       7.355935332593e-05       1.332585199077e+02 
       8.662261594150e-05       1.560204517509e+02 
       9.989534883415e-05       1.790203574340e+02 
       1.134148905905e-04       2.023333605697e+02 
       1.272205705424e-04       2.260339965251e+02 
       1.413540604450e-04       2.501978466138e+02 
       1.558597525164e-04       2.749027984752e+02 
       1.707851673344e-04       3.002301078357e+02 
       1.861813948374e-04       3.262653570673e+02 
       2.021035712214e-04       3.530993663941e+02 
       2.186113937793e-04       3.808290903211e+02 
       2.357696745644e-04       4.095585118523e+02 
       2.536489320239e-04       4.393995463330e+02 
       2.723260172576e-04       4.704729474795e+02 
       2.918847680560e-04       5.029092100580e+02 
       3.124166791059e-04       5.368494409401e+02 
       3.340215703985e-04       5.724461707374e+02 
       3.568082276376e-04       6.098640551898e+02 
       3.808949780657e-04       6.492803983868e+02 
       4.064101524856e-04       6.908854169202e+02 
       4.334923695260e-04       7.348821310814e+02 
       4.622905620153e-04       7.814857534044e+02 
       4.929636490547e-04       8.309224218407e+02 
       5.256797433982e-04       8.834271087790e+02 
       5.606147756581e-04       9.392405313176e+02 
       5.979504195942e-04       9.986049274394e+02 
       6.378712222315e-04       1.061758569271e+03 
       6.805608847774e-04       1.128929026684e+03 
       7.261977096468e-04       1.200325269361e+03 
       7.749493255645e-04       1.276128907717e+03 
       8.269669200523e-04       1.356485024526e+03 
       8.823793310846e-04       1.441493243356e+03 
       9.412874532796e-04       1.531199811062e+03 
       1.003759470115e-03       1.625591534403e+03 
       1.069827407121e-03       1.724592198354e+03 
       1.139485399650e-03       1.828062102883e+03 
       1.212689891188e-03       1.935800791007e+03 
       1.289361754710e-03       2.047552871062e+03 
       1.369390105154e-03       2.163006008672e+03 
       1.452637391706e-03       2.281826040733e+03 
       1.538945256643e-03       2.403653644205e+03 
       1.628140633441e-03       2.528110431973e+03 
       1.720041619037e-03       2.654814014130e+03 
       1.814462767214e-03       2.783387009709e+03 
       1.911219581325e-03       2.913464313619e+03 
       2.010132108911e-03       3.044698659447e+03 
       2.111027641521e-03       3.176764258503e+03 
       2.213742593189e-03       3.309359213768e+03 
       2.318123671520e-03       3.442206488668e+03 
       2.424028471503e-03       3.575054081259e+03 
       2.531325620865e-03       3.707674534323e+03 
       2.639894593864e-03       3.839864083108e+03 
       2.749625293107e-03       3.971441434101e+03 
       2.860417480214e-03       4.102245587799e+03 
       2.972180118218e-03       4.232134821486e+03 
       3.084830672812e-03       4.360984898161e+03 
       3.198294406405e-03       4.488687000179e+03 
       3.312503688439e-03       4.615146655958e+03 
       3.427397337294e-03       4.740281703806e+03 
       3.542920003058e-03       4.864020932524e+03 
       3.659021595992e-03       4.986303657863e+03 
       3.775656762429e-03       5.107078095161e+03 
       3.892784407700e-03       5.226298955264e+03 
       4.010367264318e-03       5.343930594385e+03 
       4.128371502794e-03       5.459940592059e+03 
       4.246766381999e-03       5.574304503735e+03 
       4.365523935796e-03       5.687000719439e+03 
       4.484618692657e-03       5.798014294275e+03 
       4.604027425075e-03       5.907332062090e+03 
       4.723728925759e-03       6.014945202294e+03 
       4.843703807817e-03       6.120848915777e+03 
       4.963934326354e-03       6.225039212162e+03 
       5.084404219170e-03       6.319122436683e+03 
       5.205098564436e-03       6.419556711530e+03 
       5.326003653474e-03       6.518279032138e+03 
       5.447106876962e-03       6.615296666219e+03 
       5.568396623055e-03       6.710613421890e+03 
       5.689862186089e-03       6.804239846418e+03 
       5.811493684704e-03       6.896185972237e+03 
       5.933281988318e-03       6.986459355884e+03 
       6.055218651046e-03       7.075182522823e+03 
       6.177295852232e-03       7.162181160298e+03 
       6.299506342883e-03       7.247491356744e+03 
       6.421843397352e-03       7.331094607518e+03 
       6.544300769712e-03       7.413111663190e+03 
       6.666872654316e-03       7.493561299858e+03 
       6.789553650111e-03       7.572380146347e+03 
       6.912338728289e-03       7.649720477610e+03 
       7.035223202952e-03       7.725569621032e+03 
       7.158202704464e-03       7.799888703809e+03 
       7.281273155227e-03       7.872440802735e+03 
       7.404430747627e-03       7.943948311853e+03 
       7.527671923940e-03       8.013660657524e+03 
       7.650993358003e-03       8.081888553410e+03 
       7.774391938469e-03       8.148661083149e+03 
       7.897864753509e-03       8.213981500905e+03 
       8.021409076804e-03       8.277856171105e+03 
       8.145022354722e-03       8.340323125904e+03 
       8.268702194548e-03       8.401423970626e+03 
       8.392446353698e-03       8.461098199572e+03 
       8.516252729795e-03       8.519408671333e+03 
       8.640119351552e-03       8.576353624397e+03 
       8.764044370380e-03       8.631966484798e+03 
       8.888026052660e-03       8.686218605333e+03 
       9.012062772612e-03       8.739193543811e+03 
       9.136153005724e-03       8.790854706708e+03 
       9.260295322681e-03       8.841267441668e+03 
       9.384488383755e-03       8.890386743577e+03 
       9.508730933617e-03       8.938237445435e+03 
       9.633021796538e-03       8.984878256345e+03 
       9.757359871947e-03       9.030239293279e+03 
       9.881744130310e-03       9.074423679279e+03 
       1.000617360931e-02       9.117447100184e+03 
       1.013064741032e-02       9.159214566989e+03 
       1.025516469508e-02       9.199898097219e+03 
       1.037972468271e-02       9.239376909580e+03 
       1.050432664681e-02       9.277679631409e+03 
       1.062896991285e-02       9.314920446192e+03 
       1.075365385574e-02       9.351025222156e+03 
       1.087837789751e-02       9.385967275089e+03 
       1.100314150524e-02       9.419875187791e+03 
       1.112794418904e-02       9.452692762728e+03 
       1.125278550026e-02       9.484455436449e+03 
       1.137766502974e-02       9.514836286666e+03 
       1.150258240626e-02       9.544831241601e+03 
       1.162753729503e-02       9.573521353345e+03 
       1.175252939633e-02       9.601100318121e+03 
       1.187755844422e-02       9.627772179646e+03 
       1.200262420535e-02       9.653398083015e+03 
       1.212772647786e-02       9.678049289842e+03 
       1.225286509034e-02       9.701699835781e+03 
       1.237803990087e-02       9.724435346884e+03 
       1.250325079614e-02       9.746264044101e+03 
       1.262849769063e-02       9.767085510438e+03 
       1.275378052582e-02       9.787015877983e+03 
       1.287909926952e-02       9.806103971695e+03 
       1.300445391520e-02       9.824242762493e+03 
       1.312984448136e-02       9.841488679371e+03 
       1.325527101102e-02       9.857865747866e+03 
       1.338073357118e-02       9.873320545494e+03 
       1.350623225238e-02       9.887975109265e+03 
       1.363176716822e-02       9.901793547470e+03 
       1.375733845503e-02       9.914815047300e+03 
       1.388294627146e-02       9.926973657214e+03 
       1.400859079823e-02       9.938312601951e+03 
       1.413427223778e-02       9.948796668625e+03 
       1.425999081403e-02       9.958611259997e+03 
       1.438574677219e-02       9.967569945947e+03 
       1.451154037852e-02       9.975786094101e+03 
       1.463737192019e-02       9.983226936536e+03 
       1.476324170512e-02       9.989913878057e+03 
       1.488915006186e-02       9.995809488353e+03 
       1.501509733954e-02       1.000109828784e+04 
       1.514108390773e-02       1.000555294300e+04 
       1.526711015644e-02       1.000939930423e+04 
       1.539317649608e-02       1.001243790761e+04 
       1.551928335748e-02       1.001483238341e+04 
       1.564543119185e-02       1.001655044969e+04 
       1.577162047089e-02       1.001766490620e+04 
       1.589785168677e-02       1.001804317896e+04 
       1.602412535228e-02       1.001772990224e+04 
       1.615044200085e-02       1.001677056030e+04 
       1.627680218673e-02       1.001522961034e+04 
       1.640320648507e-02       1.001311304896e+04 
       1.652965549208e-02       1.001029793447e+04 
       1.665614982521e-02       1.000681455316e+04 
       1.678269012333e-02       1.000280452409e+04 
       1.690927704689e-02       9.998004386726e+03 
       1.703591127819e-02       9.993043297035e+03 
       1.716259352159e-02       9.987338885362e+03 
       1.728932450374e-02       9.980713575327e+03 
       1.741610497386e-02       9.974043341089e+03 
       1.754293570405e-02       9.966352465211e+03 
       1.766981748952e-02       9.958624303645e+03 
       1.779675114898e-02       9.949862948746e+03 
       1.792373752492e-02       9.940838714008e+03 
       1.805077748398e-02       9.931531522836e+03 
       1.817787191730e-02       9.921228837481e+03 
       1.830502174092e-02       9.910683287099e+03 
       1.843222789617e-02       9.899636375103e+03 
       1.855949135006e-02       9.888326794235e+03 
       1.868681309576e-02       9.876379733909e+03 
       1.881419415301e-02       9.863888563584e+03 
       1.894163556861e-02       9.850860148090e+03 
       1.906913841689e-02       9.837559696055e+03 
       1.919670380023e-02       9.823630521050e+03 
       1.932433284956e-02       9.809348913568e+03 
       1.945202672494e-02       9.794566981853e+03 
       1.957978661606e-02       9.779432055111e+03 
       1.970761374289e-02       9.763916887235e+03 
       1.983550935622e-02       9.747961032629e+03 
       1.996347473831e-02       9.731696429805e+03 
       2.009151120355e-02       9.714788296227e+03 
       2.021962009907e-02       9.697723735490e+03 
       2.034780280547e-02       9.680060847445e+03 
       2.047606073751e-02       9.662330050653e+03 
       2.060439534485e-02       9.644056580320e+03 
       2.073280811277e-02       9.625441648570e+03 
       2.086130056300e-02       9.606338232801e+03 
       2.098987425448e-02       9.587145994480e+03 
       2.111853078422e-02       9.567451302883e+03 
       2.124727178813e-02       9.547288900092e+03 
       2.137609894190e-02       9.527032319805e+03 
       2.150501396195e-02       9.506316595040e+03 
       2.163401860629e-02       9.485409408127e+03 
       2.176311467559e-02       9.464191128965e+03 
       2.189230401408e-02       9.442608192225e+03 
       2.202158851064e-02       9.420838197533e+03 
       2.215097009984e-02       9.398587944428e+03 
       2.228045076304e-02       9.376247853077e+03 
       2.241003252953e-02       9.353302623543e+03 
       2.253971747764e-02       9.330384533770e+03 
       2.266950773604e-02       9.307111696526e+03 
       2.279940548487e-02       9.283801776881e+03 
       2.292941295712e-02       9.259981010587e+03 
       2.305953243985e-02       9.235940546685e+03 
       2.318976627563e-02       9.211711818377e+03 
       2.332011686393e-02       9.187245985888e+03 
       2.345058666253e-02       9.162495239001e+03 
       2.358117818904e-02       9.137517595195e+03 
       2.371189402246e-02       9.112518211629e+03 
       2.384273680475e-02       9.087047684072e+03 
       2.397370924251e-02       9.061494384555e+03 
       2.410481410862e-02       9.035688338116e+03 
       2.423605424406e-02       9.009718006471e+03 
       2.436743255969e-02       8.983562603222e+03 
       2.449895203811e-02       8.957298759094e+03 
       2.463061573564e-02       8.930664124077e+03 
       2.476242678429e-02       8.903938895641e+03 
       2.489438839382e-02       8.877054314632e+03 
       2.502650385392e-02       8.850034972705e+03 
       2.515877653636e-02       8.822826283460e+03 
       2.529120989734e-02       8.795449667836e+03 
       2.542380747979e-02       8.767849274833e+03 
       2.555657291588e-02       8.740228688403e+03 
       2.568950992951e-02       8.712491971756e+03 
       2.582262233895e-02       8.684340507569e+03 
       2.595591405954e-02       8.656315287661e+03 
       2.608938910650e-02       8.628116698378e+03 
       2.622305159786e-02       8.599898103692e+03 
       2.635690575744e-02       8.571322995320e+03 
       2.649095591801e-02       8.542812874335e+03 
       2.662520652450e-02       8.514033341092e+03 
       2.675966213736e-02       8.485217625157e+03 
       2.689432743605e-02       8.456394789816e+03 
       2.702920722264e-02       8.427284703874e+03 
       2.716430642557e-02       8.398176520201e+03 
       2.729963010350e-02       8.369005045871e+03 
       2.743518344938e-02       8.339640338378e+03 
       2.757097179463e-02       8.310300879942e+03 
       2.770700061346e-02       8.280804989200e+03 
       2.784327552742e-02       8.251281378265e+03 
       2.797980231011e-02       8.221630135815e+03 
       2.811658689200e-02       8.191954909919e+03 
       2.825363536557e-02       8.162189873487e+03 
       2.839095399053e-02       8.132350006637e+03 
       2.852854919938e-02       8.102452394988e+03 
       2.866642760306e-02       8.072559401821e+03 
       2.880459599693e-02       8.042545231479e+03 
       2.894306136697e-02       8.012509297131e+03 
       2.908183089623e-02       7.982489715364e+03 
       2.922091197155e-02       7.952359571070e+03 
       2.936031219060e-02       7.922066320019e+03 
       2.950003936914e-02       7.891820289540e+03 
       2.964010154871e-02       7.861637706585e+03 
       2.978050700456e-02       7.831278829060e+03 
       2.992126425397e-02       7.801024642300e+03 
       3.006238206491e-02       7.770571051017e+03 
       3.020386946515e-02       7.740305025097e+03 
       3.034573575170e-02       7.709831704143e+03 
       3.048799050075e-02       7.679354879536e+03 
       3.063064357799e-02       7.648927457643e+03 
       3.077370514954e-02       7.618462477493e+03 
       3.091718569320e-02       7.588013943298e+03 
       3.106109601043e-02       7.557435899916e+03 
       3.120544723876e-02       7.526984618034e+03 
       3.135025086488e-02       7.496453248622e+03 
       3.149551873830e-02       7.465926743157e+03 
       3.164126308575e-02       7.435380476625e+03 
       3.178749652624e-02       7.404887772948e+03 
       3.193423208691e-02       7.374320340389e+03 
       3.208148321967e-02       7.343771798032e+03 
       3.222926381867e-02       7.313278780839e+03 
       3.237758823870e-02       7.282775230828e+03 
       3.252647131456e-02       7.252277928411e+03 
       3.267592838139e-02       7.221787195101e+03 
       3.282597529617e-02       7.191260964324e+03 
       3.297662846032e-02       7.160764788406e+03 
       3.312790484351e-02       7.130297451361e+03 
       3.327982200886e-02       7.099836290975e+03 
       3.343239813946e-02       7.069384136745e+03 
       3.358565206645e-02       7.038939673224e+03 
       3.373960329860e-02       7.008525775173e+03 
       3.389427205373e-02       6.978137755441e+03 
       3.404967929183e-02       6.947773465185e+03 
       3.420584675016e-02       6.917404948757e+03 
       3.436279698052e-02       6.887055687104e+03 
       3.452055338865e-02       6.856726476239e+03 
       3.467914027608e-02       6.826415022630e+03 
       3.483858288458e-02       6.796157329356e+03 
       3.499890744337e-02       6.765898926050e+03 
       3.516014121926e-02       6.735644197134e+03 
       3.532231257010e-02       6.705448957357e+03 
       3.548545100158e-02       6.675260189986e+03 
       3.564958722785e-02       6.645112207930e+03 
       3.581475323610e-02       6.614955032279e+03 
       3.598098235552e-02       6.584844342532e+03 
       3.614830933092e-02       6.554734967174e+03 
       3.631677040150e-02       6.524674807573e+03 
       3.648640338511e-02       6.494622968881e+03 
       3.665724776843e-02       6.464594482810e+03 
       3.682934480372e-02       6.434599108609e+03 
       3.700273761257e-02       6.404580467151e+03 
       3.717747129741e-02       6.374640015502e+03 
       3.735359306125e-02       6.344689163787e+03 
       3.753115233669e-02       6.314767051847e+03 
       3.771020092475e-02       6.284871328245e+03 
       3.789079314475e-02       6.254968216177e+03 
       3.807298599596e-02       6.225102132296e+03 
       3.825683933246e-02       6.195222847575e+03 
       3.844241605221e-02       6.165390310465e+03 
       3.862978230205e-02       6.135552288108e+03 
       3.881900769994e-02       6.105736317762e+03 
       3.901016557640e-02       6.075931915127e+03 
       3.920333323705e-02       6.046107661983e+03 
       3.939859224859e-02       6.016309901650e+03 
       3.959602875058e-02       5.986508567792e+03 
       3.979573379598e-02       5.956720822851e+03 
       3.999780372362e-02       5.926859550759e+03 
       4.020234056615e-02       5.897065170796e+03 
       4.040945249762e-02       5.867242676278e+03 
       4.061925432541e-02       5.837402123000e+03 
       4.083186803157e-02       5.807546874854e+03 
       4.104742336992e-02       5.777684430650e+03 
       4.126605852553e-02       5.747791704350e+03 
       4.148792084466e-02       5.717865817837e+03 
       4.171316764413e-02       5.687909926545e+03 
       4.194196711067e-02       5.657912283949e+03 
       4.217449930223e-02       5.627876383159e+03 
       4.241095726528e-02       5.597788519323e+03 
       4.265154828431e-02       5.567640366480e+03 
       4.289649528238e-02       5.537451780775e+03 
       4.314603839480e-02       5.507188397755e+03 
       4.340043674179e-02       5.476856852130e+03 
       4.365997043041e-02       5.446390115780e+03 
       4.392494282161e-02       5.415911316407e+03 
       4.419568310462e-02       5.385303533544e+03 
       4.447254922910e-02       5.354558388608e+03 
       4.475593125466e-02       5.323740431801e+03 
       4.504625518961e-02       5.292742938808e+03 
       4.534398740464e-02       5.261611126756e+03 
       4.564963972515e-02       5.230314193576e+03 
       4.596377532751e-02       5.198886235363e+03 
       4.628701559154e-02       5.167201985934e+03 
       4.662004809513e-02       5.135396612218e+03 
       4.696363597875e-02       5.103309350596e+03 
       4.731862896028e-02       5.070943492029e+03 
       4.768597634693e-02       5.038379273733e+03 
       4.806674247450e-02       5.005435559458e+03 
       4.846212511102e-02       4.972209859087e+03 
       4.887347749634e-02       4.938536701033e+03 
       4.930233486194e-02       4.904448939687e+03 
       4.975044649438e-02       4.869956073014e+03 
       5.021981468560e-02       4.834855516984e+03 
       5.071274226732e-02       4.799246903074e+03 
       5.123189087248e-02       4.763041990858e+03 
       5.178035261792e-02       4.725975938404e+03 
       5.236173856606e-02       4.688159218368e+03 
       5.298028808294e-02       4.649239580342e+03 
       5.364100399446e-02       4.609162692248e+03 
       5.434981906601e-02       4.567795370878e+03 
       5.511379937008e-02       4.524784119560e+03 
       5.594138867535e-02       4.479762977008e+03 
       5.684269333237e-02       4.432376235219e+03 
       5.782979594177e-02       4.381989930280e+03 
       5.891706257277e-02       4.327830878116e+03 
       6.012136336845e-02       4.269058564758e+03 
       6.146204886189e-02       4.204029816478e+03 
       6.296040950467e-02       4.131135932029e+03 
       6.463822202813e-02       4.048017793571e+03 
       6.651496792028e-02       3.952107976284e+03 
       6.860364212746e-02       3.840480384995e+03 
       7.090600236422e-02       3.711129542116e+03 
       7.340937265208e-02       3.562856822184e+03 
       7.608742270290e-02       3.397373503018e+03 
       7.890542130116e-02       3.218718473464e+03 
       8.182746655744e-02       3.033039420562e+03 
       8.482221341874e-02       2.847690374539e+03 
       8.786542304156e-02       2.669718785564e+03 
       9.093988064832e-02       2.505082738650e+03 
       9.403404278283e-02       2.357830401729e+03 
       9.714045393176e-02       2.230273754651e+03 
       1.002544123965e-01       2.122837427024e+03 
       1.033729969642e-01       2.034243214688e+03 
       1.064944091988e-01       1.962212280802e+03 
       1.096175480134e-01       1.903614296670e+03 
       1.127417414644e-01       1.854751208616e+03 
       1.158665802319e-01       1.811859204331e+03 
       1.189918151785e-01       1.771402573861e+03 
       1.221172946752e-01       1.730290078914e+03 
       1.252429263844e-01       1.686231757629e+03 
       1.283686540032e-01       1.637894405012e+03 
       1.314944431259e-01       1.584732671356e+03 
       1.346202726565e-01       1.527298205258e+03 
       1.377461295940e-01       1.466731095608e+03 
       1.408720058654e-01       1.404635572086e+03 
