# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]    
   89       1.655466202097e+00      -1.742309933643e-08       7.579856043169e-01 
   90       1.672733391637e+00      -1.348990972790e-08       7.673083395238e-01 
   91       1.689724474046e+00       1.470319602341e-09       7.768040058752e-01 
   92       1.706389018833e+00       1.976048910810e-08       7.864700903200e-01 
   93       1.722717356696e+00       2.316836809080e-08       7.962969090801e-01 
   94       1.738718939041e+00      -9.042375778566e-10       8.062705646962e-01 
   95       1.754437008527e+00      -2.645815837342e-08       8.163712001411e-01 
   96       1.769929270212e+00      -2.488066423073e-08       8.265752435570e-01 
   97       1.785266844437e+00      -5.175782473523e-09       8.368552216597e-01 
   98       1.800525440252e+00       1.484442929870e-08       8.471809045119e-01 
   99       1.815772606382e+00       2.502707704709e-08       8.575205641092e-01 
  100       1.831070196476e+00       1.958761392894e-08       8.678409571289e-01 
  101       1.846455494896e+00       3.928675430436e-09       8.781098883885e-01 
  102       1.861953511066e+00      -1.246966424917e-08       8.882950692036e-01 
  103       1.877561785414e+00      -1.676969563201e-08       8.983677774550e-01 
  104       1.893264957458e+00      -1.806826235657e-09       9.083006517295e-01 
  105       1.909027515278e+00       1.021455630592e-08       9.180720307439e-01 
  106       1.924805349937e+00      -3.419759465314e-09       9.276628848409e-01 
  107       1.940548657246e+00      -3.102870533620e-08       9.370612720514e-01 
  108       1.956206290732e+00      -5.273176395084e-08       9.462587804421e-01 
  109       1.971736720767e+00      -5.507650255354e-08       9.552545452101e-01 
  110       1.987103613182e+00      -3.237697462396e-08       9.640516255854e-01 
  111       2.002288165906e+00      -5.927236526525e-09       9.726600372614e-01 
  112       2.017280301248e+00       2.279935609938e-09       9.810935667899e-01 
  113       2.032089356458e+00       6.996593048737e-10       9.893714991840e-01 
  114       2.046732849405e+00       4.851166253004e-09       9.975162032749e-01 
  115       2.061239141095e+00       2.430106689306e-08       1.005553242155e+00 
  116       2.075641183054e+00       6.161883480720e-08       1.013510299503e+00 
  117       2.089974967173e+00       9.571212461411e-08       1.021416285896e+00 
  118       2.104275496653e+00       1.044641354226e-07       1.029300700388e+00 
  119       2.118565751400e+00       9.077159296697e-08       1.037190035758e+00 
  120       2.132866289165e+00       6.452982236859e-08       1.045111183782e+00 
  121       2.147193732278e+00       3.505563915094e-08       1.053090454196e+00 
  122       2.161545511959e+00       7.045618904163e-09       1.061146745516e+00 
  123       2.175913358099e+00      -1.582749546323e-08       1.069297630019e+00 
  124       2.190286140123e+00      -3.034067644683e-08       1.077559140302e+00 
  125       2.204644060146e+00      -3.585458994697e-08       1.085938446769e+00 
  126       2.218963743187e+00      -3.241517915871e-08       1.094440364731e+00 
  127       2.233221988492e+00      -2.093738537325e-08       1.103067677894e+00 
  128       2.247401994996e+00      -5.846615801730e-09       1.111815068007e+00 
  129       2.261487753722e+00       7.265993046086e-09       1.120674494874e+00 
  130       2.275465513324e+00       1.343850549034e-08       1.129635944250e+00 
  131       2.289334480599e+00       1.140217556507e-08       1.138683936225e+00 
  132       2.303097239647e+00       8.396679455721e-10       1.147800596698e+00 
  133       2.316758338731e+00      -1.729504096706e-08       1.156966611840e+00 
  134       2.330330278451e+00      -3.680384167000e-08       1.166160902919e+00 
  135       2.343828159179e+00      -4.979209997433e-08       1.175360863615e+00 
  136       2.357267162446e+00      -4.948881095859e-08       1.184543309486e+00 
  137       2.370660484908e+00      -3.520582929356e-08       1.193687210748e+00 
  138       2.384021207456e+00      -7.881497841413e-09       1.202771191279e+00 
  139       2.397360908018e+00       2.911890170209e-08       1.211774255925e+00 
  140       2.410683313472e+00       6.269364190709e-08       1.220680783662e+00 
  141       2.423990008288e+00       7.656171160552e-08       1.229476002684e+00 
  142       2.437281014449e+00       5.913057243145e-08       1.238146318602e+00 
  143       2.450550442285e+00       2.092561016137e-08       1.246685233101e+00 
  144       2.463790390376e+00      -2.111991702240e-08       1.255087994753e+00 
  145       2.476992480419e+00      -5.057779225908e-08       1.263351439159e+00 
  146       2.490148444262e+00      -5.611578051090e-08       1.271479257541e+00 
  147       2.503249566330e+00      -2.732594787844e-08       1.279477243099e+00 
  148       2.516287818344e+00       3.657716946809e-08       1.287352717236e+00 
  149       2.529260000255e+00       9.522455337753e-08       1.295117852524e+00 
  150       2.542163972430e+00       9.560021659569e-08       1.302786685106e+00 
  151       2.554998515343e+00       5.870763411731e-09       1.310374274078e+00 
  152       2.567766948257e+00      -1.101188153226e-07       1.317897286091e+00 
  153       2.580473840379e+00      -1.603843177773e-07       1.325373492012e+00 
  154       2.593124150590e+00      -8.100137555655e-08       1.332821065236e+00 
  155       2.605724085879e+00       6.183154720530e-08       1.340256928677e+00 
  156       2.618280321783e+00       1.645373205315e-07       1.347698282238e+00 
  157       2.630798955411e+00       1.467503624027e-07       1.355161697011e+00 
  158       2.643283091969e+00       3.999308548290e-08       1.362658656873e+00 
  159       2.655735040370e+00      -9.309167564284e-08       1.370199633641e+00 
  160       2.668157069190e+00      -1.865822155936e-07       1.377795496762e+00 
  161       2.680550602048e+00      -1.891123667509e-07       1.385455654340e+00 
  162       2.692913729624e+00      -1.192560309755e-07       1.393182281158e+00 
  163       2.705243471285e+00      -1.496407586342e-08       1.400975587245e+00 
  164       2.717536550720e+00       8.385130108628e-08       1.408835632233e+00 
  165       2.729789675395e+00       1.431575833887e-07       1.416761045805e+00 
  166       2.742000415581e+00       1.591490564713e-07       1.424745072648e+00 
  167       2.754166389199e+00       1.359534485035e-07       1.432779177432e+00 
  168       2.766284977548e+00       7.795370335974e-08       1.440854280801e+00 
  169       2.778354059110e+00      -6.191117643185e-09       1.448960454436e+00 
  170       2.790374291366e+00      -9.111101229991e-08       1.457085996727e+00 
  171       2.802347012346e+00      -1.460983408908e-07       1.465218261061e+00 
  172       2.814273516812e+00      -1.390095447093e-07       1.473343934098e+00 
  173       2.826155283049e+00      -5.031462767051e-08       1.481449727605e+00 
  174       2.837994678638e+00       8.341136823021e-08       1.489524539887e+00 
  175       2.849794309052e+00       2.094177397207e-07       1.497557453275e+00 
  176       2.861556792773e+00       2.724907188587e-07       1.505537040225e+00 
  177       2.873284455339e+00       2.325353247025e-07       1.513452656550e+00 
  178       2.884978386383e+00       1.189838769344e-07       1.521298454096e+00 
  179       2.896639303882e+00      -1.927339028992e-08       1.529069678323e+00 
  180       2.908267849695e+00      -1.310787633411e-07       1.536761393810e+00 
  181       2.919864365344e+00      -1.756645635520e-07       1.544369775167e+00 
  182       2.931428204533e+00      -1.618111498010e-07       1.551896099569e+00 
  183       2.942958361587e+00      -1.117306843543e-07       1.559343065360e+00 
  184       2.954453685238e+00      -4.867021463076e-08       1.566713528752e+00 
  185       2.965913038876e+00       6.611043756998e-09       1.574011253865e+00 
  186       2.977335801801e+00       4.674446996661e-08       1.581243223575e+00 
  187       2.988721400724e+00       6.766737104402e-08       1.588417511721e+00 
  188       3.000069147226e+00       6.515975695360e-08       1.595542555694e+00 
  189       3.011378515959e+00       3.811442952374e-08       1.602627113396e+00 
  190       3.022650008268e+00      -1.371713669115e-09       1.609680120930e+00 
  191       3.033884349139e+00      -3.732633607603e-08       1.616710832941e+00 
  192       3.045082210596e+00      -5.309614596614e-08       1.623728873674e+00 
  193       3.056244297113e+00      -3.669196857533e-08       1.630743598362e+00 
