# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 1000, i.e. number of multipoles equal to 999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   14       1.818839854195e-01       5.698895605742e-02       1.835528506073e-02       6.477796479545e-10      -1.094404741036e-08       7.306787515488e-09       1.673636842600e-01       5.363085671023e-02      -7.119929870611e-10      -9.460026065677e-09       7.269790125876e-09       1.545472335692e-01      -3.189209092059e-09      -6.258532930179e-09       6.047444748171e-09       1.625532240825e-03       2.329650546736e-10       1.563641448952e-10       3.533506360495e-05       3.964615101852e-06       3.373726339546e-05 
   15       2.027672376675e-01       6.195217747785e-02       1.960068148620e-02      -2.292515528529e-09       6.372106781670e-09      -8.750706413655e-09       1.866931295748e-01       5.832012770825e-02       1.224617004450e-10       6.366943559835e-09      -9.634340915517e-09       1.724543688596e-01       3.230484545919e-09       5.526764458902e-09      -9.495788316222e-09       1.860505180281e-03      -6.990132962652e-10       5.876298359612e-10       4.042298432828e-05       4.573368322086e-06       3.859457994684e-05 
   16       2.242078700013e-01       6.688576540556e-02       2.097343137460e-02      -1.832568721265e-09       1.028354762279e-08      -5.912858117607e-09       2.066548025206e-01       6.305177421353e-02      -2.485425304818e-09       1.242048809679e-08      -7.657589526140e-09       1.910183185927e-01      -1.703519772503e-09       1.354299536197e-08      -9.106358067942e-09       2.111357436955e-03       5.564510883452e-10       3.576277219140e-10       4.585748892951e-05       5.231410409059e-06       4.378329225214e-05 
   17       2.459699379954e-01       7.163807634253e-02       2.239659217988e-02       5.290976883214e-09      -3.649965508700e-09       4.632093464315e-09       2.270757230861e-01       6.772723923023e-02       4.713463779554e-09      -4.711986802255e-09       6.490692583937e-09       2.101195237617e-01       3.242938195759e-09      -5.535435912371e-09       8.163382773544e-09       2.378020108493e-03      -1.149532311795e-09       3.307114945019e-10       5.164082018963e-05       5.940167520228e-06       4.930438512546e-05 
   18       2.677956389575e-01       7.602248080255e-02       2.374696535783e-02       9.109310454579e-09      -5.250215554926e-09       2.775234064454e-09       2.477464307454e-01       7.220687494688e-02       5.044005766597e-09      -7.935719912550e-09       4.373192294716e-09       2.295988388768e-01       5.163312342467e-09      -1.084048357498e-08       6.379847540914e-09       2.660403222988e-03       8.205499750108e-10       5.274886583584e-10       5.777227660203e-05       6.700154529449e-06       5.515849827274e-05 
   19       2.894421949542e-01       7.984544631189e-02       2.487228835985e-02      -3.763818131451e-09       1.266239279616e-09      -1.643845783851e-09       2.684443303880e-01       7.632608051146e-02      -3.985109369149e-09       1.975991116945e-09      -2.535146792703e-09       2.492703794719e-01      -4.624192602895e-09       2.678356114392e-09      -3.953788134393e-09       2.958401279931e-03      -1.458517007075e-09       4.459985312135e-11       6.425421344526e-05       7.512949072625e-06       6.134640868756e-05 
   20       3.107208041526e-01       8.293994054354e-02       2.561576554051e-02      -9.782622928880e-09       1.822972006394e-09      -8.968928810425e-10       2.889632720950e-01       7.991847799669e-02      -1.161060441083e-08       3.145757768685e-09      -1.671483618723e-09       2.689412366296e-01      -7.862106991291e-09       5.233052783692e-09      -2.764524936462e-09       3.271892219131e-03       7.464722363309e-10       3.433275736468e-10       7.108573339160e-05       8.378783881224e-06       6.786890970849e-05 
   21       3.315287719406e-01       8.519736507225e-02       2.584373145388e-02      -8.180991774780e-11      -3.692268943512e-10       3.620721163003e-10       3.091438846701e-01       8.284243167680e-02       4.272897570095e-10      -4.622331867717e-10       7.673447257858e-10       2.884353107180e-01       8.290574341294e-10      -9.049884367862e-10       1.203053218993e-09       3.600735472063e-03      -1.196777071187e-09      -1.993324117376e-10       7.826891708384e-05       9.299259195942e-06       7.472617453268e-05 
   22       3.518670149146e-01       8.659086823866e-02       2.547100241961e-02      -1.278375348025e-09      -5.049055658315e-10       2.689863828264e-10       3.288983690782e-01       8.500594107124e-02       6.815646113459e-09      -9.272729283060e-10       4.163769031334e-10       3.076171848630e-01       1.176732709085e-08      -1.694145066223e-09       9.394810037068e-10       3.944781492192e-03       3.528227121451e-11      -2.519538701906e-10       8.580314412479e-05       1.027447821903e-05       8.191960106298e-05 
   23       3.718386319582e-01       8.718467513911e-02       2.447867090762e-02       8.782530973529e-10      -2.890259902919e-11      -7.851017157704e-11       3.482241792250e-01       8.638479062217e-02       9.599282836265e-10       2.032877729831e-10      -1.625002269486e-10       3.264114416570e-01       2.210576535116e-09       1.125143756239e-10      -3.167562416056e-10       4.303855974370e-03      -3.179721130087e-10      -5.200775611642e-10       9.368968168765e-05       1.130588121064e-05       8.944824865286e-05 
