# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
    2       7.020799174088e-03       2.959028473678e-03       1.327075258899e-03      -2.753091586209e-09      -1.815548428117e-09      -1.128631871165e-09       6.345011433908e-03       2.681632864175e-03      -2.996676546149e-09      -1.926570980429e-09      -1.259572200643e-09       5.760087794041e-03      -3.268853593325e-09      -2.064162171483e-09      -1.386100820861e-09       4.530327544529e-05      -1.986051450978e-06      -5.672666210247e-07       3.621720303694e-05      -1.744097856507e-06       2.949776813153e-05 
    3       1.403675812729e-02       5.950924735542e-03       2.730312326157e-03      -8.693247940527e-10      -4.966317277940e-10      -6.106249595220e-11       1.270482188322e-02       5.407417245420e-03      -7.247597125507e-10      -4.656401569142e-10      -1.035811869693e-10       1.154801657469e-02      -8.329734830657e-10      -4.660768092475e-10      -2.174250096101e-10       9.077903104202e-05      -3.840304055855e-06      -1.055843441921e-06       7.255934158853e-05      -3.388846883027e-06       5.908865255208e-05 
    4       2.314325029806e-02       9.764735625555e-03       4.506868195223e-03      -2.879587808004e-10      -2.642108870374e-10      -7.351321594933e-11       2.099526474042e-02       8.910818485896e-03      -2.033787622074e-10      -4.727368688375e-11      -1.107008340560e-10       1.912126593983e-02      -2.095046484194e-10       4.575203772960e-11      -1.235785884829e-10       1.516181922514e-04      -6.158153321527e-06      -1.623840643147e-06       1.211654386299e-04      -5.463572829796e-06       9.865593993859e-05 
    5       3.404092629153e-02       1.415992442673e-02       6.481733946981e-03      -1.118969068082e-11       1.482010412333e-10       6.545732246295e-10       3.096577626848e-02       1.299033736560e-02       5.107390243907e-10       3.075452651435e-10       4.013266944401e-10       2.826993732805e-02       3.453091812711e-10       3.628828836968e-10       9.055570840775e-11       2.279367027482e-04      -8.853214599015e-06      -2.233074547715e-06       1.821223042033e-04      -7.900134117294e-06       1.482660198248e-04 
    6       4.642071525250e-02       1.888561719616e-02       8.469202586680e-03      -1.186799777543e-10       2.975954205328e-11       5.714057798605e-11       4.234619836314e-02       1.742600842686e-02       1.823003164705e-10       4.694068595575e-10       4.142028660685e-11       3.875882521500e-02       1.907894043417e-10       5.172274343302e-10       5.473210612804e-11       3.198457023542e-04      -1.184196530658e-05      -2.851526800121e-06       2.555144581212e-04      -1.063146385042e-05       2.079845148897e-04 
    7       6.002041601496e-02       2.373094573845e-02       1.031515544064e-02       8.819842367151e-10       3.955386410715e-10       3.560068587523e-10       5.489468978363e-02       2.202181512074e-02       1.258171991501e-09       4.462223370116e-10      -3.447747103080e-10       5.036757120330e-02       4.432563147278e-10       3.113365028416e-10      -7.978971807865e-10       4.274476466772e-04      -1.504588665853e-05      -3.453420880246e-06       3.414215006954e-04      -1.359307437129e-05       2.778741389819e-04 
    8       7.465722798170e-02       2.855596401483e-02       1.192453368377e-02      -3.607172834837e-10       1.329989755177e-09       3.257868964027e-10       6.842916109576e-02       2.663486096651e-02       3.106468396441e-10       1.383613650791e-09       1.557977652632e-10       6.291966513346e-02       1.663140417498e-10       8.015835729021e-10       3.702082343333e-11       5.508317168158e-04      -1.839301677553e-05      -4.019141666511e-06       4.399147331493e-04      -1.672486064335e-05       3.579921911119e-04 
    9       9.023352970857e-02       3.329997714256e-02       1.327093326127e-02       2.260400194335e-09      -1.708931347907e-10      -2.321249796760e-09       8.283856672581e-02       3.118763741891e-02       1.292663119574e-09      -9.467060767900e-11      -2.276962442633e-09       7.629647342069e-02      -5.784344627863e-10      -2.903715745105e-10      -1.739009711624e-09       6.900734849828e-04      -2.181858699175e-05      -4.534429818596e-06       5.510563649838e-04      -1.997107458751e-05       4.483901301088e-04 
   10       1.067205972643e-01       3.797028265753e-02       1.439002002763e-02      -2.788972384156e-10       1.917770735388e-09      -8.696792757231e-10       9.807587748782e-02       3.566426293506e-02       8.550749545582e-10       5.108090991757e-10      -1.075022509648e-09       9.043645391181e-02       1.478342237733e-10      -9.039329734942e-10      -1.055191791438e-09       8.452301828948e-04      -2.526487756759e-05      -4.989772914745e-06       6.748972507629e-04      -2.328143962201e-05       5.491112459978e-04 
   11       1.241289783872e-01       4.261808032617e-02       1.536160114527e-02       1.545971846576e-09      -1.901210529149e-10       6.463098402310e-10       1.141382385361e-01       4.009482972977e-02      -1.162151035913e-09       1.399902208410e-10       1.460126976105e-09       1.053228109607e-01      -2.807738043083e-09      -1.006448836650e-10       2.306666002303e-09       1.016344051049e-03      -2.868216769199e-05      -5.379611286237e-06       8.114767039400e-04      -2.661062072036e-05       6.601914995913e-04 
   12       1.424745267499e-01       4.730904543963e-02       1.628608161350e-02       9.893013192641e-10      -3.191130667130e-09       1.844422206698e-10       1.310409903626e-01       4.453332049710e-02       1.475478344874e-09      -3.795126537197e-09       4.563314567539e-10       1.209643316721e-01      -6.400513278057e-10      -3.444357152132e-09       9.790838037640e-10       1.203435587277e-03      -3.202636933934e-05      -5.701534985647e-06       9.608216662873e-04      -2.991840900110e-05       7.816572542105e-04 
   13       1.617471313306e-01       5.209472398097e-02       1.726018053609e-02      -2.902127469888e-09       2.204050655262e-09       1.752661694046e-09       1.487913886524e-01       4.903411767158e-02      -4.081595094551e-09       9.302809678598e-10       1.227030112059e-09       1.373740736533e-01      -2.517251744109e-09      -2.450074814993e-10       6.604785499729e-10       1.406510857998e-03      -3.526195117753e-05      -5.955606658281e-06       1.122945580797e-03      -3.316997965471e-05       9.135265144959e-04 
   14       1.818868212847e-01       5.698895750791e-02       1.835528666796e-02       6.416226186993e-10       1.178315185321e-09       7.331349905666e-10       1.673662105149e-01       5.363085928381e-02      -7.178098248296e-10       2.184614331588e-09       5.616683885088e-10       1.545495668935e-01      -3.198480514362e-09       3.468485523373e-09       4.858460626685e-10       1.625552038487e-03      -3.835675402257e-05      -6.144000921261e-06       1.297850415931e-03      -3.633415772255e-05       1.055807671927e-03 
   15       2.027704782421e-01       6.195217872584e-02       1.960068303572e-02      -2.302734795002e-09      -1.534674014766e-09      -1.548275958249e-09       1.866960174234e-01       5.832013068645e-02       1.002458481162e-10      -2.574518871223e-09      -1.904736435877e-09       1.724570348986e-01       3.213371836183e-09      -2.036958151664e-09      -1.843878200140e-09       1.860527807816e-03      -4.128768473060e-05      -6.269979120158e-06       1.485522088529e-03      -3.938598451196e-05       1.208499254758e-03 
