# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   14       1.818877904754e-01       5.698895473305e-02       1.835528430512e-02       6.466983173769e-10      -1.093153471953e-08       7.290469276499e-09       1.673671260448e-01       5.363085698617e-02      -7.220321733464e-10      -9.451014564789e-09       7.253793071030e-09       1.545503609200e-01      -3.198658521862e-09      -6.251618127327e-09       6.035997950929e-09       1.625557790067e-03       2.324874616729e-10       1.557293841336e-10       3.533564282169e-05       3.964615387063e-06       3.373781623959e-05 
   15       2.027715866210e-01       6.195217571003e-02       1.960068039926e-02      -2.286476226036e-09       6.393259505782e-09      -8.763970528885e-09       1.866970632258e-01       5.832012818056e-02       1.105206538787e-10       6.389918700593e-09      -9.648176071143e-09       1.724579431057e-01       3.223027935158e-09       5.547580547523e-09      -9.511896447774e-09       1.860534380062e-03      -7.000254399374e-10       5.876984416593e-10       4.042364672580e-05       4.573368024631e-06       3.859521240539e-05 
   16       2.242127984526e-01       6.688576369089e-02       2.097343039670e-02      -1.840742918116e-09       1.027487039475e-08      -5.900275533564e-09       2.066592604493e-01       6.305177457185e-02      -2.493853833778e-09       1.240784116800e-08      -7.642528298457e-09       1.910223692548e-01      -1.706324757880e-09       1.353194568235e-08      -9.088208020912e-09       2.111390529486e-03       5.559164178636e-10       3.565125156878e-10       4.585823914875e-05       5.231410801036e-06       4.378400837573e-05 
   17       2.459754829078e-01       7.163807408702e-02       2.239659079504e-02       5.275730665379e-09      -3.663982681711e-09       4.638419669968e-09       2.270807384880e-01       6.772723983237e-02       4.693964310014e-09      -4.731192881148e-09       6.502476668958e-09       2.101240809229e-01       3.242201347190e-09      -5.559583463575e-09       8.176627256125e-09       2.378057338021e-03      -1.151154051887e-09       3.312589952612e-10       5.164166474602e-05       5.940167113521e-06       4.930519143397e-05 
   18       2.678018357526e-01       7.602247864409e-02       2.374696412905e-02       9.122589546501e-09      -5.244041539112e-09       2.769642504591e-09       2.477520359281e-01       7.220687539510e-02       5.050773766158e-09      -7.931270957052e-09       4.365506679237e-09       2.296039319818e-01       5.167742619258e-09      -1.083212982824e-08       6.369714169867e-09       2.660444832107e-03       8.198538558185e-10       5.257064966078e-10       5.777321989397e-05       6.700155051425e-06       5.515939878873e-05 
   19       2.894490807867e-01       7.984544350687e-02       2.487228663743e-02      -3.753702657654e-09       1.273310068798e-09      -1.648461990492e-09       2.684505586593e-01       7.632608125797e-02      -3.969215222200e-09       1.985250192466e-09      -2.539056043510e-09       2.492760386870e-01      -4.599432451768e-09       2.692747596029e-09      -3.962484146160e-09       2.958447512508e-03      -1.460703213673e-09       4.587211139799e-11       6.425526223937e-05       7.512948540120e-06       6.134740987615e-05 
   20       3.107284142461e-01       8.293993788973e-02       2.561576403113e-02      -9.775612057810e-09       1.824155761356e-09      -8.972173403163e-10       2.889701556467e-01       7.991847854432e-02      -1.161903742264e-08       3.142042607718e-09      -1.667944098134e-09       2.689474913145e-01      -7.872829199852e-09       5.229924391957e-09      -2.759956894061e-09       3.271943318066e-03       7.455072657550e-10       3.408261017624e-10       7.108689181212e-05       8.378784539528e-06       6.787001572614e-05 
   21       3.315371436570e-01       8.519736166096e-02       2.584372936064e-02      -8.765113930817e-11      -3.699875565250e-10       3.609233061828e-10       3.091514569311e-01       8.284243258652e-02       4.209707997182e-10      -4.671931318284e-10       7.697945302782e-10       2.884421911266e-01       8.104649764962e-10      -9.106151859246e-10       1.205705182626e-09       3.600791681315e-03      -1.199642717565e-09      -1.974948720743e-10       7.827019221839e-05       9.299258548124e-06       7.472739164703e-05 
   22       3.518761832629e-01       8.659086504181e-02       2.547100060206e-02      -1.272928273608e-09      -5.028377094808e-10       2.666711535091e-10       3.289066621172e-01       8.500594173161e-02       6.804908344301e-09      -9.282992482404e-10       4.184813441256e-10       3.076247202676e-01       1.175952507362e-08      -1.694473777267e-09       9.383050055439e-10       3.944843053614e-03       3.430138036104e-11      -2.546771046515e-10       8.580453970109e-05       1.027447898652e-05       8.192093366844e-05 
   23       3.718486345277e-01       8.718467106205e-02       2.447866840463e-02       9.098118203163e-10      -2.835707177019e-11      -8.035905316177e-11       3.482332266011e-01       8.638479171223e-02       9.703467341676e-10       2.022417760597e-10      -1.624742263512e-10       3.264196624034e-01       2.203631132232e-09       1.153729704647e-10      -3.168122383927e-10       4.303923134398e-03      -3.218228558881e-10      -5.183662251457e-10       9.369120529091e-05       1.130588049244e-05       8.944970276367e-05 
