# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   19       2.894363179915e-01      -7.800657632886e-10      -2.029454136382e-10      -1.828295099531e-10      -2.136725513430e-09       4.147509590788e-02      -7.853481004990e-08      -7.210360084341e-11       1.138295788000e-09       1.433558781680e-02      -1.009473563918e-06      -6.474211549730e-09       6.761879385749e-03      -2.992661183432e-06       3.786203421806e-03 
   20       3.107143034716e-01       2.475006169828e-10       1.332995811961e-09      -9.863585062566e-11      -1.298522307429e-09       4.535133137594e-02      -5.619562550386e-08      -4.783081014611e-10       1.205888208691e-10       1.579364606706e-02      -8.522626736245e-07      -3.615442001272e-09       7.468964782620e-03      -2.749763783433e-06       4.186322585831e-03 
   21       3.315216191140e-01      -8.592878715942e-10      -4.650343996663e-10      -3.462722780936e-10      -6.096982529292e-09       4.933496103164e-02      -3.918407451375e-08      -1.071830390616e-09       2.180834688906e-09       1.730969259997e-02      -7.155196910150e-07      -2.991423265334e-09       8.208286184495e-03      -2.513932129407e-06       4.605737120078e-03 
   22       3.518591740053e-01      -2.188195622155e-11       1.069323021771e-09      -5.106152993294e-11       6.209421163828e-09       5.342054574236e-02      -2.752863489148e-08      -8.495846632709e-12      -6.049349224288e-10       1.888141617039e-02      -5.980312129260e-07      -5.271925517668e-10       8.979143359456e-03      -2.285781867525e-06       5.044193201133e-03 
   23       3.718300764591e-01      -4.096489928339e-11      -7.758812247851e-10      -5.661673802959e-12       3.037232910211e-09       5.760372923741e-02      -1.958823988326e-08      -1.535032417616e-10       2.561844480593e-09       2.050652104921e-02      -4.976780991611e-07      -1.877718721338e-09       9.780805512645e-03      -2.069718703768e-06       5.501433381775e-03 
   24       3.916198526634e-01      -1.696052069670e-10       1.342739828402e-09      -2.317461523340e-10       2.272367451103e-09       6.188119888053e-02      -1.341614239885e-08      -6.855797216948e-10      -8.757318456377e-10       2.218273642770e-02      -4.114972511245e-07       1.175093599496e-09       1.061251622959e-02      -1.866112459173e-06       5.977167834582e-03 
   25       4.114632138723e-01       7.872061992219e-10      -5.531768662905e-10       5.074743013597e-10       1.456436906332e-08       6.625060171932e-02      -9.129729218641e-09       7.199259051228e-10       1.816016370031e-09       2.390785542227e-02      -3.407684374478e-07      -5.086266767350e-10       1.147349512785e-02      -1.675294740208e-06       6.471103798349e-03 
   26       4.316045384448e-01       2.295171960116e-10       5.192953831521e-10       1.579719226538e-10      -3.607760730601e-09       7.071044963014e-02      -6.524762857854e-09       1.264178453432e-09      -4.352056830316e-10       2.567973089868e-02      -2.791588893633e-07       1.131519428105e-09       1.236294772366e-02      -1.500774331270e-06       6.982921766899e-03 
   27       4.522593511966e-01       6.334729763508e-10      -2.530707548361e-10       4.359433680189e-11      -7.490420919774e-09       7.525999397732e-02      -5.199544947845e-09       2.807202963885e-10      -1.518578770376e-10       2.749631403344e-02      -2.292627712540e-07       1.344437347535e-10       1.328006774879e-02      -1.337054557677e-06       7.512299304198e-03 
   28       4.735821541062e-01       1.684331585394e-09      -3.368022185952e-10       3.161837439188e-10      -1.675649792274e-09       7.989908472987e-02      -2.777132486416e-09       1.042328976289e-09       7.063785751662e-10       2.935564982756e-02      -1.877574163980e-07       8.002772253939e-10       1.422404086864e-02      -1.191110620299e-06       8.058896411074e-03 
