# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
    2       7.020820590887e-03       2.959028452070e-03       1.327075273158e-03      -2.753109519765e-09      -1.815666212716e-09      -1.128751783789e-09       6.345030806516e-03       2.681632859479e-03      -2.996764337124e-09      -1.926561152568e-09      -1.259623327630e-09       5.760105396918e-03      -3.268890589383e-09      -2.064127753455e-09      -1.386158866156e-09       4.530341998732e-05      -1.986051446725e-06      -5.672666217906e-07       3.621731881268e-05      -1.744097847246e-06       2.949786257452e-05 
    3       1.403680095999e-02       5.950924694694e-03       2.730312351920e-03      -8.694066416370e-10      -4.965463618059e-10      -6.103524441074e-11       1.270486062666e-02       5.407417237288e-03      -7.245554573669e-10      -4.656362136290e-10      -1.035130545980e-10       1.154805177992e-02      -8.328464712843e-10      -4.661888539108e-10      -2.174949438160e-10       9.077932019234e-05      -3.840304081164e-06      -1.055843446496e-06       7.255957314065e-05      -3.388846881308e-06       5.908884148130e-05 
    4       2.314332168672e-02       9.764735552986e-03       4.506868242360e-03      -2.880163379691e-10      -2.645388411877e-10      -7.387215581732e-11       2.099532931521e-02       8.910818469759e-03      -2.036042293663e-10      -4.713870503654e-11      -1.107737941042e-10       1.912132461557e-02      -2.094973175350e-10       4.592454646499e-11      -1.236389252138e-10       1.516186740580e-04      -6.158153304874e-06      -1.623840646622e-06       1.211658245492e-04      -5.463572796520e-06       9.865625474953e-05 
    5       3.404103337232e-02       1.415992432386e-02       6.481734010902e-03      -1.125757158322e-11       1.483283969031e-10       6.546371989280e-10       3.096587312620e-02       1.299033734461e-02       5.112474491017e-10       3.074424456716e-10       4.014699628558e-10       2.827002534038e-02       3.454490980596e-10       3.625780115972e-10       9.035394002295e-11       2.279374256223e-04      -8.853214667099e-06      -2.233074556974e-06       1.821228830821e-04      -7.900134117336e-06       1.482664921444e-04 
    6       4.642086516808e-02       1.888561704341e-02       8.469202685557e-03      -1.188503969538e-10       2.957503776887e-11       5.666477690652e-11       4.234633396969e-02       1.742600839262e-02       1.819755622628e-10       4.701131266974e-10       4.160448305022e-11       3.875894843359e-02       1.910668791207e-10       5.177336425051e-10       5.492869663267e-11       3.198467141498e-04      -1.184196526395e-05      -2.851526811370e-06       2.555152685522e-04      -1.063146377338e-05       2.079851759982e-04 
    7       6.002061589812e-02       2.373094554583e-02       1.031515555981e-02       8.823058856679e-10       3.953715252434e-10       3.562186067574e-10       5.489487058380e-02       2.202181508103e-02       1.259091776350e-09       4.457614000184e-10      -3.444617133558e-10       5.036773549215e-02       4.431511474669e-10       3.108434667878e-10      -7.982239355262e-10       4.274489960346e-04      -1.504588679575e-05      -3.453420889178e-06       3.414225812669e-04      -1.359307438066e-05       2.778750206327e-04 
    8       7.465748497821e-02       2.855596375190e-02       1.192453385285e-02      -3.604300077337e-10       1.330634824421e-09       3.255711375100e-10       6.842939356266e-02       2.663486090675e-02       3.108429389932e-10       1.385047121516e-09       1.565183727441e-10       6.291987636403e-02       1.673640538173e-10       8.019878590462e-10       3.748034397841e-11       5.508334513331e-04      -1.839301669065e-05      -4.019141699075e-06       4.399161224585e-04      -1.672486049871e-05       3.579933244587e-04 
    9       9.023385094833e-02       3.329997683266e-02       1.327093345307e-02       2.261556777522e-09      -1.709722289324e-10      -2.320615043921e-09       8.283885729664e-02       3.118763735481e-02       1.293641334833e-09      -9.482769144050e-11      -2.276363833402e-09       7.629673745547e-02      -5.792599121164e-10      -2.902112410382e-10      -1.739485617151e-09       6.900756535660e-04      -2.181858722194e-05      -4.534429809938e-06       5.510581016140e-04      -1.997107461515e-05       4.483915470155e-04 
   10       1.067209898976e-01       3.797028225616e-02       1.439002028677e-02      -2.766737194752e-10       1.918438080411e-09      -8.705964863534e-10       9.807623264530e-02       3.566426284398e-02       8.564172994499e-10       5.114743407178e-10      -1.074757977733e-09       9.043677662500e-02       1.493775711142e-10      -9.051147435865e-10      -1.055466417571e-09       8.452328328892e-04      -2.526487743215e-05      -4.989772995465e-06       6.748993733167e-04      -2.328143938692e-05       5.491129775411e-04 
   11       1.241294495372e-01       4.261807987109e-02       1.536160142687e-02       1.548176156234e-09      -1.892902930050e-10       6.459925360567e-10       1.141386647052e-01       4.009482963513e-02      -1.161859225867e-09       1.405525905550e-10       1.459812688133e-09       1.053231982102e-01      -2.809403161500e-09      -1.000005264882e-10       2.305048392409e-09       1.016347231574e-03      -2.868216802217e-05      -5.379611228250e-06       8.114792509958e-04      -2.661062076521e-05       6.601935776622e-04 
   12       1.424750835725e-01       4.730904486902e-02       1.628608198102e-02       9.928472649871e-10      -3.193219040769e-09       1.854837606233e-10       1.310414940379e-01       4.453332036661e-02       1.475951116334e-09      -3.796752514733e-09       4.579064981140e-10       1.209647893359e-01      -6.404639779241e-10      -3.446801487757e-09       9.795590843331e-10       1.203439345523e-03      -3.202636916664e-05      -5.701535151009e-06       9.608246764394e-04      -2.991840867319e-05       7.816597099161e-04 
   13       1.617477809448e-01       5.209472335276e-02       1.726018092443e-02      -2.898227195597e-09       2.201018552531e-09       1.754335767891e-09       1.487919762475e-01       4.903411754039e-02      -4.082540161962e-09       9.279589870460e-10       1.228455498999e-09       1.373746075867e-01      -2.519026978613e-09      -2.467315359854e-10       6.601361890745e-10       1.406515243167e-03      -3.526195159567e-05      -5.955606519403e-06       1.122949092670e-03      -3.316997968392e-05       9.135293796378e-04 
