# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   14       1.818871644669e-01       5.698888812239e-02       1.835528366526e-02      -2.017150818867e-08       1.873683803050e-08       3.878594534199e-09       1.673665229220e-01       5.363079181972e-02      -2.466343377499e-08      -3.515579823721e-08       6.470470466786e-09       1.545498587876e-01      -9.170536846064e-09      -2.073493569086e-08      -3.421658138910e-08       1.625564874490e-03      -3.835948221805e-05      -6.143190294770e-06       1.297853668858e-03      -3.632850031618e-05       1.055818958975e-03 
   15       2.027708675876e-01       6.195209083873e-02       1.960067483564e-02      -4.804198467766e-08      -1.976791852786e-08      -1.007702128425e-08       1.866963654897e-01       5.832005651131e-02      -1.259738275698e-08      -2.345368590913e-08       7.358129090549e-09       1.724573549398e-01      -1.599435889437e-09       2.530384050930e-08       1.306062871716e-08       1.860549872153e-03      -4.128376353955e-05      -6.270737515041e-06       1.485531630554e-03      -3.938850196943e-05       1.208505123496e-03 
   16       2.242119834455e-01       6.688566236636e-02       2.097341366412e-02       6.001288095941e-09       1.832231720515e-10      -1.491098557335e-08       2.066584734666e-01       6.305168367740e-02       1.264311596108e-08      -4.567995009161e-08      -1.123908593415e-08       1.910217018028e-01       2.024620226736e-08       2.338260153113e-08      -3.242342744260e-08       2.111399327929e-03      -4.403200202530e-05      -6.335336888203e-06       1.685947439319e-03      -4.229651446601e-05       1.371608577949e-03 
   17       2.459745694720e-01       7.163796536039e-02       2.239656715776e-02      -5.869110537367e-08      -2.050529772114e-08      -1.758221552706e-08       2.270798488532e-01       6.772713382918e-02       4.258247148229e-08       4.694656527216e-09      -1.186815112052e-09       2.101233342440e-01       2.224660601992e-08       3.213334275164e-08      -1.993524750605e-08       2.378078752050e-03      -4.657761888630e-05      -6.357643379730e-06       1.899061075816e-03      -4.506726103937e-05       1.545069912877e-03 
   18       2.678008143418e-01       7.602234678143e-02       2.374693377085e-02      -4.749963223832e-10      -3.080330805802e-08      -6.098280906621e-09       2.477510545015e-01       7.220675974614e-02       9.372696228169e-09      -2.684471767451e-08       2.313010029764e-09       2.296030802412e-01      -9.203865124690e-09       6.801010304029e-08       2.912090336636e-10       2.660452355132e-03      -4.890705290551e-05      -6.315248221387e-06       2.124847973444e-03      -4.765653355298e-05       1.728906415099e-03 
   19       2.894479585471e-01       7.984530776516e-02       2.487225574301e-02      -4.762954676402e-08      -3.651169661745e-08      -2.061869510081e-08       2.684494595218e-01       7.632594730869e-02       7.156159782468e-08       1.001331826239e-08      -1.489715669331e-09       2.492751153824e-01      -2.057134963775e-08       4.584427851026e-09      -2.906668197410e-08       2.958477742296e-03      -5.102731253733e-05      -6.255502551896e-06       2.363189839118e-03      -5.007869190760e-05       1.923034112556e-03 
   20       3.107271854634e-01       8.293979202977e-02       2.561571603039e-02      -2.683131911894e-08       9.858424560605e-09       5.418678862533e-08       2.889689660177e-01       7.991834249656e-02       1.708396788664e-08       4.133054237890e-08       1.837040877609e-08       2.689464602005e-01      -2.535238888105e-08       7.446998909809e-08       1.047341949713e-08       3.271950107954e-03      -5.291018154010e-05      -6.131535086247e-06       2.614090918605e-03      -5.230103512737e-05       2.127438797889e-03 
   21       3.315357929770e-01       8.519720657382e-02       2.584369358419e-02       3.641578718725e-08      -3.214845166984e-08       4.498137586613e-08       3.091501574524e-01       8.284227663171e-02       6.793958991841e-08       3.176760665449e-08       2.434279178579e-08       2.884410736067e-01      -6.210446177494e-08       1.641370634585e-09      -2.098890634602e-08       3.600825922947e-03      -5.458044149830e-05      -6.002528692526e-06       2.877369594112e-03      -5.434216243331e-05       2.342052762184e-03 
   22       3.518747450442e-01       8.659070471429e-02       2.547095349821e-02      -3.270315725982e-08       2.532687567118e-08       1.907857127927e-08       3.289052436435e-01       8.500579211324e-02       5.615722335349e-08       3.256106866588e-08      -4.305644243842e-08       3.076234991345e-01      -3.493996539070e-08      -2.107062852896e-08      -2.063911944204e-08       3.944859389347e-03      -5.601520160942e-05      -5.832298354112e-06       3.153016206982e-03      -5.617163689166e-05       2.566795192612e-03 
   23       3.718470577638e-01       8.718451138307e-02       2.447862028724e-02       7.592497605829e-08       1.238409049094e-08       1.369468405868e-07       3.482317135906e-01       8.638462828209e-02      -3.273952537585e-08       3.486206258464e-08      -1.594586299118e-08       3.264183444288e-01      -7.545564461496e-08      -2.241831321260e-08      -5.936248864523e-08       4.303947591672e-03      -5.723358614004e-05      -5.639111841737e-06       3.440860002433e-03      -5.781205251932e-05       2.801632351553e-03 
   24       3.916383511837e-01       8.712732642818e-02       2.292078760288e-02      -6.015793044593e-09      -8.055479723950e-08      -9.777938768910e-08       3.672117628424e-01       8.702997176908e-02       5.746071022647e-08      -1.686484083041e-08      -4.890586075079e-08       3.448209914912e-01      -8.054337430858e-08      -7.084038804856e-08       2.059353286235e-08       4.677899007257e-03      -5.822923091071e-05      -5.453100996071e-06       3.740796074594e-03      -5.925157598175e-05       3.046435030430e-03 
   25       4.114832687319e-01       8.663162984646e-02       2.091930411192e-02      -2.100143701692e-09       3.176652367632e-08      -1.169189227576e-07       3.859980912138e-01       8.706390695971e-02      -1.107787821632e-07      -2.709529166494e-08      -1.722010248869e-07       3.628976502298e-01       2.048263209891e-08      -4.390338009285e-08      -5.811261644911e-08       5.066451365673e-03      -5.901667870119e-05      -5.212496675759e-06       4.052733145785e-03      -6.047576864567e-05       3.301149543798e-03 
   26       4.316262345240e-01       8.594377457468e-02       1.864859895719e-02       4.594191811528e-09      -5.042305562806e-08      -4.601593253395e-09       4.047885825690e-01       8.666402641609e-02      -1.724221993192e-08       6.477963108041e-08       5.284512521988e-08       3.807748846487e-01      -7.579000770182e-08      -1.290838977911e-08       4.175649712266e-08       5.469548778729e-03      -5.959495018833e-05      -5.010995200688e-06       4.376448724348e-03      -6.154266135510e-05       3.565678608920e-03 
