# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[1]-dens[7]        9:dens[1]-dens[8]       10:dens[1]-dens[9]       11:dens[1]-dens[10]      12:dens[2]-dens[2]       13:dens[2]-dens[3]       14:dens[2]-dens[4]       15:dens[2]-dens[5]       16:dens[2]-dens[6]       17:dens[2]-dens[7]       18:dens[2]-dens[8]       19:dens[2]-dens[9]       20:dens[2]-dens[10]      21:dens[3]-dens[3]       22:dens[3]-dens[4]       23:dens[3]-dens[5]       24:dens[3]-dens[6]       25:dens[3]-dens[7]       26:dens[3]-dens[8]       27:dens[3]-dens[9]       28:dens[3]-dens[10]      29:dens[4]-dens[4]       30:dens[4]-dens[5]       31:dens[4]-dens[6]       32:dens[4]-dens[7]       33:dens[4]-dens[8]       34:dens[4]-dens[9]       35:dens[4]-dens[10]      36:dens[5]-dens[5]       37:dens[5]-dens[6]       38:dens[5]-dens[7]       39:dens[5]-dens[8]       40:dens[5]-dens[9]       41:dens[5]-dens[10]      42:dens[6]-dens[6]       43:dens[6]-dens[7]       44:dens[6]-dens[8]       45:dens[6]-dens[9]       46:dens[6]-dens[10]      47:dens[7]-dens[7]       48:dens[7]-dens[8]       49:dens[7]-dens[9]       50:dens[7]-dens[10]      51:dens[8]-dens[8]       52:dens[8]-dens[9]       53:dens[8]-dens[10]      54:dens[9]-dens[9]       55:dens[9]-dens[10]      56:dens[10]-dens[10]  
  643       9.108190186585e+00       4.822076372267e-09       3.328670017769e-09      -4.681202831677e-09      -4.284536408646e-11      -9.315997965397e-08      -7.462267607864e-10       1.045539116134e-09       3.949833044855e-10       2.679917668039e-10       6.280577500754e+00      -8.699457860806e-09      -3.138621680780e-08      -8.482406486607e-09       6.147022955369e-08       1.912263953983e-08      -1.066683017705e-08      -1.149064923677e-08       1.512503975107e-08       4.828575739787e+00      -5.124532556818e-08       4.963253155673e-07       6.833205818382e-07       1.069864169016e-08       9.612514634684e-08      -1.909398554179e-08      -1.274358052868e-08       3.901291829282e+00       1.636287221051e-06       2.449543526923e-06       2.969530846855e-09      -9.878172660439e-09      -7.392780120798e-08      -1.981049492829e-08       3.246492310942e+00       8.274992445547e-07      -9.522543233005e-07      -9.291087931501e-07       2.205495519339e-07      -1.938449897532e-07       2.756207287499e+00      -1.495799666977e-06      -8.922011339304e-07      -3.412649432276e-07       2.189607218027e-08       2.374645996431e+00       6.432351534163e-07      -1.179131574056e-07      -1.414546212255e-07       2.069493891077e+00       1.491078546788e-07       1.837879485512e-07       1.820280472040e+00      -3.878657731379e-08       1.613263315011e+00 
  644       9.114302788139e+00       4.318897130716e-09       4.034372981403e-09      -4.448334539329e-09      -1.107315243917e-10      -9.780126796174e-08      -7.164659489927e-10       8.864145772703e-10       3.221586638687e-10       2.669928710359e-10       6.285541174045e+00      -1.020599612381e-08      -3.011668989756e-08      -8.728398995871e-09       7.839894465890e-08       1.861646552124e-08      -1.092687855708e-08      -1.092415284281e-08       1.692797819612e-08       4.832798616040e+00      -5.335092516939e-08       4.622550721030e-07       8.150349997938e-07       1.747909553016e-08       9.566916120703e-08      -2.432589726331e-08      -1.380791116209e-08       3.904966645841e+00       1.661463795567e-06       2.596696626701e-06       1.377216193090e-09      -1.164070195372e-08      -5.300343143153e-08      -1.943234732734e-08       3.249735307887e+00       9.433292295662e-07      -1.043986820489e-06      -9.240264582587e-07       2.907404814067e-07      -2.191967543031e-07       2.759097579110e+00      -1.515416064322e-06      -9.208289926832e-07      -3.630895845197e-07       1.300632532849e-08       2.377238657195e+00       6.600463509578e-07      -1.153714482773e-07      -1.476260074052e-07       2.071833408645e+00       1.476806251507e-07       1.828647692820e-07       1.822398034253e+00      -2.659278303531e-08       1.615207561948e+00 
  645       9.120407762175e+00       3.885959965334e-09       4.673262655945e-09      -4.164085373960e-09      -1.593036996524e-10      -1.012303901310e-07      -6.910822987840e-10       7.355361204699e-10       2.531850533972e-10       2.613790305914e-10       6.290499095981e+00      -1.140288381255e-08      -2.804558022244e-08      -8.587456801242e-09       9.018869187470e-08       1.742938307031e-08      -1.079114526143e-08      -1.026342839894e-08       1.883328505291e-08       4.837016862377e+00      -5.392368862659e-08       4.265656353744e-07       9.127561466977e-07       2.414691486588e-08       9.511971347984e-08      -2.891867815039e-08      -1.468284221520e-08       3.908637646855e+00       1.636727099855e-06       2.657456797094e-06      -3.769890320611e-10      -1.161031604291e-08      -3.287440461204e-08      -1.907278710190e-08       3.252975059241e+00       1.082741056588e-06      -1.115140446881e-06      -9.218587492672e-07       3.543825900481e-07      -2.321816596566e-07       2.761985072670e+00      -1.539523325710e-06      -9.432860486767e-07      -3.865213587134e-07       5.210550928109e-09       2.379829042923e+00       6.746576386999e-07      -1.127028425920e-07      -1.516242167357e-07       2.074170652092e+00       1.470238706295e-07       1.794231629761e-07       1.824514026168e+00      -1.567574437826e-08       1.617151246552e+00 
  646       9.126505142693e+00       3.519853580281e-09       5.241075765513e-09      -3.834134445098e-09      -1.883671578110e-10      -1.035099844727e-07      -6.700785721469e-10       5.934384966030e-10       1.880802312732e-10       2.513250457848e-10       6.295451289656e+00      -1.230564453433e-08      -2.524994657779e-08      -8.083905166297e-09       9.703522504874e-08       1.561221842463e-08      -1.028583700444e-08      -9.517782325426e-09       2.080113822937e-08       4.841230495244e+00      -5.306816071047e-08       3.898720203428e-07       9.774826176616e-07       3.064049911076e-08       9.448583971326e-08      -3.285004513989e-08      -1.536879846998e-08       3.912304845012e+00       1.565902819794e-06       2.636712977423e-06      -2.276072968621e-09      -9.937441686080e-09      -1.370842220700e-08      -1.872769984685e-08       3.256211577590e+00       1.242777292876e-06      -1.166447155495e-06      -9.223152113605e-07       4.114484291477e-07      -2.335546730767e-07       2.764869775144e+00      -1.567419381897e-06      -9.595698516114e-07      -4.112019078206e-07      -1.494577263894e-09       2.382417166622e+00       6.868675517490e-07      -1.099550762971e-07      -1.535538403447e-07       2.076505656037e+00       1.470618174460e-07       1.736479300500e-07       1.826628485686e+00      -6.004788096469e-09       1.619094312269e+00 
  647       9.132594969132e+00       3.212371685501e-09       5.736435416236e-09      -3.465871814890e-09      -1.981643766884e-10      -1.047545256667e-07      -6.532625319305e-10       4.603316239978e-10       1.265088924067e-10       2.372810268362e-10       6.300397781479e+00      -1.294465913035e-08      -2.183642349104e-08      -7.259381699271e-09       9.935246289017e-08       1.324341752813e-08      -9.452966391275e-09      -8.700063083750e-09       2.278378845224e-08       4.845439533430e+00      -5.094707684577e-08       3.528370240042e-07       1.011654650584e-06       3.689429087288e-08       9.377488073915e-08      -3.612451573981e-08      -1.587056931579e-08       3.915968254505e+00       1.454780112387e-06       2.542839899034e-06      -4.294636107053e-09      -6.857100417364e-09       4.378596142198e-09      -1.838989850095e-08       3.259444877807e+00       1.418994195804e-06      -1.199362104626e-06      -9.249224161433e-07       4.622552883765e-07      -2.245962962386e-07       2.767751695478e+00      -1.597794257676e-06      -9.697500140394e-07      -4.366558020572e-07      -7.151779947082e-09       2.385003037119e+00       6.965102617696e-07      -1.071741689127e-07      -1.536036341550e-07       2.078838456584e+00       1.476766415401e-07       1.658132326785e-07       1.828741443383e+00       2.522986307051e-09       1.621036692827e+00 
  648       9.138677277948e+00       2.955200608687e-09       6.157954035989e-09      -3.066782753929e-09      -1.889425298346e-10      -1.050800040102e-07      -6.404391772304e-10       3.364272059190e-10       6.813122772895e-11       2.197030297266e-10       6.305338596102e+00      -1.335070984659e-08      -1.791302564653e-08      -6.156070023591e-09       9.755987202803e-08       1.040245012482e-08      -8.335097279294e-09      -7.823285075205e-09       2.473289131947e-08       4.849643994512e+00      -4.772530783078e-08       3.161317121443e-07       1.017745532462e-06       4.284193952845e-08       9.299427516698e-08      -3.874672190379e-08      -1.619301994046e-08       3.919627888639e+00       1.309223675845e-06       2.384322884779e-06      -6.406953025871e-09      -2.607361208197e-09       2.126938762935e-08      -1.805210574860e-08       3.262674974135e+00       1.606891349497e-06      -1.215360179329e-06      -9.292008539556e-07       5.071249695070e-07      -2.066038685447e-07       2.770630842090e+00      -1.629321461510e-06      -9.738975483321e-07      -4.624016335971e-07      -1.180440277711e-08       2.387586662825e+00       7.034181015809e-07      -1.044067147675e-07      -1.519648675046e-07       2.081169089877e+00       1.487490018133e-07       1.561968226345e-07       1.830852929840e+00       1.001186290312e-08       1.622978320761e+00 
  649       9.144752102592e+00       2.739918873292e-09       6.504233341495e-09      -2.644448113430e-09      -1.609535068401e-10      -1.046039313936e-07      -6.314107322225e-10       2.219387363757e-10       1.260290633937e-11       1.990530796245e-10       6.310273756402e+00      -1.355498191588e-08      -1.358915328896e-08      -4.816701924466e-09       9.208248897079e-08       7.169813777608e-09      -6.975346945671e-09      -6.900629290018e-09       2.659950499856e-08       4.853843894851e+00      -4.356986823415e-08       2.804354513257e-07       9.982617306142e-07       4.841629818541e-08       9.215155976993e-08      -4.072141054905e-08      -1.634109164430e-08       3.923283759822e+00       1.135174046112e-06       2.169758284755e-06      -8.586971119424e-09       2.570647593712e-09       3.684534122208e-08      -1.770695366978e-08       3.265901880183e+00       1.801911443998e-06      -1.215936069773e-06      -9.346649101169e-07       5.463838045931e-07      -1.808916333795e-07       2.773507222869e+00      -1.660657921407e-06      -9.720848727782e-07      -4.879519933861e-07      -1.549641890300e-08       2.390168051733e+00       7.074215583381e-07      -1.016998852231e-07      -1.488313330756e-07       2.083497592099e+00       1.501580341982e-07       1.450800553937e-07       1.832962975641e+00       1.656751481979e-08       1.624919127414e+00 
  650       9.150819473489e+00       2.557996776539e-09       6.773864305435e-09      -2.206544697408e-09      -1.144539336453e-10      -1.034453472782e-07      -6.259766349967e-10       1.170815059311e-10      -4.042494234718e-11       1.757991943119e-10       6.315203283475e+00      -1.358906513984e-08      -8.975597626853e-09      -3.284559495480e-09       8.335094206589e-08       3.627037887091e-09      -5.417388254941e-09      -5.945443956486e-09       2.833408792485e-08       4.858039249583e+00      -3.864992479179e-08       2.464359408748e-07       9.557430239057e-07       5.354942064692e-08       9.125436987094e-08      -4.205344407426e-08      -1.631980215397e-08       3.926935879559e+00       9.386478933920e-07       1.907853912023e-06      -1.080830932568e-08       8.432726325393e-09       5.098649260045e-08      -1.734698338993e-08       3.269125608917e+00       1.999440054427e-06      -1.202604349586e-06      -9.408228411710e-07       5.803626741490e-07      -1.487908043649e-07       2.776380845165e+00      -1.690443920791e-06      -9.643858176822e-07      -5.128134479552e-07      -1.827243150443e-08       2.392747211408e+00       7.083492667126e-07      -9.910143089838e-08      -1.443993568224e-07       2.085823999467e+00       1.517813457284e-07       1.327479042390e-07       1.835071611369e+00       2.229700972578e-08       1.626859042923e+00 
  651       9.156879418015e+00       2.400795967429e-09       6.965427123559e-09      -1.760845634853e-09      -4.970519285162e-11      -1.017248246725e-07      -6.239335263905e-10       2.207260751016e-11      -9.130574645331e-11       1.504154076113e-10       6.320127196617e+00      -1.348495547094e-08      -4.184546236045e-09      -1.603477285192e-09       7.180147345924e-08      -1.433122896624e-10      -3.705451826581e-09      -4.971245190114e-09       2.988649649991e-08       4.862230072605e+00      -3.313680480367e-08       2.148292448691e-07       8.927626339742e-07       5.817255837492e-08       9.031043972871e-08      -4.274780087747e-08      -1.613424593647e-08       3.930584258448e+00       7.257383186739e-07       1.607429478350e-06      -1.304425685400e-08       1.473159206963e-08       6.357151909558e-08      -1.696464472989e-08       3.272346172661e+00       2.194805420149e-06      -1.176899554214e-06      -9.471767511308e-07       6.093970253295e-07      -1.116496316153e-07       2.779251715789e+00      -1.717303034381e-06      -9.508756314623e-07      -5.364865162348e-07      -2.017767632900e-08       2.395324148992e+00       7.060280020727e-07      -9.665968389416e-08      -1.388678078999e-07       2.088148348238e+00       1.534950086077e-07       1.194889743652e-07       1.837178867611e+00       2.730881531392e-08       1.628797996220e+00 
  652       9.162931960481e+00       2.259569024753e-09       7.077491181790e-09      -1.315220751909e-09       3.302655596870e-11      -9.956447610936e-08      -6.250752388227e-10      -6.286905779107e-11      -1.403975094920e-10       1.233817928117e-10       6.325045513315e+00      -1.327505659451e-08       6.704115368808e-10       1.821555562754e-10       5.787596105479e-08      -4.057631620311e-09      -1.884328202574e-09      -3.991717642748e-09       3.120598278982e-08       4.866416376573e+00      -2.720400453066e-08       1.863198241244e-07       8.119273564538e-07       6.221615745372e-08       8.932760292382e-08      -4.280957587406e-08      -1.578959451306e-08       3.934228906170e+00       5.026151502550e-07       1.277417029929e-06      -1.526777191293e-08       2.121686671600e-08       7.447773462829e-08      -1.655229585581e-08       3.275563583085e+00       2.383278223933e-06      -1.140376259269e-06      -9.532225677231e-07       6.338268901087e-07      -7.083346799276e-08       2.782119841007e+00      -1.739842064061e-06      -9.316309867495e-07      -5.584656463685e-07      -2.125802422952e-08       2.397898871196e+00       7.002826736645e-07      -9.442356001717e-08      -1.324381085926e-07       2.090470674699e+00       1.551735542799e-07       1.055955169837e-07       1.839284774949e+00       3.171280478456e-08       1.630735915023e+00 
  653       9.168977122107e+00       2.125459035099e-09       7.108615023337e-09      -8.776369440456e-10       1.334703559620e-10      -9.708795962238e-08      -6.291927851270e-10      -1.375227748972e-10      -1.880628282195e-10       9.518448609530e-11       6.329958249232e+00      -1.299218151076e-08       5.474279171124e-09       2.027393130639e-09       4.202194047404e-08      -8.031271078449e-09       6.299850159436e-13      -3.020715151711e-09       3.224119222355e-08       4.870598172887e+00      -2.102719759140e-08       1.616205681820e-07       7.158776921998e-07       6.560985555346e-08       8.831379274472e-08      -4.224398101457e-08      -1.529109677321e-08       3.937869831484e+00       2.755252402676e-07       9.268613831164e-07      -1.745148043800e-08       2.763506502185e-08       8.358108464769e-08      -1.610220292908e-08       3.278777851207e+00       2.560071371117e-06      -1.094609158882e-06      -9.584500186329e-07       6.539969034599e-07      -2.772483536216e-08       2.784985226538e+00      -1.756650974757e-06      -9.067299864847e-07      -5.782391925264e-07      -2.155998370130e-08       2.400471384297e+00       6.909363177925e-07      -9.244256100463e-08      -1.253142442425e-07       2.092791015173e+00       1.566899674983e-07       9.136344342672e-08       1.841389363965e+00       3.562026232899e-08       1.632672725828e+00 
  654       9.175014921000e+00       1.989499170865e-09       7.057346315799e-09      -4.561585482399e-10       2.513504326829e-10      -9.442048472312e-08      -6.360743473855e-10      -2.016660089446e-10      -2.346689104883e-10       6.631570996373e-11       6.334865418196e+00      -1.266955411676e-08       1.011064756820e-08       3.886730644859e-09       2.469262701555e-08      -1.197853372481e-08       1.903505846474e-09      -2.072261388937e-09       3.294016129125e-08       4.874775471687e+00      -1.478424335908e-08       1.414528272956e-07       6.072879785137e-07       6.828247889373e-08       8.727704257380e-08      -4.105634580271e-08      -1.464407928855e-08       3.941507042220e+00       5.079276120390e-08       5.649205601589e-07      -1.956767481946e-08       3.372958267336e-08       9.075614106985e-08      -1.560653975621e-08       3.281988987382e+00       2.720339768769e-06      -1.041193144056e-06      -9.623426077487e-07       6.702563215349e-07       1.627650915369e-08       2.787847877545e+00      -1.766302830309e-06      -8.762521700181e-07      -5.952893917194e-07      -2.113070341938e-08       2.403041694134e+00       6.778100910000e-07      -9.076677674861e-08      -1.177027731779e-07       2.095109406014e+00       1.579156803955e-07       7.709233925243e-08       1.843492665236e+00       3.914388861291e-08       1.634608353910e+00 
  655       9.181045372141e+00       1.842612268266e-09       6.922221818276e-09      -5.894771514878e-11       3.863861737839e-10      -9.168881837773e-08      -6.455052657627e-10      -2.550743994731e-10      -2.805875930998e-10       3.727379666460e-11       6.339767032185e+00      -1.234081078850e-08       1.446168964850e-08       5.714102264549e-09       6.346937614501e-09      -1.581267068849e-08       3.777816066865e-09      -1.160550510108e-09       3.325031524260e-08       4.878948281837e+00      -8.655195358354e-09       1.265464444189e-07       4.888665203679e-07       7.016203920705e-08       8.622548627347e-08      -3.925211781318e-08      -1.385394662682e-08       3.945140545271e+00      -1.651804975592e-07       2.008662249247e-07      -2.158831263012e-08       3.924068434652e-08       9.587609721635e-08      -1.505738743878e-08       3.285197001302e+00       2.859180104853e-06      -9.817433810149e-07      -9.643775914065e-07       6.829590398437e-07       5.975350691887e-08       2.790707798637e+00      -1.767353729343e-06      -8.402785192068e-07      -6.090923406124e-07      -2.001797477590e-08       2.405609806107e+00       6.607232632501e-07      -8.944688752041e-08      -1.098128366415e-07       2.097425883605e+00       1.587205665527e-07       6.308547834907e-08       1.845594709335e+00       4.239780625979e-08       1.636542723310e+00 
  656       9.187068487353e+00       1.675610405344e-09       6.701767348477e-09       3.057352187127e-10       5.382921087052e-10      -8.902129098380e-08      -6.572680273386e-10      -2.975217546168e-10      -3.261953596574e-10       8.563211617902e-12       6.344663101318e+00      -1.204000196288e-08       1.840815494778e-08       7.462878967379e-09      -1.255048719780e-08      -1.944587714813e-08       5.576508738463e-09      -2.999478037845e-10       3.311846578515e-08       4.883116610926e+00      -2.822309662112e-09       1.176397871924e-07       3.633557216302e-07       7.117573070248e-08       8.516735857215e-08      -3.683686320967e-08      -1.292618166578e-08       3.948770346588e+00      -3.659148332345e-07      -1.559158813665e-07      -2.348501535309e-08       4.390549176820e-08       9.881276275299e-08      -1.444673402332e-08       3.288401901986e+00       2.971630627388e-06      -9.178953895589e-07      -9.640259546349e-07       6.924636114338e-07       1.012717315292e-07       2.793564993862e+00      -1.758342741152e-06      -7.988914645134e-07      -6.191179723386e-07      -1.827023441727e-08       2.408175725171e+00       6.394932111062e-07      -8.853416619489e-08      -1.018561687193e-07       2.099740484361e+00       1.589729350694e-07       4.964983703977e-08       1.847695526828e+00       4.549756533439e-08       1.638475756835e+00 
  657       9.193084275290e+00       1.479194479979e-09       6.394497749828e-09       6.295313587956e-10       7.067778883641e-10      -8.654780234717e-08      -6.711422549428e-10      -3.287800452961e-10      -3.718733584193e-10      -1.930542315759e-11       6.349553633836e+00      -1.180159371973e-08       2.182936421377e-08       9.085866396479e-09      -3.152926133438e-08      -2.278928831313e-08       7.251961193180e-09       4.950096594531e-10       3.249080878263e-08       4.887280465249e+00       2.529946711637e-09       1.154797799308e-07       2.335322162891e-07       7.124992702910e-08       8.411099545037e-08      -3.381626726270e-08      -1.186634590719e-08       3.952396451174e+00      -5.448523330996e-07      -4.959255044126e-07      -2.522906710959e-08       4.745797177710e-08       9.943655862833e-08      -1.376647415128e-08       3.291603697779e+00       3.052670923615e-06      -8.513051214139e-07      -9.607523873998e-07       6.991332650697e-07       1.393793225572e-07       2.796419466700e+00      -1.737791841562e-06      -7.521748911039e-07      -6.248300333130e-07      -1.593656678154e-08       2.410739455837e+00       6.139354109127e-07      -8.808048047490e-08      -9.404710626872e-08       2.102053244721e+00       1.585395246332e-07       3.709610818710e-08       1.849795148274e+00       4.856014882608e-08       1.640407376048e+00 
  658       9.199092741408e+00       1.243953787898e-09       5.998916858580e-09       9.039828803402e-10       8.915482648450e-10      -8.439982765874e-08      -6.869046959882e-10      -3.486193994086e-10      -4.180074201515e-10      -4.581530561784e-11       6.354438636097e+00      -1.166046936381e-08       2.460320400265e-08       1.053530271385e-08      -5.011323119308e-08      -2.575297540487e-08       8.755977834993e-09       1.209612377874e-09       3.131292195331e-08       4.891439849806e+00       7.214887402946e-09       1.208219356101e-07       1.022069996783e-07       7.031017823961e-08       8.306483452680e-08      -3.019613486758e-08      -1.068007979074e-08       3.956018863074e+00      -6.953565779714e-07      -8.095474410996e-07      -2.679141338671e-08       4.962892438483e-08       9.761651201238e-08      -1.300840870887e-08       3.294802396346e+00       3.097221699157e-06      -7.836490385848e-07      -9.540152608490e-07       7.033359234125e-07       1.726069192967e-07       2.799271220065e+00      -1.704205848814e-06      -7.002141449465e-07      -6.256860600461e-07      -1.306670663564e-08       2.413301002161e+00       5.838634319757e-07      -8.813829511563e-08      -8.660259884721e-08       2.104364201154e+00       1.572854975890e-07       2.573871529764e-08       1.851893604222e+00       5.170397813238e-08       1.642337501263e+00 
  659       9.205093887949e+00       9.603656006848e-10       5.513517470918e-09       1.120532656200e-09       1.092303071089e-09      -8.271042347132e-08      -7.043292113039e-10      -3.568080960203e-10      -4.649880759805e-10      -7.044343026717e-11       6.359318112557e+00      -1.165193100687e-08       2.660612127561e-08       1.176285645376e-08      -6.782045369699e-08      -2.824594163792e-08       1.003978797238e-08       1.828977769462e-09       2.952976256831e-08       4.895594768287e+00       1.104359831308e-08       1.344303878546e-07      -2.777444029887e-08       6.828120775382e-08       8.203741544430e-08      -2.598239106229e-08      -9.373103007976e-09       3.959637585370e+00      -8.107123456814e-07      -1.087051103771e-06      -2.814265976521e-08       5.014597083689e-08       9.322025123517e-08      -1.216424447706e-08       3.297998004664e+00       3.100144557185e-06      -7.166241917068e-07      -9.432666035567e-07       7.054442211993e-07       1.994675945080e-07       2.802120256295e+00      -1.656072359428e-06      -6.430960389096e-07      -6.211373559577e-07      -9.711041612643e-09       2.415860367749e+00       5.490889297433e-07      -8.876067414899e-08      -7.974221864069e-08       2.106673390153e+00       1.550744340090e-07       1.589582662656e-08       1.853990925213e+00       5.504891854229e-08       1.644266051543e+00 
  660       9.211087713919e+00       6.187947437889e-10       4.936781310070e-09       1.270523884666e-09       1.308737200582e-09      -8.161423367641e-08      -7.231867639699e-10      -3.531125595575e-10      -5.132105752464e-10      -9.266056473180e-11       6.364192065759e+00      -1.181170114961e-08       2.771311799540e-08       1.271962437616e-08      -8.416317433497e-08      -3.017611820121e-08       1.105404365074e-08       2.338049522778e-09       2.708566514994e-08       4.899745223067e+00       1.382492920769e-08       1.570779229244e-07      -1.535319919440e-07       6.508690932224e-08       8.103738025596e-08      -2.118108154542e-08      -7.951214816286e-09       3.963252620175e+00      -8.841253145503e-07      -1.318590084497e-06      -2.925307064730e-08       4.873354167371e-08       8.611400072542e-08      -1.122559378141e-08       3.301190529020e+00       3.056241777577e-06      -6.519482983974e-07      -9.279520777687e-07       7.058355234227e-07       2.184567881624e-07       2.804966577152e+00      -1.591861684089e-06      -5.809088588601e-07      -6.106289681907e-07      -5.920614749087e-09       2.418417555746e+00       5.094216389871e-07      -9.000128310799e-08      -7.368817039199e-08       2.108980848234e+00       1.517683257619e-07       7.889369282257e-09       1.856087141774e+00       5.871628471979e-08       1.646192944689e+00 
  661       9.217074223080e+00       2.124542427938e-10       4.270003643267e-09       1.347808122652e-09       1.539929985319e-09      -8.120505127377e-08      -7.432273900379e-10      -3.375299159439e-10      -5.629244814209e-10      -1.120250413403e-10       6.369060500939e+00      -1.216444280329e-08       2.783508241534e-08       1.336849721327e-08      -9.874082047443e-08      -3.147442360905e-08       1.176084733280e-08       2.725261032766e-09       2.395277716277e-08       4.903891218634e+00       1.541799417061e-08       1.891533831889e-07      -2.725342934511e-07       6.068736937462e-08       8.007350813792e-08      -1.581476314208e-08      -6.420136382635e-09       3.966863970966e+00      -9.106193178593e-07      -1.496489875734e-06      -3.010119981472e-08       4.520286171752e-08       7.626525388811e-08      -1.018814311161e-08       3.304379975164e+00       2.961951338600e-06      -5.910232862206e-07      -9.076227233095e-07       7.048279927041e-07       2.284392896250e-07       2.807810185872e+00      -1.510542153880e-06      -5.138154739899e-07      -5.937764694379e-07      -1.756117089832e-09       2.420972568093e+00       4.648080466852e-07      -9.190193388729e-08      -6.861350231944e-08       2.111286605880e+00       1.472734263223e-07       1.962627160619e-09       1.858182275308e+00       6.279860679155e-08       1.648118105676e+00 
  662       9.223053448183e+00      -2.536402189263e-10       3.525835571182e-09       1.356633268019e-09       1.782498590224e-09      -8.140746433263e-08      -7.641256968872e-10      -3.109913019651e-10      -6.137787830803e-10      -1.284664495806e-10       6.373923439988e+00      -1.268903877307e-08       2.703169751589e-08       1.372156057654e-08      -1.115212767230e-07      -3.216753226351e-08       1.217013046637e-08       2.993615698366e-09       2.021705905308e-08       4.908032771976e+00       1.589096077500e-08       2.294743097075e-07      -3.837583994401e-07       5.519083636577e-08       7.915481958652e-08      -9.972070896787e-09      -4.785033363252e-09       3.970471649649e+00      -8.927746319587e-07      -1.622167290305e-06      -3.069999358729e-08       3.972410735390e-08       6.405328725664e-08      -9.064260593012e-09       3.307566348768e+00       2.820473458240e-06      -5.339176187847e-07      -8.822729422365e-07       7.024872070788e-07       2.298196855094e-07       2.810651093387e+00      -1.413138642193e-06      -4.422744251426e-07      -5.709006294924e-07       2.684921960500e-09       2.423525403252e+00       4.157507811593e-07      -9.445491333624e-08      -6.448546518198e-08       2.113590669226e+00       1.416789220311e-07      -1.968988406375e-09       1.860276310533e+00       6.726818567621e-08       1.650041492169e+00 
  663       9.229025427227e+00      -7.714281305269e-10       2.719930046389e-09       1.303928785405e-09       2.032403857561e-09      -8.210239141328e-08      -7.855341409230e-10      -2.746740536605e-10      -6.652667871179e-10      -1.420081532390e-10       6.378780907769e+00      -1.335254984912e-08       2.540101171586e-08       1.380351456161e-08      -1.225657687633e-07      -3.230670262169e-08       1.230407284257e-08       3.149849681575e-09       1.599417611346e-08       4.912169902409e+00       1.536574589255e-08       2.764481795359e-07      -4.865554276151e-07       4.874421455067e-08       7.829047528245e-08      -3.759245049173e-09      -3.050983416941e-09       3.974075669637e+00      -8.351156412948e-07      -1.699362765311e-06      -3.107126076991e-08       3.256022719662e-08       4.996548372905e-08      -7.870665840224e-09       3.310749654966e+00       2.636756665590e-06      -4.803616830677e-07      -8.520099203731e-07       6.988153137409e-07       2.233975912691e-07       2.813489312232e+00      -1.301208284218e-06      -3.668237239468e-07      -5.425044883119e-07       7.294720373845e-09       2.426076058423e+00       3.628984577402e-07      -9.763982834283e-08      -6.121871863570e-08       2.115893037967e+00       1.351213070573e-07      -4.074177359750e-09       1.862369222428e+00       7.206653208043e-08       1.651963069558e+00 
  664       9.234990195480e+00      -1.332746953798e-09       1.868135019696e-09       1.196713392834e-09       2.285557034252e-09      -8.316926384496e-08      -8.071009207916e-10      -2.297706064902e-10      -7.168756090738e-10      -1.526740441240e-10       6.383632927519e+00      -1.412162537852e-08       2.304233244418e-08       1.363938177413e-08      -1.319364132297e-07      -3.194386169412e-08       1.218514651218e-08       3.200790300938e-09       1.140123768792e-08       4.916302628146e+00       1.396582987975e-08       3.284625879718e-07      -5.802693432953e-07       4.149626926578e-08       7.748974236673e-08       2.716154943431e-09      -1.223133492087e-09       3.977676043517e+00      -7.422249681546e-07      -1.731866212762e-06      -3.123709403381e-08       2.397750127971e-08       3.449529766671e-08      -6.624286951806e-09       3.313929898193e+00       2.415813037797e-06      -4.300822789588e-07      -8.169425413633e-07       6.938145943738e-07       2.099829795387e-07       2.816324854501e+00      -1.176328295440e-06      -2.880082161177e-07      -5.090976438061e-07       1.196417428408e-08       2.428624530280e+00       3.069078675850e-07      -1.014359867914e-07      -5.872681321885e-08       2.118193711374e+00       1.277388111678e-07      -4.523840846215e-09       1.864460985292e+00       7.713442050811e-08       1.653882802567e+00 
