# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 5.7298e+02 1.8396e-03 -9.3449e-04 1.1461e+03 4.2060e+02 -1.1102e-03 3.8117e+01 7.9278e-03 6.8979e-03 5.2563e-03 1.0161e+02 6.7723e+01 0.0000e+00 0.0000e+00
1.0842e-03 6.1704e+02 2.3639e-03 -1.1841e-03 1.2350e+03 4.7963e+02 -1.3000e-03 3.8117e+01 9.3220e-03 8.1084e-03 6.1691e-03 1.0161e+02 6.7715e+01 0.0000e+00 0.0000e+00
1.1756e-03 6.6433e+02 3.0305e-03 -1.4996e-03 1.3303e+03 5.4151e+02 -1.5213e-03 3.8117e+01 1.0962e-02 9.5307e-03 7.2387e-03 1.0160e+02 6.7706e+01 0.0000e+00 0.0000e+00
1.2746e-03 7.1504e+02 3.8770e-03 -1.8980e-03 1.4324e+03 6.0635e+02 -1.7789e-03 3.8116e+01 1.2891e-02 1.1201e-02 8.4913e-03 1.0159e+02 6.7695e+01 0.0000e+00 0.0000e+00
1.3819e-03 7.6938e+02 4.9499e-03 -2.4004e-03 1.5415e+03 6.7427e+02 -2.0782e-03 3.8116e+01 1.5160e-02 1.3163e-02 9.9573e-03 1.0158e+02 6.7683e+01 0.0000e+00 0.0000e+00
1.4983e-03 8.2754e+02 6.3078e-03 -3.0335e-03 1.6581e+03 7.4536e+02 -2.4252e-03 3.8116e+01 1.7830e-02 1.5466e-02 1.1672e-02 1.0157e+02 6.7668e+01 0.0000e+00 0.0000e+00
1.6246e-03 8.8969e+02 8.0237e-03 -3.8303e-03 1.7824e+03 8.1972e+02 -2.8268e-03 3.8115e+01 2.0971e-02 1.8169e-02 1.3676e-02 1.0156e+02 6.7651e+01 0.0000e+00 0.0000e+00
1.7614e-03 9.5603e+02 1.0189e-02 -4.8320e-03 1.9150e+03 8.9746e+02 -3.2901e-03 3.8114e+01 2.4668e-02 2.1338e-02 1.6016e-02 1.0154e+02 6.7630e+01 0.0000e+00 0.0000e+00
1.9098e-03 1.0267e+03 1.2916e-02 -6.0893e-03 2.0559e+03 9.7866e+02 -3.8227e-03 3.8114e+01 2.9019e-02 2.5052e-02 1.8746e-02 1.0152e+02 6.7606e+01 0.0000e+00 0.0000e+00
2.0706e-03 1.1018e+03 1.6345e-02 -7.6652e-03 2.2056e+03 1.0634e+03 -4.4328e-03 3.8113e+01 3.4140e-02 2.9400e-02 2.1927e-02 1.0150e+02 6.7579e+01 0.0000e+00 0.0000e+00
2.2450e-03 1.1815e+03 2.0651e-02 -9.6370e-03 2.3643e+03 1.1517e+03 -5.1282e-03 3.8112e+01 4.0171e-02 3.4486e-02 2.5629e-02 1.0147e+02 6.7546e+01 0.0000e+00 0.0000e+00
2.4341e-03 1.2658e+03 2.6048e-02 -1.2100e-02 2.5322e+03 1.2437e+03 -5.9162e-03 3.8111e+01 4.7273e-02 4.0426e-02 2.9930e-02 1.0144e+02 6.7508e+01 0.0000e+00 0.0000e+00
2.6392e-03 1.3548e+03 3.2799e-02 -1.5169e-02 2.7094e+03 1.3393e+03 -6.8028e-03 3.8109e+01 5.5638e-02 4.7355e-02 3.4919e-02 1.0141e+02 6.7463e+01 0.0000e+00 0.0000e+00
2.8615e-03 1.4483e+03 4.1228e-02 -1.8987e-02 2.8959e+03 1.4386e+03 -7.7917e-03 3.8108e+01 6.5494e-02 5.5419e-02 4.0695e-02 1.0136e+02 6.7412e+01 0.0000e+00 0.0000e+00
3.1025e-03 1.5464e+03 5.1730e-02 -2.3723e-02 3.0917e+03 1.5415e+03 -8.8824e-03 3.8106e+01 7.7110e-02 6.4783e-02 4.7366e-02 1.0131e+02 6.7351e+01 0.0000e+00 0.0000e+00
3.3638e-03 1.6488e+03 6.4788e-02 -2.9584e-02 3.2965e+03 1.6480e+03 -1.0069e-02 3.8103e+01 9.0803e-02 7.5628e-02 5.5053e-02 1.0125e+02 6.7281e+01 0.0000e+00 0.0000e+00
3.6472e-03 1.7555e+03 8.0985e-02 -3.6816e-02 3.5102e+03 1.7579e+03 -1.1335e-02 3.8101e+01 1.0695e-01 8.8143e-02 6.3884e-02 1.0119e+02 6.7199e+01 0.0000e+00 0.0000e+00
3.9544e-03 1.8663e+03 1.0103e-01 -4.5710e-02 3.7321e+03 1.8710e+03 -1.2652e-02 3.8098e+01 1.2600e-01 1.0253e-01 7.3995e-02 1.0111e+02 6.7104e+01 0.0000e+00 0.0000e+00
4.2875e-03 1.9808e+03 1.2576e-01 -5.6612e-02 3.9616e+03 1.9871e+03 -1.3972e-02 3.8094e+01 1.4848e-01 1.1899e-01 8.5528e-02 1.0101e+02 6.6993e+01 0.0000e+00 0.0000e+00
4.6486e-03 2.0987e+03 1.5619e-01 -6.9923e-02 4.1978e+03 2.1058e+03 -1.5223e-02 3.8090e+01 1.7502e-01 1.3770e-01 9.8625e-02 1.0090e+02 6.6866e+01 0.0000e+00 0.0000e+00
5.0402e-03 2.2195e+03 1.9353e-01 -8.6107e-02 4.4397e+03 2.2267e+03 -1.6296e-02 3.8085e+01 2.0635e-01 1.5885e-01 1.1342e-01 1.0078e+02 6.6719e+01 0.0000e+00 0.0000e+00
5.4648e-03 2.3426e+03 2.3918e-01 -1.0569e-01 4.6859e+03 2.3493e+03 -1.7033e-02 3.8079e+01 2.4337e-01 1.8255e-01 1.3005e-01 1.0063e+02 6.6549e+01 0.0000e+00 0.0000e+00
5.9251e-03 2.4671e+03 2.9481e-01 -1.2927e-01 4.9348e+03 2.4729e+03 -1.7214e-02 3.8072e+01 2.8711e-01 2.0887e-01 1.4860e-01 1.0046e+02 6.6353e+01 0.0000e+00 0.0000e+00
6.4242e-03 2.5919e+03 3.6233e-01 -1.5750e-01 5.1845e+03 2.5968e+03 -1.6533e-02 3.8064e+01 3.3880e-01 2.3777e-01 1.6915e-01 1.0025e+02 6.6129e+01 0.0000e+00 0.0000e+00
6.9653e-03 2.7159e+03 4.4396e-01 -1.9109e-01 5.4328e+03 2.7198e+03 -1.4575e-02 3.8054e+01 3.9992e-01 2.6909e-01 1.9169e-01 1.0002e+02 6.5873e+01 0.0000e+00 0.0000e+00
