# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.4987e+03 5.3543e-02 -3.4844e-02 6.9985e+03 2.5683e+03 -4.1397e-02 1.4213e+03 2.9561e-01 2.5720e-01 1.9599e-01 3.7890e+03 2.5252e+03 0.0000e+00 0.0000e+00
1.0842e-03 3.7678e+03 6.9089e-02 -4.4153e-02 7.5415e+03 2.9288e+03 -4.8475e-02 1.4213e+03 3.4759e-01 3.0234e-01 2.3003e-01 3.7887e+03 2.5249e+03 0.0000e+00 0.0000e+00
1.1756e-03 4.0565e+03 8.8886e-02 -5.5917e-02 8.1234e+03 3.3066e+03 -5.6725e-02 1.4213e+03 4.0874e-01 3.5537e-01 2.6991e-01 3.7884e+03 2.5246e+03 0.0000e+00 0.0000e+00
1.2746e-03 4.3661e+03 1.1405e-01 -7.0769e-02 8.7464e+03 3.7026e+03 -6.6329e-02 1.4213e+03 4.8066e-01 4.1766e-01 3.1661e-01 3.7881e+03 2.5242e+03 0.0000e+00 0.0000e+00
1.3819e-03 4.6979e+03 1.4597e-01 -8.9502e-02 9.4127e+03 4.1173e+03 -7.7488e-02 1.4213e+03 5.6527e-01 4.9081e-01 3.7127e-01 3.7877e+03 2.5237e+03 0.0000e+00 0.0000e+00
1.4983e-03 5.0530e+03 1.8640e-01 -1.1311e-01 1.0125e+04 4.5514e+03 -9.0428e-02 1.4212e+03 6.6481e-01 5.7667e-01 4.3520e-01 3.7873e+03 2.5231e+03 0.0000e+00 0.0000e+00
1.6246e-03 5.4325e+03 2.3750e-01 -1.4282e-01 1.0884e+04 5.0055e+03 -1.0540e-01 1.4212e+03 7.8194e-01 6.7743e-01 5.0992e-01 3.7867e+03 2.5225e+03 0.0000e+00 0.0000e+00
1.7614e-03 5.8375e+03 3.0199e-01 -1.8016e-01 1.1693e+04 5.4802e+03 -1.2267e-01 1.4212e+03 9.1977e-01 7.9558e-01 5.9717e-01 3.7861e+03 2.5217e+03 0.0000e+00 0.0000e+00
1.9098e-03 6.2689e+03 3.8322e-01 -2.2704e-01 1.2554e+04 5.9761e+03 -1.4253e-01 1.4212e+03 1.0820e+00 9.3403e-01 6.9894e-01 3.7854e+03 2.5208e+03 0.0000e+00 0.0000e+00
2.0706e-03 6.7275e+03 4.8537e-01 -2.8579e-01 1.3468e+04 6.4935e+03 -1.6528e-01 1.4211e+03 1.2730e+00 1.0961e+00 8.1753e-01 3.7845e+03 2.5198e+03 0.0000e+00 0.0000e+00
