# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.2655e+03 8.5073e-03 -4.5584e-03 2.5313e+03 9.2894e+02 -5.4156e-03 1.8593e+02 3.8671e-02 3.3648e-02 2.5640e-02 4.9567e+02 3.3035e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.3628e+03 1.0941e-02 -5.7762e-03 2.7277e+03 1.0593e+03 -6.3415e-03 1.8593e+02 4.5472e-02 3.9552e-02 3.0093e-02 4.9564e+02 3.3031e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.4672e+03 1.4036e-02 -7.3151e-03 2.9382e+03 1.1960e+03 -7.4208e-03 1.8593e+02 5.3471e-02 4.6490e-02 3.5310e-02 4.9560e+02 3.3027e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.5792e+03 1.7967e-02 -9.2581e-03 3.1635e+03 1.3392e+03 -8.6772e-03 1.8593e+02 6.2880e-02 5.4639e-02 4.1420e-02 4.9556e+02 3.3021e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.6992e+03 2.2950e-02 -1.1709e-02 3.4045e+03 1.4892e+03 -1.0137e-02 1.8593e+02 7.3949e-02 6.4209e-02 4.8571e-02 4.9551e+02 3.3015e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.8277e+03 2.9258e-02 -1.4797e-02 3.6620e+03 1.6462e+03 -1.1830e-02 1.8593e+02 8.6972e-02 7.5443e-02 5.6935e-02 4.9545e+02 3.3008e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.9650e+03 3.7229e-02 -1.8684e-02 3.9367e+03 1.8104e+03 -1.3789e-02 1.8592e+02 1.0229e-01 8.8625e-02 6.6710e-02 4.9539e+02 3.2999e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.1115e+03 4.7287e-02 -2.3570e-02 4.2294e+03 1.9821e+03 -1.6049e-02 1.8592e+02 1.2033e-01 1.0408e-01 7.8125e-02 4.9531e+02 3.2989e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.2675e+03 5.9956e-02 -2.9703e-02 4.5407e+03 2.1615e+03 -1.8647e-02 1.8592e+02 1.4155e-01 1.2220e-01 9.1441e-02 4.9521e+02 3.2978e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.4334e+03 7.5888e-02 -3.7390e-02 4.8714e+03 2.3486e+03 -2.1623e-02 1.8591e+02 1.6653e-01 1.4341e-01 1.0696e-01 4.9510e+02 3.2964e+02 0.0000e+00 0.0000e+00
2.2450e-03 2.6094e+03 9.5890e-02 -4.7008e-02 5.2219e+03 2.5437e+03 -2.5015e-02 1.8591e+02 1.9595e-01 1.6821e-01 1.2501e-01 4.9497e+02 3.2948e+02 0.0000e+00 0.0000e+00
2.4341e-03 2.7956e+03 1.2096e-01 -5.9020e-02 5.5926e+03 2.7468e+03 -2.8858e-02 1.8590e+02 2.3059e-01 1.9719e-01 1.4599e-01 4.9482e+02 3.2930e+02 0.0000e+00 0.0000e+00
2.6392e-03 2.9920e+03 1.5231e-01 -7.3992e-02 5.9839e+03 2.9581e+03 -3.3183e-02 1.8589e+02 2.7139e-01 2.3098e-01 1.7033e-01 4.9464e+02 3.2908e+02 0.0000e+00 0.0000e+00
2.8615e-03 3.1986e+03 1.9146e-01 -9.2613e-02 6.3958e+03 3.1774e+03 -3.8006e-02 1.8589e+02 3.1947e-01 2.7032e-01 1.9850e-01 4.9443e+02 3.2882e+02 0.0000e+00 0.0000e+00
3.1025e-03 3.4151e+03 2.4022e-01 -1.1571e-01 6.8282e+03 3.4047e+03 -4.3326e-02 1.8588e+02 3.7613e-01 3.1599e-01 2.3104e-01 4.9419e+02 3.2853e+02 0.0000e+00 0.0000e+00
3.3638e-03 3.6414e+03 3.0085e-01 -1.4430e-01 7.2806e+03 3.6398e+03 -4.9112e-02 1.8586e+02 4.4292e-01 3.6888e-01 2.6853e-01 4.9390e+02 3.2818e+02 0.0000e+00 0.0000e+00
3.6472e-03 3.8770e+03 3.7603e-01 -1.7957e-01 7.7524e+03 3.8825e+03 -5.5286e-02 1.8585e+02 5.2168e-01 4.2992e-01 3.1160e-01 4.9357e+02 3.2778e+02 0.0000e+00 0.0000e+00
3.9544e-03 4.1215e+03 4.6904e-01 -2.2295e-01 8.2424e+03 4.1323e+03 -6.1710e-02 1.8583e+02 6.1459e-01 5.0008e-01 3.6091e-01 4.9317e+02 3.2732e+02 0.0000e+00 0.0000e+00
4.2875e-03 4.3743e+03 5.8379e-01 -2.7612e-01 8.7493e+03 4.3887e+03 -6.8151e-02 1.8582e+02 7.2423e-01 5.8033e-01 4.1716e-01 4.9271e+02 3.2678e+02 0.0000e+00 0.0000e+00
4.6486e-03 4.6346e+03 7.2495e-01 -3.4104e-01 9.2710e+03 4.6509e+03 -7.4253e-02 1.8579e+02 8.5366e-01 6.7161e-01 4.8103e-01 4.9218e+02 3.2615e+02 0.0000e+00 0.0000e+00
5.0402e-03 4.9013e+03 8.9806e-01 -4.1997e-01 9.8052e+03 4.9180e+03 -7.9485e-02 1.8577e+02 1.0065e+00 7.7473e-01 5.5320e-01 4.9155e+02 3.2543e+02 0.0000e+00 0.0000e+00
5.4648e-03 5.1730e+03 1.1097e+00 -5.1548e-01 1.0349e+04 5.1888e+03 -8.3080e-02 1.8574e+02 1.1870e+00 8.9030e-01 6.3427e-01 4.9082e+02 3.2460e+02 0.0000e+00 0.0000e+00
5.9251e-03 5.4477e+03 1.3674e+00 -6.3047e-01 1.0898e+04 5.4619e+03 -8.3962e-02 1.8570e+02 1.4003e+00 1.0186e+00 7.2473e-01 4.8997e+02 3.2364e+02 0.0000e+00 0.0000e+00
6.4242e-03 5.7232e+03 1.6802e+00 -7.6812e-01 1.1450e+04 5.7353e+03 -8.0641e-02 1.8566e+02 1.6524e+00 1.1595e+00 8.2490e-01 4.8899e+02 3.2254e+02 0.0000e+00 0.0000e+00
6.9653e-03 5.9968e+03 2.0580e+00 -9.3188e-01 1.1998e+04 6.0071e+03 -7.1091e-02 1.8562e+02 1.9505e+00 1.3122e+00 9.3480e-01 4.8784e+02 3.2129e+02 0.0000e+00 0.0000e+00
7.5520e-03 6.2660e+03 2.5124e+00 -1.1254e+00 1.2537e+04 6.2747e+03 -5.2599e-02 1.8556e+02 2.3028e+00 1.4751e+00 1.0541e+00 4.8651e+02 3.1985e+02 0.0000e+00 0.0000e+00
8.1881e-03 6.5277e+03 3.0560e+00 -1.3523e+00 1.3062e+04 6.5350e+03 -2.1577e-02 1.8550e+02 2.7192e+00 1.6460e+00 1.1820e+00 4.8498e+02 3.1823e+02 0.0000e+00 0.0000e+00
8.8778e-03 6.7783e+03 3.7025e+00 -1.6161e+00 1.3564e+04 6.7847e+03 2.6649e-02 1.8542e+02 3.2114e+00 1.8213e+00 1.3171e+00 4.8321e+02 3.1639e+02 0.0000e+00 0.0000e+00
9.6256e-03 7.0135e+03 4.4665e+00 -1.9199e+00 1.4036e+04 7.0197e+03 9.8094e-02 1.8533e+02 3.7927e+00 1.9966e+00 1.4570e+00 4.8117e+02 3.1431e+02 0.0000e+00 0.0000e+00
1.0436e-02 7.2286e+03 5.3627e+00 -2.2661e+00 1.4469e+04 7.2358e+03 2.0039e-01 1.8523e+02 4.4789e+00 2.1661e+00 1.5988e+00 4.7883e+02 3.1197e+02 0.0000e+00 0.0000e+00
1.1315e-02 7.4191e+03 6.4056e+00 -2.6557e+00 1.4852e+04 7.4278e+03 3.4311e-01 1.8511e+02 5.2879e+00 2.3228e+00 1.7381e+00 4.7615e+02 3.0936e+02 0.0000e+00 0.0000e+00
1.2269e-02 7.5796e+03 7.6082e+00 -3.0882e+00 1.5176e+04 7.5906e+03 5.3803e-01 1.8496e+02 6.2403e+00 2.4581e+00 1.8698e+00 4.7310e+02 3.0646e+02 0.0000e+00 0.0000e+00
1.3302e-02 7.7044e+03 8.9814e+00 -3.5605e+00 1.5429e+04 7.7185e+03 7.9947e-01 1.8480e+02 7.3591e+00 2.5615e+00 1.9871e+00 4.6963e+02 3.0324e+02 0.0000e+00 0.0000e+00
1.4422e-02 7.7880e+03 1.0532e+01 -4.0668e+00 1.5600e+04 7.8056e+03 1.1444e+00 1.8461e+02 8.6701e+00 2.6200e+00 2.0826e+00 4.6571e+02 2.9969e+02 0.0000e+00 0.0000e+00
1.5637e-02 7.8248e+03 1.2260e+01 -4.5975e+00 1.5677e+04 7.8462e+03 1.5927e+00 1.8439e+02 1.0201e+01 2.6178e+00 2.1473e+00 4.6129e+02 2.9580e+02 0.0000e+00 0.0000e+00
1.6955e-02 7.8094e+03 1.4160e+01 -5.1389e+00 1.5651e+04 7.8349e+03 2.1667e+00 1.8413e+02 1.1982e+01 2.5362e+00 2.1720e+00 4.5634e+02 2.9155e+02 0.0000e+00 0.0000e+00
1.8383e-02 7.7375e+03 1.6215e+01 -5.6729e+00 1.5513e+04 7.7673e+03 2.8908e+00 1.8384e+02 1.4044e+01 2.3551e+00 2.1469e+00 4.5082e+02 2.8694e+02 0.0000e+00 0.0000e+00
1.9931e-02 7.6057e+03 1.8396e+01 -6.1773e+00 1.5255e+04 7.6400e+03 3.7911e+00 1.8349e+02 1.6418e+01 2.0566e+00 2.0629e+00 4.4469e+02 2.8196e+02 0.0000e+00 0.0000e+00
2.1610e-02 7.4128e+03 2.0666e+01 -6.6264e+00 1.4876e+04 7.4518e+03 4.8935e+00 1.8309e+02 1.9131e+01 1.6277e+00 1.9119e+00 4.3792e+02 2.7661e+02 0.0000e+00 0.0000e+00
2.3430e-02 7.1595e+03 2.2976e+01 -6.9928e+00 1.4376e+04 7.2036e+03 6.2221e+00 1.8264e+02 2.2210e+01 1.0621e+00 1.6876e+00 4.3050e+02 2.7087e+02 0.0000e+00 0.0000e+00
2.5404e-02 6.8501e+03 2.5270e+01 -7.2499e+00 1.3764e+04 6.8995e+03 7.7976e+00 1.8211e+02 2.5672e+01 3.5682e-01 1.3865e+00 4.2240e+02 2.6475e+02 0.0000e+00 0.0000e+00
2.7544e-02 6.4920e+03 2.7491e+01 -7.3751e+00 1.3055e+04 6.5472e+03 9.6347e+00 1.8149e+02 2.9530e+01 -4.9111e-01 1.0079e+00 4.1362e+02 2.5825e+02 0.0000e+00 0.0000e+00
2.9864e-02 6.0967e+03 2.9593e+01 -7.3541e+00 1.2272e+04 6.1577e+03 1.1741e+01 1.8079e+02 3.3784e+01 -1.4831e+00 5.5377e-01 4.0413e+02 2.5137e+02 0.0000e+00 0.0000e+00
3.2379e-02 5.6788e+03 3.1551e+01 -7.1842e+00 1.1444e+04 5.7458e+03 1.4114e+01 1.7998e+02 3.8427e+01 -2.6108e+00 2.7555e-02 3.9393e+02 2.4412e+02 0.0000e+00 0.0000e+00
3.5106e-02 5.2557e+03 3.3374e+01 -6.8773e+00 1.0605e+04 5.3285e+03 1.6749e+01 1.7906e+02 4.3445e+01 -3.8582e+00 -5.6796e-01 3.8301e+02 2.3651e+02 0.0000e+00 0.0000e+00
3.8064e-02 4.8459e+03 3.5111e+01 -6.4586e+00 9.7927e+03 4.9246e+03 1.9637e+01 1.7800e+02 4.8819e+01 -5.2228e+00 -1.2333e+00 3.7137e+02 2.2855e+02 0.0000e+00 0.0000e+00
4.1270e-02 4.4665e+03 3.6856e+01 -5.9632e+00 9.0418e+03 4.5515e+03 2.2774e+01 1.7679e+02 5.4539e+01 -6.7219e+00 -1.9749e+00 3.5900e+02 2.2029e+02 0.0000e+00 0.0000e+00
4.4746e-02 4.1311e+03 3.8737e+01 -5.4259e+00 8.3794e+03 4.2229e+03 2.6176e+01 1.7541e+02 6.0607e+01 -8.3720e+00 -2.8070e+00 3.4589e+02 2.1178e+02 0.0000e+00 0.0000e+00
4.8515e-02 3.8463e+03 4.0881e+01 -4.8672e+00 7.8192e+03 3.9457e+03 2.9884e+01 1.7385e+02 6.7048e+01 -1.0201e+01 -3.7504e+00 3.3206e+02 2.0309e+02 0.0000e+00 0.0000e+00
