#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.042802e-06 1.075461e+02 1.075465e+02 9.743297e-10 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.577035e-09 5.752219e-08 2.032180e-07 -6.919457e-13 4.988361e+03 4.711941e+06 9.969701e+05 -2.286002e-03 -4.909417e-02 -2.213507e-01 -1.089707e-01 2.901547e-02 8.447084e-01 4.160359e-03 2.531826e-07 8.660717e-07 -1.503709e-07
1.045928e-06 1.075461e+02 1.075465e+02 9.786509e-10 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.602318e-09 5.775758e-08 2.037350e-07 -6.962733e-13 4.981725e+03 4.699415e+06 9.943280e+05 -2.289455e-03 -4.917277e-02 -2.217036e-01 -1.091522e-01 2.906387e-02 8.449670e-01 4.160389e-03 2.542573e-07 8.689173e-07 -1.508753e-07
1.049064e-06 1.075461e+02 1.075465e+02 9.829912e-10 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.627717e-09 5.799393e-08 2.042533e-07 -7.006280e-13 4.975097e+03 4.686923e+06 9.916929e+05 -2.292912e-03 -4.925151e-02 -2.220569e-01 -1.093340e-01 2.911235e-02 8.452257e-01 4.160419e-03 2.553366e-07 8.717722e-07 -1.513813e-07
1.052209e-06 1.075461e+02 1.075465e+02 9.873508e-10 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.653230e-09 5.823126e-08 2.047729e-07 -7.050099e-13 4.968479e+03 4.674463e+06 9.890647e+05 -2.296375e-03 -4.933036e-02 -2.224109e-01 -1.095161e-01 2.916091e-02 8.454845e-01 4.160449e-03 2.564204e-07 8.746366e-07 -1.518890e-07
1.055364e-06 1.075461e+02 1.075465e+02 9.917297e-10 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.678859e-09 5.846955e-08 2.052937e-07 -7.094192e-13 4.961869e+03 4.662037e+06 9.864436e+05 -2.299843e-03 -4.940935e-02 -2.227654e-01 -1.096985e-01 2.920955e-02 8.457434e-01 4.160480e-03 2.575089e-07 8.775103e-07 -1.523985e-07
1.058528e-06 1.075461e+02 1.075465e+02 9.961280e-10 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.704604e-09 5.870882e-08 2.058159e-07 -7.138561e-13 4.955268e+03 4.649644e+06 9.838293e+05 -2.303317e-03 -4.948846e-02 -2.231205e-01 -1.098813e-01 2.925827e-02 8.460023e-01 4.160510e-03 2.586019e-07 8.803935e-07 -1.529096e-07
1.061702e-06 1.075461e+02 1.075465e+02 1.000546e-09 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.730466e-09 5.894907e-08 2.063393e-07 -7.183208e-13 4.948676e+03 4.637284e+06 9.812220e+05 -2.306795e-03 -4.956769e-02 -2.234761e-01 -1.100643e-01 2.930707e-02 8.462613e-01 4.160540e-03 2.596996e-07 8.832861e-07 -1.534225e-07
1.064885e-06 1.075461e+02 1.075465e+02 1.004983e-09 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.756445e-09 5.919030e-08 2.068640e-07 -7.228133e-13 4.942093e+03 4.624956e+06 9.786216e+05 -2.310279e-03 -4.964706e-02 -2.238324e-01 -1.102476e-01 2.935596e-02 8.465204e-01 4.160570e-03 2.608020e-07 8.861882e-07 -1.539371e-07
1.068078e-06 1.075461e+02 1.075465e+02 1.009440e-09 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.782542e-09 5.943251e-08 2.073900e-07 -7.273340e-13 4.935519e+03 4.612662e+06 9.760281e+05 -2.313768e-03 -4.972655e-02 -2.241891e-01 -1.104313e-01 2.940492e-02 8.467796e-01 4.160600e-03 2.619090e-07 8.890999e-07 -1.544534e-07
1.071280e-06 1.075461e+02 1.075465e+02 1.013917e-09 3.755308e+00 1.947944e+01 3.755972e+00 1.948245e+01 5.808757e-09 5.967572e-08 2.079173e-07 -7.318830e-13 4.928953e+03 4.600400e+06 9.734415e+05 -2.317263e-03 -4.980616e-02 -2.245465e-01 -1.106152e-01 2.945397e-02 8.470389e-01 4.160631e-03 2.630208e-07 8.920212e-07 -1.549714e-07
