# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 4.0125e+02 9.1374e-04 -4.5827e-04 8.0259e+02 2.9454e+02 -5.4445e-04 1.8693e+01 3.8878e-03 3.3827e-03 2.5777e-03 4.9831e+01 3.3211e+01 0.0000e+00 0.0000e+00
1.0842e-03 4.3210e+02 1.1739e-03 -5.8070e-04 8.6487e+02 3.3588e+02 -6.3754e-04 1.8693e+01 4.5715e-03 3.9764e-03 3.0253e-03 4.9828e+01 3.3207e+01 0.0000e+00 0.0000e+00
1.1756e-03 4.6521e+02 1.5048e-03 -7.3542e-04 9.3160e+02 3.7921e+02 -7.4605e-04 1.8692e+01 5.3757e-03 4.6738e-03 3.5498e-03 4.9825e+01 3.3203e+01 0.0000e+00 0.0000e+00
1.2746e-03 5.0073e+02 1.9248e-03 -9.3076e-04 1.0031e+03 4.2462e+02 -8.7235e-04 1.8692e+01 6.3216e-03 5.4931e-03 4.1641e-03 4.9821e+01 3.3198e+01 0.0000e+00 0.0000e+00
1.3819e-03 5.3879e+02 2.4572e-03 -1.1772e-03 1.0795e+03 4.7218e+02 -1.0191e-03 1.8692e+01 7.4344e-03 6.4553e-03 4.8830e-03 4.9816e+01 3.3191e+01 0.0000e+00 0.0000e+00
1.4983e-03 5.7951e+02 3.1310e-03 -1.4876e-03 1.1611e+03 5.2196e+02 -1.1893e-03 1.8692e+01 8.7436e-03 7.5847e-03 5.7239e-03 4.9810e+01 3.3184e+01 0.0000e+00 0.0000e+00
1.6246e-03 6.2304e+02 3.9824e-03 -1.8784e-03 1.2482e+03 5.7404e+02 -1.3862e-03 1.8692e+01 1.0284e-02 8.9099e-03 6.7067e-03 4.9803e+01 3.3176e+01 0.0000e+00 0.0000e+00
1.7614e-03 6.6950e+02 5.0566e-03 -2.3696e-03 1.3410e+03 6.2848e+02 -1.6134e-03 1.8691e+01 1.2097e-02 1.0464e-02 7.8544e-03 4.9795e+01 3.3166e+01 0.0000e+00 0.0000e+00
1.9098e-03 7.1898e+02 6.4097e-03 -2.9862e-03 1.4397e+03 6.8534e+02 -1.8747e-03 1.8691e+01 1.4231e-02 1.2285e-02 9.1931e-03 4.9786e+01 3.3154e+01 0.0000e+00 0.0000e+00
2.0706e-03 7.7160e+02 8.1115e-03 -3.7590e-03 1.5446e+03 7.4468e+02 -2.1739e-03 1.8690e+01 1.6742e-02 1.4418e-02 1.0753e-02 4.9775e+01 3.3140e+01 0.0000e+00 0.0000e+00
