# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.4889e+03 1.1568e-02 -6.3097e-03 2.9781e+03 1.0929e+03 -7.4962e-03 2.5737e+02 5.3528e-02 4.6575e-02 3.5490e-02 6.8610e+02 4.5727e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.6033e+03 1.4881e-02 -7.9954e-03 3.2092e+03 1.2463e+03 -8.7779e-03 2.5737e+02 6.2942e-02 5.4748e-02 4.1654e-02 6.8606e+02 4.5722e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.7262e+03 1.9095e-02 -1.0125e-02 3.4568e+03 1.4071e+03 -1.0272e-02 2.5737e+02 7.4014e-02 6.4351e-02 4.8875e-02 6.8601e+02 4.5715e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.8580e+03 2.4448e-02 -1.2815e-02 3.7219e+03 1.5756e+03 -1.2011e-02 2.5736e+02 8.7038e-02 7.5631e-02 5.7333e-02 6.8595e+02 4.5708e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.9992e+03 3.1234e-02 -1.6207e-02 4.0055e+03 1.7521e+03 -1.4032e-02 2.5736e+02 1.0236e-01 8.8877e-02 6.7231e-02 6.8588e+02 4.5699e+02 0.0000e+00 0.0000e+00
1.4983e-03 2.1503e+03 3.9824e-02 -2.0482e-02 4.3084e+03 1.9368e+03 -1.6375e-02 2.5736e+02 1.2039e-01 1.0443e-01 7.8809e-02 6.8580e+02 4.5689e+02 0.0000e+00 0.0000e+00
1.6246e-03 2.3118e+03 5.0679e-02 -2.5862e-02 4.6316e+03 2.1300e+03 -1.9086e-02 2.5735e+02 1.4160e-01 1.2267e-01 9.2340e-02 6.8571e+02 4.5678e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.4842e+03 6.4376e-02 -3.2625e-02 4.9759e+03 2.3320e+03 -2.2214e-02 2.5735e+02 1.6655e-01 1.4407e-01 1.0814e-01 6.8560e+02 4.5664e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.6678e+03 8.1630e-02 -4.1114e-02 5.3422e+03 2.5430e+03 -2.5811e-02 2.5734e+02 1.9593e-01 1.6914e-01 1.2657e-01 6.8547e+02 4.5648e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.8630e+03 1.0333e-01 -5.1754e-02 5.7312e+03 2.7632e+03 -2.9930e-02 2.5734e+02 2.3051e-01 1.9850e-01 1.4805e-01 6.8531e+02 4.5629e+02 0.0000e+00 0.0000e+00
2.2450e-03 3.0700e+03 1.3057e-01 -6.5067e-02 6.1436e+03 2.9927e+03 -3.4625e-02 2.5733e+02 2.7123e-01 2.3284e-01 1.7304e-01 6.8513e+02 4.5607e+02 0.0000e+00 0.0000e+00
