# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.3709e+03 9.9001e-03 -5.3493e-03 2.7421e+03 1.0063e+03 -6.3552e-03 2.1819e+02 4.5381e-02 3.9485e-02 3.0088e-02 5.8167e+02 3.8767e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.4763e+03 1.2734e-02 -6.7784e-03 2.9548e+03 1.1475e+03 -7.4418e-03 2.1819e+02 5.3362e-02 4.6415e-02 3.5314e-02 5.8163e+02 3.8762e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.5894e+03 1.6338e-02 -8.5843e-03 3.1829e+03 1.2956e+03 -8.7084e-03 2.1819e+02 6.2749e-02 5.4556e-02 4.1436e-02 5.8159e+02 3.8757e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.7108e+03 2.0915e-02 -1.0864e-02 3.4270e+03 1.4507e+03 -1.0183e-02 2.1819e+02 7.3790e-02 6.4119e-02 4.8606e-02 5.8154e+02 3.8751e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.8408e+03 2.6719e-02 -1.3740e-02 3.6881e+03 1.6132e+03 -1.1896e-02 2.1819e+02 8.6779e-02 7.5349e-02 5.6998e-02 5.8148e+02 3.8743e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.9799e+03 3.4064e-02 -1.7364e-02 3.9670e+03 1.7833e+03 -1.3883e-02 2.1818e+02 1.0206e-01 8.8533e-02 6.6813e-02 5.8142e+02 3.8735e+02 0.0000e+00 0.0000e+00
1.6246e-03 2.1286e+03 4.3347e-02 -2.1926e-02 4.2645e+03 1.9612e+03 -1.6181e-02 2.1818e+02 1.2004e-01 1.0400e-01 7.8284e-02 5.8134e+02 3.8725e+02 0.0000e+00 0.0000e+00
1.7614e-03 2.2873e+03 5.5060e-02 -2.7659e-02 4.5816e+03 2.1472e+03 -1.8833e-02 2.1818e+02 1.4120e-01 1.2214e-01 9.1680e-02 5.8124e+02 3.8713e+02 0.0000e+00 0.0000e+00
1.9098e-03 2.4564e+03 6.9814e-02 -3.4856e-02 4.9189e+03 2.3415e+03 -2.1882e-02 2.1817e+02 1.6611e-01 1.4340e-01 1.0731e-01 5.8113e+02 3.8700e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.6361e+03 8.8368e-02 -4.3877e-02 5.2771e+03 2.5442e+03 -2.5374e-02 2.1817e+02 1.9543e-01 1.6829e-01 1.2551e-01 5.8100e+02 3.8683e+02 0.0000e+00 0.0000e+00
2.2450e-03 2.8267e+03 1.1166e-01 -5.5163e-02 5.6568e+03 2.7556e+03 -2.9355e-02 2.1816e+02 2.2995e-01 1.9740e-01 1.4670e-01 5.8085e+02 3.8665e+02 0.0000e+00 0.0000e+00
2.4341e-03 3.0284e+03 1.4085e-01 -6.9260e-02 6.0584e+03 2.9756e+03 -3.3865e-02 2.1815e+02 2.7060e-01 2.3140e-01 1.7132e-01 5.8067e+02 3.8643e+02 0.0000e+00 0.0000e+00
2.6392e-03 3.2412e+03 1.7737e-01 -8.6830e-02 6.4823e+03 3.2044e+03 -3.8940e-02 2.1815e+02 3.1848e-01 2.7106e-01 1.9988e-01 5.8046e+02 3.8617e+02 0.0000e+00 0.0000e+00
2.8615e-03 3.4649e+03 2.2295e-01 -1.0868e-01 6.9285e+03 3.4420e+03 -4.4600e-02 2.1814e+02 3.7490e-01 3.1721e-01 2.3293e-01 5.8022e+02 3.8587e+02 0.0000e+00 0.0000e+00
3.1025e-03 3.6995e+03 2.7974e-01 -1.3579e-01 7.3968e+03 3.6882e+03 -5.0843e-02 2.1813e+02 4.4138e-01 3.7081e-01 2.7112e-01 5.7993e+02 3.8553e+02 0.0000e+00 0.0000e+00
3.3638e-03 3.9446e+03 3.5033e-01 -1.6934e-01 7.8869e+03 3.9429e+03 -5.7632e-02 2.1811e+02 5.1976e-01 4.3288e-01 3.1512e-01 5.7959e+02 3.8512e+02 0.0000e+00 0.0000e+00
3.6472e-03 4.1998e+03 4.3788e-01 -2.1072e-01 8.3980e+03 4.2058e+03 -6.4878e-02 2.1810e+02 6.1219e-01 5.0450e-01 3.6566e-01 5.7920e+02 3.8465e+02 0.0000e+00 0.0000e+00
3.9544e-03 4.4647e+03 5.4618e-01 -2.6163e-01 8.9288e+03 4.4765e+03 -7.2416e-02 2.1808e+02 7.2122e-01 5.8683e-01 4.2352e-01 5.7874e+02 3.8410e+02 0.0000e+00 0.0000e+00
4.2875e-03 4.7385e+03 6.7978e-01 -3.2402e-01 9.4779e+03 4.7542e+03 -7.9975e-02 2.1806e+02 8.4988e-01 6.8101e-01 4.8953e-01 5.7820e+02 3.8347e+02 0.0000e+00 0.0000e+00
4.6486e-03 5.0205e+03 8.4413e-01 -4.0020e-01 1.0043e+04 5.0383e+03 -8.7135e-02 2.1803e+02 1.0018e+00 7.8812e-01 5.6448e-01 5.7757e+02 3.8274e+02 0.0000e+00 0.0000e+00
5.0402e-03 5.3094e+03 1.0457e+00 -4.9282e-01 1.0622e+04 5.3276e+03 -9.3274e-02 2.1800e+02 1.1811e+00 9.0913e-01 6.4916e-01 5.7683e+02 3.8189e+02 0.0000e+00 0.0000e+00
5.4648e-03 5.6037e+03 1.2920e+00 -6.0490e-01 1.1211e+04 5.6210e+03 -9.7493e-02 2.1796e+02 1.3930e+00 1.0447e+00 7.4430e-01 5.7597e+02 3.8091e+02 0.0000e+00 0.0000e+00
5.9251e-03 5.9013e+03 1.5921e+00 -7.3983e-01 1.1806e+04 5.9168e+03 -9.8528e-02 2.1792e+02 1.6433e+00 1.1953e+00 8.5045e-01 5.7498e+02 3.7979e+02 0.0000e+00 0.0000e+00
6.4242e-03 6.1996e+03 1.9561e+00 -9.0136e-01 1.2403e+04 6.2130e+03 -9.4631e-02 2.1788e+02 1.9391e+00 1.3606e+00 9.6799e-01 5.7382e+02 3.7850e+02 0.0000e+00 0.0000e+00
6.9653e-03 6.4960e+03 2.3959e+00 -1.0935e+00 1.2997e+04 6.5074e+03 -8.3425e-02 2.1782e+02 2.2888e+00 1.5397e+00 1.0969e+00 5.7247e+02 3.7702e+02 0.0000e+00 0.0000e+00
7.5520e-03 6.7875e+03 2.9247e+00 -1.3206e+00 1.3581e+04 6.7973e+03 -6.1725e-02 2.1775e+02 2.7022e+00 1.7310e+00 1.2369e+00 5.7091e+02 3.7534e+02 0.0000e+00 0.0000e+00
