# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
7.5520e-03 1.4116e+04 1.1230e+01 -5.7156e+00 2.8257e+04 1.4147e+04 -2.6737e-01 9.4299e+02 1.1699e+01 7.4907e+00 5.3535e+00 2.4720e+03 1.6251e+03 0.0000e+00 0.0000e+00
8.1881e-03 1.4704e+04 1.3646e+01 -6.8671e+00 2.9438e+04 1.4734e+04 -1.0988e-01 9.4264e+02 1.3814e+01 8.3569e+00 6.0023e+00 2.4640e+03 1.6168e+03 0.0000e+00 0.0000e+00
8.8778e-03 1.5266e+04 1.6514e+01 -8.2057e+00 3.0568e+04 1.5297e+04 1.3489e-01 9.4222e+02 1.6312e+01 9.2452e+00 6.6870e+00 2.4549e+03 1.6073e+03 0.0000e+00 0.0000e+00
9.6256e-03 1.5793e+04 1.9895e+01 -9.7467e+00 3.1629e+04 1.5828e+04 4.9741e-01 9.4174e+02 1.9263e+01 1.0132e+01 7.3962e+00 2.4443e+03 1.5966e+03 0.0000e+00 0.0000e+00
1.0436e-02 1.6274e+04 2.3853e+01 -1.1502e+01 3.2602e+04 1.6315e+04 1.0163e+00 9.4117e+02 2.2745e+01 1.0989e+01 8.1141e+00 2.4322e+03 1.5846e+03 0.0000e+00 0.0000e+00
1.1315e-02 1.6699e+04 2.8445e+01 -1.3476e+01 3.3463e+04 1.6749e+04 1.7400e+00 9.4051e+02 2.6849e+01 1.1780e+01 8.8191e+00 2.4184e+03 1.5712e+03 0.0000e+00 0.0000e+00
1.2269e-02 1.7056e+04 3.3724e+01 -1.5667e+01 3.4189e+04 1.7117e+04 2.7279e+00 9.3974e+02 3.1679e+01 1.2460e+01 9.4841e+00 2.4026e+03 1.5563e+03 0.0000e+00 0.0000e+00
1.3302e-02 1.7332e+04 3.9729e+01 -1.8058e+01 3.4755e+04 1.7406e+04 4.0524e+00 9.3885e+02 3.7351e+01 1.2978e+01 1.0076e+01 2.3847e+03 1.5397e+03 0.0000e+00 0.0000e+00
1.4422e-02 1.7513e+04 4.6482e+01 -2.0618e+01 3.5136e+04 1.7604e+04 5.7990e+00 9.3781e+02 4.3993e+01 1.3265e+01 1.0555e+01 2.3644e+03 1.5215e+03 0.0000e+00 0.0000e+00
1.5637e-02 1.7589e+04 5.3974e+01 -2.3300e+01 3.5306e+04 1.7697e+04 8.0670e+00 9.3660e+02 5.1747e+01 1.3242e+01 1.0877e+01 2.3415e+03 1.5014e+03 0.0000e+00 0.0000e+00
1.6955e-02 1.7546e+04 6.2162e+01 -2.6033e+01 3.5242e+04 1.7674e+04 1.0968e+01 9.3520e+02 6.0761e+01 1.2814e+01 1.0996e+01 2.3159e+03 1.4796e+03 0.0000e+00 0.0000e+00
1.8383e-02 1.7375e+04 7.0957e+01 -2.8725e+01 3.4925e+04 1.7524e+04 1.4626e+01 9.3358e+02 7.1188e+01 1.1880e+01 1.0861e+01 2.2873e+03 1.4559e+03 0.0000e+00 0.0000e+00
1.9931e-02 1.7068e+04 8.0225e+01 -3.1263e+01 3.4339e+04 1.7241e+04 1.9167e+01 9.3170e+02 8.3179e+01 1.0348e+01 1.0426e+01 2.2555e+03 1.4302e+03 0.0000e+00 0.0000e+00
2.1610e-02 1.6623e+04 8.9781e+01 -3.3519e+01 3.3478e+04 1.6820e+04 2.4720e+01 9.2952e+02 9.6873e+01 8.1533e+00 9.6516e+00 2.2205e+03 1.4026e+03 0.0000e+00 0.0000e+00
2.3430e-02 1.6043e+04 9.9397e+01 -3.5354e+01 3.2348e+04 1.6265e+04 3.1402e+01 9.2701e+02 1.1239e+02 5.2654e+00 8.5062e+00 2.1821e+03 1.3730e+03 0.0000e+00 0.0000e+00
2.5404e-02 1.5335e+04 1.0881e+02 -3.6636e+01 3.0966e+04 1.5586e+04 3.9311e+01 9.2411e+02 1.2981e+02 1.6710e+00 6.9731e+00 2.1401e+03 1.3415e+03 0.0000e+00 0.0000e+00
2.7544e-02 1.4519e+04 1.1778e+02 -3.7256e+01 2.9366e+04 1.4798e+04 4.8511e+01 9.2077e+02 1.4919e+02 -2.6439e+00 5.0502e+00 2.0946e+03 1.3080e+03 0.0000e+00 0.0000e+00
2.9864e-02 1.3620e+04 1.2609e+02 -3.7145e+01 2.7601e+04 1.3928e+04 5.9029e+01 9.1692e+02 1.7052e+02 -7.6843e+00 2.7490e+00 2.0454e+03 1.2725e+03 0.0000e+00 0.0000e+00
3.2379e-02 1.2671e+04 1.3362e+02 -3.6297e+01 2.5736e+04 1.3008e+04 7.0847e+01 9.1249e+02 1.9374e+02 -1.3405e+01 8.8583e-02 1.9926e+03 1.2351e+03 0.0000e+00 0.0000e+00
3.5106e-02 1.1711e+04 1.4042e+02 -3.4778e+01 2.3850e+04 1.2077e+04 8.3915e+01 9.0742e+02 2.1876e+02 -1.9724e+01 -2.9147e+00 1.9360e+03 1.1959e+03 0.0000e+00 0.0000e+00
3.8064e-02 1.0783e+04 1.4667e+02 -3.2723e+01 2.2026e+04 1.1178e+04 9.8172e+01 9.0162e+02 2.4547e+02 -2.6625e+01 -6.2608e+00 1.8757e+03 1.1549e+03 0.0000e+00 0.0000e+00
4.1270e-02 9.9228e+03 1.5275e+02 -3.0313e+01 2.0341e+04 1.0348e+04 1.1358e+02 8.9500e+02 2.7379e+02 -3.4190e+01 -9.9787e+00 1.8117e+03 1.1123e+03 0.0000e+00 0.0000e+00
4.4746e-02 9.1613e+03 1.5914e+02 -2.7732e+01 1.8855e+04 9.6200e+03 1.3020e+02 8.8746e+02 3.0370e+02 -4.2496e+01 -1.4134e+01 1.7439e+03 1.0685e+03 0.0000e+00 0.0000e+00
4.8515e-02 8.5123e+03 1.6628e+02 -2.5089e+01 1.7597e+04 9.0076e+03 1.4819e+02 8.7892e+02 3.3529e+02 -5.1671e+01 -1.8823e+01 1.6724e+03 1.0238e+03 0.0000e+00 0.0000e+00
5.2602e-02 7.9692e+03 1.7438e+02 -2.2343e+01 1.6557e+04 8.5055e+03 1.6787e+02 8.6927e+02 3.6872e+02 -6.1942e+01 -2.4143e+01 1.5976e+03 9.7854e+02 0.0000e+00 0.0000e+00
5.7032e-02 7.5011e+03 1.8311e+02 -1.9230e+01 1.5671e+04 8.0832e+03 1.8961e+02 8.5840e+02 4.0421e+02 -7.3359e+01 -3.0142e+01 1.5200e+03 9.3318e+02 0.0000e+00 0.0000e+00
6.1836e-02 7.0557e+03 1.9141e+02 -1.5278e+01 1.4833e+04 7.6861e+03 2.1373e+02 8.4623e+02 4.4176e+02 -8.5833e+01 -3.6750e+01 1.4402e+03 8.8806e+02 0.0000e+00 0.0000e+00
6.7045e-02 6.5703e+03 1.9743e+02 -9.9219e+00 1.3913e+04 7.2468e+03 2.4011e+02 8.3265e+02 4.8095e+02 -9.8946e+01 -4.3719e+01 1.3593e+03 8.4338e+02 0.0000e+00 0.0000e+00
7.2692e-02 5.9955e+03 1.9907e+02 -2.8009e+00 1.2803e+04 6.7102e+03 2.6799e+02 8.1759e+02 5.2065e+02 -1.1193e+02 -5.0614e+01 1.2785e+03 7.9920e+02 0.0000e+00 0.0000e+00
7.8815e-02 5.3267e+03 1.9512e+02 5.8473e+00 1.1490e+04 6.0655e+03 2.9572e+02 8.0099e+02 5.5892e+02 -1.2382e+02 -5.6904e+01 1.1986e+03 7.5545e+02 0.0000e+00 0.0000e+00
