# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 4.2927e+03 7.4452e-02 -5.2453e-02 8.5866e+03 3.1512e+03 -6.2318e-02 2.1396e+03 4.4500e-01 3.8718e-01 2.9504e-01 5.7038e+03 3.8014e+03 0.0000e+00 0.0000e+00
1.0842e-03 4.6228e+03 9.6219e-02 -6.6467e-02 9.2529e+03 3.5934e+03 -7.2972e-02 2.1396e+03 5.2325e-01 4.5513e-01 3.4627e-01 5.7034e+03 3.8010e+03 0.0000e+00 0.0000e+00
1.1756e-03 4.9770e+03 1.2395e-01 -8.4174e-02 9.9669e+03 4.0570e+03 -8.5392e-02 2.1396e+03 6.1530e-01 5.3495e-01 4.0631e-01 5.7030e+03 3.8004e+03 0.0000e+00 0.0000e+00
1.2746e-03 5.3569e+03 1.5922e-01 -1.0653e-01 1.0731e+04 4.5428e+03 -9.9848e-02 2.1395e+03 7.2357e-01 6.2872e-01 4.7661e-01 5.7025e+03 3.7998e+03 0.0000e+00 0.0000e+00
1.3819e-03 5.7640e+03 2.0397e-01 -1.3473e-01 1.1549e+04 5.0517e+03 -1.1665e-01 2.1395e+03 8.5094e-01 7.3883e-01 5.5889e-01 5.7019e+03 3.7991e+03 0.0000e+00 0.0000e+00
1.4983e-03 6.1996e+03 2.6066e-01 -1.7027e-01 1.2422e+04 5.5843e+03 -1.3613e-01 2.1395e+03 1.0008e+00 8.6809e-01 6.5513e-01 5.7012e+03 3.7982e+03 0.0000e+00 0.0000e+00
1.6246e-03 6.6652e+03 3.3233e-01 -2.1499e-01 1.3354e+04 6.1415e+03 -1.5866e-01 2.1395e+03 1.1771e+00 1.0198e+00 7.6761e-01 5.7004e+03 3.7972e+03 0.0000e+00 0.0000e+00
1.7614e-03 7.1620e+03 4.2277e-01 -2.7120e-01 1.4347e+04 6.7239e+03 -1.8466e-01 2.1394e+03 1.3846e+00 1.1976e+00 8.9894e-01 5.6995e+03 3.7961e+03 0.0000e+00 0.0000e+00
1.9098e-03 7.6913e+03 5.3670e-01 -3.4177e-01 1.5403e+04 7.3322e+03 -2.1456e-01 2.1394e+03 1.6288e+00 1.4060e+00 1.0521e+00 5.6983e+03 3.7947e+03 0.0000e+00 0.0000e+00
2.0706e-03 8.2540e+03 6.7996e-01 -4.3021e-01 1.6524e+04 7.9671e+03 -2.4880e-01 2.1393e+03 1.9162e+00 1.6500e+00 1.2307e+00 5.6970e+03 3.7931e+03 0.0000e+00 0.0000e+00
2.2450e-03 8.8507e+03 8.5975e-01 -5.4086e-01 1.7713e+04 8.6289e+03 -2.8782e-01 2.1392e+03 2.2547e+00 1.9354e+00 1.4384e+00 5.6955e+03 3.7912e+03 0.0000e+00 0.0000e+00
2.4341e-03 9.4820e+03 1.0850e+00 -6.7906e-01 1.8970e+04 9.3180e+03 -3.3204e-01 2.1392e+03 2.6532e+00 2.2687e+00 1.6797e+00 5.6937e+03 3.7891e+03 0.0000e+00 0.0000e+00
2.6392e-03 1.0148e+04 1.3665e+00 -8.5131e-01 2.0297e+04 1.0035e+04 -3.8180e-01 2.1391e+03 3.1227e+00 2.6574e+00 1.9596e+00 5.6916e+03 3.7865e+03 0.0000e+00 0.0000e+00
2.8615e-03 1.0848e+04 1.7178e+00 -1.0655e+00 2.1694e+04 1.0779e+04 -4.3728e-01 2.1390e+03 3.6758e+00 3.1099e+00 2.2837e+00 5.6891e+03 3.7835e+03 0.0000e+00 0.0000e+00
3.1025e-03 1.1582e+04 2.1551e+00 -1.3312e+00 2.3160e+04 1.1550e+04 -4.9848e-01 2.1388e+03 4.3276e+00 3.6352e+00 2.6580e+00 5.6862e+03 3.7801e+03 0.0000e+00 0.0000e+00
3.3638e-03 1.2349e+04 2.6983e+00 -1.6600e+00 2.4694e+04 1.2347e+04 -5.6503e-01 2.1387e+03 5.0960e+00 4.2434e+00 3.0892e+00 5.6828e+03 3.7760e+03 0.0000e+00 0.0000e+00
3.6472e-03 1.3147e+04 3.3712e+00 -2.0657e+00 2.6294e+04 1.3171e+04 -6.3605e-01 2.1385e+03 6.0020e+00 4.9453e+00 3.5845e+00 5.6788e+03 3.7713e+03 0.0000e+00 0.0000e+00
3.9544e-03 1.3976e+04 4.2026e+00 -2.5646e+00 2.7955e+04 1.4018e+04 -7.0992e-01 2.1383e+03 7.0708e+00 5.7519e+00 4.1515e+00 5.6741e+03 3.7659e+03 0.0000e+00 0.0000e+00
4.2875e-03 1.4832e+04 5.2268e+00 -3.1759e+00 2.9673e+04 1.4888e+04 -7.8399e-01 2.1381e+03 8.3318e+00 6.6744e+00 4.7981e+00 5.6687e+03 3.7595e+03 0.0000e+00 0.0000e+00
4.6486e-03 1.5713e+04 6.4848e+00 -3.9223e+00 3.1442e+04 1.5778e+04 -8.5415e-01 2.1378e+03 9.8203e+00 7.7235e+00 5.5323e+00 5.6623e+03 3.7522e+03 0.0000e+00 0.0000e+00
5.0402e-03 1.6616e+04 8.0246e+00 -4.8296e+00 3.3252e+04 1.6684e+04 -9.1429e-01 2.1374e+03 1.1578e+01 8.9084e+00 6.3617e+00 5.6549e+03 3.7437e+03 0.0000e+00 0.0000e+00
5.4648e-03 1.7535e+04 9.9029e+00 -5.9274e+00 3.5094e+04 1.7603e+04 -9.5561e-01 2.1371e+03 1.3654e+01 1.0236e+01 7.2932e+00 5.6462e+03 3.7340e+03 0.0000e+00 0.0000e+00
5.9251e-03 1.8464e+04 1.2186e+01 -7.2487e+00 3.6955e+04 1.8529e+04 -9.6573e-01 2.1366e+03 1.6106e+01 1.1709e+01 8.3323e+00 5.6362e+03 3.7228e+03 0.0000e+00 0.0000e+00
6.4242e-03 1.9395e+04 1.4949e+01 -8.8299e+00 3.8822e+04 1.9457e+04 -9.2755e-01 2.1361e+03 1.9004e+01 1.3326e+01 9.4824e+00 5.6244e+03 3.7099e+03 0.0000e+00 0.0000e+00
6.9653e-03 2.0319e+04 1.8278e+01 -1.0711e+01 4.0678e+04 2.0380e+04 -8.1782e-01 2.1354e+03 2.2429e+01 1.5077e+01 1.0744e+01 5.6108e+03 3.6952e+03 0.0000e+00 0.0000e+00
7.5520e-03 2.1226e+04 2.2269e+01 -1.2932e+01 4.2503e+04 2.1288e+04 -6.0541e-01 2.1347e+03 2.6477e+01 1.6945e+01 1.2112e+01 5.5951e+03 3.6784e+03 0.0000e+00 0.0000e+00
8.1881e-03 2.2108e+04 2.7027e+01 -1.5536e+01 4.4277e+04 2.2172e+04 -2.4923e-01 2.1339e+03 3.1260e+01 1.8902e+01 1.3579e+01 5.5768e+03 3.6592e+03 0.0000e+00 0.0000e+00
