# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.3405e+03 2.6627e-02 -1.5593e-02 4.6817e+03 1.7181e+03 -1.8526e-02 6.3605e+02 1.3229e-01 1.1510e-01 8.7709e-02 1.6956e+03 1.1301e+03 0.0000e+00 0.0000e+00
1.0842e-03 2.5205e+03 3.4293e-02 -1.9759e-02 5.0450e+03 1.9592e+03 -2.1693e-02 6.3605e+02 1.5555e-01 1.3530e-01 1.0294e-01 1.6955e+03 1.1299e+03 0.0000e+00 0.0000e+00
1.1756e-03 2.7137e+03 4.4050e-02 -2.5024e-02 5.4343e+03 2.2120e+03 -2.5385e-02 6.3604e+02 1.8292e-01 1.5903e-01 1.2079e-01 1.6954e+03 1.1298e+03 0.0000e+00 0.0000e+00
1.2746e-03 2.9208e+03 5.6444e-02 -3.1670e-02 5.8510e+03 2.4769e+03 -2.9683e-02 6.3604e+02 2.1510e-01 1.8691e-01 1.4169e-01 1.6952e+03 1.1296e+03 0.0000e+00 0.0000e+00
1.3819e-03 3.1428e+03 7.2162e-02 -4.0054e-02 6.2968e+03 2.7543e+03 -3.4677e-02 6.3603e+02 2.5297e-01 2.1965e-01 1.6615e-01 1.6951e+03 1.1294e+03 0.0000e+00 0.0000e+00
1.4983e-03 3.3803e+03 9.2061e-02 -5.0618e-02 6.7730e+03 3.0447e+03 -4.0468e-02 6.3602e+02 2.9751e-01 2.5807e-01 1.9476e-01 1.6949e+03 1.1291e+03 0.0000e+00 0.0000e+00
1.6246e-03 3.6342e+03 1.1721e-01 -6.3913e-02 7.2810e+03 3.3485e+03 -4.7168e-02 6.3601e+02 3.4993e-01 3.0316e-01 2.2820e-01 1.6946e+03 1.1288e+03 0.0000e+00 0.0000e+00
1.7614e-03 3.9052e+03 1.4895e-01 -8.0626e-02 7.8224e+03 3.6661e+03 -5.4898e-02 6.3600e+02 4.1161e-01 3.5604e-01 2.6725e-01 1.6943e+03 1.1285e+03 0.0000e+00 0.0000e+00
1.9098e-03 4.1938e+03 1.8892e-01 -1.0161e-01 8.3982e+03 3.9978e+03 -6.3787e-02 6.3599e+02 4.8421e-01 4.1800e-01 3.1280e-01 1.6940e+03 1.1281e+03 0.0000e+00 0.0000e+00
2.0706e-03 4.5006e+03 2.3919e-01 -1.2790e-01 9.0097e+03 4.3439e+03 -7.3966e-02 6.3597e+02 5.6967e-01 4.9055e-01 3.6587e-01 1.6936e+03 1.1276e+03 0.0000e+00 0.0000e+00
2.2450e-03 4.8261e+03 3.0230e-01 -1.6080e-01 9.6580e+03 4.7047e+03 -8.5568e-02 6.3595e+02 6.7029e-01 5.7541e-01 4.2763e-01 1.6932e+03 1.1271e+03 0.0000e+00 0.0000e+00
2.4341e-03 5.1704e+03 3.8137e-01 -2.0189e-01 1.0344e+04 5.0804e+03 -9.8715e-02 6.3593e+02 7.8879e-01 6.7452e-01 4.9939e-01 1.6927e+03 1.1264e+03 0.0000e+00 0.0000e+00
2.6392e-03 5.5335e+03 4.8026e-01 -2.5310e-01 1.1067e+04 5.4711e+03 -1.1351e-01 6.3591e+02 9.2836e-01 7.9010e-01 5.8262e-01 1.6920e+03 1.1257e+03 0.0000e+00 0.0000e+00
2.8615e-03 5.9155e+03 6.0370e-01 -3.1679e-01 1.1829e+04 5.8767e+03 -1.3001e-01 6.3588e+02 1.0928e+00 9.2463e-01 6.7898e-01 1.6913e+03 1.1248e+03 0.0000e+00 0.0000e+00
