# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.8310e+02 8.3410e-04 -4.1777e-04 8.0464e+02 2.8122e+02 -4.9633e-04 1.7040e+01 3.5441e-03 3.0837e-03 2.3498e-03 4.5427e+01 3.0276e+01 0.0000e+00 0.0000e+00
1.0842e-03 4.1255e+02 1.0716e-03 -5.2938e-04 8.2576e+02 3.2069e+02 -5.8119e-04 1.7040e+01 4.1674e-03 3.6249e-03 2.7579e-03 4.5424e+01 3.0272e+01 0.0000e+00 0.0000e+00
1.1756e-03 4.4418e+02 1.3736e-03 -6.7042e-04 8.8948e+02 3.6206e+02 -6.8011e-04 1.7040e+01 4.9005e-03 4.2607e-03 3.2361e-03 4.5421e+01 3.0268e+01 0.0000e+00 0.0000e+00
1.2746e-03 4.7809e+02 1.7570e-03 -8.4849e-04 9.5770e+02 4.0542e+02 -7.9525e-04 1.7040e+01 5.7629e-03 5.0076e-03 3.7961e-03 4.5417e+01 3.0263e+01 0.0000e+00 0.0000e+00
1.3819e-03 5.1442e+02 2.2429e-03 -1.0731e-03 1.0307e+03 4.5083e+02 -9.2905e-04 1.7040e+01 6.7773e-03 5.8847e-03 4.4515e-03 4.5413e+01 3.0258e+01 0.0000e+00 0.0000e+00
1.4983e-03 5.5330e+02 2.8579e-03 -1.3561e-03 1.1086e+03 4.9836e+02 -1.0842e-03 1.7040e+01 7.9708e-03 6.9143e-03 5.2180e-03 4.5407e+01 3.0251e+01 0.0000e+00 0.0000e+00
1.6246e-03 5.9487e+02 3.6350e-03 -1.7124e-03 1.1918e+03 5.4808e+02 -1.2637e-03 1.7039e+01 9.3751e-03 8.1224e-03 6.1139e-03 4.5401e+01 3.0243e+01 0.0000e+00 0.0000e+00
1.7614e-03 6.3922e+02 4.6155e-03 -2.1602e-03 1.2804e+03 6.0006e+02 -1.4708e-03 1.7039e+01 1.1028e-02 9.5392e-03 7.1601e-03 4.5394e+01 3.0234e+01 0.0000e+00 0.0000e+00
1.9098e-03 6.8647e+02 5.8505e-03 -2.7223e-03 1.3746e+03 6.5435e+02 -1.7090e-03 1.7039e+01 1.2973e-02 1.1199e-02 8.3806e-03 4.5385e+01 3.0224e+01 0.0000e+00 0.0000e+00
2.0706e-03 7.3671e+02 7.4038e-03 -3.4268e-03 1.4747e+03 7.1100e+02 -1.9817e-03 1.7038e+01 1.5263e-02 1.3143e-02 9.8026e-03 4.5375e+01 3.0211e+01 0.0000e+00 0.0000e+00
2.2450e-03 7.8999e+02 9.3539e-03 -4.3083e-03 1.5809e+03 7.7006e+02 -2.2926e-03 1.7038e+01 1.7959e-02 1.5417e-02 1.1457e-02 4.5364e+01 3.0197e+01 0.0000e+00 0.0000e+00
2.4341e-03 8.4636e+02 1.1798e-02 -5.4093e-03 1.6931e+03 8.3156e+02 -2.6449e-03 1.7037e+01 2.1133e-02 1.8073e-02 1.3380e-02 4.5350e+01 3.0180e+01 0.0000e+00 0.0000e+00
2.6392e-03 9.0583e+02 1.4856e-02 -6.7816e-03 1.8116e+03 8.9550e+02 -3.0412e-03 1.7037e+01 2.4873e-02 2.1170e-02 1.5611e-02 4.5334e+01 3.0160e+01 0.0000e+00 0.0000e+00
2.8615e-03 9.6837e+02 1.8673e-02 -8.4883e-03 1.9363e+03 9.6189e+02 -3.4833e-03 1.7036e+01 2.9279e-02 2.4775e-02 1.8193e-02 4.5315e+01 3.0137e+01 0.0000e+00 0.0000e+00
3.1025e-03 1.0339e+03 2.3431e-02 -1.0606e-02 2.0672e+03 1.0307e+03 -3.9709e-03 1.7035e+01 3.4472e-02 2.8962e-02 2.1176e-02 4.5292e+01 3.0110e+01 0.0000e+00 0.0000e+00
3.3638e-03 1.1024e+03 2.9345e-02 -1.3226e-02 2.2041e+03 1.1019e+03 -4.5012e-03 1.7034e+01 4.0594e-02 3.3810e-02 2.4612e-02 4.5266e+01 3.0078e+01 0.0000e+00 0.0000e+00
3.6472e-03 1.1738e+03 3.6683e-02 -1.6459e-02 2.3470e+03 1.1754e+03 -5.0672e-03 1.7033e+01 4.7814e-02 3.9406e-02 2.8560e-02 4.5236e+01 3.0042e+01 0.0000e+00 0.0000e+00
3.9544e-03 1.2478e+03 4.5761e-02 -2.0435e-02 2.4953e+03 1.2510e+03 -5.6560e-03 1.7032e+01 5.6330e-02 4.5837e-02 3.3080e-02 4.5200e+01 2.9999e+01 0.0000e+00 0.0000e+00
4.2875e-03 1.3244e+03 5.6966e-02 -2.5309e-02 2.6488e+03 1.3286e+03 -6.2465e-03 1.7030e+01 6.6379e-02 5.3195e-02 3.8237e-02 4.5159e+01 2.9950e+01 0.0000e+00 0.0000e+00
4.6486e-03 1.4033e+03 7.0754e-02 -3.1260e-02 2.8068e+03 1.4080e+03 -6.8058e-03 1.7028e+01 7.8243e-02 6.1563e-02 4.4092e-02 4.5110e+01 2.9893e+01 0.0000e+00 0.0000e+00
5.0402e-03 1.4841e+03 8.7671e-02 -3.8496e-02 2.9685e+03 1.4888e+03 -7.2854e-03 1.7026e+01 9.2252e-02 7.1018e-02 5.0709e-02 4.5053e+01 2.9827e+01 0.0000e+00 0.0000e+00
5.4648e-03 1.5664e+03 1.0836e-01 -4.7253e-02 3.1331e+03 1.5708e+03 -7.6151e-03 1.7023e+01 1.0880e-01 8.1615e-02 5.8142e-02 4.4987e+01 2.9751e+01 0.0000e+00 0.0000e+00
5.9251e-03 1.6496e+03 1.3357e-01 -5.7796e-02 3.2996e+03 1.6535e+03 -7.6960e-03 1.7020e+01 1.2836e-01 9.3381e-02 6.6437e-02 4.4910e+01 2.9664e+01 0.0000e+00 0.0000e+00
6.4242e-03 1.7331e+03 1.6418e-01 -7.0417e-02 3.4665e+03 1.7362e+03 -7.3915e-03 1.7017e+01 1.5147e-01 1.0630e-01 7.5623e-02 4.4820e+01 2.9564e+01 0.0000e+00 0.0000e+00
6.9653e-03 1.8161e+03 2.0118e-01 -8.5434e-02 3.6326e+03 1.8185e+03 -6.5159e-03 1.7012e+01 1.7879e-01 1.2031e-01 8.5703e-02 4.4716e+01 2.9450e+01 0.0000e+00 0.0000e+00
7.5520e-03 1.8977e+03 2.4570e-01 -1.0318e-01 3.7960e+03 1.8995e+03 -4.8202e-03 1.7008e+01 2.1109e-01 1.3526e-01 9.6648e-02 4.4596e+01 2.9319e+01 0.0000e+00 0.0000e+00
8.1881e-03 1.9771e+03 2.9901e-01 -1.2399e-01 3.9548e+03 1.9783e+03 -1.9753e-03 1.7002e+01 2.4928e-01 1.5094e-01 1.0838e-01 4.4456e+01 2.9171e+01 0.0000e+00 0.0000e+00
8.8778e-03 2.0532e+03 3.6246e-01 -1.4820e-01 4.1070e+03 2.0538e+03 2.4480e-03 1.6995e+01 2.9442e-01 1.6704e-01 1.2078e-01 4.4296e+01 2.9003e+01 0.0000e+00 0.0000e+00
9.6256e-03 2.1246e+03 4.3752e-01 -1.7607e-01 4.2500e+03 2.1249e+03 9.0018e-03 1.6987e+01 3.4774e-01 1.8314e-01 1.3362e-01 4.4111e+01 2.8814e+01 0.0000e+00 0.0000e+00
1.0436e-02 2.1900e+03 5.2566e-01 -2.0784e-01 4.3811e+03 2.1903e+03 1.8387e-02 1.6978e+01 4.1068e-01 1.9872e-01 1.4664e-01 4.3898e+01 2.8601e+01 0.0000e+00 0.0000e+00
1.1315e-02 2.2480e+03 6.2837e-01 -2.4360e-01 4.4974e+03 2.2484e+03 3.1484e-02 1.6967e+01 4.8490e-01 2.1313e-01 1.5945e-01 4.3655e+01 2.8364e+01 0.0000e+00 0.0000e+00
1.2269e-02 2.2970e+03 7.4698e-01 -2.8332e-01 4.5955e+03 2.2976e+03 4.9376e-02 1.6955e+01 5.7228e-01 2.2560e-01 1.7155e-01 4.3378e+01 2.8099e+01 0.0000e+00 0.0000e+00
