# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.6212e+03 1.3570e-02 -7.4817e-03 3.2429e+03 1.1901e+03 -8.8887e-03 3.0518e+02 6.3472e-02 5.5226e-02 4.2083e-02 8.1355e+02 5.4221e+02 0.0000e+00 0.0000e+00
2.4341e-03 3.5815e+03 1.9338e-01 -9.6869e-02 7.1649e+03 3.5191e+03 -4.7365e-02 3.0512e+02 3.7847e-01 3.2365e-01 2.3961e-01 8.1215e+02 5.4047e+02 0.0000e+00 0.0000e+00
5.9251e-03 6.9786e+03 2.1848e+00 -1.0347e+00 1.3962e+04 6.9975e+03 -1.3780e-01 3.0479e+02 2.2983e+00 1.6716e+00 1.1894e+00 8.0417e+02 5.3117e+02 0.0000e+00 0.0000e+00
1.4422e-02 9.9718e+03 1.6775e+01 -6.6712e+00 1.9982e+04 1.0001e+04 1.8771e+00 3.0297e+02 1.4225e+01 4.2966e+00 3.4160e+00 7.6419e+02 4.9176e+02 0.0000e+00 0.0000e+00
3.5106e-02 6.7157e+03 5.2644e+01 -1.1275e+01 1.3581e+04 6.8349e+03 2.7402e+01 2.9370e+02 7.1157e+01 -6.3410e+00 -9.3426e-01 6.2787e+02 3.8773e+02 0.0000e+00 0.0000e+00
8.5454e-02 2.7016e+03 7.8255e+01 6.4210e+00 5.7118e+03 2.9522e+03 1.0872e+02 2.5549e+02 1.9781e+02 -4.4092e+01 -2.0770e+01 3.6692e+02 2.3283e+02 0.0000e+00 0.0000e+00
2.0801e-01 6.4635e+02 4.8695e+01 2.2928e+01 1.5776e+03 8.8998e+02 1.5089e+02 1.6777e+02 2.4290e+02 -5.4314e+01 -2.6235e+01 1.3715e+02 1.0614e+02 0.0000e+00 0.0000e+00
5.0632e-01 1.2123e+02 1.1952e+01 1.1331e+01 3.7334e+02 2.4956e+02 9.1244e+01 7.5947e+01 1.4628e+02 -3.1731e+01 -1.3497e+01 3.6520e+01 3.8484e+01 0.0000e+00 0.0000e+00
1.2325e+00 1.6936e+01 -3.3765e+00 -8.3898e-01 5.6647e+01 5.4290e+01 2.5004e+01 2.4624e+01 4.8725e+01 -1.2036e+01 -3.8160e+00 7.7881e+00 1.1108e+01 0.0000e+00 0.0000e+00
3.0000e+00 1.0622e+00 -1.4527e+00 -5.7902e-01 1.7316e+00 5.4030e+00 2.0180e+00 5.4020e+00 7.5165e+00 -2.1829e+00 -4.8480e-01 1.1203e+00 2.2490e+00 0.0000e+00 0.0000e+00
