# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 5.4246e+02 1.6526e-03 -8.3758e-04 1.0850e+03 3.9820e+02 -9.9509e-04 3.4164e+01 7.1056e-03 6.1826e-03 4.7112e-03 9.1077e+01 6.0700e+01 0.0000e+00 0.0000e+00
1.0842e-03 5.8417e+02 2.1235e-03 -1.0613e-03 1.1692e+03 4.5408e+02 -1.1652e-03 3.4164e+01 8.3553e-03 7.2676e-03 5.5294e-03 9.1071e+01 6.0693e+01 0.0000e+00 0.0000e+00
1.1756e-03 6.2893e+02 2.7223e-03 -1.3441e-03 1.2595e+03 5.1266e+02 -1.3635e-03 3.4164e+01 9.8251e-03 8.5423e-03 6.4880e-03 9.1065e+01 6.0685e+01 0.0000e+00 0.0000e+00
1.2746e-03 6.7695e+02 3.4826e-03 -1.7011e-03 1.3561e+03 5.7405e+02 -1.5944e-03 3.4164e+01 1.1554e-02 1.0040e-02 7.6107e-03 9.1057e+01 6.0675e+01 0.0000e+00 0.0000e+00
1.3819e-03 7.2840e+02 4.4462e-03 -2.1515e-03 1.4594e+03 6.3835e+02 -1.8626e-03 3.4163e+01 1.3588e-02 1.1798e-02 8.9247e-03 9.1048e+01 6.0664e+01 0.0000e+00 0.0000e+00
1.4983e-03 7.8345e+02 5.6659e-03 -2.7189e-03 1.5697e+03 7.0565e+02 -2.1737e-03 3.4163e+01 1.5981e-02 1.3862e-02 1.0462e-02 9.1037e+01 6.0651e+01 0.0000e+00 0.0000e+00
1.6246e-03 8.4230e+02 7.2071e-03 -3.4331e-03 1.6875e+03 7.7605e+02 -2.5336e-03 3.4162e+01 1.8796e-02 1.6285e-02 1.2258e-02 9.1025e+01 6.0635e+01 0.0000e+00 0.0000e+00
1.7614e-03 9.0510e+02 9.1515e-03 -4.3309e-03 1.8129e+03 8.4965e+02 -2.9489e-03 3.4162e+01 2.2110e-02 1.9125e-02 1.4355e-02 9.1010e+01 6.0617e+01 0.0000e+00 0.0000e+00
1.9098e-03 9.7201e+02 1.1601e-02 -5.4578e-03 1.9464e+03 9.2652e+02 -3.4263e-03 3.4161e+01 2.6009e-02 2.2454e-02 1.6802e-02 9.0993e+01 6.0595e+01 0.0000e+00 0.0000e+00
2.0706e-03 1.0431e+03 1.4681e-02 -6.8703e-03 2.0882e+03 1.0067e+03 -3.9731e-03 3.4160e+01 3.0600e-02 2.6351e-02 1.9653e-02 9.0973e+01 6.0570e+01 0.0000e+00 0.0000e+00
2.2450e-03 1.1186e+03 1.8549e-02 -8.6376e-03 2.2384e+03 1.0904e+03 -4.5964e-03 3.4159e+01 3.6005e-02 3.0910e-02 2.2971e-02 9.0949e+01 6.0541e+01 0.0000e+00 0.0000e+00
2.4341e-03 1.1984e+03 2.3396e-02 -1.0845e-02 2.3973e+03 1.1774e+03 -5.3027e-03 3.4158e+01 4.2370e-02 3.6234e-02 2.6826e-02 9.0922e+01 6.0507e+01 0.0000e+00 0.0000e+00
2.6392e-03 1.2826e+03 2.9459e-02 -1.3596e-02 2.5651e+03 1.2680e+03 -6.0973e-03 3.4157e+01 4.9868e-02 4.2444e-02 3.1298e-02 9.0889e+01 6.0467e+01 0.0000e+00 0.0000e+00
2.8615e-03 1.3711e+03 3.7030e-02 -1.7018e-02 2.7416e+03 1.3620e+03 -6.9837e-03 3.4156e+01 5.8702e-02 4.9672e-02 3.6474e-02 9.0851e+01 6.0421e+01 0.0000e+00 0.0000e+00
3.1025e-03 1.4640e+03 4.6464e-02 -2.1263e-02 2.9270e+03 1.4594e+03 -7.9613e-03 3.4154e+01 6.9113e-02 5.8065e-02 4.2454e-02 9.0806e+01 6.0367e+01 0.0000e+00 0.0000e+00
3.3638e-03 1.5610e+03 5.8193e-02 -2.6516e-02 3.1209e+03 1.5602e+03 -9.0244e-03 3.4152e+01 8.1387e-02 6.7785e-02 4.9344e-02 9.0754e+01 6.0303e+01 0.0000e+00 0.0000e+00
3.6472e-03 1.6620e+03 7.2741e-02 -3.2998e-02 3.3232e+03 1.6642e+03 -1.0159e-02 3.4150e+01 9.5860e-02 7.9003e-02 5.7259e-02 9.0693e+01 6.0230e+01 0.0000e+00 0.0000e+00
3.9544e-03 1.7668e+03 9.0742e-02 -4.0970e-02 3.5333e+03 1.7713e+03 -1.1340e-02 3.4147e+01 1.1293e-01 9.1897e-02 6.6322e-02 9.0621e+01 6.0145e+01 0.0000e+00 0.0000e+00
4.2875e-03 1.8753e+03 1.1296e-01 -5.0741e-02 3.7505e+03 1.8812e+03 -1.2523e-02 3.4143e+01 1.3308e-01 1.0665e-01 7.6659e-02 9.0538e+01 6.0046e+01 0.0000e+00 0.0000e+00
