# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.6614e+02 7.6287e-04 -3.8161e-04 7.6742e+02 2.6878e+02 -4.5338e-04 1.5566e+01 3.2374e-03 2.8169e-03 2.1465e-03 4.1496e+01 2.7656e+01 0.0000e+00 0.0000e+00
1.0842e-03 3.9431e+02 9.8007e-04 -4.8357e-04 7.5495e+02 3.0650e+02 -5.3089e-04 1.5566e+01 3.8068e-03 3.3112e-03 2.5193e-03 4.1493e+01 2.7653e+01 0.0000e+00 0.0000e+00
1.1756e-03 4.2452e+02 1.2562e-03 -6.1240e-04 8.5012e+02 3.4604e+02 -6.2125e-04 1.5566e+01 4.4764e-03 3.8920e-03 2.9560e-03 4.1490e+01 2.7649e+01 0.0000e+00 0.0000e+00
1.2746e-03 4.5694e+02 1.6068e-03 -7.7506e-04 9.1532e+02 3.8748e+02 -7.2643e-04 1.5565e+01 5.2642e-03 4.5743e-03 3.4676e-03 4.1487e+01 2.7645e+01 0.0000e+00 0.0000e+00
1.3819e-03 4.9166e+02 2.0512e-03 -9.8024e-04 9.8506e+02 4.3088e+02 -8.4865e-04 1.5565e+01 6.1908e-03 5.3754e-03 4.0662e-03 4.1483e+01 2.7639e+01 0.0000e+00 0.0000e+00
1.4983e-03 5.2882e+02 2.6137e-03 -1.2388e-03 1.0596e+03 4.7631e+02 -9.9038e-04 1.5565e+01 7.2810e-03 6.3160e-03 4.7665e-03 4.1478e+01 2.7633e+01 0.0000e+00 0.0000e+00
1.6246e-03 5.6855e+02 3.3243e-03 -1.5642e-03 1.1390e+03 5.2383e+02 -1.1544e-03 1.5565e+01 8.5638e-03 7.4195e-03 5.5849e-03 4.1472e+01 2.7626e+01 0.0000e+00 0.0000e+00
1.7614e-03 6.1094e+02 4.2210e-03 -1.9732e-03 1.2237e+03 5.7351e+02 -1.3435e-03 1.5565e+01 1.0073e-02 8.7137e-03 6.5405e-03 4.1466e+01 2.7618e+01 0.0000e+00 0.0000e+00
1.9098e-03 6.5610e+02 5.3505e-03 -2.4867e-03 1.3138e+03 6.2540e+02 -1.5611e-03 1.5564e+01 1.1850e-02 1.0230e-02 7.6553e-03 4.1458e+01 2.7608e+01 0.0000e+00 0.0000e+00
2.0706e-03 7.0411e+02 6.7709e-03 -3.1302e-03 1.4095e+03 6.7954e+02 -1.8102e-03 1.5564e+01 1.3942e-02 1.2006e-02 8.9543e-03 4.1449e+01 2.7597e+01 0.0000e+00 0.0000e+00
2.2450e-03 7.5504e+02 8.5543e-03 -3.9355e-03 1.5109e+03 7.3599e+02 -2.0942e-03 1.5564e+01 1.6404e-02 1.4083e-02 1.0466e-02 4.1438e+01 2.7584e+01 0.0000e+00 0.0000e+00
