# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.0864e+03 6.3583e-03 -3.3593e-03 2.1730e+03 7.9746e+02 -3.9910e-03 1.3702e+02 2.8499e-02 2.4797e-02 1.8895e-02 3.6528e+02 2.4345e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.1699e+03 8.1753e-03 -4.2568e-03 2.3416e+03 9.0937e+02 -4.6734e-03 1.3702e+02 3.3511e-02 2.9148e-02 2.2177e-02 3.6526e+02 2.4342e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.2595e+03 1.0486e-02 -5.3909e-03 2.5223e+03 1.0267e+03 -5.4688e-03 1.3702e+02 3.9406e-02 3.4261e-02 2.6022e-02 3.6524e+02 2.4339e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.3557e+03 1.3421e-02 -6.8228e-03 2.7157e+03 1.1496e+03 -6.3947e-03 1.3702e+02 4.6340e-02 4.0266e-02 3.0524e-02 3.6520e+02 2.4335e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.4587e+03 1.7141e-02 -8.6289e-03 2.9226e+03 1.2784e+03 -7.4705e-03 1.3702e+02 5.4497e-02 4.7319e-02 3.5794e-02 3.6517e+02 2.4331e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.5690e+03 2.1850e-02 -1.0905e-02 3.1437e+03 1.4132e+03 -8.7182e-03 1.3702e+02 6.4094e-02 5.5598e-02 4.1958e-02 3.6513e+02 2.4325e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.6868e+03 2.7800e-02 -1.3769e-02 3.3795e+03 1.5542e+03 -1.0162e-02 1.3702e+02 7.5386e-02 6.5312e-02 4.9162e-02 3.6507e+02 2.4319e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.8126e+03 3.5308e-02 -1.7370e-02 3.6307e+03 1.7016e+03 -1.1827e-02 1.3701e+02 8.8675e-02 7.6704e-02 5.7575e-02 3.6502e+02 2.4312e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.9466e+03 4.4765e-02 -2.1890e-02 3.8980e+03 1.8555e+03 -1.3742e-02 1.3701e+02 1.0432e-01 9.0054e-02 6.7388e-02 3.6495e+02 2.4303e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.0890e+03 5.6658e-02 -2.7554e-02 4.1819e+03 2.0162e+03 -1.5935e-02 1.3701e+02 1.2273e-01 1.0568e-01 7.8822e-02 3.6487e+02 2.4293e+02 0.0000e+00 0.0000e+00
2.2450e-03 2.2401e+03 7.1590e-02 -3.4643e-02 4.4828e+03 2.1837e+03 -1.8435e-02 1.3700e+02 1.4440e-01 1.2397e-01 9.2128e-02 3.6477e+02 2.4281e+02 0.0000e+00 0.0000e+00
2.4341e-03 2.3999e+03 9.0302e-02 -4.3495e-02 4.8011e+03 2.3580e+03 -2.1267e-02 1.3700e+02 1.6993e-01 1.4532e-01 1.0759e-01 3.6466e+02 2.4268e+02 0.0000e+00 0.0000e+00
2.6392e-03 2.5685e+03 1.1371e-01 -5.4529e-02 5.1370e+03 2.5394e+03 -2.4454e-02 1.3699e+02 2.0000e-01 1.7022e-01 1.2552e-01 3.6453e+02 2.4251e+02 0.0000e+00 0.0000e+00
2.8615e-03 2.7459e+03 1.4293e-01 -6.8252e-02 5.4906e+03 2.7276e+03 -2.8009e-02 1.3699e+02 2.3543e-01 1.9921e-01 1.4628e-01 3.6437e+02 2.4233e+02 0.0000e+00 0.0000e+00
3.1025e-03 2.9318e+03 1.7934e-01 -8.5277e-02 5.8617e+03 2.9228e+03 -3.1930e-02 1.3698e+02 2.7719e-01 2.3287e-01 1.7027e-01 3.6419e+02 2.4211e+02 0.0000e+00 0.0000e+00
3.3638e-03 3.1260e+03 2.2460e-01 -1.0634e-01 6.2501e+03 3.1246e+03 -3.6193e-02 1.3697e+02 3.2641e-01 2.7185e-01 1.9790e-01 3.6398e+02 2.4186e+02 0.0000e+00 0.0000e+00
3.6472e-03 3.3283e+03 2.8074e-01 -1.3234e-01 6.6551e+03 3.3329e+03 -4.0744e-02 1.3696e+02 3.8446e-01 3.1684e-01 2.2964e-01 3.6374e+02 2.4156e+02 0.0000e+00 0.0000e+00
3.9544e-03 3.5382e+03 3.5019e-01 -1.6431e-01 7.0758e+03 3.5474e+03 -4.5478e-02 1.3695e+02 4.5293e-01 3.6854e-01 2.6598e-01 3.6345e+02 2.4122e+02 0.0000e+00 0.0000e+00
4.2875e-03 3.7552e+03 4.3587e-01 -2.0349e-01 7.5110e+03 3.7675e+03 -5.0225e-02 1.3694e+02 5.3373e-01 4.2769e-01 3.0743e-01 3.6311e+02 2.4082e+02 0.0000e+00 0.0000e+00
4.6486e-03 3.9787e+03 5.4129e-01 -2.5134e-01 7.9589e+03 3.9926e+03 -5.4722e-02 1.3692e+02 6.2912e-01 4.9496e-01 3.5451e-01 3.6272e+02 2.4036e+02 0.0000e+00 0.0000e+00
5.0402e-03 4.2077e+03 6.7059e-01 -3.0951e-01 8.4174e+03 4.2219e+03 -5.8578e-02 1.3690e+02 7.4175e-01 5.7096e-01 4.0769e-01 3.6225e+02 2.3983e+02 0.0000e+00 0.0000e+00
5.4648e-03 4.4410e+03 8.2865e-01 -3.7990e-01 8.8842e+03 4.4544e+03 -6.1227e-02 1.3688e+02 8.7480e-01 6.5614e-01 4.6745e-01 3.6172e+02 2.3922e+02 0.0000e+00 0.0000e+00
5.9251e-03 4.6769e+03 1.0212e+00 -4.6465e-01 9.3560e+03 4.6888e+03 -6.1878e-02 1.3686e+02 1.0320e+00 7.5070e-01 5.3412e-01 3.6109e+02 2.3851e+02 0.0000e+00 0.0000e+00
6.4242e-03 4.9134e+03 1.2548e+00 -5.6610e-01 9.8293e+03 4.9235e+03 -5.9430e-02 1.3683e+02 1.2178e+00 8.5454e-01 6.0795e-01 3.6037e+02 2.3770e+02 0.0000e+00 0.0000e+00
6.9653e-03 5.1484e+03 1.5372e+00 -6.8680e-01 1.0300e+04 5.1568e+03 -5.2392e-02 1.3679e+02 1.4375e+00 9.6708e-01 6.8895e-01 3.5953e+02 2.3678e+02 0.0000e+00 0.0000e+00
7.5520e-03 5.3795e+03 1.8767e+00 -8.2941e-01 1.0763e+04 5.3865e+03 -3.8762e-02 1.3675e+02 1.6971e+00 1.0872e+00 7.7690e-01 3.5855e+02 2.3573e+02 0.0000e+00 0.0000e+00
8.1881e-03 5.6043e+03 2.2830e+00 -9.9666e-01 1.1213e+04 5.6100e+03 -1.5897e-02 1.3670e+02 2.0041e+00 1.2132e+00 8.7117e-01 3.5742e+02 2.3453e+02 0.0000e+00 0.0000e+00
8.8778e-03 5.8196e+03 2.7663e+00 -1.1911e+00 1.1645e+04 5.8243e+03 1.9648e-02 1.3665e+02 2.3668e+00 1.3424e+00 9.7072e-01 3.5612e+02 2.3317e+02 0.0000e+00 0.0000e+00
9.6256e-03 6.0216e+03 3.3375e+00 -1.4151e+00 1.2050e+04 6.0260e+03 7.2309e-02 1.3658e+02 2.7953e+00 1.4717e+00 1.0739e+00 3.5462e+02 2.3164e+02 0.0000e+00 0.0000e+00
1.0436e-02 6.2064e+03 4.0078e+00 -1.6702e+00 1.2421e+04 6.2115e+03 1.4772e-01 1.3651e+02 3.3011e+00 1.5966e+00 1.1784e+00 3.5290e+02 2.2992e+02 0.0000e+00 0.0000e+00
