# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 6.0609e+02 2.0533e-03 -1.0456e-03 1.2123e+03 4.4491e+02 -1.2423e-03 4.2651e+01 8.8707e-03 7.7183e-03 5.8814e-03 1.1370e+02 7.5778e+01 0.0000e+00 0.0000e+00
1.0842e-03 6.5270e+02 2.6385e-03 -1.3250e-03 1.3064e+03 5.0735e+02 -1.4547e-03 4.2651e+01 1.0431e-02 9.0728e-03 6.9028e-03 1.1369e+02 7.5769e+01 0.0000e+00 0.0000e+00
1.1756e-03 7.0272e+02 3.3828e-03 -1.6780e-03 1.4072e+03 5.7281e+02 -1.7022e-03 4.2650e+01 1.2266e-02 1.0664e-02 8.0996e-03 1.1368e+02 7.5759e+01 0.0000e+00 0.0000e+00
1.2746e-03 7.5636e+02 4.3277e-03 -2.1237e-03 1.5151e+03 6.4140e+02 -1.9904e-03 4.2650e+01 1.4424e-02 1.2534e-02 9.5012e-03 1.1368e+02 7.5747e+01 0.0000e+00 0.0000e+00
1.3819e-03 8.1385e+02 5.5255e-03 -2.6859e-03 1.6306e+03 7.1324e+02 -2.3253e-03 4.2649e+01 1.6963e-02 1.4729e-02 1.1142e-02 1.1366e+02 7.5733e+01 0.0000e+00 0.0000e+00
1.4983e-03 8.7536e+02 7.0414e-03 -3.3943e-03 1.7539e+03 7.8843e+02 -2.7137e-03 4.2649e+01 1.9950e-02 1.7306e-02 1.3060e-02 1.1365e+02 7.5716e+01 0.0000e+00 0.0000e+00
1.6246e-03 9.4112e+02 8.9570e-03 -4.2859e-03 1.8855e+03 8.6710e+02 -3.1630e-03 4.2648e+01 2.3465e-02 2.0330e-02 1.5303e-02 1.1364e+02 7.5697e+01 0.0000e+00 0.0000e+00
1.7614e-03 1.0113e+03 1.1374e-02 -5.4067e-03 2.0256e+03 9.4933e+02 -3.6813e-03 4.2648e+01 2.7601e-02 2.3876e-02 1.7921e-02 1.1362e+02 7.5674e+01 0.0000e+00 0.0000e+00
1.9098e-03 1.0860e+03 1.4418e-02 -6.8135e-03 2.1748e+03 1.0352e+03 -4.2774e-03 4.2647e+01 3.2470e-02 2.8031e-02 2.0976e-02 1.1360e+02 7.5647e+01 0.0000e+00 0.0000e+00
2.0706e-03 1.1655e+03 1.8247e-02 -8.5768e-03 2.3331e+03 1.1249e+03 -4.9600e-03 4.2646e+01 3.8201e-02 3.2897e-02 2.4535e-02 1.1357e+02 7.5616e+01 0.0000e+00 0.0000e+00
2.2450e-03 1.2498e+03 2.3054e-02 -1.0783e-02 2.5010e+03 1.2183e+03 -5.7381e-03 4.2645e+01 4.4949e-02 3.8587e-02 2.8677e-02 1.1354e+02 7.5580e+01 0.0000e+00 0.0000e+00
2.4341e-03 1.3390e+03 2.9079e-02 -1.3539e-02 2.6786e+03 1.3156e+03 -6.6198e-03 4.2643e+01 5.2895e-02 4.5234e-02 3.3489e-02 1.1351e+02 7.5537e+01 0.0000e+00 0.0000e+00
2.6392e-03 1.4331e+03 3.6615e-02 -1.6973e-02 2.8660e+03 1.4167e+03 -7.6119e-03 4.2642e+01 6.2255e-02 5.2987e-02 3.9072e-02 1.1347e+02 7.5487e+01 0.0000e+00 0.0000e+00
2.8615e-03 1.5320e+03 4.6025e-02 -2.1245e-02 3.0633e+03 1.5218e+03 -8.7184e-03 4.2640e+01 7.3283e-02 6.2010e-02 4.5534e-02 1.1342e+02 7.5429e+01 0.0000e+00 0.0000e+00
3.1025e-03 1.6357e+03 5.7750e-02 -2.6545e-02 3.2704e+03 1.6306e+03 -9.9388e-03 4.2638e+01 8.6281e-02 7.2488e-02 5.3000e-02 1.1336e+02 7.5361e+01 0.0000e+00 0.0000e+00
3.3638e-03 1.7441e+03 7.2327e-02 -3.3103e-02 3.4871e+03 1.7433e+03 -1.1266e-02 4.2635e+01 1.0160e-01 8.4622e-02 6.1601e-02 1.1330e+02 7.5283e+01 0.0000e+00 0.0000e+00
3.6472e-03 1.8570e+03 9.0409e-02 -4.1194e-02 3.7130e+03 1.8595e+03 -1.2683e-02 4.2632e+01 1.1967e-01 9.8626e-02 7.1482e-02 1.1322e+02 7.5191e+01 0.0000e+00 0.0000e+00
3.9544e-03 1.9741e+03 1.1278e-01 -5.1146e-02 3.9478e+03 1.9791e+03 -1.4156e-02 4.2629e+01 1.4099e-01 1.1472e-01 8.2795e-02 1.1313e+02 7.5084e+01 0.0000e+00 0.0000e+00
4.2875e-03 2.0952e+03 1.4039e-01 -6.3344e-02 4.1905e+03 2.1019e+03 -1.5634e-02 4.2625e+01 1.6614e-01 1.3314e-01 9.5700e-02 1.1303e+02 7.4961e+01 0.0000e+00 0.0000e+00
4.6486e-03 2.2200e+03 1.7436e-01 -7.8239e-02 4.4404e+03 2.2275e+03 -1.7034e-02 4.2620e+01 1.9583e-01 1.5408e-01 1.1035e-01 1.1290e+02 7.4818e+01 0.0000e+00 0.0000e+00
5.0402e-03 2.3478e+03 2.1604e-01 -9.6348e-02 4.6963e+03 2.3554e+03 -1.8234e-02 4.2614e+01 2.3089e-01 1.7774e-01 1.2691e-01 1.1276e+02 7.4653e+01 0.0000e+00 0.0000e+00
5.4648e-03 2.4780e+03 2.6700e-01 -1.1826e-01 4.9567e+03 2.4851e+03 -1.9059e-02 4.2607e+01 2.7231e-01 2.0426e-01 1.4552e-01 1.1260e+02 7.4463e+01 0.0000e+00 0.0000e+00
5.9251e-03 2.6096e+03 3.2910e-01 -1.4465e-01 5.2200e+03 2.6159e+03 -1.9262e-02 4.2600e+01 3.2125e-01 2.3371e-01 1.6628e-01 1.1240e+02 7.4245e+01 0.0000e+00 0.0000e+00
6.4242e-03 2.7417e+03 4.0447e-01 -1.7624e-01 5.4841e+03 2.7468e+03 -1.8500e-02 4.2591e+01 3.7910e-01 2.6604e-01 1.8926e-01 1.1218e+02 7.3994e+01 0.0000e+00 0.0000e+00
6.9653e-03 2.8729e+03 4.9558e-01 -2.1382e-01 5.7468e+03 2.8770e+03 -1.6308e-02 4.2580e+01 4.4748e-01 3.0109e-01 2.1449e-01 1.1192e+02 7.3707e+01 0.0000e+00 0.0000e+00
7.5520e-03 3.0020e+03 6.0519e-01 -2.5822e-01 6.0053e+03 3.0051e+03 -1.2065e-02 4.2568e+01 5.2832e-01 3.3851e-01 2.4188e-01 1.1161e+02 7.3380e+01 0.0000e+00 0.0000e+00
8.1881e-03 3.1275e+03 7.3641e-01 -3.1031e-01 6.2566e+03 3.1298e+03 -4.9453e-03 4.2553e+01 6.2389e-01 3.7774e-01 2.7124e-01 1.1126e+02 7.3009e+01 0.0000e+00 0.0000e+00
8.8778e-03 3.2478e+03 8.9257e-01 -3.7087e-01 6.4973e+03 3.2493e+03 6.1235e-03 4.2536e+01 7.3684e-01 4.1801e-01 3.0225e-01 1.1086e+02 7.2588e+01 0.0000e+00 0.0000e+00
9.6256e-03 3.3607e+03 1.0772e+00 -4.4062e-01 6.7235e+03 3.3619e+03 2.2523e-02 4.2516e+01 8.7026e-01 4.5829e-01 3.3439e-01 1.1040e+02 7.2113e+01 0.0000e+00 0.0000e+00
1.0436e-02 3.4641e+03 1.2941e+00 -5.2010e-01 6.9308e+03 3.4653e+03 4.6008e-02 4.2493e+01 1.0278e+00 4.9725e-01 3.6696e-01 1.0986e+02 7.1580e+01 0.0000e+00 0.0000e+00
1.1315e-02 3.5557e+03 1.5466e+00 -6.0958e-01 7.1147e+03 3.5572e+03 7.8777e-02 4.2466e+01 1.2135e+00 5.3329e-01 3.9899e-01 1.0925e+02 7.0984e+01 0.0000e+00 0.0000e+00
1.2269e-02 3.6330e+03 1.8382e+00 -7.0893e-01 7.2700e+03 3.6351e+03 1.2354e-01 4.2435e+01 1.4321e+00 5.6446e-01 4.2926e-01 1.0856e+02 7.0321e+01 0.0000e+00 0.0000e+00
1.3302e-02 3.6933e+03 2.1715e+00 -8.1747e-01 7.3913e+03 3.6962e+03 1.8359e-01 4.2399e+01 1.6891e+00 5.8834e-01 4.5628e-01 1.0777e+02 6.9586e+01 0.0000e+00 0.0000e+00
