# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.9378e+03 1.8888e-02 -1.0689e-02 3.8762e+03 1.4225e+03 -1.2699e-02 4.3601e+02 9.0682e-02 7.8901e-02 6.0124e-02 1.1623e+03 7.7465e+02 0.0000e+00 0.0000e+00
1.0842e-03 2.0868e+03 2.4312e-02 -1.3545e-02 4.1770e+03 1.6221e+03 -1.4870e-02 4.3600e+02 1.0663e-01 9.2747e-02 7.0565e-02 1.1622e+03 7.7456e+02 0.0000e+00 0.0000e+00
1.1756e-03 2.2468e+03 3.1214e-02 -1.7153e-02 4.4993e+03 1.8314e+03 -1.7401e-02 4.3600e+02 1.2539e-01 1.0902e-01 8.2799e-02 1.1622e+03 7.7446e+02 0.0000e+00 0.0000e+00
1.2746e-03 2.4183e+03 3.9980e-02 -2.1710e-02 4.8443e+03 2.0507e+03 -2.0347e-02 4.3600e+02 1.4745e-01 1.2812e-01 9.7126e-02 1.1621e+03 7.7433e+02 0.0000e+00 0.0000e+00
1.3819e-03 2.6021e+03 5.1096e-02 -2.7457e-02 5.2134e+03 2.2804e+03 -2.3771e-02 4.3599e+02 1.7341e-01 1.5057e-01 1.1389e-01 1.1619e+03 7.7419e+02 0.0000e+00 0.0000e+00
1.4983e-03 2.7987e+03 6.5167e-02 -3.4698e-02 5.6077e+03 2.5209e+03 -2.7741e-02 4.3599e+02 2.0394e-01 1.7691e-01 1.3351e-01 1.1618e+03 7.7402e+02 0.0000e+00 0.0000e+00
1.6246e-03 3.0089e+03 8.2952e-02 -4.3812e-02 6.0283e+03 2.7724e+03 -3.2334e-02 4.3598e+02 2.3987e-01 2.0782e-01 1.5643e-01 1.1616e+03 7.7382e+02 0.0000e+00 0.0000e+00
1.7614e-03 3.2333e+03 1.0539e-01 -5.5269e-02 6.4765e+03 3.0353e+03 -3.7632e-02 4.3597e+02 2.8216e-01 2.4406e-01 1.8320e-01 1.1615e+03 7.7358e+02 0.0000e+00 0.0000e+00
1.9098e-03 3.4723e+03 1.3366e-01 -6.9650e-02 6.9533e+03 3.3099e+03 -4.3725e-02 4.3596e+02 3.3192e-01 2.8654e-01 2.1442e-01 1.1612e+03 7.7331e+02 0.0000e+00 0.0000e+00
2.0706e-03 3.7263e+03 1.6920e-01 -8.7675e-02 7.4596e+03 3.5965e+03 -5.0703e-02 4.3595e+02 3.9051e-01 3.3627e-01 2.5080e-01 1.1610e+03 7.7299e+02 0.0000e+00 0.0000e+00
2.2450e-03 3.9958e+03 2.1383e-01 -1.1023e-01 7.9963e+03 3.8952e+03 -5.8657e-02 4.3594e+02 4.5948e-01 3.9444e-01 2.9314e-01 1.1607e+03 7.7261e+02 0.0000e+00 0.0000e+00
2.4341e-03 4.2808e+03 2.6974e-01 -1.3839e-01 8.5640e+03 4.2063e+03 -6.7669e-02 4.3593e+02 5.4071e-01 4.6238e-01 3.4233e-01 1.1603e+03 7.7217e+02 0.0000e+00 0.0000e+00
2.6392e-03 4.5816e+03 3.3968e-01 -1.7350e-01 9.1632e+03 4.5298e+03 -7.7810e-02 4.3591e+02 6.3639e-01 5.4162e-01 3.9939e-01 1.1599e+03 7.7166e+02 0.0000e+00 0.0000e+00
2.8615e-03 4.8978e+03 4.2699e-01 -2.1716e-01 9.7939e+03 4.8656e+03 -8.9119e-02 4.3589e+02 7.4912e-01 6.3384e-01 4.6544e-01 1.1594e+03 7.7106e+02 0.0000e+00 0.0000e+00
3.1025e-03 5.2293e+03 5.3574e-01 -2.7133e-01 1.0456e+04 5.2137e+03 -1.0159e-01 4.3587e+02 8.8197e-01 7.4093e-01 5.4174e-01 1.1588e+03 7.7036e+02 0.0000e+00 0.0000e+00
3.3638e-03 5.5757e+03 6.7090e-01 -3.3836e-01 1.1149e+04 5.5737e+03 -1.1516e-01 4.3584e+02 1.0386e+00 8.6494e-01 6.2965e-01 1.1581e+03 7.6955e+02 0.0000e+00 0.0000e+00
3.6472e-03 5.9364e+03 8.3850e-01 -4.2105e-01 1.1871e+04 5.9454e+03 -1.2964e-01 4.3580e+02 1.2233e+00 1.0081e+00 7.3063e-01 1.1574e+03 7.6861e+02 0.0000e+00 0.0000e+00
3.9544e-03 6.3108e+03 1.0458e+00 -5.2276e-01 1.2621e+04 6.3279e+03 -1.4470e-01 4.3577e+02 1.4411e+00 1.1725e+00 8.4625e-01 1.1564e+03 7.6751e+02 0.0000e+00 0.0000e+00
