# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.1579e+03 4.5046e-02 -2.8385e-02 6.3166e+03 2.3181e+03 -3.3723e-02 1.1578e+03 2.4081e-01 2.0953e-01 1.5966e-01 3.0866e+03 2.0571e+03 0.0000e+00 0.0000e+00
1.0842e-03 3.4007e+03 5.8090e-02 -3.5969e-02 6.8067e+03 2.6434e+03 -3.9489e-02 1.1578e+03 2.8316e-01 2.4629e-01 1.8739e-01 3.0864e+03 2.0569e+03 0.0000e+00 0.0000e+00
1.1756e-03 3.6613e+03 7.4698e-02 -4.5552e-02 7.3319e+03 2.9845e+03 -4.6210e-02 1.1578e+03 3.3297e-01 2.8949e-01 2.1988e-01 3.0862e+03 2.0566e+03 0.0000e+00 0.0000e+00
1.2746e-03 3.9408e+03 9.5804e-02 -5.7650e-02 7.8943e+03 3.3419e+03 -5.4033e-02 1.1578e+03 3.9156e-01 3.4024e-01 2.5792e-01 3.0859e+03 2.0563e+03 0.0000e+00 0.0000e+00
1.3819e-03 4.2402e+03 1.2258e-01 -7.2911e-02 8.4957e+03 3.7162e+03 -6.3124e-02 1.1578e+03 4.6049e-01 3.9983e-01 3.0245e-01 3.0856e+03 2.0559e+03 0.0000e+00 0.0000e+00
1.4983e-03 4.5607e+03 1.5648e-01 -9.2141e-02 9.1381e+03 4.1080e+03 -7.3666e-02 1.1578e+03 5.4158e-01 4.6978e-01 3.5453e-01 3.0852e+03 2.0554e+03 0.0000e+00 0.0000e+00
1.6246e-03 4.9032e+03 1.9933e-01 -1.1634e-01 9.8236e+03 4.5178e+03 -8.5862e-02 1.1578e+03 6.3699e-01 5.5186e-01 4.1540e-01 3.0848e+03 2.0549e+03 0.0000e+00 0.0000e+00
1.7614e-03 5.2688e+03 2.5340e-01 -1.4677e-01 1.0554e+04 4.9463e+03 -9.9933e-02 1.1577e+03 7.4928e-01 6.4811e-01 4.8648e-01 3.0843e+03 2.0543e+03 0.0000e+00 0.0000e+00
1.9098e-03 5.6581e+03 3.2152e-01 -1.8495e-01 1.1331e+04 5.3938e+03 -1.1611e-01 1.1577e+03 8.8143e-01 7.6090e-01 5.6939e-01 3.0837e+03 2.0535e+03 0.0000e+00 0.0000e+00
2.0706e-03 6.0721e+03 4.0717e-01 -2.3282e-01 1.2156e+04 5.8608e+03 -1.3464e-01 1.1577e+03 1.0370e+00 8.9295e-01 6.6599e-01 3.0830e+03 2.0527e+03 0.0000e+00 0.0000e+00
